Orthogroup	ML_TRX
OG0000013	ML34751a.p1
OG0000015	ML00576a.p1
OG0000015	ML03618a.p1
OG0000015	ML06704a.p1
OG0000015	ML106614a.p1
OG0000015	ML142413a.p1
OG0000015	ML1541127a.p1
OG0000015	ML1541128a.p1
OG0000015	ML216323a.p1
OG0000015	ML223530a.p1
OG0000015	ML398319a.p1
OG0000016	ML008511a.p1
OG0000016	ML016334a.p1
OG0000016	ML03811a.p1
OG0000016	ML047943a.p1
OG0000016	ML04963a.p1
OG0000016	ML05308a.p1
OG0000016	ML05309a.p1
OG0000016	ML06322a.p1
OG0000016	ML063916a.p1
OG0000016	ML071145a.p1
OG0000016	ML074219a.p1
OG0000016	ML080921a.p1
OG0000016	ML149215a.p1
OG0000016	ML17474a.p1
OG0000016	ML20918a.p1
OG0000016	ML37362a.p1
OG0000016	ML37364a.p1
OG0000016	ML43665a.p1
OG0000017	ML00263a.p1
OG0000017	ML00264a.p1
OG0000017	ML005119a.p1
OG0000017	ML007423a.p1
OG0000017	ML007424a.p1
OG0000017	ML007425a.p1
OG0000017	ML008014a.p1
OG0000017	ML02957a.p1
OG0000017	ML02958a.p1
OG0000017	ML035925a.p1
OG0000017	ML038030a.p1
OG0000017	ML038031a.p1
OG0000017	ML038032a.p1
OG0000017	ML038033a.p1
OG0000017	ML050911a.p2
OG0000017	ML05324a.p1
OG0000017	ML060310a.p1
OG0000017	ML066511a.p1
OG0000017	ML099212a.p1
OG0000017	ML154514a.p1
OG0000017	ML19912a.p1
OG0000017	ML205612a.p1
OG0000017	ML20731a.p1
OG0000017	ML25821a.p1
OG0000017	ML33822a.p1
OG0000017	ML343418a.p1
OG0000017	ML398331a.p1
OG0000017	ML46911a.p1
OG0000021	ML00526a.p1
OG0000021	ML04352a.p1
OG0000021	ML054418a.p1
OG0000021	ML06703a.p1
OG0000021	ML067115a.p1
OG0000021	ML07862a.p1
OG0000021	ML07888a.p1
OG0000021	ML07889a.p1
OG0000021	ML138310a.p1
OG0000021	ML13838a.p1
OG0000021	ML22523a.p1
OG0000021	ML24002a.p1
OG0000021	ML273211a.p1
OG0000021	ML460810a.p1
OG0000023	ML003245a.p1
OG0000023	ML00335a.p1
OG0000023	ML04012a.p1
OG0000023	ML04267a.p1
OG0000023	ML053613a.p1
OG0000023	ML092618a.p1
OG0000023	ML234016a.p1
OG0000023	ML45311a.p1
OG0000029	ML01404a.p1
OG0000029	ML015619a.p1
OG0000029	ML03133a.p1
OG0000029	ML034632a.p1
OG0000029	ML034640a.p1
OG0000029	ML08634a.p1
OG0000029	ML10228a.p1
OG0000029	ML10298a.p1
OG0000029	ML108014a.p1
OG0000029	ML120713a.p1
OG0000029	ML150913a.p1
OG0000030	ML003025a.p1
OG0000030	ML03153a.p1
OG0000030	ML05239a.p1
OG0000030	ML063340a.p1
OG0000030	ML073017a.p1
OG0000030	ML07974a.p1
OG0000030	ML08509a.p1
OG0000030	ML085911a.p1
OG0000030	ML149629a.p1
OG0000030	ML159713a.p1
OG0000030	ML200220a.p1
OG0000030	ML216340a.p1
OG0000030	ML22786a.p1
OG0000030	ML47743a.p1
OG0000031	ML000121a.p1
OG0000031	ML016310a.p1
OG0000031	ML02161a.p1
OG0000031	ML03837a.p1
OG0000031	ML04528a.p1
OG0000031	ML049611a.p1
OG0000031	ML052313a.p1
OG0000031	ML081012a.p1
OG0000031	ML09462a.p1
OG0000031	ML25287a.p1
OG0000031	ML41827a.p1
OG0000033	ML010519a.p1
OG0000033	ML013611a.p1
OG0000033	ML02593a.p1
OG0000033	ML047936a.p1
OG0000033	ML06537a.p1
OG0000033	ML073221a.p1
OG0000033	ML07431a.p1
OG0000033	ML077614a.p1
OG0000033	ML101011a.p1
OG0000033	ML10741a.p1
OG0000033	ML137117a.p1
OG0000033	ML13817a.p1
OG0000033	ML182023a.p1
OG0000033	ML20891a.p1
OG0000033	ML210026a.p1
OG0000033	ML25761a.p1
OG0000033	ML257628a.p1
OG0000033	ML274441a.p1
OG0000033	ML31162a.p1
OG0000036	ML001520b.p1
OG0000036	ML00175a.p1
OG0000036	ML021120a.p1
OG0000036	ML03046a.p1
OG0000036	ML06935a.p1
OG0000036	ML07884a.p1
OG0000036	ML08927a.p1
OG0000036	ML10117a.p1
OG0000036	ML12464a.p1
OG0000036	ML148940a.p1
OG0000036	ML218936a.p1
OG0000036	ML435823a.p1
OG0000038	ML005027a.p1
OG0000038	ML06919a.p1
OG0000038	ML093032a.p1
OG0000038	ML137115a.p1
OG0000038	ML13731a.p1
OG0000038	ML182515a.p1
OG0000038	ML305513a.p1
OG0000038	ML40865a.p1
OG0000040	ML019117a.p1
OG0000040	ML022312a.p1
OG0000040	ML04841a.p1
OG0000040	ML084215a.p1
OG0000040	ML08522a.p1
OG0000040	ML18774a.p1
OG0000040	ML239522a.p1
OG0000040	ML276927a.p1
OG0000045	ML001911a.p1
OG0000045	ML034318a.p1
OG0000045	ML04213a.p1
OG0000045	ML051316a.p1
OG0000045	ML065742a.p1
OG0000045	ML079727a.p1
OG0000045	ML129321a.p1
OG0000045	ML21865a.p1
OG0000045	ML351720a.p1
OG0000045	ML358833a.p1
OG0000046	ML005020a.p1
OG0000046	ML007332a.p1
OG0000046	ML012013a.p1
OG0000046	ML014421a.p1
OG0000046	ML017310a.p1
OG0000046	ML02744a.p1
OG0000046	ML03248a.p1
OG0000046	ML06227a.p1
OG0000046	ML071151a.p1
OG0000046	ML098612a.p1
OG0000046	ML09922a.p1
OG0000046	ML10109a.p1
OG0000046	ML14651a.p1
OG0000046	ML282541a.p1
OG0000046	ML31181a.p1
OG0000046	ML31185a.p1
OG0000047	ML004421a.p1
OG0000047	ML00483a.p1
OG0000047	ML00614a.p1
OG0000047	ML01366a.p1
OG0000047	ML022314a.p1
OG0000047	ML02524b.p1
OG0000047	ML025912a.p1
OG0000047	ML03041a.p1
OG0000047	ML04675a.p1
OG0000047	ML049627a.p1
OG0000047	ML050920a.p1
OG0000047	ML05482a.p1
OG0000047	ML06263a.p1
OG0000047	ML07015a.p1
OG0000047	ML070211a.p1
OG0000047	ML070821a.p1
OG0000047	ML071154a.p1
OG0000047	ML07807a.p1
OG0000047	ML08724a.p1
OG0000047	ML08827a.p1
OG0000047	ML101015a.p1
OG0000047	ML10392a.p1
OG0000047	ML108911a.p1
OG0000047	ML11179a.p2
OG0000047	ML11462a.p1
OG0000047	ML131129a.p1
OG0000047	ML141713a.p1
OG0000047	ML149210a.p1
OG0000047	ML14971a.p1
OG0000047	ML150420a.p1
OG0000047	ML17471a.p1
OG0000047	ML18152a.p1
OG0000047	ML200211a.p1
OG0000047	ML21868a.p1
OG0000047	ML257610a.p1
OG0000047	ML258237a.p1
OG0000047	ML35172a.p1
OG0000047	ML351734a.p1
OG0000047	ML351735a.p1
OG0000047	ML35174a.p1
OG0000047	ML375927a.p1
OG0000047	ML40863a.p1
OG0000048	ML005026a.p1
OG0000048	ML00804a.p1
OG0000048	ML010615a.p1
OG0000048	ML05235a.p1
OG0000048	ML070247a.p1
OG0000048	ML12595a.p1
OG0000048	ML18541a.p1
OG0000048	ML218016a.p1
OG0000048	ML320911a.p1
OG0000049	ML006914a.p1
OG0000049	ML00784a.p1
OG0000049	ML03788a.p1
OG0000049	ML03807a.p1
OG0000049	ML05698a.p1
OG0000049	ML059817a.p1
OG0000049	ML064928a.p1
OG0000049	ML06977a.p1
OG0000049	ML078928a.p1
OG0000049	ML08445a.p1
OG0000049	ML085025a.p1
OG0000049	ML11637a.p1
OG0000049	ML13872a.p1
OG0000049	ML14119a.p1
OG0000049	ML149652a.p1
OG0000049	ML156511a.p1
OG0000049	ML18239a.p1
OG0000049	ML184422a.p1
OG0000049	ML185518a.p1
OG0000049	ML20254a.p1
OG0000049	ML26758a.p1
OG0000052	ML001118a.p1
OG0000052	ML108023b.p1
OG0000052	ML11321a.p1
OG0000052	ML12076b.p1
OG0000052	ML128211a.p1
OG0000052	ML148516b.p1
OG0000052	ML15452a.p1
OG0000055	ML02953a.p1
OG0000055	ML06741a.p1
OG0000055	ML09832a.p1
OG0000055	ML131115a.p1
OG0000055	ML17997a.p1
OG0000055	ML435812a.p1
OG0000058	ML01315a.p1
OG0000058	ML05263a.p1
OG0000058	ML17054a.p1
OG0000058	ML234030a.p1
OG0000058	ML463518a.p1
OG0000059	ML04974a.p1
OG0000059	ML16217a.p1
OG0000063	ML025018a.p1
OG0000063	ML025019a.p1
OG0000063	ML061510a.p1
OG0000063	ML06159a.p1
OG0000063	ML12521a.p1
OG0000063	ML154527a.p1
OG0000063	ML216314a.p1
OG0000063	ML23712a.p1
OG0000063	ML46085a.p1
OG0000066	ML002136a.p1
OG0000066	ML057313a.p1
OG0000066	ML463536a.p1
OG0000067	ML020054a.p1
OG0000067	ML050826a.p1
OG0000067	ML06364a.p1
OG0000069	ML00765a.p1
OG0000069	ML00952a.p1
OG0000069	ML082113a.p1
OG0000069	ML127026a.p1
OG0000069	ML210025a.p1
OG0000069	ML219310a.p1
OG0000069	ML23068a.p1
OG0000072	ML13061a.p1
OG0000072	ML141750a.p1
OG0000072	ML148517a.p1
OG0000072	ML15992a.p1
OG0000072	ML17032a.p1
OG0000072	ML174735a.p1
OG0000072	ML18179a.p1
OG0000072	ML20265a.p1
OG0000072	ML234541a.p1
OG0000072	ML26358a.p1
OG0000072	ML322211a.p1
OG0000072	ML35651a.p1
OG0000072	ML35935a.p1
OG0000076	ML011720a.p1
OG0000076	ML01277a.p1
OG0000076	ML032910a.p1
OG0000076	ML040421a.p1
OG0000076	ML04647a.p1
OG0000076	ML073226a.p1
OG0000076	ML271532a.p1
OG0000076	ML279814a.p1
OG0000077	ML003256a.p1
OG0000077	ML003257a.p1
OG0000077	ML003258a.p1
OG0000077	ML044111a.p1
OG0000077	ML07765a.p1
OG0000077	ML09019a.p1
OG0000077	ML13025a.p1
OG0000077	ML20687a.p1
OG0000077	ML279815a.p1
OG0000079	ML004443a.p1
OG0000079	ML007311a.p1
OG0000079	ML07483a.p1
OG0000079	ML20877a.p1
OG0000079	ML219317a.p1
OG0000079	ML257636a.p1
OG0000079	ML296220a.p1
OG0000079	ML434310a.p1
OG0000079	ML434311a.p1
OG0000079	ML434312a.p1
OG0000083	ML019237a.p1
OG0000083	ML17995a.p1
OG0000083	ML223522a.p1
OG0000083	ML334215a.p1
OG0000084	ML024510a.p1
OG0000084	ML03473a.p1
OG0000084	ML045210a.p1
OG0000084	ML049025a.p1
OG0000084	ML19069a.p1
OG0000084	ML274418a.p1
OG0000086	ML019239a.p1
OG0000086	ML131137a.p1
OG0000086	ML15635a.p1
OG0000086	ML190614a.p1
OG0000086	ML20574a.p1
OG0000086	ML257631a.p1
OG0000086	ML34344a.p1
OG0000087	ML061715a.p1
OG0000087	ML114611a.p1
OG0000087	ML14778a.p1
OG0000087	ML234547a.p1
OG0000087	ML28565a.p1
OG0000088	ML009153a.p1
OG0000088	ML012011a.p1
OG0000088	ML065320a.p1
OG0000088	ML156513a.p1
OG0000088	ML156514a.p1
OG0000088	ML167011a.p1
OG0000088	ML19592a.p1
OG0000088	ML234510a.p1
OG0000088	ML282523a.p1
OG0000089	ML035915a.p1
OG0000089	ML03718a.p1
OG0000089	ML04305a.p1
OG0000089	ML058510a.p1
OG0000089	ML05858a.p1
OG0000089	ML08834a.p1
OG0000089	ML129322a.p1
OG0000090	ML035921a.p1
OG0000090	ML073229a.p1
OG0000090	ML073240a.p1
OG0000090	ML09073a.p1
OG0000090	ML18558a.p1
OG0000090	ML212012a.p1
OG0000091	ML000132a.p1
OG0000091	ML017312a.p1
OG0000091	ML01946a.p2
OG0000091	ML033229a.p1
OG0000091	ML040510a.p1
OG0000091	ML050913a.p1
OG0000091	ML053411a.p1
OG0000091	ML073251a.p2
OG0000091	ML07453a.p1
OG0000091	ML084810a.p1
OG0000091	ML090217a.p1
OG0000091	ML09091a.p1
OG0000091	ML10112a.p1
OG0000091	ML10113a.p1
OG0000091	ML154111a.p1
OG0000091	ML16649a.p1
OG0000091	ML216341a.p1
OG0000091	ML216343a.p1
OG0000091	ML259914a.p1
OG0000091	ML271515a.p1
OG0000091	ML27985a.p1
OG0000091	ML27988a.p1
OG0000091	ML460822a.p1
OG0000091	ML460824a.p1
OG0000093	ML030514a.p1
OG0000093	ML043311a.p1
OG0000093	ML047940a.p1
OG0000093	ML056951a.p1
OG0000093	ML06175a.p1
OG0000093	ML06176a.p1
OG0000093	ML06177a.p1
OG0000093	ML06178a.p1
OG0000093	ML06903a.p1
OG0000093	ML070812a.p1
OG0000093	ML12597a.p1
OG0000093	ML167030a.p1
OG0000094	ML003313a.p1
OG0000094	ML019235a.p1
OG0000094	ML05344a.p1
OG0000094	ML068132a.p1
OG0000094	ML096829a.p1
OG0000094	ML12051a.p1
OG0000094	ML148528a.p1
OG0000094	ML17304a.p1
OG0000094	ML17305a.p1
OG0000094	ML216915a.p1
OG0000094	ML267916a.p1
OG0000095	ML00143a.p1
OG0000095	ML01291a.p1
OG0000095	ML03715a.p1
OG0000095	ML03716a.p1
OG0000095	ML038831a.p1
OG0000095	ML043517a.p1
OG0000095	ML043521a.p1
OG0000095	ML083019a.p1
OG0000095	ML216912a.p1
OG0000095	ML216914a.p1
OG0000099	ML008317a.p1
OG0000099	ML034626a.p1
OG0000099	ML06221a.p1
OG0000099	ML086446a.p1
OG0000099	ML089410a.p1
OG0000099	ML09222a.p1
OG0000099	ML13931a.p1
OG0000099	ML24991a.p1
OG0000100	ML021113a.p1
OG0000100	ML03182a.p1
OG0000100	ML124226a.p1
OG0000100	ML234531a.p1
OG0000100	ML29626a.p1
OG0000101	ML00529a.p1
OG0000101	ML04205a.p1
OG0000101	ML274415a.p1
OG0000103	ML00358a.p1
OG0000103	ML038027a.p1
OG0000103	ML04048a.p1
OG0000103	ML113426a.p1
OG0000103	ML204417a.p1
OG0000103	ML33076a.p1
OG0000106	ML017420a.p1
OG0000106	ML067018a.p1
OG0000106	ML067023a.p1
OG0000106	ML128216a.p1
OG0000106	ML128217a.p1
OG0000106	ML12823a.p1
OG0000106	ML13148a.p1
OG0000106	ML141754a.p1
OG0000106	ML19593a.p1
OG0000107	ML030513a.p1
OG0000107	ML03328a.p1
OG0000107	ML034665a.p1
OG0000107	ML03521a.p1
OG0000107	ML03527a.p1
OG0000107	ML056952a.p1
OG0000107	ML065743a.p1
OG0000107	ML08023a.p1
OG0000107	ML15951a.p1
OG0000107	ML200262a.p1
OG0000108	ML10292a.p1
OG0000108	ML16113a.p1
OG0000111	ML013512a.p1
OG0000111	ML096826a.p1
OG0000115	ML01679a.p1
OG0000116	ML019234a.p1
OG0000116	ML02335a.p1
OG0000116	ML047944a.p1
OG0000116	ML06326a.p1
OG0000116	ML07429a.p1
OG0000117	ML00124a.p1
OG0000117	ML06751a.p1
OG0000117	ML078937a.p1
OG0000117	ML09425a.p1
OG0000117	ML205610a.p1
OG0000118	ML04002a.p1
OG0000118	ML05601a.p1
OG0000118	ML079719a.p1
OG0000118	ML09861a.p1
OG0000118	ML11595a.p1
OG0000118	ML17301a.p1
OG0000118	ML17303a.p1
OG0000122	ML00962a.p1
OG0000122	ML01094a.p1
OG0000122	ML054910a.p1
OG0000122	ML07023a.p1
OG0000122	ML19407a.p1
OG0000126	ML000316a.p1
OG0000126	ML015727a.p1
OG0000126	ML040520a.p1
OG0000126	ML056518a.p1
OG0000126	ML071414a.p1
OG0000126	ML07514a.p1
OG0000126	ML08204a.p1
OG0000126	ML104311a.p1
OG0000126	ML11683a.p1
OG0000126	ML28371a.p1
OG0000126	ML306913a.p1
OG0000127	ML234559a.p1
OG0000127	ML434314a.p1
OG0000130	ML032313a.p1
OG0000130	ML032318a.p1
OG0000130	ML458323a.p1
OG0000130	ML458325a.p1
OG0000131	ML03191a.p1
OG0000131	ML12883a.p1
OG0000131	ML17725a.p1
OG0000131	ML223515a.p1
OG0000131	ML351714a.p1
OG0000132	ML18251a.p1
OG0000132	ML189332a.p1
OG0000132	ML21896a.p1
OG0000132	ML31901a.p2
OG0000133	ML071413a.p1
OG0000135	ML01482a.p1
OG0000135	ML021133a.p1
OG0000135	ML026516a.p1
OG0000135	ML056958a.p1
OG0000135	ML06742a.p1
OG0000135	ML085213a.p1
OG0000135	ML10374a.p1
OG0000135	ML10376a.p1
OG0000135	ML10942a.p1
OG0000135	ML154172a.p1
OG0000135	ML174731a.p1
OG0000135	ML20831a.p1
OG0000135	ML234515a.p1
OG0000137	ML18851a.p1
OG0000137	ML20871a.p1
OG0000137	ML215419a.p1
OG0000137	ML24227a.p1
OG0000137	ML44422a.p1
OG0000138	ML17059a.p1
OG0000138	ML190424a.p1
OG0000138	ML358826a.p1
OG0000140	ML13223a.p1
OG0000140	ML141115a.p1
OG0000140	ML359311a.p1
OG0000141	ML004441a.p1
OG0000141	ML038810a.p1
OG0000141	ML049022a.p1
OG0000141	ML06161a.p1
OG0000142	ML00513a.p1
OG0000142	ML085011a.p1
OG0000142	ML105413a.p1
OG0000142	ML189330a.p1
OG0000144	ML00922a.p1
OG0000144	ML01444a.p1
OG0000144	ML065731a.p1
OG0000144	ML070271a.p1
OG0000144	ML08106a.p1
OG0000144	ML107910a.p1
OG0000144	ML25776a.p1
OG0000145	ML020018a.p1
OG0000145	ML08642a.p1
OG0000145	ML116913a.p1
OG0000145	ML12341a.p1
OG0000145	ML208311a.p1
OG0000145	ML306120a.p1
OG0000145	ML351732a.p1
OG0000145	ML351733a.p1
OG0000146	ML296211a.p1
OG0000148	ML07022a.p1
OG0000148	ML11682a.p1
OG0000148	ML200226a.p1
OG0000148	ML20261a.p1
OG0000148	ML207912a.p1
OG0000148	ML279823a.p1
OG0000149	ML02481a.p1
OG0000149	ML07728a.p1
OG0000149	ML12034a.p1
OG0000149	ML190423a.p1
OG0000149	ML20447a.p1
OG0000151	ML063310a.p1
OG0000151	ML06337a.p1
OG0000151	ML06338a.p1
OG0000151	ML06339a.p1
OG0000151	ML067116a.p1
OG0000151	ML18356a.p1
OG0000152	ML005321a.p1
OG0000152	ML017411a.p1
OG0000152	ML034326a.p1
OG0000152	ML05771a.p1
OG0000152	ML31164a.p1
OG0000153	ML030524a.p1
OG0000153	ML111710a.p1
OG0000153	ML409810a.p1
OG0000155	ML01495a.p1
OG0000155	ML06532a.p1
OG0000155	ML08376a.p1
OG0000155	ML08378a.p1
OG0000155	ML12631a.p1
OG0000155	ML13168a.p1
OG0000155	ML358838a.p1
OG0000157	ML02304a.p1
OG0000157	ML09867a.p1
OG0000157	ML102221a.p1
OG0000157	ML114620a.p1
OG0000157	ML114622a.p1
OG0000157	ML11596a.p1
OG0000157	ML17218a.p1
OG0000157	ML18238a.p1
OG0000157	ML227811a.p1
OG0000157	ML274443a.p1
OG0000157	ML46082a.p1
OG0000157	ML46824a.p1
OG0000165	ML035910a.p1
OG0000165	ML04798a.p1
OG0000165	ML05951a.p1
OG0000165	ML097515a.p1
OG0000165	ML101022a.p1
OG0000165	ML141745a.p1
OG0000165	ML17591a.p1
OG0000165	ML20591a.p1
OG0000165	ML21866a.p1
OG0000166	ML009152a.p1
OG0000166	ML01323a.p1
OG0000166	ML01591a.p1
OG0000166	ML044613a.p1
OG0000166	ML36932a.p1
OG0000170	ML004513a.p1
OG0000170	ML00622a.p1
OG0000170	ML03671a.p1
OG0000170	ML069110a.p1
OG0000170	ML070210a.p1
OG0000170	ML09692a.p1
OG0000170	ML104636a.p1
OG0000170	ML148513a.p1
OG0000170	ML149631a.p1
OG0000170	ML149632a.p1
OG0000170	ML20641a.p1
OG0000170	ML25769a.p1
OG0000170	ML273210a.p1
OG0000170	ML311625a.p1
OG0000170	ML463522a.p1
OG0000171	ML033217a.p1
OG0000171	ML033218a.p1
OG0000171	ML034664a.p1
OG0000171	ML31038a.p1
OG0000172	ML01352a.p1
OG0000172	ML02415a.p1
OG0000173	ML004433a.p1
OG0000173	ML004434a.p1
OG0000173	ML08592a.p1
OG0000173	ML132018a.p1
OG0000173	ML20961a.p1
OG0000173	ML24287a.p1
OG0000174	ML04212a.p1
OG0000174	ML25283a.p1
OG0000174	ML306127a.p1
OG0000175	ML02604a.p1
OG0000175	ML039711a.p1
OG0000175	ML05904a.p1
OG0000175	ML090125a.p1
OG0000175	ML40945a.p1
OG0000175	ML43131a.p1
OG0000177	ML01122a.p1
OG0000177	ML016010a.p1
OG0000177	ML03592a.p1
OG0000177	ML053811a.p1
OG0000177	ML19064a.p1
OG0000178	ML020030a.p1
OG0000178	ML044614a.p1
OG0000178	ML070268a.p1
OG0000178	ML11177a.p1
OG0000178	ML358818a.p1
OG0000179	ML05084a.p1
OG0000179	ML20395a.p1
OG0000182	ML00874a.p1
OG0000182	ML04921a.p1
OG0000182	ML08712a.p1
OG0000182	ML35302a.p1
OG0000183	ML015751a.p1
OG0000183	ML049317a.p1
OG0000183	ML24671a.p1
OG0000183	ML41156a.p1
OG0000183	ML455312a.p1
OG0000183	ML46822a.p1
OG0000184	ML02607a.p1
OG0000184	ML02609a.p1
OG0000184	ML13119a.p1
OG0000185	ML017930a.p1
OG0000185	ML06051a.p1
OG0000185	ML22139a.p1
OG0000186	ML10395a.p1
OG0000186	ML210020a.p1
OG0000186	ML23838a.p1
OG0000187	ML053012a.p1
OG0000187	ML068131a.p1
OG0000187	ML132520a.p1
OG0000187	ML32701a.p1
OG0000188	ML005117a.p1
OG0000188	ML059811a.p1
OG0000188	ML311631a.p1
OG0000193	ML444210a.p1
OG0000198	ML00017a.p1
OG0000198	ML04531a.p1
OG0000198	ML046335a.p1
OG0000199	ML009614a.p1
OG0000199	ML010132a.p1
OG0000199	ML13118a.p1
OG0000199	ML18752a.p1
OG0000199	ML209111a.p1
OG0000199	ML398339a.p1
OG0000204	ML002618a.p1
OG0000204	ML005332a.p1
OG0000204	ML01347a.p1
OG0000204	ML032110a.p1
OG0000204	ML061512a.p1
OG0000204	ML064957a.p1
OG0000204	ML08637a.p1
OG0000204	ML09548a.p1
OG0000204	ML128219a.p1
OG0000204	ML13774a.p1
OG0000204	ML145836a.p1
OG0000204	ML145837a.p1
OG0000204	ML17565a.p1
OG0000204	ML17566a.p1
OG0000204	ML17567a.p1
OG0000204	ML17721a.p1
OG0000204	ML27696a.p1
OG0000204	ML388123a.p1
OG0000204	ML418210a.p1
OG0000206	ML045215a.p1
OG0000206	ML05802a.p1
OG0000206	ML067019a.p1
OG0000206	ML067020a.p2
OG0000206	ML067021a.p1
OG0000206	ML29885a.p1
OG0000207	ML03395a.p1
OG0000207	ML046417a.p1
OG0000207	ML04812a.p1
OG0000207	ML04813a.p1
OG0000207	ML13206a.p1
OG0000207	ML174736a.p1
OG0000207	ML45844a.p1
OG0000214	ML06974a.p1
OG0000214	ML184419a.p1
OG0000214	ML184420a.p1
OG0000215	ML07891a.p1
OG0000215	ML082115a.p1
OG0000215	ML111726a.p1
OG0000215	ML218812a.p1
OG0000216	ML063326a.p1
OG0000216	ML07329a.p1
OG0000216	ML184424a.p1
OG0000216	ML218834a.p1
OG0000216	ML22381a.p1
OG0000216	ML458410a.p1
OG0000217	ML04068a.p1
OG0000217	ML04069a.p1
OG0000217	ML094325a.p1
OG0000217	ML098311a.p1
OG0000217	ML12868a.p1
OG0000217	ML13093a.p1
OG0000217	ML216315a.p1
OG0000217	ML451317a.p1
OG0000220	ML054419a.p1
OG0000220	ML08605a.p1
OG0000220	ML30617a.p1
OG0000221	ML000713a.p1
OG0000221	ML068311a.p1
OG0000221	ML096819a.p1
OG0000222	ML034321a.p1
OG0000222	ML08727a.p1
OG0000222	ML13536a.p1
OG0000223	ML053631a.p1
OG0000223	ML18357a.p1
OG0000223	ML20681a.p1
OG0000223	ML460827a.p1
OG0000226	ML015011a.p1
OG0000226	ML070217a.p1
OG0000226	ML167044a.p1
OG0000227	ML01137a.p1
OG0000227	ML059010a.p1
OG0000227	ML068319a.p1
OG0000227	ML12936a.p1
OG0000227	ML16215a.p1
OG0000227	ML16216a.p1
OG0000227	ML218822a.p1
OG0000227	ML463521a.p1
OG0000228	ML05902a.p1
OG0000228	ML21727a.p1
OG0000230	ML02092a.p1
OG0000230	ML04218a.p1
OG0000231	ML082315a.p1
OG0000231	ML14962a.p1
OG0000231	ML26931a.p1
OG0000232	ML001115a.p1
OG0000232	ML368810a.p1
OG0000233	ML12329a.p1
OG0000233	ML14762a.p1
OG0000233	ML18644a.p1
OG0000233	ML204411a.p1
OG0000235	ML00771a.p1
OG0000235	ML03611a.p1
