Orthogroup	SU_TRX
OG0000013	WHL22.152637.0.p1
OG0000013	WHL22.15401.0.p1
OG0000013	WHL22.154299.0.p1
OG0000013	WHL22.154305.0.p1
OG0000013	WHL22.195413.0.p1
OG0000013	WHL22.195413.1.p1
OG0000013	WHL22.195413.2.p1
OG0000013	WHL22.196275.0.p1
OG0000013	WHL22.196275.3.p1
OG0000013	WHL22.196275.4.p1
OG0000013	WHL22.196275.5.p1
OG0000013	WHL22.210046.0.p1
OG0000013	WHL22.215502.0.p1
OG0000013	WHL22.222366.0.p1
OG0000013	WHL22.222366.0.p2
OG0000013	WHL22.222375.0.p1
OG0000013	WHL22.222390.1.p1
OG0000013	WHL22.222390.2.p1
OG0000013	WHL22.222390.3.p1
OG0000013	WHL22.222390.4.p1
OG0000013	WHL22.222390.5.p1
OG0000013	WHL22.246040.0.p1
OG0000013	WHL22.246805.0.p1
OG0000013	WHL22.246805.2.p1
OG0000013	WHL22.246805.4.p1
OG0000013	WHL22.26569.0.p1
OG0000013	WHL22.27015.0.p1
OG0000013	WHL22.357689.0.p1
OG0000013	WHL22.357710.0.p1
OG0000013	WHL22.357710.1.p1
OG0000013	WHL22.362414.1.p1
OG0000013	WHL22.362460.2.p1
OG0000013	WHL22.374539.0.p1
OG0000013	WHL22.381852.0.p1
OG0000013	WHL22.408118.0.p1
OG0000013	WHL22.408118.1.p1
OG0000013	WHL22.414553.0.p1
OG0000013	WHL22.416103.1.p1
OG0000013	WHL22.416103.2.p1
OG0000013	WHL22.416103.3.p1
OG0000013	WHL22.416151.1.p1
OG0000013	WHL22.456851.0.p1
OG0000013	WHL22.456851.3.p1
OG0000013	WHL22.456860.0.p1
OG0000013	WHL22.492105.0.p1
OG0000013	WHL22.492105.3.p1
OG0000013	WHL22.5055.0.p1
OG0000013	WHL22.5055.0.p2
OG0000013	WHL22.5055.0.p3
OG0000013	WHL22.559716.0.p1
OG0000013	WHL22.559716.1.p1
OG0000013	WHL22.559734.0.p1
OG0000013	WHL22.564761.0.p1
OG0000013	WHL22.564761.1.p1
OG0000013	WHL22.564761.2.p1
OG0000013	WHL22.564770.0.p1
OG0000013	WHL22.564770.1.p1
OG0000013	WHL22.564770.4.p1
OG0000013	WHL22.580820.0.p1
OG0000013	WHL22.580820.1.p1
OG0000013	WHL22.580820.2.p1
OG0000013	WHL22.587257.0.p1
OG0000013	WHL22.647202.0.p1
OG0000013	WHL22.690235.0.p1
OG0000013	WHL22.690235.1.p1
OG0000013	WHL22.690235.2.p1
OG0000013	WHL22.724320.1.p1
OG0000013	WHL22.748053.0.p1
OG0000013	WHL22.748053.0.p2
OG0000013	WHL22.748053.1.p1
OG0000013	WHL22.748053.1.p2
OG0000015	WHL22.1366.0.p1
OG0000015	WHL22.150450.2.p1
OG0000015	WHL22.206443.0.p1
OG0000015	WHL22.21762.1.p1
OG0000015	WHL22.228439.0.p1
OG0000015	WHL22.235683.0.p1
OG0000015	WHL22.235683.1.p1
OG0000015	WHL22.235692.2.p1
OG0000015	WHL22.235696.0.p1
OG0000015	WHL22.23571.0.p1
OG0000015	WHL22.244141.0.p1
OG0000015	WHL22.275189.0.p1
OG0000015	WHL22.275192.0.p1
OG0000015	WHL22.275396.0.p1
OG0000015	WHL22.297645.0.p1
OG0000015	WHL22.297648.0.p1
OG0000015	WHL22.363416.0.p1
OG0000015	WHL22.374795.0.p1
OG0000015	WHL22.431002.0.p1
OG0000015	WHL22.516940.0.p1
OG0000015	WHL22.539.0.p1
OG0000015	WHL22.539.1.p1
OG0000015	WHL22.594070.0.p1
OG0000015	WHL22.686644.0.p1
OG0000015	WHL22.715246.0.p1
OG0000015	WHL22.722741.0.p1
OG0000016	WHL22.124068.0.p1
OG0000016	WHL22.170385.0.p1
OG0000016	WHL22.175612.1.p1
OG0000016	WHL22.203682.0.p1
OG0000016	WHL22.203687.0.p1
OG0000016	WHL22.203687.1.p1
OG0000016	WHL22.210138.0.p1
OG0000016	WHL22.214967.0.p1
OG0000016	WHL22.235950.0.p1
OG0000016	WHL22.270953.0.p1
OG0000016	WHL22.270953.1.p1
OG0000016	WHL22.285611.0.p1
OG0000016	WHL22.364.0.p1
OG0000016	WHL22.364.1.p1
OG0000016	WHL22.364.2.p1
OG0000016	WHL22.511856.1.p1
OG0000016	WHL22.553702.0.p1
OG0000016	WHL22.580865.0.p1
OG0000016	WHL22.580865.1.p1
OG0000016	WHL22.61760.0.p1
OG0000016	WHL22.62327.0.p1
OG0000016	WHL22.62327.1.p1
OG0000016	WHL22.652480.0.p1
OG0000016	WHL22.725226.0.p1
OG0000016	WHL22.75475.0.p1
OG0000016	WHL22.758962.1.p1
OG0000016	WHL22.92092.0.p1
OG0000016	WHL22.92113.0.p1
OG0000017	WHL22.110354.0.p1
OG0000017	WHL22.111947.1.p1
OG0000017	WHL22.164664.0.p1
OG0000017	WHL22.170291.0.p1
OG0000017	WHL22.170303.0.p1
OG0000017	WHL22.207524.0.p1
OG0000017	WHL22.23780.0.p1
OG0000017	WHL22.248959.0.p1
OG0000017	WHL22.248959.1.p1
OG0000017	WHL22.297310.0.p1
OG0000017	WHL22.297695.0.p1
OG0000017	WHL22.325715.0.p1
OG0000017	WHL22.325715.1.p1
OG0000017	WHL22.325715.2.p1
OG0000017	WHL22.341713.0.p1
OG0000017	WHL22.341725.0.p1
OG0000017	WHL22.342244.1.p1
OG0000017	WHL22.342404.0.p1
OG0000017	WHL22.369984.1.p1
OG0000017	WHL22.376990.0.p1
OG0000017	WHL22.389810.0.p1
OG0000017	WHL22.389831.1.p1
OG0000017	WHL22.405872.0.p1
OG0000017	WHL22.405872.1.p1
OG0000017	WHL22.412515.1.p1
OG0000017	WHL22.429044.0.p1
OG0000017	WHL22.438804.0.p1
OG0000017	WHL22.490450.0.p1
OG0000017	WHL22.491253.0.p1
OG0000017	WHL22.519741.4.p1
OG0000017	WHL22.530971.0.p1
OG0000017	WHL22.534656.0.p1
OG0000017	WHL22.611079.0.p1
OG0000017	WHL22.612393.1.p1
OG0000017	WHL22.616.0.p1
OG0000017	WHL22.616.1.p1
OG0000017	WHL22.637.0.p1
OG0000017	WHL22.65430.0.p1
OG0000017	WHL22.65430.1.p1
OG0000017	WHL22.684742.0.p1
OG0000017	WHL22.9441.1.p2
OG0000017	WHL22.9441.2.p1
OG0000017	WHL22.96277.0.p1
OG0000017	WHL22.96277.1.p1
OG0000017	WHL22.96277.2.p1
OG0000021	WHL22.113635.0.p1
OG0000021	WHL22.185393.0.p1
OG0000021	WHL22.199873.0.p1
OG0000021	WHL22.199873.1.p1
OG0000021	WHL22.199873.2.p1
OG0000021	WHL22.208214.0.p1
OG0000021	WHL22.208214.1.p1
OG0000021	WHL22.208214.2.p1
OG0000021	WHL22.208214.3.p1
OG0000021	WHL22.208214.4.p1
OG0000021	WHL22.208214.5.p1
OG0000021	WHL22.21534.0.p1
OG0000021	WHL22.255798.0.p1
OG0000021	WHL22.255798.1.p1
OG0000021	WHL22.255831.1.p1
OG0000021	WHL22.284074.0.p2
OG0000021	WHL22.320488.0.p1
OG0000021	WHL22.330549.0.p1
OG0000021	WHL22.330572.1.p1
OG0000021	WHL22.37570.0.p1
OG0000021	WHL22.416979.0.p1
OG0000021	WHL22.416979.1.p1
OG0000021	WHL22.428445.0.p1
OG0000021	WHL22.428445.1.p1
OG0000021	WHL22.446566.0.p1
OG0000021	WHL22.45789.0.p1
OG0000021	WHL22.45789.1.p1
OG0000021	WHL22.461756.0.p1
OG0000021	WHL22.483404.0.p1
OG0000021	WHL22.49452.0.p1
OG0000021	WHL22.538837.2.p1
OG0000021	WHL22.552532.0.p1
OG0000021	WHL22.569278.1.p1
OG0000021	WHL22.575487.0.p1
OG0000021	WHL22.629609.0.p1
OG0000021	WHL22.644074.0.p1
OG0000021	WHL22.665026.0.p1
OG0000021	WHL22.684039.0.p1
OG0000021	WHL22.684042.0.p1
OG0000021	WHL22.684042.1.p1
OG0000021	WHL22.686424.0.p1
OG0000021	WHL22.686424.1.p1
OG0000021	WHL22.741188.0.p1
OG0000021	WHL22.741188.1.p1
OG0000021	WHL22.741188.3.p1
OG0000021	WHL22.751020.0.p1
OG0000021	WHL22.758222.0.p1
OG0000021	WHL22.86910.0.p1
OG0000021	WHL22.9177.0.p1
OG0000023	WHL22.158544.0.p1
OG0000023	WHL22.158544.4.p1
OG0000023	WHL22.169144.1.p1
OG0000023	WHL22.229405.0.p1
OG0000023	WHL22.229420.0.p1
OG0000023	WHL22.229420.2.p1
OG0000023	WHL22.317502.0.p2
OG0000023	WHL22.363064.0.p1
OG0000023	WHL22.373186.0.p1
OG0000023	WHL22.37764.1.p1
OG0000023	WHL22.377810.0.p1
OG0000023	WHL22.377810.4.p1
OG0000023	WHL22.377810.5.p1
OG0000023	WHL22.398621.0.p1
OG0000023	WHL22.400842.0.p1
OG0000023	WHL22.414905.0.p1
OG0000023	WHL22.414905.1.p1
OG0000023	WHL22.461785.0.p1
OG0000023	WHL22.461791.1.p1
OG0000023	WHL22.480289.0.p1
OG0000023	WHL22.490249.0.p1
OG0000023	WHL22.494709.0.p1
OG0000023	WHL22.494713.0.p1
OG0000023	WHL22.496950.4.p1
OG0000023	WHL22.511760.0.p1
OG0000023	WHL22.534254.0.p1
OG0000023	WHL22.545455.0.p1
OG0000023	WHL22.566820.0.p1
OG0000023	WHL22.566820.1.p1
OG0000023	WHL22.566820.2.p1
OG0000023	WHL22.581027.0.p1
OG0000023	WHL22.581027.1.p1
OG0000023	WHL22.581027.2.p1
OG0000023	WHL22.581027.3.p1
OG0000023	WHL22.581027.4.p1
OG0000023	WHL22.581027.5.p1
OG0000023	WHL22.602224.0.p1
OG0000023	WHL22.604746.0.p1
OG0000023	WHL22.697314.0.p1
OG0000023	WHL22.707314.1.p1
OG0000023	WHL22.707354.0.p1
OG0000023	WHL22.76237.0.p1
OG0000023	WHL22.76308.0.p1
OG0000029	WHL22.266138.0.p1
OG0000029	WHL22.314115.0.p1
OG0000029	WHL22.374495.0.p1
OG0000029	WHL22.374498.0.p1
OG0000029	WHL22.603495.0.p1
OG0000029	WHL22.603495.1.p1
OG0000029	WHL22.617358.0.p1
OG0000029	WHL22.627067.0.p1
OG0000029	WHL22.642735.0.p1
OG0000029	WHL22.642738.0.p1
OG0000029	WHL22.642738.1.p1
OG0000029	WHL22.642766.0.p1
OG0000029	WHL22.642766.1.p1
OG0000029	WHL22.642784.0.p1
OG0000029	WHL22.9804.0.p1
OG0000030	WHL22.100781.0.p1
OG0000030	WHL22.107072.0.p1
OG0000030	WHL22.107072.1.p1
OG0000030	WHL22.107072.2.p1
OG0000030	WHL22.107072.3.p1
OG0000030	WHL22.107072.4.p1
OG0000030	WHL22.113894.1.p1
OG0000030	WHL22.113915.0.p1
OG0000030	WHL22.113915.2.p1
OG0000030	WHL22.113960.0.p1
OG0000030	WHL22.13156.0.p1
OG0000030	WHL22.163038.0.p1
OG0000030	WHL22.201246.0.p1
OG0000030	WHL22.214378.0.p1
OG0000030	WHL22.214378.1.p1
OG0000030	WHL22.214383.0.p1
OG0000030	WHL22.221374.0.p1
OG0000030	WHL22.221377.0.p1
OG0000030	WHL22.241548.0.p1
OG0000030	WHL22.258197.0.p1
OG0000030	WHL22.289883.0.p1
OG0000030	WHL22.295528.0.p1
OG0000030	WHL22.300245.0.p1
OG0000030	WHL22.349362.0.p1
OG0000030	WHL22.349363.1.p1
OG0000030	WHL22.349373.0.p1
OG0000030	WHL22.349381.0.p1
OG0000030	WHL22.351221.0.p1
OG0000030	WHL22.374389.0.p1
OG0000030	WHL22.374413.0.p1
OG0000030	WHL22.450555.0.p2
OG0000030	WHL22.450555.0.p3
OG0000030	WHL22.4880.0.p1
OG0000030	WHL22.536230.0.p1
OG0000030	WHL22.549276.0.p1
OG0000030	WHL22.632239.0.p1
OG0000030	WHL22.65855.0.p1
OG0000030	WHL22.65858.0.p1
OG0000030	WHL22.65858.1.p1
OG0000030	WHL22.688526.0.p1
OG0000030	WHL22.704470.1.p1
OG0000030	WHL22.704480.0.p1
OG0000030	WHL22.70652.0.p1
OG0000030	WHL22.74740.0.p1
OG0000030	WHL22.749272.1.p1
OG0000030	WHL22.749272.2.p1
OG0000030	WHL22.749310.0.p1
OG0000030	WHL22.749310.1.p1
OG0000030	WHL22.769707.0.p1
OG0000030	WHL22.769710.0.p1
OG0000031	WHL22.150931.0.p1
OG0000031	WHL22.393089.2.p1
OG0000031	WHL22.393089.3.p1
OG0000031	WHL22.41456.0.p1
OG0000031	WHL22.41456.1.p1
OG0000031	WHL22.430686.0.p1
OG0000031	WHL22.430686.1.p1
OG0000031	WHL22.45290.0.p1
OG0000031	WHL22.538252.0.p1
OG0000031	WHL22.565504.1.p1
OG0000031	WHL22.565504.2.p1
OG0000031	WHL22.613616.0.p1
OG0000031	WHL22.613617.1.p1
OG0000031	WHL22.652900.1.p1
OG0000031	WHL22.652900.2.p1
OG0000031	WHL22.734061.0.p1
OG0000031	WHL22.757771.0.p1
OG0000033	WHL22.112616.0.p1
OG0000033	WHL22.145103.0.p1
OG0000033	WHL22.145103.1.p1
OG0000033	WHL22.233656.0.p1
OG0000033	WHL22.263631.0.p1
OG0000033	WHL22.331647.0.p1
OG0000033	WHL22.337666.0.p1
OG0000033	WHL22.337666.1.p1
OG0000033	WHL22.337666.2.p1
OG0000033	WHL22.349513.2.p1
OG0000033	WHL22.374560.0.p1
OG0000033	WHL22.420859.0.p1
OG0000033	WHL22.46798.1.p1
OG0000033	WHL22.470778.0.p1
OG0000033	WHL22.470778.1.p1
OG0000033	WHL22.501363.0.p1
OG0000033	WHL22.581404.0.p1
OG0000033	WHL22.612515.0.p1
OG0000033	WHL22.612515.1.p1
OG0000033	WHL22.612518.0.p1
OG0000033	WHL22.612521.0.p1
OG0000033	WHL22.619797.0.p1
OG0000033	WHL22.619797.1.p1
OG0000033	WHL22.694887.0.p1
OG0000033	WHL22.739969.0.p1
OG0000033	WHL22.739969.1.p1
OG0000033	WHL22.748368.0.p1
OG0000033	WHL22.748368.1.p1
OG0000033	WHL22.766523.0.p1
OG0000033	WHL22.766523.1.p1
OG0000033	WHL22.8022.0.p1
OG0000036	WHL22.134213.0.p1
OG0000036	WHL22.186660.2.p1
OG0000036	WHL22.249523.0.p1
OG0000036	WHL22.277630.0.p1
OG0000036	WHL22.286934.0.p1
OG0000036	WHL22.302399.0.p1
OG0000036	WHL22.302410.0.p1
OG0000036	WHL22.357718.0.p1
OG0000036	WHL22.357718.1.p1
OG0000036	WHL22.486796.0.p1
OG0000036	WHL22.490216.0.p1
OG0000036	WHL22.523959.0.p1
OG0000036	WHL22.523959.1.p1
OG0000036	WHL22.523971.0.p1
OG0000036	WHL22.531818.0.p1
OG0000036	WHL22.532435.0.p1
OG0000036	WHL22.532435.1.p1
OG0000036	WHL22.532435.2.p1
OG0000036	WHL22.532435.3.p1
OG0000036	WHL22.535609.0.p1
OG0000036	WHL22.568711.0.p1
OG0000036	WHL22.585512.0.p1
OG0000036	WHL22.585629.1.p1
OG0000036	WHL22.585629.3.p1
OG0000036	WHL22.585629.5.p1
OG0000036	WHL22.632079.2.p1
OG0000036	WHL22.698752.0.p1
OG0000036	WHL22.698752.1.p1
OG0000036	WHL22.731056.0.p1
OG0000036	WHL22.731056.1.p1
OG0000036	WHL22.731149.0.p1
OG0000038	WHL22.123729.0.p1
OG0000038	WHL22.147393.0.p1
OG0000038	WHL22.147393.1.p1
OG0000038	WHL22.147393.4.p1
OG0000038	WHL22.17652.0.p1
OG0000038	WHL22.17652.1.p1
OG0000038	WHL22.17652.2.p1
OG0000038	WHL22.303764.0.p1
OG0000038	WHL22.303764.1.p1
OG0000038	WHL22.303764.2.p1
OG0000038	WHL22.510169.0.p1
OG0000038	WHL22.588912.0.p1
OG0000038	WHL22.588915.0.p1
OG0000038	WHL22.600689.0.p1
OG0000038	WHL22.668117.0.p1
OG0000038	WHL22.751761.0.p1
OG0000040	WHL22.197560.1.p1
OG0000040	WHL22.21219.0.p1
OG0000040	WHL22.21219.1.p1
OG0000040	WHL22.33694.0.p1
OG0000040	WHL22.393377.0.p1
OG0000040	WHL22.404995.0.p1
OG0000040	WHL22.404995.1.p1
OG0000040	WHL22.412701.0.p1
OG0000040	WHL22.412701.1.p1
OG0000040	WHL22.483478.0.p1
OG0000040	WHL22.645661.0.p1
OG0000040	WHL22.763547.0.p1
OG0000040	WHL22.763550.0.p1
OG0000040	WHL22.767955.0.p2
OG0000040	WHL22.78658.0.p1
OG0000045	WHL22.112420.0.p1
OG0000045	WHL22.221547.0.p1
OG0000045	WHL22.221547.1.p1
OG0000045	WHL22.286588.0.p1
OG0000045	WHL22.286588.2.p1
OG0000045	WHL22.325787.0.p1
OG0000045	WHL22.446108.0.p1
OG0000045	WHL22.446108.3.p1
OG0000045	WHL22.446108.4.p1
OG0000045	WHL22.472539.0.p1
OG0000045	WHL22.493070.2.p1
OG0000045	WHL22.51669.0.p1
OG0000045	WHL22.530620.1.p1
OG0000045	WHL22.73840.0.p1
OG0000046	WHL22.170162.0.p1
OG0000046	WHL22.223236.0.p1
OG0000046	WHL22.471125.0.p1
OG0000046	WHL22.471125.2.p1
OG0000046	WHL22.471125.3.p1
OG0000046	WHL22.471134.0.p1
OG0000046	WHL22.521653.2.p1
OG0000046	WHL22.57305.1.p1
OG0000046	WHL22.57305.2.p1
OG0000046	WHL22.57308.0.p1
OG0000046	WHL22.57308.1.p1
OG0000046	WHL22.57308.2.p1
OG0000046	WHL22.57377.0.p1
OG0000046	WHL22.57377.1.p1
OG0000046	WHL22.741594.0.p1
OG0000046	WHL22.741597.0.p1
OG0000047	WHL22.248265.0.p1
OG0000047	WHL22.405695.0.p1
OG0000047	WHL22.405707.0.p1
OG0000047	WHL22.627871.0.p1
OG0000048	WHL22.19754.2.p1
OG0000048	WHL22.27348.0.p1
OG0000048	WHL22.289679.0.p1
OG0000048	WHL22.305559.2.p1
OG0000048	WHL22.335711.0.p1
OG0000048	WHL22.335711.1.p1
OG0000048	WHL22.340088.0.p1
OG0000048	WHL22.340088.1.p1
OG0000048	WHL22.340094.0.p1
OG0000048	WHL22.39154.0.p1
OG0000048	WHL22.39154.1.p1
OG0000048	WHL22.420656.0.p1
OG0000048	WHL22.45058.0.p1
OG0000048	WHL22.451898.0.p1
OG0000048	WHL22.451898.1.p1
OG0000048	WHL22.456971.0.p1
OG0000048	WHL22.483137.0.p1
OG0000048	WHL22.497170.0.p1
OG0000048	WHL22.509490.2.p1
OG0000048	WHL22.594962.0.p2
OG0000048	WHL22.628574.0.p1
OG0000048	WHL22.66532.0.p1
OG0000048	WHL22.67000.0.p1
OG0000049	WHL22.224553.0.p1
OG0000049	WHL22.239206.0.p1
OG0000049	WHL22.248523.1.p1
OG0000049	WHL22.248523.1.p2
OG0000049	WHL22.276034.0.p1
OG0000049	WHL22.277177.0.p1
OG0000049	WHL22.286861.0.p1
OG0000049	WHL22.286861.2.p1
OG0000049	WHL22.297313.0.p1
OG0000049	WHL22.299081.2.p1
OG0000049	WHL22.299081.3.p2
OG0000049	WHL22.299082.0.p1
OG0000049	WHL22.32546.0.p1
OG0000049	WHL22.333340.0.p1
OG0000049	WHL22.51997.0.p1
OG0000049	WHL22.547240.0.p1
OG0000049	WHL22.547240.2.p1
OG0000049	WHL22.547240.3.p1
OG0000049	WHL22.571117.0.p1
OG0000049	WHL22.58803.0.p1
OG0000049	WHL22.621576.0.p1
OG0000049	WHL22.645392.0.p1
OG0000049	WHL22.652245.0.p1
OG0000049	WHL22.656530.0.p1
OG0000049	WHL22.656530.1.p1
OG0000049	WHL22.656530.2.p1
OG0000049	WHL22.686707.0.p1
OG0000049	WHL22.701543.0.p1
OG0000049	WHL22.72941.0.p1
OG0000049	WHL22.738718.0.p1
OG0000049	WHL22.90812.0.p1
OG0000052	WHL22.264222.0.p1
OG0000052	WHL22.264222.1.p1
OG0000052	WHL22.264222.2.p1
OG0000052	WHL22.264222.3.p1
OG0000052	WHL22.264222.4.p1
OG0000052	WHL22.334435.0.p1
OG0000052	WHL22.334435.1.p1
OG0000052	WHL22.334435.2.p1
OG0000052	WHL22.543989.0.p1
OG0000052	WHL22.543989.1.p1
OG0000052	WHL22.543989.2.p1
OG0000052	WHL22.543989.3.p1
OG0000052	WHL22.543989.4.p1
OG0000052	WHL22.566526.0.p1
OG0000052	WHL22.566526.1.p1
OG0000052	WHL22.624691.0.p1
OG0000052	WHL22.731445.0.p1
OG0000055	WHL22.250190.0.p1
OG0000055	WHL22.250190.1.p1
OG0000055	WHL22.381253.0.p1
OG0000055	WHL22.381253.1.p1
OG0000055	WHL22.381275.0.p1
OG0000055	WHL22.381275.1.p1
OG0000055	WHL22.389562.1.p1
OG0000055	WHL22.389562.2.p1
OG0000055	WHL22.403825.0.p1
OG0000055	WHL22.403825.1.p1
OG0000055	WHL22.403874.1.p1
OG0000055	WHL22.492535.0.p1
OG0000055	WHL22.492535.1.p1
OG0000055	WHL22.511497.0.p1
OG0000055	WHL22.511497.2.p1
OG0000055	WHL22.517725.3.p1
OG0000055	WHL22.517735.1.p1
OG0000055	WHL22.517738.0.p1
OG0000055	WHL22.517738.1.p1
OG0000055	WHL22.524282.2.p1
OG0000055	WHL22.549065.0.p2
OG0000055	WHL22.661505.0.p1
OG0000055	WHL22.661507.0.p1
OG0000055	WHL22.668613.0.p1
OG0000055	WHL22.89141.0.p1
OG0000055	WHL22.89422.0.p1
OG0000055	WHL22.89422.1.p1
OG0000055	WHL22.89422.2.p1
OG0000055	WHL22.89422.3.p1
OG0000055	WHL22.89422.4.p1
OG0000055	WHL22.89422.5.p1
OG0000058	WHL22.102196.0.p1
OG0000058	WHL22.110836.0.p1
OG0000058	WHL22.110836.1.p1
OG0000058	WHL22.110857.0.p1
OG0000058	WHL22.153028.0.p1
OG0000058	WHL22.153028.1.p1
OG0000058	WHL22.157255.0.p1
OG0000058	WHL22.157255.1.p1
OG0000058	WHL22.181114.0.p1
OG0000058	WHL22.20848.1.p1
OG0000058	WHL22.212267.0.p1
OG0000058	WHL22.334570.0.p1
OG0000058	WHL22.368168.0.p1
OG0000058	WHL22.368188.0.p1
OG0000058	WHL22.377067.0.p1
OG0000058	WHL22.462484.0.p1
OG0000058	WHL22.464461.0.p1
OG0000058	WHL22.464461.2.p1
OG0000058	WHL22.492853.0.p1
OG0000058	WHL22.600469.0.p1
OG0000058	WHL22.604172.0.p1
OG0000058	WHL22.614562.0.p1
OG0000058	WHL22.633508.0.p1
OG0000058	WHL22.647059.0.p1
OG0000058	WHL22.687928.0.p1
OG0000058	WHL22.687989.0.p1
OG0000058	WHL22.687989.1.p1
OG0000058	WHL22.747737.0.p1
OG0000058	WHL22.77314.0.p1
OG0000058	WHL22.78505.0.p1
OG0000058	WHL22.89710.0.p1
