Orthogroup	Sdes_TRX
OG0000015	Sdes_comp17799_c0_seq1m7061
OG0000016	Sdes_comp10666_c0_seq1m2359
OG0000016	Sdes_comp11551_c0_seq1m2777
OG0000016	Sdes_comp15063_c0_seq1m3842
OG0000016	Sdes_comp15787_c1_seq1m4855
OG0000016	Sdes_comp16381_c0_seq1m5736
OG0000016	Sdes_comp16621_c0_seq1m5924
OG0000016	Sdes_comp16719_c0_seq1m6005
OG0000016	Sdes_comp17985_c1_seq1m7248
OG0000016	Sdes_comp18751_c0_seq1m9129
OG0000016	Sdes_comp18799_c0_seq1m9216
OG0000016	Sdes_comp18799_c0_seq2m9217
OG0000016	Sdes_comp18886_c0_seq1m9321
OG0000016	Sdes_comp20828_c0_seq1m17417
OG0000016	Sdes_comp21685_c0_seq1m20262
OG0000016	Sdes_comp22043_c0_seq1m20576
OG0000016	Sdes_comp22052_c0_seq1m20584
OG0000016	Sdes_comp23710_c0_seq1m21882
OG0000016	Sdes_comp23710_c0_seq1m21883
OG0000016	Sdes_comp26280_c0_seq1m22924
OG0000016	Sdes_comp8786_c0_seq1m165
OG0000016	Sdes_comp9417_c0_seq1m880
OG0000016	Sdes_comp9559_c0_seq1m1033
OG0000016	Sdes_comp9559_c0_seq2m1034
OG0000016	Sdes_comp9559_c0_seq2m1035
OG0000021	Sdes_comp18720_c0_seq1m9047
OG0000021	Sdes_comp20794_c0_seq1m17034
OG0000021	Sdes_comp22356_c0_seq1m20837
OG0000021	Sdes_comp22357_c0_seq1m20838
OG0000021	Sdes_comp23061_c0_seq1m21399
OG0000023	Sdes_comp10273_c0_seq1m1907
OG0000023	Sdes_comp16932_c0_seq1m6142
OG0000023	Sdes_comp17120_c0_seq1m6282
OG0000023	Sdes_comp17611_c0_seq1m6872
OG0000023	Sdes_comp17888_c0_seq1m7154
OG0000023	Sdes_comp19510_c0_seq1m11064
OG0000023	Sdes_comp20362_c0_seq1m14159
OG0000023	Sdes_comp20586_c2_seq3m15542
OG0000023	Sdes_comp20586_c2_seq4m15544
OG0000023	Sdes_comp20586_c2_seq5m15546
OG0000023	Sdes_comp23884_c0_seq1m22012
OG0000023	Sdes_comp8910_c0_seq1m317
OG0000023	Sdes_comp9600_c0_seq1m1083
OG0000023	Sdes_comp9601_c0_seq1m1084
OG0000029	Sdes_comp10363_c0_seq1m2014
OG0000029	Sdes_comp12026_c0_seq1m2919
OG0000029	Sdes_comp18002_c0_seq1m7271
OG0000029	Sdes_comp19286_c0_seq1m10326
OG0000029	Sdes_comp20295_c0_seq1m13894
OG0000029	Sdes_comp20295_c0_seq2m13897
OG0000029	Sdes_comp20725_c2_seq1m16512
OG0000029	Sdes_comp20766_c0_seq1m16779
OG0000029	Sdes_comp21223_c0_seq1m19876
OG0000029	Sdes_comp22104_c0_seq1m20637
OG0000029	Sdes_comp22753_c0_seq1m21157
OG0000029	Sdes_comp8826_c0_seq1m211
OG0000031	Sdes_comp14216_c0_seq1m3428
OG0000031	Sdes_comp19479_c0_seq1m10958
OG0000031	Sdes_comp19479_c0_seq4m10963
OG0000031	Sdes_comp20054_c0_seq1m12925
OG0000031	Sdes_comp20908_c0_seq1m18140
OG0000031	Sdes_comp20908_c0_seq2m18144
OG0000031	Sdes_comp20908_c0_seq3m18147
OG0000031	Sdes_comp20908_c0_seq4m18149
OG0000031	Sdes_comp24454_c0_seq1m22371
OG0000031	Sdes_comp24890_c0_seq1m22580
OG0000031	Sdes_comp9896_c0_seq1m1434
OG0000033	Sdes_comp10141_c0_seq1m1754
OG0000033	Sdes_comp10141_c0_seq2m1755
OG0000038	Sdes_comp10476_c0_seq1m2179
OG0000038	Sdes_comp11617_c0_seq1m2792
OG0000038	Sdes_comp22755_c0_seq1m21160
OG0000038	Sdes_comp23764_c0_seq1m21930
OG0000038	Sdes_comp9006_c0_seq1m427
OG0000040	Sdes_comp11294_c0_seq1m2738
OG0000040	Sdes_comp13259_c0_seq1m3124
OG0000040	Sdes_comp15409_c0_seq1m4287
OG0000040	Sdes_comp15429_c0_seq1m4325
OG0000040	Sdes_comp17360_c0_seq1m6566
OG0000040	Sdes_comp22585_c0_seq1m21009
OG0000040	Sdes_comp22593_c0_seq1m21017
OG0000040	Sdes_comp23065_c0_seq1m21403
OG0000040	Sdes_comp9260_c0_seq1m738
OG0000045	Sdes_comp11961_c0_seq1m2911
OG0000045	Sdes_comp13329_c0_seq1m3141
OG0000045	Sdes_comp19521_c0_seq1m11097
OG0000045	Sdes_comp19521_c0_seq2m11098
OG0000046	Sdes_comp14407_c0_seq1m3475
OG0000046	Sdes_comp15757_c0_seq1m4812
OG0000046	Sdes_comp15757_c0_seq2m4815
OG0000046	Sdes_comp18413_c0_seq1m8261
OG0000046	Sdes_comp18413_c0_seq2m8262
OG0000046	Sdes_comp19714_c0_seq1m11652
OG0000046	Sdes_comp19714_c0_seq2m11655
OG0000046	Sdes_comp22405_c0_seq1m20866
OG0000048	Sdes_comp16173_c0_seq1m5420
OG0000048	Sdes_comp16906_c0_seq1m6119
OG0000048	Sdes_comp17696_c0_seq1m6963
OG0000048	Sdes_comp17696_c1_seq1m6964
OG0000048	Sdes_comp18778_c0_seq1m9182
OG0000048	Sdes_comp19951_c0_seq1m12456
OG0000048	Sdes_comp20154_c0_seq1m13293
OG0000048	Sdes_comp20666_c0_seq1m15999
OG0000048	Sdes_comp20746_c0_seq1m16635
OG0000048	Sdes_comp20746_c0_seq2m16636
OG0000048	Sdes_comp20746_c0_seq3m16637
OG0000048	Sdes_comp20746_c0_seq4m16638
OG0000048	Sdes_comp20746_c0_seq5m16639
OG0000048	Sdes_comp20746_c0_seq6m16642
OG0000048	Sdes_comp24943_c0_seq1m22606
OG0000048	Sdes_comp8975_c0_seq1m392
OG0000052	Sdes_comp20677_c0_seq11m16121
OG0000052	Sdes_comp20677_c0_seq1m16111
OG0000052	Sdes_comp20677_c0_seq2m16112
OG0000052	Sdes_comp20677_c0_seq3m16113
OG0000052	Sdes_comp20677_c0_seq4m16114
OG0000052	Sdes_comp20677_c0_seq5m16115
OG0000052	Sdes_comp20677_c0_seq6m16116
OG0000052	Sdes_comp20677_c0_seq7m16117
OG0000052	Sdes_comp20677_c0_seq8m16118
OG0000052	Sdes_comp20677_c0_seq8m16119
OG0000052	Sdes_comp20677_c0_seq9m16120
OG0000052	Sdes_comp22398_c0_seq1m20864
OG0000055	Sdes_comp15070_c0_seq1m3856
OG0000055	Sdes_comp16496_c0_seq1m5815
OG0000055	Sdes_comp17403_c0_seq1m6617
OG0000055	Sdes_comp18338_c0_seq1m8072
OG0000055	Sdes_comp21055_c0_seq1m19745
OG0000055	Sdes_comp21531_c0_seq1m20141
OG0000058	Sdes_comp13556_c0_seq1m3231
OG0000058	Sdes_comp13556_c0_seq2m3233
OG0000058	Sdes_comp19544_c0_seq1m11161
OG0000058	Sdes_comp20587_c0_seq1m15548
OG0000058	Sdes_comp20587_c0_seq1m15549
OG0000058	Sdes_comp20587_c0_seq2m15550
OG0000058	Sdes_comp20587_c0_seq3m15551
OG0000058	Sdes_comp20587_c0_seq3m15552
OG0000058	Sdes_comp20587_c0_seq4m15554
OG0000059	Sdes_comp15972_c0_seq1m5126
OG0000059	Sdes_comp23361_c0_seq1m21624
OG0000063	Sdes_comp18382_c0_seq1m8193
OG0000063	Sdes_comp18382_c0_seq3m8194
OG0000063	Sdes_comp18382_c0_seq4m8196
OG0000063	Sdes_comp18382_c0_seq5m8198
OG0000063	Sdes_comp24848_c0_seq1m22563
OG0000066	Sdes_comp18776_c1_seq1m9177
OG0000066	Sdes_comp20482_c0_seq10m14829
OG0000066	Sdes_comp20482_c0_seq11m14831
OG0000066	Sdes_comp20482_c0_seq12m14832
OG0000066	Sdes_comp20482_c0_seq1m14816
OG0000066	Sdes_comp20482_c0_seq2m14818
OG0000066	Sdes_comp20482_c0_seq3m14819
OG0000066	Sdes_comp20482_c0_seq4m14820
OG0000066	Sdes_comp20482_c0_seq5m14822
OG0000066	Sdes_comp20482_c0_seq6m14823
OG0000066	Sdes_comp20482_c0_seq7m14825
OG0000066	Sdes_comp20482_c0_seq8m14827
OG0000066	Sdes_comp20482_c0_seq9m14828
OG0000066	Sdes_comp20667_c0_seq1m16002
OG0000066	Sdes_comp20667_c0_seq3m16006
OG0000066	Sdes_comp22237_c0_seq1m20731
OG0000067	Sdes_comp19457_c0_seq1m10881
OG0000067	Sdes_comp21067_c0_seq1m19757
OG0000067	Sdes_comp9420_c0_seq1m882
OG0000069	Sdes_comp14742_c0_seq1m3562
OG0000069	Sdes_comp15798_c0_seq1m4863
OG0000069	Sdes_comp15798_c0_seq2m4865
OG0000069	Sdes_comp15798_c0_seq3m4867
OG0000069	Sdes_comp22081_c0_seq1m20612
OG0000072	Sdes_comp18167_c0_seq1m7674
OG0000072	Sdes_comp18167_c0_seq2m7676
OG0000072	Sdes_comp8988_c0_seq1m403
OG0000076	Sdes_comp15556_c0_seq1m4522
OG0000076	Sdes_comp18035_c0_seq1m7357
OG0000076	Sdes_comp18035_c0_seq3m7358
OG0000076	Sdes_comp18035_c0_seq4m7359
OG0000076	Sdes_comp19926_c0_seq1m12364
OG0000076	Sdes_comp19926_c0_seq2m12365
OG0000076	Sdes_comp19926_c0_seq3m12366
OG0000076	Sdes_comp19926_c0_seq4m12367
OG0000076	Sdes_comp20684_c0_seq1m16189
OG0000076	Sdes_comp20684_c0_seq5m16198
OG0000076	Sdes_comp20684_c0_seq7m16203
OG0000076	Sdes_comp20684_c0_seq8m16206
OG0000076	Sdes_comp9997_c0_seq1m1579
OG0000076	Sdes_comp9997_c0_seq2m1580
OG0000077	Sdes_comp16306_c0_seq1m5661
OG0000077	Sdes_comp16455_c0_seq1m5787
OG0000077	Sdes_comp19549_c0_seq1m11193
OG0000077	Sdes_comp19919_c0_seq1m12344
OG0000077	Sdes_comp20075_c0_seq1m12984
OG0000077	Sdes_comp20984_c0_seq1m19428
OG0000077	Sdes_comp20984_c0_seq2m19437
OG0000077	Sdes_comp20984_c0_seq4m19447
OG0000077	Sdes_comp20984_c0_seq5m19455
OG0000077	Sdes_comp20984_c0_seq6m19464
OG0000077	Sdes_comp20984_c0_seq7m19472
OG0000077	Sdes_comp20984_c0_seq8m19481
OG0000077	Sdes_comp20984_c0_seq9m19490
OG0000077	Sdes_comp21665_c0_seq1m20243
OG0000077	Sdes_comp24897_c0_seq1m22584
OG0000077	Sdes_comp26688_c0_seq1m22952
OG0000079	Sdes_comp18931_c0_seq1m9406
OG0000079	Sdes_comp20780_c0_seq1m16851
OG0000079	Sdes_comp20780_c0_seq2m16855
OG0000079	Sdes_comp20780_c0_seq3m16858
OG0000079	Sdes_comp20780_c0_seq4m16860
OG0000079	Sdes_comp21556_c0_seq1m20168
OG0000079	Sdes_comp23920_c0_seq1m22031
OG0000079	Sdes_comp8841_c0_seq1m229
OG0000079	Sdes_comp9809_c0_seq1m1341
OG0000083	Sdes_comp17440_c0_seq1m6665
OG0000084	Sdes_comp10076_c0_seq1m1672
OG0000084	Sdes_comp10076_c0_seq2m1673
OG0000084	Sdes_comp15915_c0_seq1m5046
OG0000084	Sdes_comp15915_c0_seq2m5047
OG0000086	Sdes_comp14495_c0_seq1m3502
OG0000086	Sdes_comp22284_c0_seq1m20771
OG0000086	Sdes_comp22857_c0_seq1m21236
OG0000086	Sdes_comp23221_c0_seq1m21511
OG0000086	Sdes_comp23613_c0_seq1m21809
OG0000086	Sdes_comp25179_c0_seq1m22687
OG0000086	Sdes_comp25624_c0_seq1m22819
OG0000086	Sdes_comp9542_c0_seq1m1017
OG0000087	Sdes_comp10372_c0_seq1m2027
OG0000087	Sdes_comp15764_c0_seq1m4827
OG0000087	Sdes_comp18147_c0_seq1m7628
OG0000087	Sdes_comp18147_c0_seq1m7629
OG0000087	Sdes_comp20497_c0_seq1m14944
OG0000087	Sdes_comp20497_c0_seq2m14945
OG0000087	Sdes_comp20497_c0_seq3m14947
OG0000087	Sdes_comp20497_c0_seq4m14949
OG0000087	Sdes_comp20497_c0_seq5m14950
OG0000087	Sdes_comp20497_c0_seq6m14951
OG0000087	Sdes_comp23223_c0_seq1m21513
OG0000087	Sdes_comp23224_c0_seq1m21515
OG0000087	Sdes_comp23837_c0_seq1m21980
OG0000088	Sdes_comp10342_c0_seq1m1988
OG0000088	Sdes_comp15344_c0_seq1m4210
OG0000089	Sdes_comp10707_c0_seq1m2393
OG0000089	Sdes_comp10707_c0_seq2m2394
OG0000089	Sdes_comp12225_c0_seq1m2963
OG0000089	Sdes_comp16073_c0_seq1m5281
OG0000090	Sdes_comp19335_c0_seq1m10509
OG0000090	Sdes_comp19335_c0_seq2m10511
OG0000090	Sdes_comp19335_c0_seq3m10515
OG0000090	Sdes_comp22103_c0_seq1m20635
OG0000090	Sdes_comp9353_c0_seq1m826
OG0000091	Sdes_comp23810_c0_seq1m21959
OG0000094	Sdes_comp12179_c0_seq1m2940
OG0000094	Sdes_comp14446_c0_seq1m3490
OG0000094	Sdes_comp16129_c0_seq1m5356
OG0000094	Sdes_comp16129_c1_seq1m5357
OG0000094	Sdes_comp16129_c1_seq2m5358
OG0000094	Sdes_comp16318_c0_seq1m5676
OG0000094	Sdes_comp18331_c0_seq1m8059
OG0000094	Sdes_comp19732_c0_seq1m11705
OG0000094	Sdes_comp22529_c0_seq1m20970
OG0000095	Sdes_comp16030_c0_seq1m5217
OG0000095	Sdes_comp18406_c1_seq1m8249
OG0000095	Sdes_comp19027_c0_seq1m9586
OG0000095	Sdes_comp19027_c1_seq1m9587
OG0000095	Sdes_comp20190_c0_seq1m13468
OG0000095	Sdes_comp20661_c0_seq1m15977
OG0000095	Sdes_comp20922_c0_seq1m18330
OG0000097	Sdes_comp10700_c0_seq1m2386
OG0000099	Sdes_comp15943_c0_seq1m5086
OG0000099	Sdes_comp18462_c0_seq1m8434
OG0000099	Sdes_comp8933_c0_seq1m351
OG0000099	Sdes_comp9270_c0_seq1m753
OG0000100	Sdes_comp16659_c0_seq1m5952
OG0000100	Sdes_comp19796_c0_seq1m11886
OG0000100	Sdes_comp19796_c0_seq2m11887
OG0000100	Sdes_comp21870_c0_seq1m20417
OG0000103	Sdes_comp16128_c0_seq1m5355
OG0000103	Sdes_comp17011_c0_seq1m6215
OG0000103	Sdes_comp19003_c0_seq1m9546
OG0000103	Sdes_comp19874_c0_seq1m12168
OG0000103	Sdes_comp20891_c0_seq1m18015
OG0000103	Sdes_comp20891_c0_seq3m18019
OG0000103	Sdes_comp8809_c0_seq1m195
OG0000106	Sdes_comp11575_c0_seq1m2781
OG0000106	Sdes_comp11713_c0_seq1m2816
OG0000106	Sdes_comp11878_c0_seq1m2892
OG0000106	Sdes_comp16100_c2_seq1m5317
OG0000106	Sdes_comp16695_c0_seq1m5981
OG0000106	Sdes_comp16937_c0_seq1m6153
OG0000106	Sdes_comp17988_c0_seq1m7251
OG0000106	Sdes_comp18882_c0_seq1m9316
OG0000106	Sdes_comp20494_c0_seq1m14926
OG0000106	Sdes_comp20494_c0_seq2m14927
OG0000106	Sdes_comp20494_c0_seq3m14928
OG0000106	Sdes_comp20494_c0_seq4m14932
OG0000106	Sdes_comp22421_c0_seq1m20875
OG0000106	Sdes_comp23819_c0_seq1m21969
OG0000106	Sdes_comp25403_c0_seq1m22762
OG0000107	Sdes_comp15232_c0_seq1m4061
OG0000107	Sdes_comp16011_c0_seq1m5194
OG0000107	Sdes_comp16321_c0_seq1m5683
OG0000107	Sdes_comp16689_c0_seq1m5975
OG0000107	Sdes_comp18653_c0_seq1m8875
OG0000107	Sdes_comp24194_c0_seq1m22214
OG0000108	Sdes_comp15864_c0_seq1m4957
OG0000108	Sdes_comp16508_c0_seq1m5824
OG0000108	Sdes_comp22366_c0_seq1m20841
OG0000108	Sdes_comp22578_c0_seq1m21002
OG0000108	Sdes_comp23942_c0_seq1m22046
OG0000111	Sdes_comp14451_c0_seq2m3491
OG0000111	Sdes_comp16432_c0_seq1m5772
OG0000111	Sdes_comp16432_c0_seq2m5773
OG0000111	Sdes_comp20276_c0_seq1m13828
OG0000111	Sdes_comp23058_c0_seq1m21395
OG0000116	Sdes_comp17656_c0_seq1m6926
OG0000116	Sdes_comp22794_c0_seq1m21191
OG0000116	Sdes_comp23165_c0_seq1m21466
OG0000117	Sdes_comp10375_c0_seq1m2029
OG0000117	Sdes_comp19419_c0_seq1m10771
OG0000117	Sdes_comp19419_c0_seq2m10774
OG0000117	Sdes_comp19908_c0_seq1m12311
OG0000117	Sdes_comp19908_c0_seq2m12315
OG0000117	Sdes_comp19908_c0_seq3m12317
OG0000117	Sdes_comp19908_c0_seq4m12319
OG0000117	Sdes_comp19908_c0_seq5m12320
OG0000117	Sdes_comp20668_c1_seq1m16012
OG0000117	Sdes_comp20668_c1_seq2m16016
OG0000118	Sdes_comp10086_c0_seq1m1685
OG0000118	Sdes_comp10087_c0_seq1m1686
OG0000118	Sdes_comp20812_c0_seq1m17227
OG0000118	Sdes_comp20812_c0_seq2m17228
OG0000118	Sdes_comp20812_c0_seq2m17229
OG0000118	Sdes_comp22163_c0_seq1m20678
OG0000118	Sdes_comp22164_c0_seq1m20679
OG0000122	Sdes_comp15760_c0_seq1m4821
OG0000122	Sdes_comp15760_c0_seq2m4822
OG0000122	Sdes_comp23196_c0_seq1m21496
OG0000122	Sdes_comp23897_c0_seq1m22019
OG0000122	Sdes_comp24226_c0_seq1m22229
OG0000126	Sdes_comp10979_c0_seq1m2617
OG0000126	Sdes_comp20187_c1_seq1m13459
OG0000126	Sdes_comp20187_c2_seq1m13461
OG0000126	Sdes_comp20187_c2_seq2m13463
OG0000127	Sdes_comp17352_c0_seq1m6561
OG0000127	Sdes_comp21118_c0_seq1m19794
OG0000130	Sdes_comp14743_c0_seq1m3563
OG0000130	Sdes_comp15648_c0_seq1m4661
OG0000130	Sdes_comp15648_c2_seq1m4662
OG0000130	Sdes_comp16145_c0_seq1m5392
OG0000130	Sdes_comp16145_c1_seq1m5393
OG0000130	Sdes_comp17726_c1_seq1m6998
OG0000130	Sdes_comp17777_c0_seq1m7038
OG0000130	Sdes_comp20569_c0_seq1m15442
OG0000130	Sdes_comp20569_c0_seq2m15444
OG0000131	Sdes_comp18355_c0_seq1m8122
OG0000131	Sdes_comp18355_c0_seq2m8123
OG0000131	Sdes_comp22653_c0_seq1m21076
OG0000131	Sdes_comp9082_c0_seq1m535
OG0000133	Sdes_comp15654_c0_seq1m4668
OG0000133	Sdes_comp17645_c0_seq1m6912
OG0000133	Sdes_comp21912_c0_seq1m20455
OG0000133	Sdes_comp9140_c0_seq1m607
OG0000133	Sdes_comp9141_c0_seq1m608
OG0000135	Sdes_comp22079_c0_seq1m20606
OG0000137	Sdes_comp10705_c0_seq1m2391
OG0000137	Sdes_comp13559_c0_seq1m3235
OG0000137	Sdes_comp13559_c0_seq2m3236
OG0000137	Sdes_comp15795_c0_seq1m4862
OG0000137	Sdes_comp17437_c0_seq1m6661
OG0000137	Sdes_comp20776_c0_seq1m16822
OG0000137	Sdes_comp20776_c0_seq2m16823
OG0000137	Sdes_comp20776_c0_seq3m16824
OG0000137	Sdes_comp20776_c0_seq4m16825
OG0000137	Sdes_comp20776_c0_seq5m16826
OG0000137	Sdes_comp20776_c0_seq6m16827
OG0000137	Sdes_comp21299_c0_seq1m19940
OG0000137	Sdes_comp22751_c0_seq1m21154
OG0000137	Sdes_comp23290_c0_seq1m21572
OG0000137	Sdes_comp23291_c0_seq1m21573
OG0000138	Sdes_comp9397_c0_seq1m862
OG0000140	Sdes_comp18212_c0_seq1m7780
OG0000140	Sdes_comp18212_c0_seq2m7783
OG0000142	Sdes_comp13713_c0_seq1m3281
OG0000142	Sdes_comp15873_c0_seq1m4972
OG0000142	Sdes_comp18806_c0_seq1m9221
OG0000143	Sdes_comp19469_c0_seq1m10913
OG0000143	Sdes_comp19469_c0_seq2m10914
OG0000143	Sdes_comp19469_c0_seq3m10915
OG0000143	Sdes_comp23949_c0_seq1m22057
OG0000144	Sdes_comp16576_c0_seq1m5889
OG0000144	Sdes_comp21125_c0_seq1m19800
OG0000144	Sdes_comp21910_c0_seq1m20448
OG0000145	Sdes_comp11395_c0_seq1m2750
OG0000145	Sdes_comp14486_c0_seq1m3500
OG0000145	Sdes_comp21984_c0_seq1m20524
OG0000145	Sdes_comp23546_c0_seq1m21759
OG0000145	Sdes_comp25000_c0_seq1m22629
OG0000146	Sdes_comp18091_c0_seq1m7515
OG0000146	Sdes_comp19102_c0_seq1m9772
OG0000146	Sdes_comp19102_c0_seq1m9773
OG0000146	Sdes_comp19102_c0_seq2m9774
OG0000146	Sdes_comp20704_c0_seq1m16341
OG0000146	Sdes_comp20704_c0_seq2m16343
OG0000148	Sdes_comp14850_c0_seq1m3592
OG0000148	Sdes_comp16135_c0_seq1m5379
OG0000148	Sdes_comp16417_c0_seq1m5760
OG0000148	Sdes_comp20965_c0_seq10m18862
OG0000148	Sdes_comp20965_c0_seq11m18867
OG0000148	Sdes_comp20965_c0_seq12m18873
OG0000148	Sdes_comp20965_c0_seq13m18878
OG0000148	Sdes_comp20965_c0_seq14m18883
OG0000148	Sdes_comp20965_c0_seq16m18891
OG0000148	Sdes_comp20965_c0_seq2m18832
OG0000148	Sdes_comp20965_c0_seq3m18837
OG0000148	Sdes_comp20965_c0_seq4m18841
OG0000148	Sdes_comp20965_c0_seq6m18849
OG0000148	Sdes_comp20965_c0_seq7m18853
OG0000149	Sdes_comp18242_c0_seq1m7856
OG0000149	Sdes_comp19515_c0_seq1m11073
OG0000149	Sdes_comp19515_c0_seq2m11075
OG0000149	Sdes_comp19515_c0_seq3m11077
OG0000149	Sdes_comp19515_c0_seq4m11079
OG0000149	Sdes_comp20033_c0_seq1m12820
OG0000151	Sdes_comp15666_c0_seq1m4684
OG0000151	Sdes_comp23258_c0_seq1m21539
OG0000152	Sdes_comp17720_c0_seq1m6991
OG0000152	Sdes_comp18418_c0_seq1m8314
OG0000152	Sdes_comp9199_c0_seq1m675
OG0000153	Sdes_comp23961_c0_seq1m22062
OG0000155	Sdes_comp15613_c0_seq1m4609
OG0000157	Sdes_comp16190_c1_seq1m5443
OG0000166	Sdes_comp19885_c0_seq1m12211
OG0000166	Sdes_comp20806_c0_seq1m17143
OG0000166	Sdes_comp20806_c0_seq2m17153
OG0000171	Sdes_comp10137_c0_seq1m1752
OG0000171	Sdes_comp20896_c0_seq1m18033
OG0000171	Sdes_comp20914_c0_seq1m18248
OG0000171	Sdes_comp20914_c0_seq2m18252
OG0000171	Sdes_comp22479_c0_seq1m20927
OG0000172	Sdes_comp15759_c0_seq1m4819
OG0000172	Sdes_comp15759_c0_seq2m4820
OG0000172	Sdes_comp18310_c0_seq1m8022
OG0000172	Sdes_comp18310_c0_seq2m8023
OG0000172	Sdes_comp19364_c0_seq1m10615
OG0000172	Sdes_comp21951_c0_seq1m20493
OG0000172	Sdes_comp22041_c0_seq1m20575
OG0000172	Sdes_comp22587_c0_seq1m21011
OG0000172	Sdes_comp9059_c0_seq1m495
OG0000173	Sdes_comp20994_c0_seq2m19700
OG0000174	Sdes_comp10318_c0_seq1m1959
OG0000174	Sdes_comp13409_c0_seq1m3179
OG0000174	Sdes_comp15618_c0_seq1m4612
OG0000174	Sdes_comp18225_c0_seq1m7807
OG0000174	Sdes_comp18554_c0_seq1m8640
OG0000174	Sdes_comp18554_c2_seq1m8643
OG0000174	Sdes_comp18554_c2_seq2m8644
OG0000175	Sdes_comp10057_c0_seq1m1649
OG0000175	Sdes_comp15338_c0_seq1m4205
OG0000175	Sdes_comp16310_c0_seq1m5664
OG0000177	Sdes_comp16039_c0_seq1m5240
OG0000177	Sdes_comp18121_c0_seq1m7576
OG0000177	Sdes_comp18121_c0_seq2m7577
OG0000177	Sdes_comp18217_c0_seq1m7795
OG0000177	Sdes_comp19507_c0_seq1m11055
OG0000177	Sdes_comp21465_c0_seq1m20094
OG0000177	Sdes_comp22977_c0_seq1m21325
OG0000178	Sdes_comp15449_c0_seq2m4345
OG0000178	Sdes_comp19864_c0_seq2m12132
OG0000178	Sdes_comp21613_c0_seq1m20208
OG0000178	Sdes_comp23261_c0_seq1m21542
OG0000179	Sdes_comp16270_c0_seq1m5581
OG0000179	Sdes_comp17699_c0_seq2m6970
OG0000179	Sdes_comp20455_c0_seq1m14672
OG0000179	Sdes_comp20585_c0_seq2m15539
OG0000182	Sdes_comp16629_c0_seq1m5929
OG0000182	Sdes_comp19156_c0_seq1m9919
OG0000182	Sdes_comp20574_c0_seq1m15461
OG0000182	Sdes_comp9814_c0_seq1m1348
OG0000184	Sdes_comp19391_c0_seq1m10692
OG0000184	Sdes_comp19391_c0_seq2m10693
OG0000185	Sdes_comp16155_c0_seq1m5398
OG0000185	Sdes_comp18662_c1_seq1m8898
OG0000185	Sdes_comp19559_c1_seq1m11221
OG0000185	Sdes_comp21738_c0_seq1m20308
OG0000186	Sdes_comp20223_c0_seq1m13604
OG0000186	Sdes_comp20223_c0_seq2m13605
OG0000186	Sdes_comp20652_c1_seq1m15937
OG0000186	Sdes_comp20804_c0_seq1m17133
OG0000187	Sdes_comp10633_c0_seq1m2333
OG0000188	Sdes_comp11814_c0_seq1m2869
OG0000188	Sdes_comp14807_c0_seq1m3575
OG0000188	Sdes_comp20658_c0_seq1m15965
OG0000193	Sdes_comp9586_c0_seq1m1068
OG0000194	Sdes_comp13585_c0_seq1m3247
OG0000194	Sdes_comp13675_c0_seq1m3263
OG0000194	Sdes_comp13675_c0_seq2m3264
OG0000194	Sdes_comp18990_c0_seq2m9529
OG0000194	Sdes_comp24262_c0_seq1m22260
