OG	UID	NAME
ENSDARG00000090187	F1MJR8	Inactive serine/threonine-protein kinase TEX14 
ENSDARG00000090179	Q5R7G9	NUAK family SNF1-like kinase 2 
ENSDARG00000090144	Q99P96	Histone deacetylase 7 
ENSDARG00000090143	Q7TQN8	Glucose-dependent insulinotropic receptor 
ENSDARG00000090043	P18729	Gastrula zinc finger protein XlCGF57.1
ENSDARG00000090122	Q9UEG4	Zinc finger protein 629 
ENSDARG00000090020	Q96NG5	Zinc finger protein 558
ENSDARG00000089992	Q8TEP8	Centrosomal protein of 192 kDa 
ENSDARG00000089978	P15620	Zinc finger protein 271 
ENSDARG00000089980	B2GUY2	Transferrin receptor protein 2 
ENSDARG00000089939	Q8NDZ2	SUMO-interacting motif-containing protein 1 
ENSDARG00000089951	Q2M3X9	Zinc finger protein 674
ENSDARG00000089920	Q5VWP3	Muscular LMNA-interacting protein 
ENSDARG00000089936	Q148C8	Migration and invasion enhancer 1
ENSDARG00000089897	Q9YIB4	Collagen alpha-1
ENSDARG00000089800	Q3V0I2	Proline-rich protein 7 
ENSDARG00000089810	Q5R4A6	Archaemetzincin-2 
ENSDARG00000089838	I3LMB3	Phospholemman 
ENSDARG00000089798	P24587	A-kinase anchor protein 5 
ENSDARG00000089762	Q96QB1	Rho GTPase-activating protein 7 
ENSDARG00000089798	Q5AEG7	Probable GPI-anchored adhesin-like protein PGA18 
ENSDARG00000089739	Q6NSJ2	Pleckstrin homology-like domain family B member 3
ENSDARG00000089615	Q8TDW7	Protocadherin Fat 3 
ENSDARG00000089630	Q8IUG5	Unconventional myosin-XVIIIb
ENSDARG00000089709	Q6UXV0	GDNF family receptor alpha-like
ENSDARG00000089578	Q3U3V8	X-ray radiation resistance-associated protein 1
ENSDARG00000089571	Q8TDW7	Protocadherin Fat 3 
ENSDARG00000089568	Q7Z4S6	Kinesin-like protein KIF21A 
ENSDARG00000089548	Q00722	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 "
ENSDARG00000089506	Q3UH66	Serine/threonine-protein kinase WNK2 
ENSDARG00000089428	P51152	Ras-related protein Rab-12
ENSDARG00000089414	P12255	Filamentous hemagglutinin
ENSDARG00000089390	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000089413	P04370	Myelin basic protein 
ENSDARG00000089390	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000089376	Q03923	Zinc finger protein 85 
ENSDARG00000089355	Q5VUA4	Zinc finger protein 318 
ENSDARG00000089366	Q6V1P9	Protocadherin-23 
ENSDARG00000089345	Q13106	Zinc finger protein 154
ENSDARG00000089319	Q9LVI6	Probable inactive receptor kinase RLK902 
ENSDARG00000089310	P02774	Vitamin D-binding protein 
ENSDARG00000089237	Q86VR7	V-set and immunoglobulin domain-containing protein 10-like 
ENSDARG00000089275	Q5HY64	Putative protein FAM47C
ENSDARG00000089252	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000089232	Q7TPN9	Proline-rich protein 14
ENSDARG00000089303	Q4V7A5	Uncharacterized protein C11orf24 homolog
ENSDARG00000089216	Q9NRR1	Cytokine-like protein 1 
ENSDARG00000089215	P16239	Ice nucleation protein
ENSDARG00000089199	Q96WV6	Uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02
ENSDARG00000089173	B4DU55	Zinc finger protein 879
ENSDARG00000089152	Q4ADV7	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000089160	Q9JKD9	Zinc finger and BTB domain-containing protein 32 
ENSDARG00000089170	Q6NSM8	Serine/threonine-protein kinase SIK3 homolog 
ENSDARG00000089187	P84811	Perlwapin
ENSDARG00000089139	Q9CQI4	Intraflagellar transport-associated protein 
ENSDARG00000089131	Q6ZVW7	Interleukin-17 receptor E-like protein 
ENSDARG00000089125	B1H1X1	F-box/LRR-repeat protein 17 
ENSDARG00000089071	Q8N6Y0	Harmonin-binding protein USHBP1 
ENSDARG00000089102	Q80TS8	Protein sel-1 homolog 3 
ENSDARG00000089024	Q96M02	0
ENSDARG00000089015	P27393	Collagen alpha-2
ENSDARG00000088914	P18729	Gastrula zinc finger protein XlCGF57.1
ENSDARG00000088950	Q9CUU3	Synaptonemal complex protein 2 
ENSDARG00000088885	P06914	Circumsporozoite protein 
ENSDARG00000088880	Q2MHN3	Zinc finger homeobox protein 2 
ENSDARG00000088864	Q5U252	Ubiquitin carboxyl-terminal hydrolase 47 
ENSDARG00000088853	P49951	Clathrin heavy chain 1
ENSDARG00000088856	Q7Z442	Polycystin-1-like protein 2 
ENSDARG00000088852	O14782	Kinesin-like protein KIF3C
ENSDARG00000088827	A8MUU9	Putative uncharacterized protein ENSP00000383309
ENSDARG00000088771	Q9UKZ4	Teneurin-1 
ENSDARG00000088741	Q9NR48	Histone-lysine N-methyltransferase ASH1L 
ENSDARG00000088729	Q6V1P9	Protocadherin-23 
ENSDARG00000088671	P42565	FMRFamide-related neuropeptides [Cleaved into: EFFPL-amide; GDPFLRF-amide 1; GDPFLRF-amide 2; GDPFLRF-amide 3; GDPFLRF-amide 4; GDPFLRF-amide 5; GDPFLRF-amide 6; GDPFLRF-amide 7; SDPFLRF-amide 1; SDPFLRF-amide 2; SDPFLRF-amide 3; SDPFLRF-amide 4; SDPFLRF-amide 5; SDPFLRF-amide 6; SDPYLRF-amide; SDPFFRF-amide; SKPYMRF-amide; SSFPRY-amide; HDYMRF-amide]
ENSDARG00000088639	P86347	Borealin-2 
ENSDARG00000088575	P13813	110 kDa antigen 
ENSDARG00000088636	P0C6U3	Replicase polyprotein 1a 
ENSDARG00000088497	Q8TF45	Zinc finger protein 418
ENSDARG00000088508	Q9UEW8	STE20/SPS1-related proline-alanine-rich protein kinase 
ENSDARG00000088492	A2AL36	Centriolin 
ENSDARG00000088449	Q9CQL2	Coiled-coil domain-containing glutamate-rich protein 1
ENSDARG00000088432	G4SLH0	Titin homolog 
ENSDARG00000088354	Q53GL7	Protein mono-ADP-ribosyltransferase PARP10 
ENSDARG00000088331	P52742	Zinc finger protein 135 
ENSDARG00000088316	Q3KQF4	Leucine-rich repeat-containing protein 69
ENSDARG00000088308	P46530	Neurogenic locus notch homolog protein 1 
ENSDARG00000088277	O60279	Sushi domain-containing protein 5
ENSDARG00000088203	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000088201	Q5TZA2	Rootletin 
ENSDARG00000088182	P70277	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 "
ENSDARG00000088170	Q6NX49	Zinc finger protein 544
ENSDARG00000088123	Q8K083	Zinc finger protein 536
ENSDARG00000088113	Q8WX93	Palladin 
ENSDARG00000088079	Q8WW62	Transmembrane emp24 domain-containing protein 6 
ENSDARG00000088064	O54853	Potassium voltage-gated channel subfamily H member 6 
ENSDARG00000088036	Q4VA45	Zinc finger translocation-associated protein 
ENSDARG00000088017	Q95P23	Enterin neuropeptides [Cleaved into: ENa; ENb; ENc; ENd; ENe; ENf; ENg; ENh; ENi; ENj; ENk; ENl; ENm; ENn; ENo; ENp; ENq; ENr; ENs; ENt]
ENSDARG00000088027	Q569E7	Zinc finger protein 697
ENSDARG00000088010	B3DK56	Receptor-type tyrosine-protein phosphatase U 
ENSDARG00000087977	O15063	Granule associated Rac and RHOG effector protein 1 
ENSDARG00000087941	O95263	"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B "
ENSDARG00000087900	Q5T619	Zinc finger protein 648
ENSDARG00000087899	O42182	Fibulin-1 
ENSDARG00000087769	Q3UQS8	RNA-binding protein 20 
ENSDARG00000087781	Q5U2T3	SPATS2-like protein
ENSDARG00000087748	Q8NFM4	Adenylate cyclase type 4 
ENSDARG00000087674	P18715	Gastrula zinc finger protein XlCGF26.1
ENSDARG00000087655	Q80YR7	Claspin
ENSDARG00000087601	Q6NV75	Probable G-protein coupled receptor 153 
ENSDARG00000087568	Q9NY57	Serine/threonine-protein kinase 32B 
ENSDARG00000087530	P18730	Gastrula zinc finger protein XlCGF58.1
ENSDARG00000087545	Q6P3S6	F-box only protein 42 
ENSDARG00000087515	Q8N7N6	E3 ubiquitin ligase TRAF3IP2 
ENSDARG00000087503	A1X159	Foot protein 1 variant 2
ENSDARG00000087505	Q6NYG4	Cysteine and tyrosine-rich protein 1
ENSDARG00000087502	F1PZQ5	Coiled-coil domain-containing protein 66
ENSDARG00000087488	Q8TE59	A disintegrin and metalloproteinase with thrombospondin motifs 19 
ENSDARG00000087457	Q2KIX5	Endothelial cell-specific chemotaxis regulator 
ENSDARG00000087364	P42566	Epidermal growth factor receptor substrate 15 
ENSDARG00000087416	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000087439	Q8CJ78	Zinc finger protein 628 
ENSDARG00000087362	Q6NX49	Zinc finger protein 544
ENSDARG00000087413	Q3B7T3	Protein BEAN1 
ENSDARG00000087387	Q9UJW8	Zinc finger protein 180 
ENSDARG00000087345	P0C6X3	Replicase polyprotein 1ab 
ENSDARG00000087342	Q96RR4	Calcium/calmodulin-dependent protein kinase kinase 2 
ENSDARG00000087320	P18729	Gastrula zinc finger protein XlCGF57.1
ENSDARG00000087290	P18737	Gastrula zinc finger protein XlCGF8.2DB
ENSDARG00000087292	Q15262	Receptor-type tyrosine-protein phosphatase kappa 
ENSDARG00000087249	P18715	Gastrula zinc finger protein XlCGF26.1
ENSDARG00000087241	Q1RMJ9	Urocortin-3 
ENSDARG00000087220	O13936	Transcription elongation factor spt5 
ENSDARG00000087204	Q28705	Potassium voltage-gated channel subfamily E member 1 
ENSDARG00000087197	Q78DX7	Proto-oncogene tyrosine-protein kinase ROS 
ENSDARG00000087104	Q9UJW8	Zinc finger protein 180 
ENSDARG00000087067	Q80YG3	Kelch domain-containing protein 1
ENSDARG00000087009	Q01133	Antho-RFamide neuropeptides [Cleaved into: Antho-RFamide]
ENSDARG00000087035	O43196	MutS protein homolog 5 
ENSDARG00000086973	Q3UNH4	G protein-regulated inducer of neurite outgrowth 1 
ENSDARG00000086963	Q9D3J9	TLR adapter interacting with SLC15A4 on the lysosome
ENSDARG00000086952	Q91048	Inactive tyrosine-protein kinase 7 
ENSDARG00000086937	Q8TDW7	Protocadherin Fat 3 
ENSDARG00000086879	Q3U1D0	Protein Lines homolog 1 
ENSDARG00000086845	P52742	Zinc finger protein 135 
ENSDARG00000086839	A2VDP4	Zinc finger protein 567
ENSDARG00000086850	Q91628	Origin recognition complex subunit 2 
ENSDARG00000086784	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000086829	P18729	Gastrula zinc finger protein XlCGF57.1
ENSDARG00000086802	Q5VWI1	Transcription elongation regulator 1-like protein
ENSDARG00000086712	Q2LKU9	"NACHT, LRR and PYD domains-containing protein 1a "
ENSDARG00000086707	Q9QZR8	PDZ domain-containing protein 2 
ENSDARG00000086705	E7EW31	Proline-rich basic protein 1
ENSDARG00000086679	P57058	Hormonally up-regulated neu tumor-associated kinase 
ENSDARG00000086678	F1NTD6	Activating signal cointegrator 1 complex subunit 3 
ENSDARG00000086662	Q8IUG5	Unconventional myosin-XVIIIb
ENSDARG00000086641	O95210	Starch-binding domain-containing protein 1 
ENSDARG00000086627	A3KFX0	Cytosolic 5'-nucleotidase 1A 
ENSDARG00000086607	Q5TZA2	Rootletin 
ENSDARG00000086596	Q6NYT1	Mediator of RNA polymerase II transcription subunit 8 
ENSDARG00000086577	Q7Z591	Microtubule organization protein AKNA 
ENSDARG00000086557	Q8K2J4	Coiled-coil domain-containing protein 14
ENSDARG00000086468	P14844	C-C motif chemokine 2 
ENSDARG00000086423	P34257	Transposable element Tc3 transposase
ENSDARG00000086421	Q96JQ5	Membrane-spanning 4-domains subfamily A member 4A 
ENSDARG00000086375	D3ZEY4	Diacylglycerol kinase theta 
ENSDARG00000086374	P33190	Ubiquitin-ribosomal protein eL40 fusion protein [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 
ENSDARG00000086369	Q8MY86	Fibroblast growth factor receptor 1 
ENSDARG00000086336	Q96HA4	Uncharacterized protein C1orf159
ENSDARG00000086327	P0CB65	Serine/arginine repetitive matrix protein 4 
ENSDARG00000086302	Q86XN7	Proline and serine-rich protein 1
ENSDARG00000086305	Q61768	Kinesin-1 heavy chain 
ENSDARG00000086288	A3KQQ9	Secretogranin-3 
ENSDARG00000086278	P18729	Gastrula zinc finger protein XlCGF57.1
ENSDARG00000086265	Q8WZ55	Barttin
ENSDARG00000086255	P28231	Gap junction beta-3 protein 
ENSDARG00000086246	Q86YR5	G-protein-signaling modulator 1 
ENSDARG00000086189	Q800Y2	Matrix Gla protein 
ENSDARG00000086206	Q9JKM7	Ras-related protein Rab-37
ENSDARG00000086182	Q9UJW8	Zinc finger protein 180 
ENSDARG00000086159	P18475	Tyrosine-protein kinase receptor torso 
ENSDARG00000086158	A8WGB1	Collagen and calcium-binding EGF domain-containing protein 1 
ENSDARG00000086154	Q8V9S9	Protein B602L 
ENSDARG00000086145	Q99996	A-kinase anchor protein 9 
ENSDARG00000086100	A8WH75	CD302 antigen 
ENSDARG00000086052	Q7L0X0	TLR4 interactor with leucine rich repeats 
ENSDARG00000086035	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000086023	Q5HYC2	Uncharacterized protein KIAA2026
ENSDARG00000079924	Q5UPE4	Collagen-like protein 1
ENSDARG00000079884	Q7T308	E3 ubiquitin-protein ligase rnf168 
ENSDARG00000079816	Q8BP97	Rhomboid domain-containing protein 3
ENSDARG00000079795	A8MXK1	V-set and transmembrane domain-containing protein 5
ENSDARG00000079784	B0S728	Transmembrane protein 71
ENSDARG00000079722	Q3V5L5	"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B "
ENSDARG00000079670	Q96RT1	Erbin 
ENSDARG00000079553	Q01151	CD83 antigen 
ENSDARG00000079437	Q8BTW9	Serine/threonine-protein kinase PAK 4 
ENSDARG00000079333	Q9I8D8	CD40 ligand 
ENSDARG00000079250	Q7TQG0	Zinc finger and BTB domain-containing protein 5 
ENSDARG00000079253	Q4KWH8	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 "
ENSDARG00000079268	O75541	Zinc finger protein 821
ENSDARG00000079175	Q9EPF2	Cell surface glycoprotein MUC18 
ENSDARG00000079229	Q32KV8	Zinc finger protein 414
ENSDARG00000079143	Q2NL23	Coiled-coil domain-containing protein 107
ENSDARG00000079097	A2A690	Protein TANC2 
ENSDARG00000079029	Q8BZS9	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32 
ENSDARG00000079091	A6H5Y1	M-phase phosphoprotein 9
ENSDARG00000078983	Q4R836	Protein FAM118B
ENSDARG00000078986	Q9D011	M-phase-specific PLK1-interacting protein 
ENSDARG00000078859	Q61585	G0/G1 switch protein 2 
ENSDARG00000078970	Q38IC7	Interleukin-7 receptor subunit alpha 
ENSDARG00000078828	Q8MJV4	Neuropeptide B 
ENSDARG00000078825	O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta 
ENSDARG00000078781	B2GV05	RNA-binding protein 5 
ENSDARG00000078761	Q0P4W3	Regulator of microtubule dynamics protein 2 
ENSDARG00000078754	P0DMB2	Uncharacterized protein C8orf88
ENSDARG00000078705	Q9QXN0	Protein Shroom3
ENSDARG00000078657	A2A9Q0	Fibronectin type III domain-containing protein 10
ENSDARG00000078541	A0A2R8QPS5	Guanine nucleotide exchange factor subunit RIC1 
ENSDARG00000078581	Q8CDG5	CREB3 regulatory factor 
ENSDARG000000785203	Q9DBZ1	Inhibitor of nuclear factor kappa-B kinase-interacting protein 
ENSDARG00000078441	B3DHS1	Macrophage immunometabolism regulator
ENSDARG00000078396	Q9Z0H1	WD repeat-containing protein 46 
ENSDARG00000078347	Q7TNJ0	Dendritic cell-specific transmembrane protein 
ENSDARG00000078361	A0A0R4IM31	Olfactory receptor class A-like protein 1 
ENSDARG00000078301	A4QNX3	Bombesin receptor-activated protein C6orf89 homolog
ENSDARG00000078257	O18486	Rhodopsin
ENSDARG00000078237	Q9NUD5	Zinc finger CCHC domain-containing protein 3
ENSDARG00000078220	Q96C55	Zinc finger protein 524
ENSDARG00000078216	P42566	Epidermal growth factor receptor substrate 15 
ENSDARG00000078168	Q28658	Small proline-rich protein 3 
ENSDARG00000078164	Q9H609	Zinc finger protein 576
ENSDARG00000078130	Q86X53	Glutamate-rich protein 1
ENSDARG00000078056	Q8K0W3	RING finger protein 208
ENSDARG00000078042	K7NA32	Interferon alpha/beta receptor 1a 
ENSDARG00000077954	Q8JHV6	Laminin subunit beta-4
ENSDARG00000078023	Q0VC16	Transport and Golgi organization protein 1 homolog 
ENSDARG00000077836	Q5TAA0	Tetratricopeptide repeat protein 22 
ENSDARG00000077858	Q29414	Agouti-signaling protein 
ENSDARG00000077721	Q1ED39	Lysine-rich nucleolar protein 1 
ENSDARG00000077571	Q28107	Coagulation factor V 
ENSDARG00000077461	Q8BZS9	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32 
ENSDARG00000077377	Q810F0	Proline-rich membrane anchor 1 
ENSDARG00000077368	Q6P0D1	Zinc transporter 6 
ENSDARG00000077270	Q0IHP2	Inner centromere protein
ENSDARG00000077240	P24161	T-cell surface glycoprotein CD3 zeta chain 
ENSDARG00000077179	Q8IWF9	Coiled-coil domain-containing protein 83
ENSDARG00000077203	Q9DCF1	Transmembrane protein 25
ENSDARG00000077143	Q8BI66	Zinc finger protein 526
ENSDARG00000077087	Q6PE13	Proline-rich transmembrane protein 3
ENSDARG00000077113	Q7Z340	Zinc finger protein 551 
ENSDARG00000077017	P52742	Zinc finger protein 135 
ENSDARG00000076950	P23276	Kell blood group glycoprotein 
ENSDARG00000076939	Q9Y4E5	E3 SUMO-protein ligase ZNF451 
ENSDARG00000077069	P13609	Serglycin 
ENSDARG00000076937	Q4KL13	Uncharacterized protein C14orf28 homolog
ENSDARG00000076903	Q5T5X7	BEN domain-containing protein 3
ENSDARG00000076880	Q9ULW5	Ras-related protein Rab-26
ENSDARG00000076850	Q5SV97	PGC-1 and ERR-induced regulator in muscle protein 1 
ENSDARG00000076800	O35714	Tumor necrosis factor receptor superfamily member 18 
ENSDARG00000076838	Q5R894	Apolipoprotein M 
ENSDARG00000076727	Q8CB87	Ras-related protein Rab-44
ENSDARG00000076716	Q86YC2	Partner and localizer of BRCA2
ENSDARG00000076672	Q29041	Ficolin-2 
ENSDARG00000076594	Q9HCL0	Protocadherin-18
ENSDARG00000076587	P15305	Dynein heavy chain 
ENSDARG00000076609	Q32LK9	Synaptonemal complex central element protein 1
ENSDARG00000076380	Q9H116	GDNF-inducible zinc finger protein 1 
ENSDARG00000076451	Q63755	PR domain zinc finger protein 2 
ENSDARG00000076500	P05060	Secretogranin-1 
ENSDARG00000076586	P26955	Cytokine receptor common subunit beta 
ENSDARG00000076565	Q7TSN6	G-protein coupled receptor 151 protein 
ENSDARG00000076569	Q60HE4	Norrin 
ENSDARG00000076251	Q90643	Interferon regulatory factor 3 
ENSDARG00000076271	A0A0R4IVV0	Microsomal triglyceride transfer protein large subunit
ENSDARG00000076250	Q5RI75	Ras and EF-hand domain-containing protein homolog
ENSDARG00000076171	Q505G8	Zinc finger protein 827
ENSDARG00000076171	Q8N8E2	Zinc finger protein 513
ENSDARG00000076163	Q0VF58	Collagen alpha-1
ENSDARG00000076140	Q9UBD9	Cardiotrophin-like cytokine factor 1 
ENSDARG00000076148	P0DSE2	M1-specific T cell receptor beta chain 
ENSDARG00000076119	Q91VF5	EMI domain-containing protein 1 
ENSDARG00000076020	Q9BXP8	Pappalysin-2 
ENSDARG00000076008	C9J7I0	UBAP1-MVB12-associated 
ENSDARG00000076013	A8E4S7	Protein mab-21-like 3
ENSDARG00000075944	Q9QXK8	Neuromedin-U [Cleaved into: Neuromedin precursor-related peptide 36 
ENSDARG00000075943	Q8TBZ0	Coiled-coil domain-containing protein 110 
ENSDARG00000075919	Q1RMS0	Serine-rich coiled-coil domain-containing protein 1 
ENSDARG00000075915	A5PKK9	Fanconi anemia core complex-associated protein 20 
ENSDARG00000075814	Q5VVC0	Protein SPO16 homolog 
ENSDARG00000075795	Q9UMY1	Nucleolar protein 7 
ENSDARG00000075807	P0DSE1	M1-specific T cell receptor alpha chain 
ENSDARG00000075720	P16297	Interleukin-2 receptor subunit beta 
ENSDARG00000075676	Q5VTL7	Fibronectin type III domain-containing protein 7
ENSDARG00000075619	Q1T7B8	Centromere protein O 
ENSDARG00000075562	P56479	Galanin receptor type 1 
ENSDARG00000075545	O15015	Zinc finger protein 646
ENSDARG00000075525	Q6AYM9	Protein CLN8
ENSDARG00000075492	A9JSR5	Coiled-coil domain-containing protein 160 homolog
ENSDARG00000075464	P27816	Microtubule-associated protein 4 
ENSDARG00000075444	Q99674	Cell growth regulator with EF hand domain protein 1 
ENSDARG00000075435	Q62924	A-kinase anchor protein 11 
ENSDARG00000075380	Q503N2	Kinetochore protein Spc24
ENSDARG00000075363	Q8TF39	Zinc finger protein 483 
ENSDARG00000075358	A3KMN5	Protein Largen 
ENSDARG00000075211	A2AJK6	Chromodomain-helicase-DNA-binding protein 7 
ENSDARG00000075339	Q9Y573	Actin-binding protein IPP 
ENSDARG00000075181	Q6UXL0	Interleukin-20 receptor subunit beta 
ENSDARG00000075203	Q8N6T0	Type 2 DNA topoisomerase 6 subunit B-like 
ENSDARG00000075177	Q9H4K1	RIB43A-like with coiled-coils protein 2
ENSDARG00000075116	Q9Y467	Sal-like protein 2 
ENSDARG00000075163	Q865F5	C-X-C motif chemokine 10 
ENSDARG00000075113	Q26604	Homeobox protein SMOX-5
ENSDARG00000074990	Q6ZU67	BEN domain-containing protein 4 
ENSDARG00000074985	Q9NWT8	Small ribosomal subunit protein mS38 
ENSDARG00000074930	B1AWI6	Prostate-associated microseminoprotein 
