Orthogroup	PT_TRX
OG0000033	PT_v1_tr_02839.p1
OG0000033	PT_v1_tr_02840.p1
OG0000033	PT_v1_tr_03136.p1
OG0000033	PT_v1_tr_03999.p1
OG0000033	PT_v1_tr_04817.p1
OG0000033	PT_v1_tr_06227.p1
OG0000033	PT_v1_tr_06665.p2
OG0000033	PT_v1_tr_07270.p1
OG0000033	PT_v1_tr_07964.p1
OG0000033	PT_v1_tr_08496.p1
OG0000036	PT_v1_tr_00549.p1
OG0000036	PT_v1_tr_01553.p1
OG0000036	PT_v1_tr_01575.p1
OG0000036	PT_v1_tr_02724.p1
OG0000036	PT_v1_tr_03160.p1
OG0000036	PT_v1_tr_05721.p1
OG0000036	PT_v1_tr_06372.p1
OG0000036	PT_v1_tr_06794.p1
OG0000036	PT_v1_tr_06799.p1
OG0000036	PT_v1_tr_07398.p1
OG0000036	PT_v1_tr_07399.p1
OG0000036	PT_v1_tr_08029.p1
OG0000036	PT_v1_tr_08070.p1
OG0000036	PT_v1_tr_09541.p1
OG0000038	PT_v1_tr_02808.p1
OG0000038	PT_v1_tr_05113.p1
OG0000038	PT_v1_tr_05428.p1
OG0000038	PT_v1_tr_06789.p1
OG0000038	PT_v1_tr_09722.p1
OG0000038	PT_v1_tr_09919.p1
OG0000040	PT_v1_tr_00414.p1
OG0000040	PT_v1_tr_00969.p1
OG0000040	PT_v1_tr_01330.p1
OG0000040	PT_v1_tr_04023.p1
OG0000040	PT_v1_tr_04482.p1
OG0000040	PT_v1_tr_06180.p1
OG0000045	PT_v1_tr_00967.p1
OG0000045	PT_v1_tr_02151.p1
OG0000045	PT_v1_tr_08283.p1
OG0000045	PT_v1_tr_08855.p1
OG0000045	PT_v1_tr_10689.p1
OG0000046	PT_v1_tr_02328.p1
OG0000046	PT_v1_tr_05571.p1
OG0000046	PT_v1_tr_06709.p1
OG0000046	PT_v1_tr_06865.p1
OG0000046	PT_v1_tr_08652.p1
OG0000046	PT_v1_tr_09917.p1
OG0000047	PT_v1_tr_02137.p1
OG0000047	PT_v1_tr_04975.p1
OG0000047	PT_v1_tr_06379.p1
OG0000047	PT_v1_tr_07722.p1
OG0000047	PT_v1_tr_08042.p1
OG0000047	PT_v1_tr_10047.p1
OG0000047	PT_v1_tr_10166.p1
OG0000047	PT_v1_tr_10169.p1
OG0000048	PT_v1_tr_01158.p1
OG0000048	PT_v1_tr_01201.p1
OG0000048	PT_v1_tr_02279.p1
OG0000048	PT_v1_tr_03549.p1
OG0000048	PT_v1_tr_07226.p1
OG0000048	PT_v1_tr_09145.p1
OG0000049	PT_v1_tr_00115.p1
OG0000049	PT_v1_tr_01091.p1
OG0000049	PT_v1_tr_02893.p1
OG0000049	PT_v1_tr_03006.p1
OG0000049	PT_v1_tr_04143.p1
OG0000049	PT_v1_tr_04303.p2
OG0000049	PT_v1_tr_08043.p1
OG0000049	PT_v1_tr_08109.p1
OG0000049	PT_v1_tr_09269.p1
OG0000049	PT_v1_tr_09270.p1
OG0000049	PT_v1_tr_09654.p1
OG0000052	PT_v1_tr_04198.p1
OG0000052	PT_v1_tr_06574.p1
OG0000052	PT_v1_tr_07449.p1
OG0000052	PT_v1_tr_09463.p1
OG0000055	PT_v1_tr_01402.p1
OG0000055	PT_v1_tr_02806.p1
OG0000055	PT_v1_tr_03101.p1
OG0000055	PT_v1_tr_03102.p1
OG0000055	PT_v1_tr_03490.p1
OG0000055	PT_v1_tr_06861.p1
OG0000055	PT_v1_tr_10406.p1
OG0000055	PT_v1_tr_10767.p1
OG0000058	PT_v1_tr_00032.p1
OG0000058	PT_v1_tr_00705.p1
OG0000058	PT_v1_tr_01531.p1
OG0000058	PT_v1_tr_02435.p1
OG0000058	PT_v1_tr_03847.p1
OG0000058	PT_v1_tr_06310.p1
OG0000058	PT_v1_tr_08102.p1
OG0000058	PT_v1_tr_08619.p1
OG0000059	PT_v1_tr_02265.p1
OG0000059	PT_v1_tr_02494.p1
OG0000059	PT_v1_tr_02755.p1
OG0000059	PT_v1_tr_02790.p1
OG0000059	PT_v1_tr_02956.p1
OG0000059	PT_v1_tr_03788.p1
OG0000059	PT_v1_tr_09038.p1
OG0000059	PT_v1_tr_09429.p1
OG0000059	PT_v1_tr_10324.p1
OG0000059	PT_v1_tr_10657.p1
OG0000063	PT_v1_tr_01888.p1
OG0000063	PT_v1_tr_02625.p1
OG0000063	PT_v1_tr_02626.p1
OG0000063	PT_v1_tr_02674.p1
OG0000063	PT_v1_tr_05913.p1
OG0000063	PT_v1_tr_08574.p1
OG0000063	PT_v1_tr_10628.p1
OG0000066	PT_v1_tr_00090.p1
OG0000066	PT_v1_tr_01485.p1
OG0000066	PT_v1_tr_01743.p1
OG0000066	PT_v1_tr_02065.p1
OG0000066	PT_v1_tr_04722.p1
OG0000066	PT_v1_tr_07675.p1
OG0000066	PT_v1_tr_07676.p1
OG0000066	PT_v1_tr_07910.p1
OG0000066	PT_v1_tr_08248.p1
OG0000066	PT_v1_tr_08304.p1
OG0000066	PT_v1_tr_08610.p1
OG0000066	PT_v1_tr_09192.p1
OG0000066	PT_v1_tr_09301.p1
OG0000066	PT_v1_tr_09964.p1
OG0000066	PT_v1_tr_09965.p1
OG0000067	PT_v1_tr_04505.p2
OG0000067	PT_v1_tr_04508.p2
OG0000067	PT_v1_tr_05493.p1
OG0000067	PT_v1_tr_08212.p1
OG0000067	PT_v1_tr_10381.p2
OG0000069	PT_v1_tr_02606.p1
OG0000069	PT_v1_tr_04517.p1
OG0000069	PT_v1_tr_05939.p1
OG0000069	PT_v1_tr_07211.p1
OG0000069	PT_v1_tr_08010.p1
OG0000069	PT_v1_tr_08305.p1
OG0000069	PT_v1_tr_09397.p1
OG0000069	PT_v1_tr_10634.p1
OG0000069	PT_v1_tr_10635.p1
OG0000072	PT_v1_tr_02362.p1
OG0000072	PT_v1_tr_07080.p1
OG0000076	PT_v1_tr_01500.p1
OG0000076	PT_v1_tr_03018.p1
OG0000076	PT_v1_tr_06237.p1
OG0000077	PT_v1_tr_00175.p1
OG0000077	PT_v1_tr_02635.p1
OG0000077	PT_v1_tr_03948.p1
OG0000077	PT_v1_tr_04197.p1
OG0000077	PT_v1_tr_04305.p1
OG0000077	PT_v1_tr_04815.p1
OG0000077	PT_v1_tr_04955.p1
OG0000077	PT_v1_tr_05384.p1
OG0000077	PT_v1_tr_06792.p1
OG0000077	PT_v1_tr_09554.p1
OG0000079	PT_v1_tr_00219.p1
OG0000079	PT_v1_tr_01437.p1
OG0000079	PT_v1_tr_02214.p1
OG0000079	PT_v1_tr_02214.p3
OG0000079	PT_v1_tr_02216.p1
OG0000079	PT_v1_tr_02655.p1
OG0000079	PT_v1_tr_04698.p1
OG0000083	PT_v1_tr_00863.p1
OG0000083	PT_v1_tr_07229.p1
OG0000083	PT_v1_tr_08614.p1
OG0000084	PT_v1_tr_01643.p1
OG0000084	PT_v1_tr_05276.p1
OG0000084	PT_v1_tr_06106.p1
OG0000084	PT_v1_tr_06179.p1
OG0000084	PT_v1_tr_06212.p1
OG0000084	PT_v1_tr_08780.p1
OG0000087	PT_v1_tr_02368.p1
OG0000087	PT_v1_tr_03061.p1
OG0000087	PT_v1_tr_04195.p1
OG0000087	PT_v1_tr_06261.p1
OG0000087	PT_v1_tr_07382.p1
OG0000087	PT_v1_tr_07606.p1
OG0000088	PT_v1_tr_05649.p1
OG0000088	PT_v1_tr_06837.p1
OG0000088	PT_v1_tr_08098.p1
OG0000089	PT_v1_tr_00500.p1
OG0000089	PT_v1_tr_06601.p1
OG0000090	PT_v1_tr_03910.p1
OG0000090	PT_v1_tr_04278.p1
OG0000090	PT_v1_tr_04279.p1
OG0000090	PT_v1_tr_05712.p1
OG0000090	PT_v1_tr_07071.p1
OG0000090	PT_v1_tr_08899.p1
OG0000091	PT_v1_tr_01340.p1
OG0000091	PT_v1_tr_01589.p1
OG0000091	PT_v1_tr_06403.p1
OG0000091	PT_v1_tr_08388.p1
OG0000093	PT_v1_tr_00793.p1
OG0000093	PT_v1_tr_01180.p1
OG0000093	PT_v1_tr_01486.p1
OG0000093	PT_v1_tr_01487.p1
OG0000093	PT_v1_tr_01488.p1
OG0000093	PT_v1_tr_01489.p1
OG0000093	PT_v1_tr_02586.p1
OG0000093	PT_v1_tr_04214.p1
OG0000093	PT_v1_tr_06590.p1
OG0000093	PT_v1_tr_06597.p1
OG0000093	PT_v1_tr_06948.p1
OG0000093	PT_v1_tr_07287.p1
OG0000093	PT_v1_tr_07640.p1
OG0000093	PT_v1_tr_08569.p1
OG0000093	PT_v1_tr_08660.p1
OG0000093	PT_v1_tr_08893.p1
OG0000093	PT_v1_tr_09589.p1
OG0000093	PT_v1_tr_10332.p1
OG0000094	PT_v1_tr_02107.p1
OG0000094	PT_v1_tr_04970.p1
OG0000094	PT_v1_tr_05525.p1
OG0000094	PT_v1_tr_05957.p1
OG0000094	PT_v1_tr_06113.p1
OG0000094	PT_v1_tr_06429.p1
OG0000094	PT_v1_tr_10638.p1
OG0000095	PT_v1_tr_03086.p1
OG0000095	PT_v1_tr_08161.p1
OG0000097	PT_v1_tr_01991.p1
OG0000097	PT_v1_tr_02381.p2
OG0000099	PT_v1_tr_07987.p1
OG0000100	PT_v1_tr_03232.p1
OG0000100	PT_v1_tr_04042.p1
OG0000100	PT_v1_tr_05756.p1
OG0000100	PT_v1_tr_05757.p1
OG0000100	PT_v1_tr_07137.p1
OG0000100	PT_v1_tr_07138.p1
OG0000100	PT_v1_tr_08508.p1
OG0000100	PT_v1_tr_10644.p1
OG0000101	PT_v1_tr_01519.p1
OG0000101	PT_v1_tr_02416.p1
OG0000101	PT_v1_tr_02885.p1
OG0000101	PT_v1_tr_02886.p1
OG0000101	PT_v1_tr_04555.p1
OG0000101	PT_v1_tr_04821.p1
OG0000101	PT_v1_tr_06156.p1
OG0000101	PT_v1_tr_07142.p1
OG0000101	PT_v1_tr_09018.p1
OG0000101	PT_v1_tr_09509.p1
OG0000103	PT_v1_tr_01064.p1
OG0000103	PT_v1_tr_05983.p1
OG0000103	PT_v1_tr_06844.p1
OG0000106	PT_v1_tr_03826.p1
OG0000106	PT_v1_tr_09172.p1
OG0000107	PT_v1_tr_00661.p1
OG0000107	PT_v1_tr_01684.p1
OG0000107	PT_v1_tr_03927.p1
OG0000107	PT_v1_tr_03928.p1
OG0000107	PT_v1_tr_09611.p1
OG0000108	PT_v1_tr_00027.p1
OG0000108	PT_v1_tr_00583.p1
OG0000108	PT_v1_tr_00836.p1
OG0000108	PT_v1_tr_03614.p1
OG0000108	PT_v1_tr_05329.p1
OG0000108	PT_v1_tr_07561.p1
OG0000108	PT_v1_tr_07876.p1
OG0000108	PT_v1_tr_08218.p1
OG0000108	PT_v1_tr_08451.p1
OG0000108	PT_v1_tr_08886.p1
OG0000108	PT_v1_tr_09302.p1
OG0000108	PT_v1_tr_09354.p1
OG0000108	PT_v1_tr_09774.p1
OG0000108	PT_v1_tr_09995.p1
OG0000108	PT_v1_tr_09996.p1
OG0000108	PT_v1_tr_10353.p1
OG0000111	PT_v1_tr_01563.p1
OG0000111	PT_v1_tr_03851.p2
OG0000111	PT_v1_tr_03852.p2
OG0000115	PT_v1_tr_00403.p1
OG0000115	PT_v1_tr_02099.p1
OG0000115	PT_v1_tr_07256.p1
OG0000115	PT_v1_tr_07257.p1
OG0000115	PT_v1_tr_07258.p1
OG0000117	PT_v1_tr_02848.p1
OG0000117	PT_v1_tr_05577.p1
OG0000117	PT_v1_tr_07594.p1
OG0000117	PT_v1_tr_08632.p1
OG0000118	PT_v1_tr_01126.p1
OG0000118	PT_v1_tr_05415.p1
OG0000118	PT_v1_tr_09055.p1
OG0000122	PT_v1_tr_03545.p1
OG0000122	PT_v1_tr_04964.p1
OG0000122	PT_v1_tr_08573.p1
OG0000122	PT_v1_tr_10006.p1
OG0000122	PT_v1_tr_10807.p1
OG0000126	PT_v1_tr_01217.p1
OG0000126	PT_v1_tr_01911.p1
OG0000126	PT_v1_tr_02336.p1
OG0000126	PT_v1_tr_07217.p1
OG0000126	PT_v1_tr_08897.p1
OG0000126	PT_v1_tr_09082.p1
OG0000126	PT_v1_tr_09764.p1
OG0000127	PT_v1_tr_00340.p1
OG0000127	PT_v1_tr_00810.p1
OG0000130	PT_v1_tr_02793.p1
OG0000130	PT_v1_tr_03183.p1
OG0000130	PT_v1_tr_05621.p1
OG0000130	PT_v1_tr_05622.p1
OG0000130	PT_v1_tr_09494.p1
OG0000131	PT_v1_tr_01114.p1
OG0000131	PT_v1_tr_03241.p1
OG0000131	PT_v1_tr_03994.p1
OG0000131	PT_v1_tr_03995.p1
OG0000131	PT_v1_tr_08993.p1
OG0000132	PT_v1_tr_03577.p1
OG0000133	PT_v1_tr_00402.p1
OG0000133	PT_v1_tr_00428.p1
OG0000133	PT_v1_tr_00429.p1
OG0000133	PT_v1_tr_00506.p1
OG0000133	PT_v1_tr_04191.p1
OG0000133	PT_v1_tr_07576.p1
OG0000135	PT_v1_tr_00151.p1
OG0000135	PT_v1_tr_02871.p1
OG0000135	PT_v1_tr_03729.p1
OG0000135	PT_v1_tr_05923.p1
OG0000135	PT_v1_tr_06330.p1
OG0000135	PT_v1_tr_06693.p1
OG0000135	PT_v1_tr_08687.p1
OG0000135	PT_v1_tr_08688.p1
OG0000135	PT_v1_tr_08912.p1
OG0000137	PT_v1_tr_07263.p1
OG0000138	PT_v1_tr_01549.p1
OG0000138	PT_v1_tr_04009.p1
OG0000138	PT_v1_tr_04762.p1
OG0000138	PT_v1_tr_07587.p1
OG0000138	PT_v1_tr_09322.p1
OG0000138	PT_v1_tr_09322.p2
OG0000138	PT_v1_tr_10267.p1
OG0000140	PT_v1_tr_03257.p1
OG0000140	PT_v1_tr_04265.p1
OG0000141	PT_v1_tr_01159.p1
OG0000142	PT_v1_tr_02300.p1
OG0000142	PT_v1_tr_07645.p1
OG0000142	PT_v1_tr_08171.p1
OG0000143	PT_v1_tr_04342.p2
OG0000143	PT_v1_tr_09315.p1
OG0000144	PT_v1_tr_09268.p1
OG0000145	PT_v1_tr_02531.p1
OG0000145	PT_v1_tr_03444.p1
OG0000145	PT_v1_tr_03872.p1
OG0000145	PT_v1_tr_04662.p1
OG0000145	PT_v1_tr_06726.p1
OG0000145	PT_v1_tr_09374.p1
OG0000146	PT_v1_tr_02472.p1
OG0000146	PT_v1_tr_02701.p1
OG0000146	PT_v1_tr_06862.p1
OG0000146	PT_v1_tr_08468.p1
OG0000146	PT_v1_tr_10453.p1
OG0000148	PT_v1_tr_00287.p1
OG0000148	PT_v1_tr_00669.p1
OG0000148	PT_v1_tr_02015.p1
OG0000148	PT_v1_tr_02644.p1
OG0000148	PT_v1_tr_04073.p1
OG0000148	PT_v1_tr_08380.p1
OG0000148	PT_v1_tr_10697.p1
OG0000149	PT_v1_tr_01596.p1
OG0000149	PT_v1_tr_09765.p1
OG0000151	PT_v1_tr_01550.p1
OG0000152	PT_v1_tr_01306.p1
OG0000152	PT_v1_tr_01307.p1
OG0000152	PT_v1_tr_01308.p1
OG0000152	PT_v1_tr_01463.p2
OG0000152	PT_v1_tr_01779.p1
OG0000152	PT_v1_tr_02975.p1
OG0000152	PT_v1_tr_03509.p1
OG0000152	PT_v1_tr_03775.p1
OG0000152	PT_v1_tr_03776.p1
OG0000152	PT_v1_tr_08558.p1
OG0000152	PT_v1_tr_08559.p1
OG0000152	PT_v1_tr_10789.p1
OG0000153	PT_v1_tr_09816.p1
OG0000153	PT_v1_tr_09851.p1
OG0000155	PT_v1_tr_05775.p1
OG0000156	PT_v1_tr_03320.p1
OG0000157	PT_v1_tr_07553.p1
OG0000165	PT_v1_tr_08727.p1
OG0000165	PT_v1_tr_08811.p1
OG0000166	PT_v1_tr_00255.p1
OG0000166	PT_v1_tr_02272.p1
OG0000166	PT_v1_tr_02969.p1
OG0000166	PT_v1_tr_04446.p1
OG0000166	PT_v1_tr_04580.p1
OG0000166	PT_v1_tr_07927.p1
OG0000166	PT_v1_tr_10147.p1
OG0000166	PT_v1_tr_10147.p3
OG0000170	PT_v1_tr_00072.p1
OG0000170	PT_v1_tr_00655.p1
OG0000170	PT_v1_tr_01131.p1
OG0000170	PT_v1_tr_01571.p1
OG0000170	PT_v1_tr_01651.p1
OG0000170	PT_v1_tr_02451.p1
OG0000170	PT_v1_tr_02794.p1
OG0000170	PT_v1_tr_03011.p1
OG0000170	PT_v1_tr_03877.p1
OG0000170	PT_v1_tr_05320.p1
OG0000170	PT_v1_tr_05736.p1
OG0000170	PT_v1_tr_07703.p1
OG0000170	PT_v1_tr_07770.p1
OG0000170	PT_v1_tr_09684.p1
OG0000170	PT_v1_tr_10105.p1
OG0000170	PT_v1_tr_10382.p1
OG0000170	PT_v1_tr_10383.p1
OG0000171	PT_v1_tr_00375.p1
OG0000172	PT_v1_tr_06667.p1
OG0000172	PT_v1_tr_07879.p1
OG0000173	PT_v1_tr_02479.p1
OG0000173	PT_v1_tr_06997.p1
OG0000174	PT_v1_tr_06074.p1
OG0000175	PT_v1_tr_02290.p1
OG0000175	PT_v1_tr_02401.p1
OG0000175	PT_v1_tr_06200.p1
OG0000175	PT_v1_tr_08520.p1
OG0000175	PT_v1_tr_08861.p1
OG0000175	PT_v1_tr_10024.p1
OG0000177	PT_v1_tr_00359.p1
OG0000177	PT_v1_tr_04773.p1
OG0000177	PT_v1_tr_09317.p1
OG0000178	PT_v1_tr_03234.p1
OG0000179	PT_v1_tr_01941.p1
OG0000179	PT_v1_tr_02003.p2
OG0000179	PT_v1_tr_05491.p1
OG0000179	PT_v1_tr_08819.p2
OG0000179	PT_v1_tr_08820.p2
OG0000179	PT_v1_tr_10561.p1
OG0000179	PT_v1_tr_10564.p1
OG0000183	PT_v1_tr_01929.p1
OG0000183	PT_v1_tr_02561.p1
OG0000183	PT_v1_tr_02792.p1
OG0000183	PT_v1_tr_04453.p1
OG0000183	PT_v1_tr_08794.p1
OG0000183	PT_v1_tr_08895.p1
OG0000183	PT_v1_tr_10001.p1
OG0000183	PT_v1_tr_10830.p1
OG0000183	PT_v1_tr_10831.p1
OG0000184	PT_v1_tr_08424.p1
OG0000185	PT_v1_tr_03992.p1
OG0000185	PT_v1_tr_07994.p1
OG0000186	PT_v1_tr_05984.p1
OG0000187	PT_v1_tr_03757.p1
OG0000187	PT_v1_tr_05412.p1
OG0000187	PT_v1_tr_05424.p1
OG0000187	PT_v1_tr_05425.p1
OG0000187	PT_v1_tr_05426.p1
OG0000187	PT_v1_tr_05916.p1
OG0000187	PT_v1_tr_07736.p1
OG0000187	PT_v1_tr_08625.p1
OG0000188	PT_v1_tr_03146.p1
OG0000188	PT_v1_tr_03670.p1
OG0000188	PT_v1_tr_04715.p1
OG0000188	PT_v1_tr_04868.p1
OG0000188	PT_v1_tr_06226.p1
OG0000188	PT_v1_tr_07607.p1
OG0000188	PT_v1_tr_07896.p1
OG0000188	PT_v1_tr_10150.p1
OG0000188	PT_v1_tr_10795.p1
OG0000194	PT_v1_tr_00874.p1
OG0000194	PT_v1_tr_02899.p1
OG0000194	PT_v1_tr_03528.p1
OG0000194	PT_v1_tr_03749.p1
OG0000194	PT_v1_tr_05995.p1
OG0000194	PT_v1_tr_06513.p1
OG0000194	PT_v1_tr_06734.p1
OG0000194	PT_v1_tr_06940.p1
OG0000194	PT_v1_tr_08177.p1
OG0000198	PT_v1_tr_02748.p1
OG0000198	PT_v1_tr_08328.p1
OG0000198	PT_v1_tr_08745.p1
OG0000198	PT_v1_tr_10551.p1
OG0000199	PT_v1_tr_03363.p1
OG0000199	PT_v1_tr_05193.p1
OG0000199	PT_v1_tr_06152.p1
OG0000199	PT_v1_tr_08737.p1
OG0000199	PT_v1_tr_09993.p1
OG0000204	PT_v1_tr_00457.p1
OG0000204	PT_v1_tr_05438.p1
OG0000204	PT_v1_tr_07435.p1
OG0000207	PT_v1_tr_09943.p1
OG0000215	PT_v1_tr_01405.p1
OG0000215	PT_v1_tr_10008.p1
OG0000216	PT_v1_tr_02618.p1
OG0000216	PT_v1_tr_05714.p1
OG0000216	PT_v1_tr_05716.p1
OG0000216	PT_v1_tr_08141.p1
OG0000216	PT_v1_tr_08143.p1
OG0000217	PT_v1_tr_02306.p1
OG0000217	PT_v1_tr_04656.p1
OG0000217	PT_v1_tr_05411.p1
OG0000217	PT_v1_tr_05526.p1
OG0000217	PT_v1_tr_05830.p1
OG0000217	PT_v1_tr_08717.p1
OG0000217	PT_v1_tr_09050.p1
OG0000217	PT_v1_tr_10659.p1
OG0000220	PT_v1_tr_00205.p1
OG0000221	PT_v1_tr_03558.p1
OG0000221	PT_v1_tr_04879.p1
OG0000221	PT_v1_tr_05434.p1
OG0000221	PT_v1_tr_06183.p1
OG0000222	PT_v1_tr_03719.p1
OG0000222	PT_v1_tr_05648.p1
OG0000226	PT_v1_tr_02067.p1
OG0000226	PT_v1_tr_06662.p1
OG0000227	PT_v1_tr_05932.p1
OG0000227	PT_v1_tr_06322.p1
OG0000227	PT_v1_tr_08622.p1
OG0000227	PT_v1_tr_09210.p1
OG0000227	PT_v1_tr_10089.p1
OG0000228	PT_v1_tr_02547.p1
OG0000228	PT_v1_tr_02549.p1
OG0000228	PT_v1_tr_04123.p1
OG0000228	PT_v1_tr_08761.p1
OG0000228	PT_v1_tr_09010.p1
OG0000228	PT_v1_tr_09077.p1
OG0000228	PT_v1_tr_09094.p1
OG0000228	PT_v1_tr_09095.p1
OG0000231	PT_v1_tr_03214.p1
OG0000232	PT_v1_tr_00828.p1
OG0000232	PT_v1_tr_06094.p1
OG0000232	PT_v1_tr_09908.p1
OG0000233	PT_v1_tr_06068.p1
OG0000233	PT_v1_tr_08602.p1
OG0000235	PT_v1_tr_09667.p1
OG0000237	PT_v1_tr_00486.p1
OG0000238	PT_v1_tr_05664.p1
OG0000238	PT_v1_tr_07085.p1
OG0000240	PT_v1_tr_03469.p1
OG0000240	PT_v1_tr_07669.p1
OG0000240	PT_v1_tr_10871.p1
OG0000241	PT_v1_tr_00159.p1
OG0000241	PT_v1_tr_00732.p1
OG0000241	PT_v1_tr_02587.p1
OG0000241	PT_v1_tr_04301.p1
OG0000241	PT_v1_tr_05343.p1
OG0000241	PT_v1_tr_07371.p1
OG0000244	PT_v1_tr_00721.p1
OG0000244	PT_v1_tr_00946.p1
OG0000244	PT_v1_tr_00947.p1
OG0000244	PT_v1_tr_00948.p1
OG0000244	PT_v1_tr_06007.p1
OG0000244	PT_v1_tr_06008.p1
OG0000244	PT_v1_tr_08260.p1
OG0000244	PT_v1_tr_10534.p1
OG0000245	PT_v1_tr_01908.p1
OG0000251	PT_v1_tr_02127.p1
OG0000251	PT_v1_tr_07193.p1
OG0000251	PT_v1_tr_09599.p1
OG0000252	PT_v1_tr_07893.p1
OG0000258	PT_v1_tr_01438.p1
OG0000261	PT_v1_tr_06155.p1
OG0000261	PT_v1_tr_06157.p1
OG0000261	PT_v1_tr_06470.p1
OG0000262	PT_v1_tr_03309.p1
OG0000262	PT_v1_tr_04545.p1
OG0000263	PT_v1_tr_00052.p1
OG0000263	PT_v1_tr_04850.p1
OG0000263	PT_v1_tr_05351.p1
OG0000263	PT_v1_tr_05352.p1
OG0000263	PT_v1_tr_06143.p1
