Orthogroup	FW_TRX
OG0000000	FW_v1_tr_07183.p1
OG0000000	FW_v1_tr_07718.p1
OG0000000	FW_v1_tr_07830.p1
OG0000000	FW_v1_tr_08313.p1
OG0000000	FW_v1_tr_08530.p2
OG0000000	FW_v1_tr_08643.p2
OG0000000	FW_v1_tr_08773.p1
OG0000000	FW_v1_tr_08891.p1
OG0000000	FW_v1_tr_08968.p2
OG0000000	FW_v1_tr_09025.p2
OG0000000	FW_v1_tr_09026.p2
OG0000000	FW_v1_tr_09356.p1
OG0000000	FW_v1_tr_09363.p1
OG0000000	FW_v1_tr_09462.p1
OG0000000	FW_v1_tr_09496.p1
OG0000000	FW_v1_tr_09617.p1
OG0000000	FW_v1_tr_10646.p1
OG0000000	FW_v1_tr_10657.p1
OG0000000	FW_v1_tr_10664.p1
OG0000000	FW_v1_tr_10779.p1
OG0000000	FW_v1_tr_10834.p1
OG0000000	FW_v1_tr_10879.p1
OG0000000	FW_v1_tr_10885.p1
OG0000000	FW_v1_tr_10978.p1
OG0000000	FW_v1_tr_11074.p1
OG0000000	FW_v1_tr_11564.p1
OG0000000	FW_v1_tr_11565.p1
OG0000000	FW_v1_tr_11575.p1
OG0000000	FW_v1_tr_11578.p1
OG0000000	FW_v1_tr_11590.p1
OG0000000	FW_v1_tr_12046.p1
OG0000000	FW_v1_tr_12066.p1
OG0000000	FW_v1_tr_12095.p1
OG0000000	FW_v1_tr_12245.p3
OG0000000	FW_v1_tr_12659.p2
OG0000000	FW_v1_tr_12696.p1
OG0000000	FW_v1_tr_12782.p1
OG0000000	FW_v1_tr_12866.p1
OG0000000	FW_v1_tr_12883.p1
OG0000000	FW_v1_tr_13161.p1
OG0000000	FW_v1_tr_13387.p1
OG0000000	FW_v1_tr_13393.p1
OG0000000	FW_v1_tr_13424.p2
OG0000000	FW_v1_tr_13426.p2
OG0000000	FW_v1_tr_13427.p2
OG0000000	FW_v1_tr_13819.p1
OG0000000	FW_v1_tr_13884.p1
OG0000000	FW_v1_tr_13930.p1
OG0000000	FW_v1_tr_13966.p1
OG0000000	FW_v1_tr_13991.p1
OG0000000	FW_v1_tr_13992.p1
OG0000000	FW_v1_tr_14030.p1
OG0000000	FW_v1_tr_14132.p1
OG0000000	FW_v1_tr_14311.p1
OG0000000	FW_v1_tr_14328.p1
OG0000000	FW_v1_tr_14386.p1
OG0000000	FW_v1_tr_14388.p1
OG0000000	FW_v1_tr_14531.p1
OG0000000	FW_v1_tr_14621.p1
OG0000000	FW_v1_tr_14705.p2
OG0000000	FW_v1_tr_14746.p1
OG0000000	FW_v1_tr_14807.p1
OG0000000	FW_v1_tr_14821.p1
OG0000000	FW_v1_tr_14841.p1
OG0000000	FW_v1_tr_14895.p2
OG0000000	FW_v1_tr_14896.p2
OG0000000	FW_v1_tr_14914.p1
OG0000009	FW_v1_tr_00168.p1
OG0000009	FW_v1_tr_00549.p1
OG0000009	FW_v1_tr_00806.p1
OG0000009	FW_v1_tr_00880.p1
OG0000009	FW_v1_tr_01852.p1
OG0000009	FW_v1_tr_02122.p1
OG0000009	FW_v1_tr_02934.p1
OG0000009	FW_v1_tr_03716.p1
OG0000009	FW_v1_tr_03758.p1
OG0000009	FW_v1_tr_04715.p1
OG0000009	FW_v1_tr_04834.p1
OG0000009	FW_v1_tr_05139.p1
OG0000009	FW_v1_tr_05405.p1
OG0000009	FW_v1_tr_06034.p1
OG0000009	FW_v1_tr_06660.p1
OG0000009	FW_v1_tr_06791.p1
OG0000009	FW_v1_tr_06791.p2
OG0000009	FW_v1_tr_06879.p1
OG0000009	FW_v1_tr_07436.p1
OG0000009	FW_v1_tr_07486.p1
OG0000009	FW_v1_tr_07527.p1
OG0000009	FW_v1_tr_07585.p1
OG0000009	FW_v1_tr_09734.p1
OG0000009	FW_v1_tr_11093.p1
OG0000009	FW_v1_tr_11260.p1
OG0000009	FW_v1_tr_11301.p1
OG0000009	FW_v1_tr_11656.p1
OG0000009	FW_v1_tr_11723.p1
OG0000009	FW_v1_tr_11767.p1
OG0000009	FW_v1_tr_13212.p1
OG0000009	FW_v1_tr_14320.p1
OG0000009	FW_v1_tr_14405.p1
OG0000009	FW_v1_tr_14617.p1
OG0000009	FW_v1_tr_15124.p1
OG0000012	FW_v1_tr_00666.p1
OG0000012	FW_v1_tr_00730.p1
OG0000012	FW_v1_tr_01491.p1
OG0000012	FW_v1_tr_01911.p1
OG0000012	FW_v1_tr_02332.p1
OG0000012	FW_v1_tr_02334.p1
OG0000012	FW_v1_tr_02335.p1
OG0000012	FW_v1_tr_02522.p1
OG0000012	FW_v1_tr_02536.p1
OG0000012	FW_v1_tr_02541.p1
OG0000012	FW_v1_tr_03205.p1
OG0000012	FW_v1_tr_03396.p1
OG0000012	FW_v1_tr_03580.p1
OG0000012	FW_v1_tr_03908.p1
OG0000012	FW_v1_tr_04154.p1
OG0000012	FW_v1_tr_04317.p1
OG0000012	FW_v1_tr_05364.p1
OG0000012	FW_v1_tr_05883.p1
OG0000012	FW_v1_tr_05989.p1
OG0000012	FW_v1_tr_06069.p1
OG0000012	FW_v1_tr_06537.p1
OG0000012	FW_v1_tr_07840.p1
OG0000012	FW_v1_tr_07847.p1
OG0000012	FW_v1_tr_07851.p1
OG0000012	FW_v1_tr_07852.p1
OG0000012	FW_v1_tr_07921.p1
OG0000012	FW_v1_tr_09340.p1
OG0000012	FW_v1_tr_09783.p1
OG0000012	FW_v1_tr_09785.p1
OG0000012	FW_v1_tr_09937.p2
OG0000012	FW_v1_tr_10124.p1
OG0000012	FW_v1_tr_10913.p1
OG0000012	FW_v1_tr_10914.p1
OG0000012	FW_v1_tr_11080.p1
OG0000012	FW_v1_tr_11896.p1
OG0000012	FW_v1_tr_11897.p1
OG0000012	FW_v1_tr_11898.p1
OG0000012	FW_v1_tr_11901.p1
OG0000012	FW_v1_tr_11999.p1
OG0000012	FW_v1_tr_12802.p1
OG0000012	FW_v1_tr_13384.p1
OG0000012	FW_v1_tr_13388.p1
OG0000012	FW_v1_tr_13390.p1
OG0000012	FW_v1_tr_14099.p1
OG0000012	FW_v1_tr_14354.p1
OG0000012	FW_v1_tr_14403.p1
OG0000012	FW_v1_tr_14648.p1
OG0000012	FW_v1_tr_14686.p1
OG0000012	FW_v1_tr_14687.p1
OG0000012	FW_v1_tr_14843.p1
OG0000012	FW_v1_tr_15055.p1
OG0000013	FW_v1_tr_00783.p1
OG0000013	FW_v1_tr_01028.p1
OG0000013	FW_v1_tr_01667.p1
OG0000013	FW_v1_tr_01863.p1
OG0000013	FW_v1_tr_01906.p1
OG0000013	FW_v1_tr_02248.p1
OG0000013	FW_v1_tr_02416.p1
OG0000013	FW_v1_tr_02589.p1
OG0000013	FW_v1_tr_02720.p1
OG0000013	FW_v1_tr_03341.p1
OG0000013	FW_v1_tr_05334.p1
OG0000013	FW_v1_tr_05477.p1
OG0000013	FW_v1_tr_06375.p1
OG0000013	FW_v1_tr_06376.p1
OG0000013	FW_v1_tr_06915.p1
OG0000013	FW_v1_tr_09570.p1
OG0000013	FW_v1_tr_09745.p1
OG0000013	FW_v1_tr_09756.p1
OG0000013	FW_v1_tr_09799.p1
OG0000013	FW_v1_tr_10514.p1
OG0000013	FW_v1_tr_10516.p1
OG0000013	FW_v1_tr_10759.p1
OG0000013	FW_v1_tr_10805.p1
OG0000013	FW_v1_tr_11619.p1
OG0000013	FW_v1_tr_12375.p1
OG0000013	FW_v1_tr_13367.p1
OG0000013	FW_v1_tr_13649.p1
OG0000013	FW_v1_tr_14031.p1
OG0000013	FW_v1_tr_14112.p1
OG0000015	FW_v1_tr_01281.p1
OG0000015	FW_v1_tr_01282.p1
OG0000015	FW_v1_tr_01410.p1
OG0000015	FW_v1_tr_02191.p1
OG0000015	FW_v1_tr_02621.p1
OG0000015	FW_v1_tr_02695.p1
OG0000015	FW_v1_tr_02703.p1
OG0000015	FW_v1_tr_02707.p1
OG0000015	FW_v1_tr_02867.p1
OG0000015	FW_v1_tr_03312.p1
OG0000015	FW_v1_tr_04296.p1
OG0000015	FW_v1_tr_04489.p1
OG0000015	FW_v1_tr_05072.p1
OG0000015	FW_v1_tr_06499.p1
OG0000015	FW_v1_tr_07904.p1
OG0000015	FW_v1_tr_08582.p1
OG0000015	FW_v1_tr_08585.p1
OG0000015	FW_v1_tr_10452.p1
OG0000015	FW_v1_tr_10461.p1
OG0000015	FW_v1_tr_10462.p1
OG0000015	FW_v1_tr_10464.p1
OG0000015	FW_v1_tr_11632.p1
OG0000015	FW_v1_tr_12039.p1
OG0000015	FW_v1_tr_12079.p1
OG0000015	FW_v1_tr_12538.p1
OG0000015	FW_v1_tr_13147.p1
OG0000015	FW_v1_tr_14278.p1
OG0000015	FW_v1_tr_14955.p1
OG0000016	FW_v1_tr_01782.p1
OG0000016	FW_v1_tr_02369.p1
OG0000016	FW_v1_tr_03054.p1
OG0000016	FW_v1_tr_04553.p1
OG0000016	FW_v1_tr_06565.p1
OG0000016	FW_v1_tr_07983.p1
OG0000016	FW_v1_tr_08116.p1
OG0000016	FW_v1_tr_08126.p1
OG0000016	FW_v1_tr_08265.p1
OG0000016	FW_v1_tr_09316.p1
OG0000016	FW_v1_tr_09359.p1
OG0000016	FW_v1_tr_10416.p1
OG0000016	FW_v1_tr_11366.p1
OG0000016	FW_v1_tr_12287.p1
OG0000016	FW_v1_tr_14765.p1
OG0000016	FW_v1_tr_14765.p2
OG0000017	FW_v1_tr_00542.p1
OG0000017	FW_v1_tr_02407.p1
OG0000017	FW_v1_tr_02441.p1
OG0000017	FW_v1_tr_03456.p1
OG0000017	FW_v1_tr_08025.p1
OG0000017	FW_v1_tr_08993.p1
OG0000017	FW_v1_tr_09000.p1
OG0000017	FW_v1_tr_11622.p1
OG0000021	FW_v1_tr_01626.p1
OG0000021	FW_v1_tr_03148.p1
OG0000021	FW_v1_tr_04844.p1
OG0000021	FW_v1_tr_04867.p1
OG0000021	FW_v1_tr_06157.p1
OG0000021	FW_v1_tr_07521.p1
OG0000021	FW_v1_tr_07924.p1
OG0000021	FW_v1_tr_09174.p1
OG0000021	FW_v1_tr_09555.p1
OG0000021	FW_v1_tr_10995.p1
OG0000021	FW_v1_tr_12618.p1
OG0000021	FW_v1_tr_12988.p1
OG0000021	FW_v1_tr_13929.p1
OG0000021	FW_v1_tr_14203.p1
OG0000023	FW_v1_tr_00701.p1
OG0000023	FW_v1_tr_02061.p1
OG0000023	FW_v1_tr_04777.p1
OG0000023	FW_v1_tr_06843.p1
OG0000023	FW_v1_tr_09414.p1
OG0000023	FW_v1_tr_09444.p1
OG0000023	FW_v1_tr_10001.p1
OG0000023	FW_v1_tr_14610.p1
OG0000029	FW_v1_tr_04981.p1
OG0000029	FW_v1_tr_07135.p1
OG0000029	FW_v1_tr_08430.p1
OG0000029	FW_v1_tr_11504.p1
OG0000031	FW_v1_tr_01928.p1
OG0000031	FW_v1_tr_02996.p1
OG0000031	FW_v1_tr_03745.p1
OG0000031	FW_v1_tr_04143.p1
OG0000031	FW_v1_tr_04639.p1
OG0000031	FW_v1_tr_06282.p1
OG0000031	FW_v1_tr_06751.p1
OG0000031	FW_v1_tr_08412.p1
OG0000031	FW_v1_tr_09502.p1
OG0000031	FW_v1_tr_10738.p1
OG0000031	FW_v1_tr_12405.p1
OG0000031	FW_v1_tr_13764.p1
OG0000031	FW_v1_tr_13774.p1
OG0000031	FW_v1_tr_14486.p1
OG0000031	FW_v1_tr_14488.p1
OG0000033	FW_v1_tr_00821.p1
OG0000033	FW_v1_tr_01493.p1
OG0000033	FW_v1_tr_03030.p1
OG0000033	FW_v1_tr_03209.p1
OG0000033	FW_v1_tr_03556.p1
OG0000033	FW_v1_tr_04686.p1
OG0000033	FW_v1_tr_04831.p1
OG0000033	FW_v1_tr_05242.p1
OG0000033	FW_v1_tr_05908.p1
OG0000033	FW_v1_tr_06385.p1
OG0000033	FW_v1_tr_06534.p1
OG0000033	FW_v1_tr_06789.p1
OG0000033	FW_v1_tr_07612.p1
OG0000033	FW_v1_tr_08334.p1
OG0000033	FW_v1_tr_08466.p1
OG0000033	FW_v1_tr_08807.p1
OG0000033	FW_v1_tr_09464.p1
OG0000033	FW_v1_tr_09494.p1
OG0000033	FW_v1_tr_09751.p1
OG0000033	FW_v1_tr_09802.p1
OG0000033	FW_v1_tr_10023.p1
OG0000033	FW_v1_tr_10456.p1
OG0000033	FW_v1_tr_10544.p1
OG0000033	FW_v1_tr_10635.p1
OG0000033	FW_v1_tr_11842.p1
OG0000033	FW_v1_tr_11857.p1
OG0000033	FW_v1_tr_12923.p1
OG0000033	FW_v1_tr_13395.p1
OG0000036	FW_v1_tr_02465.p1
OG0000036	FW_v1_tr_03227.p1
OG0000036	FW_v1_tr_03470.p1
OG0000036	FW_v1_tr_05492.p1
OG0000036	FW_v1_tr_06555.p1
OG0000036	FW_v1_tr_07544.p1
OG0000036	FW_v1_tr_08351.p1
OG0000036	FW_v1_tr_08757.p1
OG0000036	FW_v1_tr_09150.p1
OG0000036	FW_v1_tr_12648.p1
OG0000038	FW_v1_tr_01442.p1
OG0000038	FW_v1_tr_01660.p1
OG0000038	FW_v1_tr_01768.p1
OG0000038	FW_v1_tr_02430.p1
OG0000038	FW_v1_tr_03129.p1
OG0000038	FW_v1_tr_05873.p1
OG0000038	FW_v1_tr_06333.p1
OG0000038	FW_v1_tr_07670.p1
OG0000038	FW_v1_tr_08107.p1
OG0000038	FW_v1_tr_14659.p1
OG0000038	FW_v1_tr_14901.p1
OG0000038	FW_v1_tr_14977.p1
OG0000040	FW_v1_tr_00210.p1
OG0000040	FW_v1_tr_00746.p1
OG0000040	FW_v1_tr_01100.p1
OG0000040	FW_v1_tr_01258.p1
OG0000040	FW_v1_tr_02194.p1
OG0000040	FW_v1_tr_04522.p1
OG0000040	FW_v1_tr_04524.p1
OG0000040	FW_v1_tr_04675.p1
OG0000040	FW_v1_tr_06406.p1
OG0000040	FW_v1_tr_09322.p1
OG0000040	FW_v1_tr_11046.p1
OG0000040	FW_v1_tr_13556.p1
OG0000045	FW_v1_tr_00059.p1
OG0000045	FW_v1_tr_00126.p1
OG0000045	FW_v1_tr_00474.p1
OG0000045	FW_v1_tr_00759.p1
OG0000045	FW_v1_tr_03483.p1
OG0000045	FW_v1_tr_04543.p1
OG0000045	FW_v1_tr_06429.p1
OG0000045	FW_v1_tr_06840.p1
OG0000045	FW_v1_tr_07439.p1
OG0000045	FW_v1_tr_10380.p1
OG0000045	FW_v1_tr_11205.p1
OG0000045	FW_v1_tr_11331.p1
OG0000045	FW_v1_tr_12630.p1
OG0000045	FW_v1_tr_13362.p1
OG0000046	FW_v1_tr_01081.p1
OG0000046	FW_v1_tr_03569.p1
OG0000046	FW_v1_tr_03593.p1
OG0000046	FW_v1_tr_03949.p1
OG0000046	FW_v1_tr_05048.p1
OG0000046	FW_v1_tr_05050.p1
OG0000046	FW_v1_tr_05607.p1
OG0000046	FW_v1_tr_06951.p1
OG0000046	FW_v1_tr_07145.p1
OG0000046	FW_v1_tr_07821.p1
OG0000046	FW_v1_tr_07865.p1
OG0000046	FW_v1_tr_08083.p1
OG0000046	FW_v1_tr_10846.p1
OG0000046	FW_v1_tr_12461.p1
OG0000046	FW_v1_tr_12700.p1
OG0000046	FW_v1_tr_13112.p1
OG0000046	FW_v1_tr_14430.p1
OG0000047	FW_v1_tr_02094.p1
OG0000047	FW_v1_tr_03570.p1
OG0000047	FW_v1_tr_03965.p1
OG0000047	FW_v1_tr_07678.p1
OG0000047	FW_v1_tr_08402.p1
OG0000047	FW_v1_tr_08408.p1
OG0000047	FW_v1_tr_11372.p1
OG0000047	FW_v1_tr_12140.p1
OG0000047	FW_v1_tr_12620.p1
OG0000047	FW_v1_tr_13612.p1
OG0000048	FW_v1_tr_00932.p1
OG0000048	FW_v1_tr_01033.p1
OG0000048	FW_v1_tr_02090.p1
OG0000048	FW_v1_tr_02410.p1
OG0000048	FW_v1_tr_04204.p1
OG0000048	FW_v1_tr_07123.p1
OG0000048	FW_v1_tr_07684.p1
OG0000048	FW_v1_tr_08920.p1
OG0000048	FW_v1_tr_10337.p1
OG0000048	FW_v1_tr_12077.p1
OG0000048	FW_v1_tr_12466.p1
OG0000048	FW_v1_tr_12546.p1
OG0000048	FW_v1_tr_13491.p1
OG0000048	FW_v1_tr_13492.p1
OG0000048	FW_v1_tr_14113.p1
OG0000048	FW_v1_tr_14463.p1
OG0000048	FW_v1_tr_14464.p1
OG0000048	FW_v1_tr_14588.p1
OG0000049	FW_v1_tr_03193.p1
OG0000049	FW_v1_tr_04722.p1
OG0000049	FW_v1_tr_06563.p1
OG0000049	FW_v1_tr_06614.p1
OG0000049	FW_v1_tr_11657.p1
OG0000049	FW_v1_tr_11686.p1
OG0000049	FW_v1_tr_12104.p1
OG0000049	FW_v1_tr_12651.p1
OG0000049	FW_v1_tr_12894.p1
OG0000049	FW_v1_tr_13369.p1
OG0000049	FW_v1_tr_13500.p1
OG0000052	FW_v1_tr_00017.p1
OG0000052	FW_v1_tr_00679.p1
OG0000052	FW_v1_tr_01227.p1
OG0000052	FW_v1_tr_01946.p1
OG0000052	FW_v1_tr_02777.p1
OG0000052	FW_v1_tr_03086.p1
OG0000052	FW_v1_tr_03947.p1
OG0000052	FW_v1_tr_06198.p1
OG0000052	FW_v1_tr_08063.p1
OG0000052	FW_v1_tr_10188.p1
OG0000052	FW_v1_tr_10849.p1
OG0000052	FW_v1_tr_11126.p1
OG0000052	FW_v1_tr_11211.p1
OG0000052	FW_v1_tr_12480.p1
OG0000052	FW_v1_tr_13006.p1
OG0000052	FW_v1_tr_13821.p1
OG0000052	FW_v1_tr_14043.p1
OG0000052	FW_v1_tr_14644.p1
OG0000052	FW_v1_tr_14745.p1
OG0000055	FW_v1_tr_00800.p1
OG0000055	FW_v1_tr_06909.p1
OG0000055	FW_v1_tr_08074.p1
OG0000055	FW_v1_tr_08365.p1
OG0000055	FW_v1_tr_09017.p1
OG0000055	FW_v1_tr_10265.p1
OG0000055	FW_v1_tr_11092.p1
OG0000058	FW_v1_tr_05435.p1
OG0000058	FW_v1_tr_08932.p1
OG0000058	FW_v1_tr_09101.p2
OG0000058	FW_v1_tr_11100.p1
OG0000058	FW_v1_tr_11103.p1
OG0000058	FW_v1_tr_12535.p1
OG0000058	FW_v1_tr_14466.p1
OG0000059	FW_v1_tr_00057.p1
OG0000059	FW_v1_tr_00062.p1
OG0000059	FW_v1_tr_01715.p1
OG0000059	FW_v1_tr_01849.p1
OG0000059	FW_v1_tr_02261.p1
OG0000059	FW_v1_tr_03404.p1
OG0000059	FW_v1_tr_06357.p1
OG0000059	FW_v1_tr_06600.p1
OG0000059	FW_v1_tr_07466.p1
OG0000059	FW_v1_tr_08309.p1
OG0000059	FW_v1_tr_08721.p1
OG0000059	FW_v1_tr_09771.p1
OG0000059	FW_v1_tr_11043.p1
OG0000059	FW_v1_tr_12238.p1
OG0000059	FW_v1_tr_12474.p1
OG0000059	FW_v1_tr_13220.p1
OG0000059	FW_v1_tr_13785.p1
OG0000063	FW_v1_tr_01521.p1
OG0000063	FW_v1_tr_04718.p1
OG0000063	FW_v1_tr_08053.p1
OG0000063	FW_v1_tr_10736.p1
OG0000063	FW_v1_tr_12390.p1
OG0000063	FW_v1_tr_12826.p1
OG0000063	FW_v1_tr_14791.p1
OG0000066	FW_v1_tr_01418.p1
OG0000066	FW_v1_tr_01941.p1
OG0000066	FW_v1_tr_03497.p1
OG0000066	FW_v1_tr_07167.p1
OG0000066	FW_v1_tr_07417.p1
OG0000066	FW_v1_tr_09191.p1
OG0000066	FW_v1_tr_09191.p2
OG0000067	FW_v1_tr_00816.p1
OG0000067	FW_v1_tr_00938.p1
OG0000067	FW_v1_tr_02569.p1
OG0000067	FW_v1_tr_04175.p1
OG0000067	FW_v1_tr_04564.p1
OG0000067	FW_v1_tr_08399.p1
OG0000067	FW_v1_tr_09058.p1
OG0000067	FW_v1_tr_09453.p1
OG0000067	FW_v1_tr_11182.p1
OG0000067	FW_v1_tr_13208.p1
OG0000067	FW_v1_tr_14284.p1
OG0000067	FW_v1_tr_14795.p1
OG0000069	FW_v1_tr_00317.p1
OG0000069	FW_v1_tr_02028.p1
OG0000069	FW_v1_tr_02709.p1
OG0000069	FW_v1_tr_06110.p1
OG0000069	FW_v1_tr_06896.p1
OG0000069	FW_v1_tr_08429.p1
OG0000069	FW_v1_tr_11359.p1
OG0000069	FW_v1_tr_13090.p1
OG0000069	FW_v1_tr_14622.p1
OG0000072	FW_v1_tr_01550.p1
OG0000072	FW_v1_tr_01867.p1
OG0000072	FW_v1_tr_02705.p1
OG0000072	FW_v1_tr_02706.p1
OG0000072	FW_v1_tr_04192.p1
OG0000072	FW_v1_tr_04193.p1
OG0000072	FW_v1_tr_04194.p1
OG0000072	FW_v1_tr_07200.p1
OG0000072	FW_v1_tr_13327.p1
OG0000072	FW_v1_tr_13923.p1
OG0000076	FW_v1_tr_00661.p1
OG0000076	FW_v1_tr_02237.p1
OG0000076	FW_v1_tr_02973.p1
OG0000076	FW_v1_tr_03109.p1
OG0000076	FW_v1_tr_09417.p1
OG0000076	FW_v1_tr_09928.p1
OG0000076	FW_v1_tr_09971.p1
OG0000076	FW_v1_tr_10520.p1
OG0000076	FW_v1_tr_10525.p1
OG0000076	FW_v1_tr_11615.p1
OG0000076	FW_v1_tr_12920.p1
OG0000076	FW_v1_tr_12921.p1
OG0000076	FW_v1_tr_13302.p1
OG0000077	FW_v1_tr_02887.p1
OG0000077	FW_v1_tr_04280.p1
OG0000077	FW_v1_tr_04281.p1
OG0000077	FW_v1_tr_06092.p2
OG0000077	FW_v1_tr_06798.p1
OG0000077	FW_v1_tr_07613.p1
OG0000077	FW_v1_tr_07942.p1
OG0000077	FW_v1_tr_10769.p1
OG0000077	FW_v1_tr_14040.p1
OG0000079	FW_v1_tr_00558.p1
OG0000079	FW_v1_tr_00742.p1
OG0000079	FW_v1_tr_01037.p1
OG0000079	FW_v1_tr_01919.p1
OG0000079	FW_v1_tr_02794.p1
OG0000079	FW_v1_tr_04387.p1
OG0000079	FW_v1_tr_05748.p1
OG0000079	FW_v1_tr_11484.p1
OG0000079	FW_v1_tr_12468.p1
OG0000079	FW_v1_tr_12599.p1
OG0000079	FW_v1_tr_14461.p1
OG0000079	FW_v1_tr_14810.p1
OG0000083	FW_v1_tr_04266.p1
OG0000084	FW_v1_tr_02228.p1
OG0000084	FW_v1_tr_04712.p1
OG0000084	FW_v1_tr_06334.p1
OG0000084	FW_v1_tr_09867.p1
OG0000084	FW_v1_tr_11077.p1
OG0000084	FW_v1_tr_11272.p1
OG0000084	FW_v1_tr_11326.p1
OG0000084	FW_v1_tr_13128.p1
OG0000086	FW_v1_tr_00535.p1
OG0000086	FW_v1_tr_01885.p1
OG0000086	FW_v1_tr_02173.p1
OG0000086	FW_v1_tr_03245.p1
OG0000086	FW_v1_tr_03735.p1
OG0000086	FW_v1_tr_05339.p1
OG0000086	FW_v1_tr_05345.p1
OG0000086	FW_v1_tr_06770.p1
OG0000086	FW_v1_tr_07448.p1
OG0000086	FW_v1_tr_11534.p1
OG0000086	FW_v1_tr_12619.p1
OG0000086	FW_v1_tr_14470.p1
OG0000087	FW_v1_tr_00280.p1
OG0000087	FW_v1_tr_00825.p1
OG0000087	FW_v1_tr_02808.p1
OG0000087	FW_v1_tr_04095.p1
OG0000087	FW_v1_tr_05007.p1
OG0000087	FW_v1_tr_05097.p1
OG0000087	FW_v1_tr_06064.p1
OG0000087	FW_v1_tr_06122.p1
OG0000087	FW_v1_tr_07413.p1
OG0000087	FW_v1_tr_11960.p1
OG0000087	FW_v1_tr_13912.p1
OG0000087	FW_v1_tr_15046.p1
OG0000088	FW_v1_tr_00335.p1
OG0000088	FW_v1_tr_01999.p1
OG0000088	FW_v1_tr_02814.p1
OG0000088	FW_v1_tr_04544.p1
OG0000088	FW_v1_tr_06755.p1
OG0000088	FW_v1_tr_06891.p1
OG0000088	FW_v1_tr_08544.p1
OG0000088	FW_v1_tr_08699.p1
OG0000088	FW_v1_tr_11234.p1
OG0000088	FW_v1_tr_11235.p1
OG0000088	FW_v1_tr_13749.p1
OG0000089	FW_v1_tr_01629.p1
OG0000089	FW_v1_tr_04626.p1
OG0000089	FW_v1_tr_05474.p1
OG0000089	FW_v1_tr_06062.p1
OG0000089	FW_v1_tr_07175.p1
OG0000089	FW_v1_tr_12219.p2
OG0000089	FW_v1_tr_12231.p1
OG0000090	FW_v1_tr_00568.p1
OG0000090	FW_v1_tr_01302.p1
OG0000090	FW_v1_tr_01306.p1
OG0000090	FW_v1_tr_01307.p1
OG0000090	FW_v1_tr_02503.p1
OG0000090	FW_v1_tr_02844.p1
OG0000090	FW_v1_tr_03929.p1
OG0000090	FW_v1_tr_05691.p1
OG0000090	FW_v1_tr_06316.p1
OG0000090	FW_v1_tr_06950.p1
OG0000090	FW_v1_tr_07759.p1
OG0000090	FW_v1_tr_07967.p1
OG0000090	FW_v1_tr_10799.p1
OG0000090	FW_v1_tr_10800.p1
OG0000090	FW_v1_tr_11455.p1
OG0000090	FW_v1_tr_11512.p1
OG0000090	FW_v1_tr_12652.p1
OG0000090	FW_v1_tr_13693.p1
OG0000091	FW_v1_tr_00897.p1
OG0000091	FW_v1_tr_01283.p1
OG0000091	FW_v1_tr_01760.p1
