Orthogroup	DD_TRX
OG0000101	XP_646881.1
OG0000101	XP_647030.1
OG0000103	XP_628883.1
OG0000103	XP_635106.1
OG0000103	XP_636883.1
OG0000103	XP_637749.1
OG0000103	XP_638650.1
OG0000103	XP_638675.1
OG0000103	XP_639384.1
OG0000103	XP_643908.1
OG0000103	XP_644216.1
OG0000103	XP_644549.1
OG0000103	XP_644702.1
OG0000103	XP_647262.1
OG0000103	XP_647461.1
OG0000106	XP_635454.1
OG0000106	XP_636952.1
OG0000106	XP_638607.1
OG0000106	XP_639293.1
OG0000106	XP_640913.2
OG0000106	XP_645593.1
OG0000106	XP_645615.2
OG0000106	XP_646110.2
OG0000107	XP_644600.1
OG0000107	XP_644651.1
OG0000107	XP_646343.1
OG0000107	XP_646344.1
OG0000107	XP_646397.1
OG0000108	XP_629261.1
OG0000108	XP_638708.1
OG0000108	XP_641133.1
OG0000111	XP_646791.1
OG0000111	XP_646792.1
OG0000111	XP_647577.1
OG0000115	XP_647020.1
OG0000116	XP_001134467.1
OG0000116	XP_629233.1
OG0000116	XP_635160.1
OG0000116	XP_637510.1
OG0000116	XP_637593.1
OG0000116	XP_638904.1
OG0000116	XP_640061.1
OG0000116	XP_640062.1
OG0000116	XP_640346.1
OG0000116	XP_640887.1
OG0000116	XP_645258.1
OG0000116	XP_645313.1
OG0000116	XP_645479.1
OG0000116	XP_645480.1
OG0000116	XP_645481.1
OG0000117	XP_637704.1
OG0000117	XP_638833.1
OG0000122	XP_635346.1
OG0000122	XP_635643.1
OG0000122	XP_639901.1
OG0000122	XP_640448.1
OG0000126	XP_640720.1
OG0000126	XP_647811.1
OG0000127	XP_637630.1
OG0000127	XP_637867.1
OG0000127	XP_640140.1
OG0000127	XP_644379.1
OG0000127	XP_645034.1
OG0000127	XP_645926.1
OG0000127	XP_647807.1
OG0000130	XP_636973.1
OG0000130	XP_637397.1
OG0000130	XP_637643.1
OG0000130	XP_637675.1
OG0000130	XP_642696.1
OG0000130	XP_644147.1
OG0000130	XP_644264.1
OG0000130	XP_647037.1
OG0000130	XP_647570.1
OG0000135	XP_637058.1
OG0000135	XP_640483.1
OG0000137	XP_629469.1
OG0000137	XP_629756.1
OG0000137	XP_639922.1
OG0000137	XP_641893.1
OG0000137	XP_647212.1
OG0000140	XP_629391.1
OG0000140	XP_637879.1
OG0000140	XP_640848.1
OG0000140	XP_642246.1
OG0000140	XP_642498.1
OG0000141	XP_638711.1
OG0000141	XP_639268.1
OG0000141	XP_640438.1
OG0000141	XP_641528.1
OG0000141	XP_642394.1
OG0000141	XP_645456.1
OG0000141	XP_646416.1
OG0000142	XP_001134572.1
OG0000142	XP_636170.1
OG0000142	XP_636570.1
OG0000142	XP_637522.1
OG0000142	XP_642376.1
OG0000143	XP_642712.1
OG0000143	XP_642958.1
OG0000145	XP_635456.1
OG0000146	XP_636602.1
OG0000146	XP_637514.1
OG0000146	XP_640759.1
OG0000146	XP_643354.1
OG0000146	XP_645223.1
OG0000146	XP_645256.1
OG0000146	XP_645444.2
OG0000151	XP_628918.1
OG0000151	XP_639920.2
OG0000151	XP_640005.1
OG0000151	XP_640006.1
OG0000151	XP_640007.1
OG0000151	XP_647520.1
OG0000151	XP_647521.1
OG0000152	XP_001732980.1
OG0000152	XP_638264.1
OG0000152	XP_638885.1
OG0000152	XP_640318.1
OG0000152	XP_643718.1
OG0000155	XP_001134470.1
OG0000155	XP_646065.1
OG0000156	XP_628977.1
OG0000156	XP_637507.1
OG0000156	XP_638398.1
OG0000156	XP_638529.1
OG0000156	XP_638532.1
OG0000156	XP_638533.1
OG0000156	XP_638553.1
OG0000156	XP_639141.1
OG0000156	XP_644000.1
OG0000156	XP_647625.1
OG0000157	XP_629058.1
OG0000157	XP_647283.1
OG0000165	XP_645904.1
OG0000170	XP_641695.1
OG0000170	XP_643313.1
OG0000170	XP_646060.1
OG0000171	XP_637239.1
OG0000171	XP_640300.1
OG0000171	XP_646135.1
OG0000172	XP_637858.1
OG0000172	XP_638835.1
OG0000172	XP_642691.1
OG0000174	XP_001733062.1
OG0000174	XP_628978.1
OG0000174	XP_638597.1
OG0000175	XP_644485.1
OG0000175	XP_644765.1
OG0000177	XP_629463.1
OG0000177	XP_636032.1
OG0000177	XP_636910.1
OG0000177	XP_640290.2
OG0000177	XP_640304.1
OG0000177	XP_640327.1
OG0000177	XP_642364.1
OG0000178	XP_001134516.1
OG0000178	XP_629079.1
OG0000178	XP_629531.1
OG0000178	XP_638020.1
OG0000178	XP_638461.1
OG0000178	XP_640044.1
OG0000178	XP_640601.1
OG0000178	XP_641374.1
OG0000178	XP_641424.1
OG0000178	XP_641506.1
OG0000178	XP_643776.1
OG0000178	XP_645596.1
OG0000179	XP_638881.1
OG0000179	XP_645839.1
OG0000179	XP_645978.1
OG0000182	XP_629476.1
OG0000183	XP_001134569.1
OG0000183	XP_643591.1
OG0000184	XP_001733021.1
OG0000184	XP_641754.1
OG0000184	XP_643018.1
OG0000184	XP_647525.1
OG0000184	XP_647535.1
OG0000185	XP_629810.1
OG0000185	XP_637716.1
OG0000185	XP_640191.1
OG0000185	XP_640667.1
OG0000185	XP_641016.1
OG0000185	XP_642322.1
OG0000185	XP_643384.1
OG0000185	XP_643603.1
OG0000185	XP_644257.1
OG0000185	XP_645182.1
OG0000185	XP_645335.1
OG0000185	XP_646595.1
OG0000185	XP_646870.1
OG0000185	XP_647022.1
OG0000186	XP_637508.1
OG0000186	XP_639280.1
OG0000186	XP_640653.1
OG0000186	XP_643097.1
OG0000186	XP_643182.1
OG0000186	XP_643516.1
OG0000186	XP_643540.1
OG0000186	XP_645920.1
OG0000188	XP_638669.1
OG0000188	XP_638799.2
OG0000188	XP_642402.1
OG0000188	XP_643266.1
OG0000188	XP_644315.1
OG0000188	XP_644908.1
OG0000193	XP_001134487.2
OG0000193	XP_001134564.2
OG0000193	XP_001134615.1
OG0000193	XP_629161.1
OG0000193	XP_629199.1
OG0000193	XP_629202.1
OG0000193	XP_629210.1
OG0000193	XP_629348.1
OG0000193	XP_629758.1
OG0000193	XP_635390.1
OG0000193	XP_635449.1
OG0000193	XP_635607.1
OG0000193	XP_635920.1
OG0000193	XP_637967.1
OG0000193	XP_638309.1
OG0000193	XP_638371.1
OG0000193	XP_638377.1
OG0000193	XP_638530.1
OG0000193	XP_639347.1
OG0000193	XP_640070.1
OG0000193	XP_640224.1
OG0000193	XP_640386.1
OG0000193	XP_641233.1
OG0000193	XP_641860.1
OG0000193	XP_642056.1
OG0000193	XP_642161.1
OG0000193	XP_642434.2
OG0000193	XP_642805.1
OG0000193	XP_643485.1
OG0000193	XP_645955.1
OG0000193	XP_646113.1
OG0000193	XP_647322.2
OG0000193	XP_647356.1
OG0000194	XP_629444.1
OG0000194	XP_637506.1
OG0000194	XP_640278.1
OG0000194	XP_643876.1
OG0000194	XP_646410.1
OG0000198	XP_636721.1
OG0000198	XP_636924.1
OG0000198	XP_637051.1
OG0000198	XP_639111.1
OG0000198	XP_641601.1
OG0000199	XP_001733006.1
OG0000199	XP_638658.1
OG0000206	XP_635241.1
OG0000206	XP_635342.1
OG0000206	XP_641447.1
OG0000214	XP_629136.1
OG0000214	XP_629966.1
OG0000215	XP_646169.1
OG0000215	XP_646281.1
OG0000216	XP_646790.1
OG0000217	XP_001134500.1
OG0000217	XP_638672.1
OG0000217	XP_641373.1
OG0000221	XP_636519.1
OG0000221	XP_637710.1
OG0000221	XP_643630.1
OG0000221	XP_643889.2
OG0000221	XP_643890.1
OG0000221	XP_643895.1
OG0000221	XP_646619.1
OG0000222	XP_628935.1
OG0000222	XP_629346.1
OG0000222	XP_637060.1
OG0000222	XP_640961.1
OG0000222	XP_643188.1
OG0000222	XP_644030.3
OG0000222	XP_644245.1
OG0000222	XP_645340.1
OG0000222	XP_645406.1
OG0000223	XP_642461.1
OG0000223	XP_643308.1
OG0000223	XP_644974.1
OG0000223	XP_646921.1
OG0000223	XP_646922.1
OG0000223	XP_646929.1
OG0000226	XP_629043.1
OG0000226	XP_629374.1
OG0000226	XP_643391.1
OG0000226	XP_646383.1
OG0000226	XP_646478.1
OG0000227	XP_001134479.1
OG0000227	XP_001134515.1
OG0000227	XP_635347.1
OG0000227	XP_636652.1
OG0000227	XP_640228.1
OG0000227	XP_642076.1
OG0000227	XP_643085.1
OG0000227	XP_643148.1
OG0000228	XP_638677.1
OG0000228	XP_642125.1
OG0000228	XP_643683.1
OG0000230	XP_001134519.1
OG0000230	XP_629214.1
OG0000230	XP_635951.2
OG0000230	XP_638519.1
OG0000230	XP_640454.1
OG0000230	XP_641636.1
OG0000230	XP_642280.1
OG0000230	XP_645554.1
OG0000230	XP_645840.1
OG0000230	XP_645977.1
OG0000231	XP_635853.1
OG0000231	XP_642649.1
OG0000231	XP_646888.1
OG0000232	XP_002649106.1
OG0000232	XP_629856.1
OG0000232	XP_635865.1
OG0000232	XP_638717.1
OG0000232	XP_639077.1
OG0000232	XP_642738.1
OG0000232	XP_644411.1
OG0000232	XP_644412.1
OG0000232	XP_644838.1
OG0000232	XP_644839.1
OG0000232	XP_644910.1
OG0000232	XP_646203.1
OG0000232	XP_647409.1
OG0000233	XP_629376.1
OG0000233	XP_629997.1
OG0000233	XP_635883.1
OG0000233	XP_645974.1
OG0000235	XP_629508.1
OG0000235	XP_636358.1
OG0000235	XP_638730.1
OG0000235	XP_641625.1
OG0000235	XP_642148.1
OG0000235	XP_642243.1
OG0000235	XP_642619.1
OG0000235	XP_643039.1
OG0000235	XP_646199.1
OG0000235	XP_647147.1
OG0000237	XP_636540.1
OG0000237	XP_638977.1
OG0000240	XP_002649204.1
OG0000240	XP_629422.1
OG0000240	XP_640460.1
OG0000240	XP_642582.2
OG0000240	XP_644121.1
OG0000240	XP_645380.1
OG0000240	XP_646697.1
OG0000241	XP_646465.1
OG0000244	XP_001134471.1
OG0000244	XP_646006.1
OG0000245	XP_002649136.1
OG0000245	XP_636183.1
OG0000245	XP_636184.1
OG0000245	XP_636185.1
OG0000245	XP_636490.1
OG0000245	XP_644230.1
OG0000245	XP_645520.1
OG0000245	XP_646844.2
OG0000245	XP_646846.1
OG0000245	XP_646847.2
OG0000245	XP_646848.1
OG0000245	XP_647058.1
OG0000245	XP_647059.1
OG0000251	XP_636261.1
OG0000251	XP_636317.1
OG0000252	XP_629308.1
OG0000252	XP_635246.1
OG0000252	XP_636623.1
OG0000252	XP_638353.1
OG0000252	XP_640791.1
OG0000252	XP_642844.1
OG0000252	XP_645655.1
OG0000262	XP_638848.1
OG0000263	XP_629559.1
OG0000263	XP_639365.1
OG0000263	XP_646625.1
OG0000264	XP_001134491.2
OG0000264	XP_001134530.2
OG0000264	XP_629264.1
OG0000264	XP_636870.1
OG0000264	XP_637320.1
OG0000264	XP_639944.1
OG0000264	XP_643331.1
OG0000265	XP_638587.1
OG0000265	XP_643505.1
OG0000265	XP_645555.1
OG0000269	XP_639121.1
OG0000269	XP_644025.1
OG0000269	XP_645631.1
OG0000269	XP_647007.1
OG0000269	XP_647128.1
OG0000270	XP_636316.1
OG0000270	XP_637101.1
OG0000270	XP_638809.1
OG0000270	XP_643733.1
OG0000270	XP_646793.1
OG0000271	XP_635634.1
OG0000271	XP_635635.1
OG0000271	XP_635636.1
OG0000271	XP_636686.1
OG0000272	XP_642726.1
OG0000275	XP_641735.1
OG0000275	XP_642724.1
OG0000275	XP_643519.1
OG0000277	XP_628999.1
OG0000277	XP_636960.1
OG0000278	XP_646763.1
OG0000279	XP_645120.1
OG0000279	XP_645297.1
OG0000279	XP_647377.1
OG0000280	XP_638379.2
OG0000280	XP_638380.1
OG0000280	XP_638381.1
OG0000281	XP_628965.1
OG0000281	XP_638920.1
OG0000281	XP_642598.1
OG0000282	XP_629344.1
OG0000282	XP_639303.1
OG0000282	XP_639875.1
OG0000283	XP_629909.1
OG0000283	XP_641244.1
OG0000283	XP_644095.1
OG0000286	XP_001733022.1
OG0000286	XP_629781.1
OG0000286	XP_635136.1
OG0000286	XP_638149.1
OG0000286	XP_638883.1
OG0000286	XP_643352.1
OG0000287	XP_646657.1
OG0000289	XP_629509.1
OG0000292	XP_635985.1
OG0000292	XP_635987.1
OG0000292	XP_635988.1
OG0000292	XP_635989.1
OG0000292	XP_636116.1
OG0000292	XP_636125.1
OG0000292	XP_645618.1
OG0000296	XP_001134475.1
OG0000297	XP_635729.1
OG0000297	XP_635744.1
OG0000297	XP_636072.1
OG0000297	XP_636073.1
OG0000297	XP_636435.1
OG0000297	XP_637432.1
OG0000297	XP_637927.1
OG0000297	XP_638070.1
OG0000297	XP_638972.1
OG0000297	XP_639033.1
OG0000297	XP_639130.1
OG0000297	XP_639282.1
OG0000297	XP_640488.1
OG0000297	XP_642312.1
OG0000297	XP_642347.1
OG0000297	XP_642407.1
OG0000297	XP_642427.1
OG0000297	XP_644604.1
OG0000297	XP_644647.1
OG0000297	XP_645175.1
OG0000297	XP_645338.1
OG0000297	XP_647094.1
OG0000298	XP_641645.1
OG0000298	XP_642564.1
OG0000302	XP_629006.1
OG0000302	XP_635476.1
OG0000302	XP_641439.1
OG0000302	XP_644114.1
OG0000302	XP_645896.1
OG0000305	XP_640629.1
OG0000305	XP_643468.1
OG0000306	XP_635420.1
OG0000307	XP_629144.1
OG0000307	XP_629328.1
OG0000307	XP_641426.1
OG0000308	XP_646336.1
OG0000311	XP_635285.1
OG0000311	XP_639892.1
OG0000311	XP_645109.1
OG0000313	XP_629755.1
OG0000313	XP_637626.1
OG0000313	XP_637797.1
OG0000313	XP_640320.1
OG0000313	XP_643247.1
OG0000313	XP_644103.1
OG0000313	XP_647519.1
OG0000315	XP_635310.1
OG0000315	XP_643013.1
OG0000315	XP_646800.1
OG0000316	XP_001732973.1
OG0000316	XP_635946.1
OG0000316	XP_636605.1
OG0000316	XP_637610.2
OG0000316	XP_639137.1
OG0000316	XP_642669.1
OG0000316	XP_643323.1
OG0000316	XP_645634.1
OG0000316	XP_646395.1
OG0000317	XP_637094.1
OG0000317	XP_639271.1
OG0000317	XP_646434.1
OG0000318	XP_001732947.1
OG0000318	XP_629849.1
OG0000318	XP_645178.2
OG0000319	XP_635791.1
OG0000319	XP_639209.1
OG0000319	XP_645186.1
OG0000319	XP_645278.1
OG0000326	XP_635668.1
OG0000326	XP_638991.1
OG0000326	XP_642050.1
OG0000326	XP_645399.1
OG0000327	XP_628948.1
OG0000327	XP_645811.1
OG0000327	XP_646597.1
OG0000328	XP_646162.1
OG0000329	XP_635478.1
OG0000329	XP_637135.1
OG0000329	XP_638173.1
OG0000329	XP_638994.1
OG0000329	XP_639176.1
OG0000329	XP_641298.1
OG0000329	XP_641762.1
OG0000332	XP_635267.1
OG0000332	XP_638722.1
OG0000332	XP_639270.1
OG0000332	XP_639272.1
OG0000332	XP_640307.1
OG0000332	XP_643111.1
OG0000332	XP_645484.1
OG0000332	XP_645524.1
OG0000339	XP_639010.1
OG0000339	XP_645704.1
OG0000342	XP_001134504.1
OG0000342	XP_629291.1
OG0000342	XP_635630.1
OG0000342	XP_638407.1
OG0000342	XP_644384.1
OG0000342	XP_645029.1
OG0000342	XP_645884.1
OG0000342	XP_647223.1
OG0000343	XP_002649143.1
OG0000343	XP_643255.1
OG0000343	XP_643668.1
OG0000343	XP_643692.2
OG0000343	XP_645903.1
OG0000344	XP_635206.1
OG0000345	XP_640057.1
OG0000345	XP_643342.1
OG0000348	XP_637284.1
OG0000349	XP_638256.1
OG0000350	XP_641173.1
OG0000350	XP_642051.1
OG0000351	XP_639297.1
OG0000351	XP_639321.1
OG0000351	XP_646612.1
OG0000351	XP_647578.1
OG0000352	XP_635850.1
OG0000352	XP_646321.1
OG0000353	XP_635387.1
OG0000353	XP_636064.1
OG0000353	XP_637386.1
OG0000358	XP_629788.1
OG0000358	XP_643687.1
OG0000359	XP_638694.1
OG0000359	XP_647668.1
OG0000360	XP_636212.1
OG0000361	XP_637776.1
OG0000361	XP_637777.1
OG0000361	XP_637778.1
OG0000361	XP_639143.1
OG0000361	XP_642611.1
OG0000362	XP_640043.1
OG0000362	XP_640220.1
OG0000365	XP_635962.1
OG0000365	XP_637611.1
OG0000365	XP_638409.1
OG0000365	XP_638798.1
OG0000366	XP_644414.1
OG0000366	XP_644836.1
OG0000366	XP_645137.1
OG0000368	XP_635269.1
OG0000368	XP_645352.1
OG0000372	XP_636689.1
OG0000372	XP_638715.1
OG0000372	XP_641289.1
OG0000372	XP_642620.1
OG0000372	XP_646426.1
OG0000372	XP_647508.1
OG0000373	XP_635863.1
OG0000374	XP_639074.1
OG0000374	XP_640728.1
OG0000374	XP_640729.1
OG0000375	XP_640474.1
OG0000375	XP_643611.1
OG0000377	XP_643861.1
OG0000377	XP_647095.1
OG0000382	XP_642400.1
OG0000385	XP_002649089.1
OG0000385	XP_629489.1
OG0000385	XP_639304.1
OG0000385	XP_642914.1
OG0000385	XP_643344.1
OG0000385	XP_644975.1
OG0000385	XP_646129.1
OG0000385	XP_646825.1
OG0000388	XP_629634.1
OG0000388	XP_636643.1
OG0000388	XP_638805.1
OG0000389	XP_636516.1
OG0000389	XP_636688.1
OG0000389	XP_646339.1
OG0000392	XP_640670.1
OG0000392	XP_642359.1
OG0000392	XP_645343.1
OG0000392	XP_646845.1
OG0000393	XP_637100.1
OG0000394	XP_642123.1
OG0000394	XP_642645.1
OG0000394	XP_647385.1
