Orthogroup	ZF_TRX
OG0000012	ENSDARG00000045242.p1
OG0000012	ENSDARG00000053207.p4
OG0000012	ENSDARG00000061579.p1
OG0000012	ENSDARG00000061635.p1
OG0000012	ENSDARG00000061810.p1
OG0000012	ENSDARG00000061937.p1
OG0000012	ENSDARG00000061968.p1
OG0000012	ENSDARG00000062003.p1
OG0000012	ENSDARG00000063295.p2
OG0000012	ENSDARG00000067990.p2
OG0000012	ENSDARG00000067995.p1
OG0000012	ENSDARG00000067997.p1
OG0000012	ENSDARG00000071430.p1
OG0000012	ENSDARG00000071433.p1
OG0000012	ENSDARG00000071435.p1
OG0000012	ENSDARG00000073732.p1
OG0000012	ENSDARG00000073843.p3
OG0000012	ENSDARG00000074413.p1
OG0000012	ENSDARG00000074622.p1
OG0000012	ENSDARG00000076075.p1
OG0000012	ENSDARG00000076729.p1
OG0000012	ENSDARG00000077201.p1
OG0000012	ENSDARG00000077410.p1
OG0000012	ENSDARG00000078582.p1
OG0000012	ENSDARG00000078603.p1
OG0000012	ENSDARG00000078734.p1
OG0000012	ENSDARG00000079564.p1
OG0000012	ENSDARG00000079581.p1
OG0000012	ENSDARG00000086730.p1
OG0000012	ENSDARG00000087582.p1
OG0000012	ENSDARG00000089541.p1
OG0000012	ENSDARG00000090103.p1
OG0000012	ENSDARG00000090637.p1
OG0000012	ENSDARG00000091370.p1
OG0000013	ENSDARG00000000606.p1
OG0000013	ENSDARG00000004221.p1
OG0000013	ENSDARG00000014717.p1
OG0000013	ENSDARG00000055736.p1
OG0000013	ENSDARG00000056888.p1
OG0000013	ENSDARG00000058416.p1
OG0000013	ENSDARG00000059987.p1
OG0000013	ENSDARG00000060165.p1
OG0000013	ENSDARG00000061486.p1
OG0000013	ENSDARG00000062513.p1
OG0000013	ENSDARG00000068468.p1
OG0000013	ENSDARG00000070366.p1
OG0000013	ENSDARG00000077384.p1
OG0000013	ENSDARG00000086298.p1
OG0000013	ENSDARG00000086671.p1
OG0000013	ENSDARG00000087112.p1
OG0000013	ENSDARG00000087352.p1
OG0000013	ENSDARG00000087373.p1
OG0000013	ENSDARG00000087466.p1
OG0000013	ENSDARG00000089596.p1
OG0000013	ENSDARG00000090341.p1
OG0000013	ENSDARG00000090725.p1
OG0000015	ENSDARG00000004748.p1
OG0000015	ENSDARG00000006693.p1
OG0000015	ENSDARG00000010097.p1
OG0000015	ENSDARG00000010378.p1
OG0000015	ENSDARG00000011463.p1
OG0000015	ENSDARG00000012860.p1
OG0000015	ENSDARG00000016538.p1
OG0000015	ENSDARG00000027196.p1
OG0000015	ENSDARG00000027609.p1
OG0000015	ENSDARG00000029493.p1
OG0000015	ENSDARG00000029841.p1
OG0000015	ENSDARG00000030753.p1
OG0000015	ENSDARG00000034862.p1
OG0000015	ENSDARG00000036545.p1
OG0000015	ENSDARG00000036900.p3
OG0000015	ENSDARG00000038258.p1
OG0000015	ENSDARG00000038891.p1
OG0000015	ENSDARG00000039579.p1
OG0000015	ENSDARG00000039730.p1
OG0000015	ENSDARG00000040282.p1
OG0000015	ENSDARG00000040513.p1
OG0000015	ENSDARG00000042993.p1
OG0000015	ENSDARG00000043283.p4
OG0000015	ENSDARG00000044655.p2
OG0000015	ENSDARG00000045889.p1
OG0000015	ENSDARG00000046140.p1
OG0000015	ENSDARG00000052064.p1
OG0000015	ENSDARG00000052517.p1
OG0000015	ENSDARG00000052905.p1
OG0000015	ENSDARG00000053158.p1
OG0000015	ENSDARG00000053315.p1
OG0000015	ENSDARG00000053323.p1
OG0000015	ENSDARG00000055011.p1
OG0000015	ENSDARG00000055014.p1
OG0000015	ENSDARG00000055644.p1
OG0000015	ENSDARG00000056324.p1
OG0000015	ENSDARG00000056773.p1
OG0000015	ENSDARG00000057040.p1
OG0000015	ENSDARG00000057498.p1
OG0000015	ENSDARG00000059026.p1
OG0000015	ENSDARG00000060754.p1
OG0000015	ENSDARG00000061173.p5
OG0000015	ENSDARG00000061858.p1
OG0000015	ENSDARG00000062758.p1
OG0000015	ENSDARG00000063444.p1
OG0000015	ENSDARG00000068303.p1
OG0000015	ENSDARG00000068680.p1
OG0000015	ENSDARG00000070710.p1
OG0000015	ENSDARG00000070713.p1
OG0000015	ENSDARG00000071841.p1
OG0000015	ENSDARG00000073742.p1
OG0000015	ENSDARG00000074718.p1
OG0000015	ENSDARG00000075827.p1
OG0000015	ENSDARG00000076045.p1
OG0000015	ENSDARG00000076900.p1
OG0000015	ENSDARG00000077573.p1
OG0000015	ENSDARG00000079102.p1
OG0000015	ENSDARG00000079274.p1
OG0000015	ENSDARG00000079393.p1
OG0000015	ENSDARG00000086161.p1
OG0000015	ENSDARG00000087193.p1
OG0000015	ENSDARG00000087717.p1
OG0000015	ENSDARG00000088581.p1
OG0000015	ENSDARG00000088893.p1
OG0000015	ENSDARG00000090267.p1
OG0000015	ENSDARG00000090428.p3
OG0000015	ENSDARG00000090562.p1
OG0000015	ENSDARG00000090967.p1
OG0000016	ENSDARG00000011390.p1
OG0000016	ENSDARG00000013787.p2
OG0000016	ENSDARG00000014320.p1
OG0000016	ENSDARG00000014588.p1
OG0000016	ENSDARG00000017437.p1
OG0000016	ENSDARG00000018329.p3
OG0000016	ENSDARG00000018750.p1
OG0000016	ENSDARG00000025504.p4
OG0000016	ENSDARG00000026820.p6
OG0000016	ENSDARG00000027797.p1
OG0000016	ENSDARG00000031751.p1
OG0000016	ENSDARG00000031783.p1
OG0000016	ENSDARG00000032838.p1
OG0000016	ENSDARG00000043141.p1
OG0000016	ENSDARG00000056045.p1
OG0000016	ENSDARG00000056591.p1
OG0000016	ENSDARG00000058392.p1
OG0000016	ENSDARG00000060070.p1
OG0000016	ENSDARG00000060264.p1
OG0000016	ENSDARG00000061445.p1
OG0000016	ENSDARG00000068890.p1
OG0000016	ENSDARG00000069419.p1
OG0000016	ENSDARG00000073795.p1
OG0000016	ENSDARG00000076776.p1
OG0000016	ENSDARG00000077145.p1
OG0000016	ENSDARG00000086331.p1
OG0000016	ENSDARG00000086790.p1
OG0000016	ENSDARG00000088634.p1
OG0000016	ENSDARG00000090525.p1
OG0000016	ENSDARG00000091053.p1
OG0000016	ENSDARG00000091342.p1
OG0000017	ENSDARG00000002249.p3
OG0000017	ENSDARG00000004262.p1
OG0000017	ENSDARG00000004964.p2
OG0000017	ENSDARG00000012137.p1
OG0000017	ENSDARG00000015575.p3
OG0000017	ENSDARG00000037873.p1
OG0000017	ENSDARG00000037874.p1
OG0000017	ENSDARG00000039492.p1
OG0000017	ENSDARG00000045627.p1
OG0000017	ENSDARG00000053530.p1
OG0000017	ENSDARG00000061585.p1
OG0000017	ENSDARG00000062132.p1
OG0000017	ENSDARG00000070021.p1
OG0000017	ENSDARG00000089177.p1
OG0000021	ENSDARG00000001769.p1
OG0000021	ENSDARG00000008849.p1
OG0000021	ENSDARG00000012340.p1
OG0000021	ENSDARG00000013916.p1
OG0000021	ENSDARG00000015891.p1
OG0000021	ENSDARG00000020334.p1
OG0000021	ENSDARG00000021151.p1
OG0000021	ENSDARG00000038590.p1
OG0000021	ENSDARG00000044635.p1
OG0000021	ENSDARG00000055784.p1
OG0000021	ENSDARG00000059452.p1
OG0000021	ENSDARG00000059738.p1
OG0000021	ENSDARG00000062248.p1
OG0000021	ENSDARG00000063416.p1
OG0000021	ENSDARG00000071437.p1
OG0000021	ENSDARG00000073679.p1
OG0000021	ENSDARG00000073862.p2
OG0000021	ENSDARG00000073902.p1
OG0000021	ENSDARG00000074866.p1
OG0000021	ENSDARG00000075062.p7
OG0000021	ENSDARG00000076624.p1
OG0000021	ENSDARG00000076810.p1
OG0000021	ENSDARG00000077495.p1
OG0000021	ENSDARG00000078297.p1
OG0000021	ENSDARG00000079560.p1
OG0000021	ENSDARG00000086511.p1
OG0000021	ENSDARG00000089043.p1
OG0000021	ENSDARG00000089394.p1
OG0000023	ENSDARG00000009582.p1
OG0000023	ENSDARG00000013050.p1
OG0000023	ENSDARG00000014031.p7
OG0000023	ENSDARG00000015985.p5
OG0000023	ENSDARG00000016750.p1
OG0000023	ENSDARG00000041107.p1
OG0000023	ENSDARG00000058953.p1
OG0000023	ENSDARG00000059874.p1
OG0000023	ENSDARG00000061233.p1
OG0000023	ENSDARG00000077007.p1
OG0000023	ENSDARG00000077243.p1
OG0000023	ENSDARG00000077988.p1
OG0000029	ENSDARG00000016818.p1
OG0000029	ENSDARG00000043037.p1
OG0000029	ENSDARG00000058574.p1
OG0000029	ENSDARG00000061047.p1
OG0000029	ENSDARG00000063059.p1
OG0000029	ENSDARG00000063078.p1
OG0000029	ENSDARG00000063475.p1
OG0000029	ENSDARG00000078068.p1
OG0000029	ENSDARG00000079361.p1
OG0000030	ENSDARG00000002394.p1
OG0000030	ENSDARG00000006220.p1
OG0000030	ENSDARG00000006372.p1
OG0000030	ENSDARG00000011197.p1
OG0000030	ENSDARG00000011537.p1
OG0000030	ENSDARG00000016479.p1
OG0000030	ENSDARG00000032862.p1
OG0000030	ENSDARG00000037455.p1
OG0000030	ENSDARG00000039501.p1
OG0000030	ENSDARG00000043901.p1
OG0000030	ENSDARG00000051805.p1
OG0000030	ENSDARG00000051940.p5
OG0000030	ENSDARG00000054835.p1
OG0000030	ENSDARG00000057612.p11
OG0000030	ENSDARG00000058048.p1
OG0000030	ENSDARG00000058841.p1
OG0000030	ENSDARG00000058845.p1
OG0000030	ENSDARG00000061439.p1
OG0000030	ENSDARG00000061444.p1
OG0000030	ENSDARG00000061672.p1
OG0000030	ENSDARG00000086782.p1
OG0000030	ENSDARG00000086865.p1
OG0000030	ENSDARG00000087325.p1
OG0000030	ENSDARG00000088038.p1
OG0000030	ENSDARG00000089507.p19
OG0000030	ENSDARG00000090391.p1
OG0000030	ENSDARG00000090488.p1
OG0000030	ENSDARG00000090717.p1
OG0000030	ENSDARG00000091624.p1
OG0000030	ENSDARG00000091797.p1
OG0000031	ENSDARG00000003867.p1
OG0000031	ENSDARG00000006093.p1
OG0000031	ENSDARG00000012204.p1
OG0000031	ENSDARG00000026577.p1
OG0000031	ENSDARG00000032072.p1
OG0000031	ENSDARG00000034256.p2
OG0000031	ENSDARG00000044811.p1
OG0000031	ENSDARG00000056683.p1
OG0000031	ENSDARG00000059287.p1
OG0000031	ENSDARG00000059862.p1
OG0000031	ENSDARG00000063721.p1
OG0000031	ENSDARG00000063726.p1
OG0000031	ENSDARG00000074665.p2
OG0000031	ENSDARG00000076791.p1
OG0000031	ENSDARG00000079470.p1
OG0000031	ENSDARG00000087554.p1
OG0000033	ENSDARG00000001781.p1
OG0000033	ENSDARG00000003754.p1
OG0000033	ENSDARG00000004497.p1
OG0000033	ENSDARG00000005842.p1
OG0000033	ENSDARG00000008407.p1
OG0000033	ENSDARG00000013525.p1
OG0000033	ENSDARG00000015015.p1
OG0000033	ENSDARG00000015759.p1
OG0000033	ENSDARG00000016691.p7
OG0000033	ENSDARG00000019098.p1
OG0000033	ENSDARG00000021866.p1
OG0000033	ENSDARG00000022437.p1
OG0000033	ENSDARG00000025147.p1
OG0000033	ENSDARG00000025299.p1
OG0000033	ENSDARG00000025757.p1
OG0000033	ENSDARG00000026070.p1
OG0000033	ENSDARG00000036080.p1
OG0000033	ENSDARG00000038288.p1
OG0000033	ENSDARG00000042189.p1
OG0000033	ENSDARG00000042967.p1
OG0000033	ENSDARG00000044767.p1
OG0000033	ENSDARG00000044990.p1
OG0000033	ENSDARG00000045706.p1
OG0000033	ENSDARG00000052027.p1
OG0000033	ENSDARG00000053183.p1
OG0000033	ENSDARG00000055938.p3
OG0000033	ENSDARG00000056656.p1
OG0000033	ENSDARG00000059202.p1
OG0000033	ENSDARG00000068233.p1
OG0000033	ENSDARG00000068629.p1
OG0000033	ENSDARG00000070391.p1
OG0000033	ENSDARG00000070449.p1
OG0000033	ENSDARG00000070456.p4
OG0000033	ENSDARG00000075515.p3
OG0000033	ENSDARG00000086033.p1
OG0000033	ENSDARG00000088044.p1
OG0000033	ENSDARG00000089354.p1
OG0000033	ENSDARG00000090253.p1
OG0000036	ENSDARG00000002510.p1
OG0000036	ENSDARG00000005173.p1
OG0000036	ENSDARG00000005574.p1
OG0000036	ENSDARG00000007406.p1
OG0000036	ENSDARG00000008203.p1
OG0000036	ENSDARG00000009922.p2
OG0000036	ENSDARG00000010192.p3
OG0000036	ENSDARG00000011235.p1
OG0000036	ENSDARG00000011989.p1
OG0000036	ENSDARG00000014201.p1
OG0000036	ENSDARG00000015879.p1
OG0000036	ENSDARG00000015906.p1
OG0000036	ENSDARG00000020961.p1
OG0000036	ENSDARG00000021336.p1
OG0000036	ENSDARG00000021959.p1
OG0000036	ENSDARG00000025891.p3
OG0000036	ENSDARG00000028148.p3
OG0000036	ENSDARG00000028348.p1
OG0000036	ENSDARG00000029117.p1
OG0000036	ENSDARG00000030703.p1
OG0000036	ENSDARG00000032578.p1
OG0000036	ENSDARG00000033971.p1
OG0000036	ENSDARG00000037383.p1
OG0000036	ENSDARG00000037760.p1
OG0000036	ENSDARG00000039756.p1
OG0000036	ENSDARG00000040321.p2
OG0000036	ENSDARG00000040955.p1
OG0000036	ENSDARG00000042027.p1
OG0000036	ENSDARG00000042526.p1
OG0000036	ENSDARG00000043483.p1
OG0000036	ENSDARG00000043643.p1
OG0000036	ENSDARG00000045045.p5
OG0000036	ENSDARG00000045936.p2
OG0000036	ENSDARG00000052893.p1
OG0000036	ENSDARG00000053364.p1
OG0000036	ENSDARG00000053829.p1
OG0000036	ENSDARG00000056292.p1
OG0000036	ENSDARG00000058011.p1
OG0000036	ENSDARG00000058379.p1
OG0000036	ENSDARG00000059073.p1
OG0000036	ENSDARG00000062824.p1
OG0000036	ENSDARG00000069329.p1
OG0000036	ENSDARG00000069382.p1
OG0000036	ENSDARG00000070818.p1
OG0000036	ENSDARG00000071684.p1
OG0000036	ENSDARG00000071751.p1
OG0000036	ENSDARG00000073814.p1
OG0000036	ENSDARG00000074250.p1
OG0000036	ENSDARG00000074442.p1
OG0000036	ENSDARG00000075330.p1
OG0000036	ENSDARG00000075713.p1
OG0000036	ENSDARG00000075896.p1
OG0000036	ENSDARG00000076491.p1
OG0000036	ENSDARG00000088332.p1
OG0000036	ENSDARG00000091029.p3
OG0000036	ENSDARG00000091086.p1
OG0000036	ENSDARG00000091353.p1
OG0000038	ENSDARG00000017665.p2
OG0000038	ENSDARG00000019345.p4
OG0000038	ENSDARG00000023914.p1
OG0000038	ENSDARG00000024966.p1
OG0000038	ENSDARG00000026630.p1
OG0000038	ENSDARG00000028676.p1
OG0000038	ENSDARG00000030759.p1
OG0000038	ENSDARG00000032458.p1
OG0000038	ENSDARG00000055343.p1
OG0000038	ENSDARG00000060596.p1
OG0000038	ENSDARG00000060641.p1
OG0000038	ENSDARG00000062315.p1
OG0000038	ENSDARG00000063661.p1
OG0000038	ENSDARG00000070832.p1
OG0000038	ENSDARG00000074087.p1
OG0000038	ENSDARG00000074519.p1
OG0000038	ENSDARG00000077873.p1
OG0000038	ENSDARG00000079031.p1
OG0000038	ENSDARG00000079618.p1
OG0000038	ENSDARG00000079905.p1
OG0000038	ENSDARG00000079988.p1
OG0000038	ENSDARG00000088083.p1
OG0000040	ENSDARG00000010442.p1
OG0000040	ENSDARG00000017636.p1
OG0000040	ENSDARG00000019438.p1
OG0000040	ENSDARG00000020475.p1
OG0000040	ENSDARG00000022891.p1
OG0000040	ENSDARG00000022893.p3
OG0000040	ENSDARG00000023303.p1
OG0000040	ENSDARG00000023958.p1
OG0000040	ENSDARG00000036965.p1
OG0000040	ENSDARG00000039483.p1
OG0000040	ENSDARG00000040635.p1
OG0000040	ENSDARG00000059424.p1
OG0000040	ENSDARG00000062450.p1
OG0000040	ENSDARG00000062900.p1
OG0000040	ENSDARG00000063483.p1
OG0000040	ENSDARG00000077855.p1
OG0000040	ENSDARG00000077906.p1
OG0000040	ENSDARG00000078306.p1
OG0000040	ENSDARG00000078802.p1
OG0000040	ENSDARG00000088454.p1
OG0000040	ENSDARG00000089967.p1
OG0000045	ENSDARG00000007628.p1
OG0000045	ENSDARG00000009299.p3
OG0000045	ENSDARG00000010031.p1
OG0000045	ENSDARG00000019307.p1
OG0000045	ENSDARG00000032738.p1
OG0000045	ENSDARG00000036572.p1
OG0000045	ENSDARG00000039232.p1
OG0000045	ENSDARG00000039850.p1
OG0000045	ENSDARG00000040490.p1
OG0000045	ENSDARG00000044688.p1
OG0000045	ENSDARG00000045200.p1
OG0000045	ENSDARG00000052465.p1
OG0000045	ENSDARG00000056396.p1
OG0000045	ENSDARG00000056780.p1
OG0000045	ENSDARG00000057625.p1
OG0000045	ENSDARG00000057699.p1
OG0000045	ENSDARG00000059695.p1
OG0000045	ENSDARG00000060130.p1
OG0000045	ENSDARG00000061255.p1
OG0000045	ENSDARG00000061498.p2
OG0000045	ENSDARG00000067564.p1
OG0000045	ENSDARG00000068238.p1
OG0000045	ENSDARG00000069529.p1
OG0000045	ENSDARG00000070914.p1
OG0000045	ENSDARG00000076330.p1
OG0000045	ENSDARG00000076927.p5
OG0000045	ENSDARG00000077617.p1
OG0000045	ENSDARG00000077623.p1
OG0000045	ENSDARG00000078317.p1
OG0000045	ENSDARG00000078598.p1
OG0000045	ENSDARG00000079591.p1
OG0000045	ENSDARG00000086928.p1
OG0000045	ENSDARG00000088440.p1
OG0000045	ENSDARG00000088800.p1
OG0000045	ENSDARG00000089056.p1
OG0000045	ENSDARG00000091224.p1
OG0000046	ENSDARG00000003902.p1
OG0000046	ENSDARG00000007836.p3
OG0000046	ENSDARG00000011701.p1
OG0000046	ENSDARG00000013771.p1
OG0000046	ENSDARG00000036940.p3
OG0000046	ENSDARG00000039173.p1
OG0000046	ENSDARG00000040251.p1
OG0000046	ENSDARG00000041108.p1
OG0000046	ENSDARG00000042753.p1
OG0000046	ENSDARG00000063095.p1
OG0000046	ENSDARG00000074306.p1
OG0000046	ENSDARG00000074656.p1
OG0000046	ENSDARG00000075527.p2
OG0000046	ENSDARG00000077664.p1
OG0000046	ENSDARG00000079376.p1
OG0000046	ENSDARG00000087651.p1
OG0000046	ENSDARG00000089750.p1
OG0000046	ENSDARG00000089806.p1
OG0000046	ENSDARG00000090918.p1
OG0000047	ENSDARG00000002241.p1
OG0000047	ENSDARG00000006891.p1
OG0000047	ENSDARG00000017108.p1
OG0000047	ENSDARG00000026084.p1
OG0000047	ENSDARG00000027285.p1
OG0000047	ENSDARG00000027940.p1
OG0000047	ENSDARG00000029511.p1
OG0000047	ENSDARG00000032799.p1
OG0000047	ENSDARG00000032959.p1
OG0000047	ENSDARG00000035861.p1
OG0000047	ENSDARG00000035961.p1
OG0000047	ENSDARG00000037933.p1
OG0000047	ENSDARG00000038862.p5
OG0000047	ENSDARG00000046014.p1
OG0000047	ENSDARG00000051852.p1
OG0000047	ENSDARG00000051892.p1
OG0000047	ENSDARG00000055855.p1
OG0000047	ENSDARG00000056101.p4
OG0000047	ENSDARG00000056502.p1
OG0000047	ENSDARG00000057468.p3
OG0000047	ENSDARG00000059935.p1
OG0000047	ENSDARG00000060095.p1
OG0000047	ENSDARG00000061288.p1
OG0000047	ENSDARG00000061493.p1
OG0000047	ENSDARG00000061622.p1
OG0000047	ENSDARG00000061753.p1
OG0000047	ENSDARG00000062906.p1
OG0000047	ENSDARG00000062942.p1
OG0000047	ENSDARG00000062967.p1
OG0000047	ENSDARG00000063282.p1
OG0000047	ENSDARG00000070092.p1
OG0000047	ENSDARG00000074746.p1
OG0000047	ENSDARG00000076644.p1
OG0000047	ENSDARG00000076854.p1
OG0000047	ENSDARG00000078650.p1
OG0000047	ENSDARG00000079491.p1
OG0000047	ENSDARG00000086571.p1
OG0000047	ENSDARG00000088842.p1
OG0000047	ENSDARG00000091458.p1
OG0000047	ENSDARG00000091755.p1
OG0000048	ENSDARG00000005462.p1
OG0000048	ENSDARG00000008022.p1
OG0000048	ENSDARG00000009733.p1
OG0000048	ENSDARG00000009850.p3
OG0000048	ENSDARG00000010948.p1
OG0000048	ENSDARG00000012081.p4
OG0000048	ENSDARG00000017162.p1
OG0000048	ENSDARG00000033099.p1
OG0000048	ENSDARG00000053026.p4
OG0000048	ENSDARG00000055238.p1
OG0000048	ENSDARG00000061089.p1
OG0000048	ENSDARG00000062606.p1
OG0000048	ENSDARG00000063385.p4
OG0000048	ENSDARG00000078491.p1
OG0000048	ENSDARG00000079500.p1
OG0000048	ENSDARG00000087538.p1
OG0000049	ENSDARG00000001882.p1
OG0000049	ENSDARG00000001930.p3
OG0000049	ENSDARG00000003576.p1
OG0000049	ENSDARG00000004306.p1
OG0000049	ENSDARG00000005814.p1
OG0000049	ENSDARG00000006757.p1
OG0000049	ENSDARG00000008275.p3
OG0000049	ENSDARG00000013492.p1
OG0000049	ENSDARG00000015344.p1
OG0000049	ENSDARG00000016132.p1
OG0000049	ENSDARG00000016531.p2
OG0000049	ENSDARG00000018430.p1
OG0000049	ENSDARG00000019125.p1
OG0000049	ENSDARG00000020176.p1
OG0000049	ENSDARG00000021739.p1
OG0000049	ENSDARG00000026990.p2
OG0000049	ENSDARG00000028949.p1
OG0000049	ENSDARG00000030251.p1
OG0000049	ENSDARG00000031383.p1
OG0000049	ENSDARG00000035398.p1
OG0000049	ENSDARG00000035889.p1
OG0000049	ENSDARG00000037324.p1
OG0000049	ENSDARG00000038801.p2
OG0000049	ENSDARG00000039052.p1
OG0000049	ENSDARG00000039066.p3
OG0000049	ENSDARG00000039255.p1
OG0000049	ENSDARG00000039899.p1
OG0000049	ENSDARG00000040278.p1
OG0000049	ENSDARG00000042689.p1
OG0000049	ENSDARG00000043799.p1
OG0000049	ENSDARG00000045130.p1
OG0000049	ENSDARG00000045275.p1
OG0000049	ENSDARG00000045983.p1
OG0000049	ENSDARG00000051715.p1
OG0000049	ENSDARG00000052426.p1
OG0000049	ENSDARG00000053803.p1
OG0000049	ENSDARG00000053876.p1
OG0000049	ENSDARG00000055142.p1
OG0000049	ENSDARG00000055567.p1
OG0000049	ENSDARG00000056647.p1
OG0000049	ENSDARG00000057582.p1
OG0000049	ENSDARG00000058122.p1
OG0000049	ENSDARG00000058322.p1
OG0000049	ENSDARG00000059226.p3
OG0000049	ENSDARG00000061110.p1
OG0000049	ENSDARG00000061786.p1
OG0000049	ENSDARG00000062122.p1
OG0000049	ENSDARG00000063577.p1
OG0000049	ENSDARG00000067751.p1
OG0000049	ENSDARG00000068888.p1
OG0000049	ENSDARG00000070698.p1
OG0000049	ENSDARG00000073779.p1
OG0000049	ENSDARG00000074634.p1
OG0000049	ENSDARG00000076094.p1
OG0000049	ENSDARG00000077554.p1
OG0000049	ENSDARG00000078475.p1
OG0000049	ENSDARG00000086463.p1
OG0000049	ENSDARG00000087226.p1
OG0000049	ENSDARG00000087650.p1
OG0000049	ENSDARG00000087688.p1
OG0000049	ENSDARG00000088271.p1
OG0000049	ENSDARG00000088807.p1
OG0000052	ENSDARG00000003991.p1
OG0000052	ENSDARG00000014805.p1
OG0000052	ENSDARG00000014976.p1
OG0000052	ENSDARG00000023578.p1
OG0000052	ENSDARG00000026985.p1
OG0000052	ENSDARG00000034643.p1
OG0000052	ENSDARG00000038267.p1
OG0000052	ENSDARG00000042018.p1
OG0000052	ENSDARG00000056653.p1
OG0000052	ENSDARG00000059158.p1
OG0000052	ENSDARG00000060766.p1
OG0000052	ENSDARG00000063666.p1
OG0000052	ENSDARG00000069331.p1
OG0000052	ENSDARG00000071498.p1
OG0000052	ENSDARG00000071558.p1
OG0000052	ENSDARG00000075733.p1
OG0000052	ENSDARG00000077842.p1
OG0000052	ENSDARG00000077964.p1
OG0000052	ENSDARG00000079315.p1
OG0000052	ENSDARG00000086858.p1
OG0000052	ENSDARG00000087850.p1
OG0000052	ENSDARG00000088590.p1
OG0000052	ENSDARG00000090937.p1
OG0000055	ENSDARG00000004372.p1
OG0000055	ENSDARG00000009519.p1
OG0000055	ENSDARG00000009689.p1
OG0000055	ENSDARG00000011975.p1
OG0000055	ENSDARG00000012586.p1
OG0000055	ENSDARG00000015059.p1
OG0000055	ENSDARG00000015102.p1
OG0000055	ENSDARG00000023318.p1
OG0000055	ENSDARG00000028393.p1
OG0000055	ENSDARG00000055713.p1
OG0000055	ENSDARG00000061778.p1
OG0000055	ENSDARG00000069129.p1
OG0000055	ENSDARG00000074812.p1
OG0000055	ENSDARG00000075041.p1
OG0000055	ENSDARG00000075519.p1
OG0000055	ENSDARG00000076060.p1
OG0000055	ENSDARG00000076103.p1
OG0000055	ENSDARG00000078231.p1
OG0000055	ENSDARG00000086261.p1
