Orthogroup	SC_TRX
OG0000087	NP_011395.1
OG0000087	NP_012845.1
OG0000087	NP_013012.3
OG0000087	NP_014408.1
OG0000088	NP_010937.3
OG0000088	NP_011868.1
OG0000089	NP_013413.1
OG0000090	NP_009396.2
OG0000090	NP_009478.1
OG0000090	NP_010052.1
OG0000090	NP_011029.3
OG0000090	NP_012500.3
OG0000090	NP_013076.1
OG0000090	NP_013473.1
OG0000090	NP_014190.1
OG0000093	NP_014518.1
OG0000094	NP_015005.1
OG0000097	NP_009553.1
OG0000097	NP_010510.3
OG0000099	NP_009445.2
OG0000100	NP_116615.1
OG0000100	NP_116650.1
OG0000103	NP_009411.2
OG0000103	NP_010811.1
OG0000103	NP_011970.1
OG0000103	NP_012440.1
OG0000106	NP_009961.2
OG0000107	NP_011913.1
OG0000107	NP_012129.1
OG0000107	NP_012765.3
OG0000108	NP_011091.1
OG0000111	NP_009564.1
OG0000111	NP_014367.1
OG0000115	NP_009974.1
OG0000115	NP_010854.1
OG0000115	NP_014645.1
OG0000117	NP_009537.1
OG0000117	NP_011554.3
OG0000117	NP_011895.1
OG0000117	NP_012761.1
OG0000117	NP_013214.1
OG0000117	NP_014513.1
OG0000117	NP_015379.1
OG0000118	NP_009794.3
OG0000122	NP_009638.1
OG0000122	NP_010344.1
OG0000122	NP_010462.3
OG0000126	NP_009652.2
OG0000127	NP_014750.3
OG0000130	NP_013060.1
OG0000131	NP_009928.1
OG0000131	NP_010056.1
OG0000131	NP_010504.1
OG0000131	NP_011573.3
OG0000131	NP_011975.1
OG0000131	NP_012610.1
OG0000131	NP_013418.2
OG0000133	NP_013670.1
OG0000135	NP_013582.1
OG0000135	NP_013625.1
OG0000137	NP_010150.1
OG0000137	NP_011517.1
OG0000140	NP_009800.1
OG0000140	NP_011411.3
OG0000141	NP_009698.3
OG0000141	NP_012831.1
OG0000141	NP_014560.1
OG0000142	NP_014238.3
OG0000142	NP_116620.1
OG0000143	NP_009563.1
OG0000143	NP_014368.1
OG0000146	NP_009602.1
OG0000146	NP_013872.1
OG0000148	NP_014161.1
OG0000149	NP_009464.2
OG0000149	NP_010850.1
OG0000149	NP_011044.1
OG0000149	NP_012178.1
OG0000151	NP_009707.3
OG0000151	NP_010159.1
OG0000151	NP_010656.1
OG0000151	NP_011972.1
OG0000151	NP_012630.1
OG0000151	NP_014763.1
OG0000152	NP_010807.3
OG0000152	NP_013554.3
OG0000152	NP_013637.1
OG0000152	NP_014264.1
OG0000153	NP_010958.3
OG0000153	NP_012425.1
OG0000153	NP_012736.1
OG0000153	NP_012959.1
OG0000153	NP_116632.1
OG0000155	NP_010931.3
OG0000155	NP_012257.1
OG0000155	NP_013974.1
OG0000155	NP_014962.3
OG0000157	NP_009643.2
OG0000170	NP_009667.1
OG0000171	NP_009506.1
OG0000171	NP_012271.3
OG0000171	NP_014315.1
OG0000172	NP_012075.1
OG0000172	NP_012371.2
OG0000172	NP_012755.1
OG0000172	NP_012796.1
OG0000172	NP_015121.1
OG0000174	NP_010354.3
OG0000174	NP_011071.3
OG0000174	NP_012338.1
OG0000175	NP_011049.2
OG0000175	NP_012003.1
OG0000175	NP_014245.1
OG0000175	NP_015120.1
OG0000177	NP_010157.1
OG0000177	NP_012724.1
OG0000177	NP_013066.1
OG0000177	NP_013501.1
OG0000177	NP_014070.1
OG0000178	NP_010182.1
OG0000178	NP_011357.1
OG0000178	NP_013349.1
OG0000178	NP_014626.1
OG0000178	NP_014996.3
OG0000178	NP_015172.1
OG0000178	NP_116669.1
OG0000179	NP_009676.1
OG0000179	NP_013010.3
OG0000179	NP_015405.1
OG0000182	NP_015055.1
OG0000183	NP_010126.1
OG0000183	NP_011622.1
OG0000183	NP_011623.3
OG0000183	NP_013311.1
OG0000183	NP_015444.1
OG0000183	NP_015445.1
OG0000184	NP_009853.3
OG0000184	NP_013193.1
OG0000184	NP_015328.1
OG0000185	NP_011754.3
OG0000185	NP_012028.1
OG0000186	NP_009376.2
OG0000186	NP_010378.1
OG0000186	NP_011093.3
OG0000186	NP_013885.1
OG0000188	NP_009497.2
OG0000188	NP_009683.1
OG0000188	NP_010278.3
OG0000188	NP_011013.1
OG0000194	NP_012112.3
OG0000198	NP_010673.1
OG0000198	NP_012748.1
OG0000198	NP_014236.1
OG0000198	NP_014776.1
OG0000199	NP_013452.1
OG0000214	NP_012713.1
OG0000215	NP_009788.3
OG0000216	NP_014124.1
OG0000221	NP_010661.3
OG0000222	NP_013040.1
OG0000222	NP_014170.1
OG0000223	NP_012782.1
OG0000223	NP_013089.1
OG0000223	NP_013120.1
OG0000226	NP_012390.1
OG0000226	NP_012832.1
OG0000226	NP_013484.3
OG0000226	NP_013796.1
OG0000226	NP_014135.1
OG0000226	NP_014168.1
OG0000230	NP_012644.1
OG0000231	NP_009584.1
OG0000231	NP_013822.1
OG0000233	NP_012218.1
OG0000233	NP_116585.1
OG0000235	NP_011418.1
OG0000237	NP_009421.3
OG0000237	NP_010265.1
OG0000237	NP_011940.1
OG0000238	NP_010659.1
OG0000240	NP_009963.1
OG0000240	NP_012339.1
OG0000240	NP_013476.3
OG0000241	NP_010122.1
OG0000241	NP_012407.2
OG0000241	NP_014874.1
OG0000241	NP_015185.1
OG0000245	NP_011103.1
OG0000245	NP_012908.1
OG0000245	NP_013534.3
OG0000245	NP_013797.1
OG0000250	NP_010036.1
OG0000250	NP_010087.1
OG0000250	NP_010143.1
OG0000250	NP_010629.3
OG0000250	NP_010630.1
OG0000250	NP_010632.1
OG0000250	NP_010675.3
OG0000250	NP_010785.1
OG0000250	NP_010825.3
OG0000250	NP_010845.1
OG0000250	NP_011960.2
OG0000250	NP_011962.1
OG0000250	NP_011964.1
OG0000250	NP_012316.1
OG0000250	NP_012321.1
OG0000250	NP_012692.3
OG0000250	NP_013182.1
OG0000250	NP_013724.1
OG0000250	NP_014081.1
OG0000250	NP_014470.1
OG0000250	NP_014486.1
OG0000250	NP_014538.2
OG0000250	NP_116613.1
OG0000250	NP_116644.1
OG0000251	NP_013733.1
OG0000252	NP_009830.3
OG0000252	NP_012663.2
OG0000252	NP_014374.1
OG0000258	NP_010974.1
OG0000258	NP_012219.3
OG0000258	NP_013375.1
OG0000258	NP_014821.3
OG0000262	NP_011384.1
OG0000262	NP_015356.1
OG0000263	NP_015012.3
OG0000264	NP_010006.1
OG0000264	NP_011725.3
OG0000264	NP_013144.1
OG0000265	NP_010570.1
OG0000265	NP_010791.3
OG0000269	NP_011996.2
OG0000269	NP_014409.1
OG0000270	NP_009410.1
OG0000271	NP_010996.2
OG0000271	NP_013892.1
OG0000271	NP_013893.1
OG0000271	NP_015019.1
OG0000271	NP_015264.1
OG0000275	NP_010141.1
OG0000275	NP_014759.1
OG0000275	NP_014986.3
OG0000277	NP_009395.1
OG0000277	NP_010266.1
OG0000277	NP_011315.3
OG0000277	NP_014659.1
OG0000279	NP_013019.1
OG0000280	NP_009781.3
OG0000281	NP_012394.1
OG0000282	NP_009629.6
OG0000282	NP_011352.1
OG0000283	NP_009697.3
OG0000283	NP_011312.1
OG0000283	NP_014026.1
OG0000284	NP_013402.1
OG0000286	NP_011865.1
OG0000286	NP_014316.3
OG0000286	NP_015336.1
OG0000287	NP_009647.2
OG0000287	NP_010282.3
OG0000287	NP_012893.3
OG0000287	NP_013788.1
OG0000287	NP_015377.1
OG0000292	NP_012046.4
OG0000295	NP_010075.1
OG0000295	NP_012640.4
OG0000296	NP_010384.3
OG0000296	NP_011104.3
OG0000298	NP_010428.3
OG0000298	NP_010636.1
OG0000298	NP_011255.1
OG0000298	NP_012249.1
OG0000298	NP_012305.3
OG0000298	NP_013221.1
OG0000298	NP_013222.1
OG0000298	NP_015171.1
OG0000298	NP_076890.1
OG0000302	NP_009662.3
OG0000302	NP_014743.1
OG0000302	NP_014773.4
OG0000302	NP_015383.1
OG0000305	NP_012600.1
OG0000305	NP_012719.2
OG0000307	NP_013289.1
OG0000307	NP_015053.2
OG0000311	NP_011863.1
OG0000311	NP_012928.1
OG0000311	NP_014880.3
OG0000311	NP_015180.1
OG0000313	NP_010599.1
OG0000313	NP_011492.3
OG0000313	NP_014403.3
OG0000315	NP_015319.1
OG0000316	NP_011310.1
OG0000317	NP_009952.2
OG0000318	NP_013915.1
OG0000319	NP_010093.1
OG0000319	NP_010147.1
OG0000319	NP_010236.1
OG0000319	NP_010360.1
OG0000319	NP_014429.3
OG0000324	NP_012660.1
OG0000325	NP_014391.1
OG0000326	NP_009751.1
OG0000326	NP_010910.1
OG0000326	NP_012132.3
OG0000326	NP_012260.1
OG0000327	NP_010213.1
OG0000327	NP_013503.1
OG0000328	NP_116616.1
OG0000329	NP_014377.1
OG0000329	NP_015209.1
OG0000339	NP_009343.1
OG0000340	NP_011842.1
OG0000343	NP_011614.1
OG0000343	NP_014106.1
OG0000343	NP_014529.1
OG0000344	NP_009887.1
OG0000344	NP_010806.1
OG0000345	NP_012159.1
OG0000345	NP_012380.1
OG0000345	NP_013449.1
OG0000345	NP_014505.1
OG0000348	NP_010285.1
OG0000348	NP_013439.1
OG0000349	NP_015198.1
OG0000350	NP_014251.1
OG0000350	NP_015151.1
OG0000352	NP_011551.3
OG0000352	NP_013386.1
OG0000352	NP_014823.3
OG0000360	NP_009381.1
OG0000360	NP_013588.1
OG0000360	NP_014012.1
OG0000360	NP_014600.1
OG0000365	NP_010242.1
OG0000365	NP_014573.1
OG0000365	NP_014668.1
OG0000365	NP_015310.1
OG0000366	NP_014210.1
OG0000368	NP_010120.1
OG0000368	NP_012659.1
OG0000368	NP_013307.1
OG0000373	NP_012570.3
OG0000374	NP_009380.1
OG0000375	NP_010744.3
OG0000377	NP_013523.3
OG0000378	NP_009379.2
OG0000378	NP_010188.1
OG0000378	NP_010190.1
OG0000378	NP_010593.3
OG0000378	NP_011715.1
OG0000378	NP_012677.1
OG0000378	NP_014966.1
OG0000382	NP_010769.3
OG0000385	NP_010569.3
OG0000389	NP_009598.1
OG0000389	NP_010301.1
OG0000390	NP_010872.1
OG0000390	NP_010920.3
OG0000393	NP_013493.2
OG0000393	NP_015447.1
OG0000394	NP_011636.3
OG0000394	NP_014257.1
OG0000394	NP_015464.1
OG0000396	NP_011572.2
OG0000403	NP_011526.1
OG0000403	NP_011671.3
OG0000405	NP_013953.1
OG0000406	NP_011958.1
OG0000406	NP_014302.3
OG0000406	NP_014707.1
OG0000408	NP_010172.1
OG0000408	NP_010566.1
OG0000409	NP_012405.2
OG0000409	NP_012643.3
OG0000409	NP_014947.3
OG0000410	NP_012733.1
OG0000410	NP_015178.1
OG0000411	NP_010304.3
OG0000411	NP_012397.1
OG0000411	NP_012985.3
OG0000412	NP_012172.1
OG0000412	NP_014361.1
OG0000412	NP_014779.1
OG0000414	NP_010621.1
OG0000414	NP_010646.4
OG0000414	NP_011365.1
OG0000417	NP_011860.1
OG0000417	NP_012917.3
OG0000421	NP_009501.1
OG0000421	NP_014887.3
OG0000422	NP_010613.1
OG0000422	NP_011948.1
OG0000422	NP_013173.1
OG0000422	NP_116611.1
OG0000423	NP_014094.1
OG0000424	NP_012634.3
OG0000425	NP_010414.3
OG0000427	NP_015317.1
OG0000428	NP_011987.1
OG0000430	NP_009521.1
OG0000430	NP_009792.3
OG0000434	NP_013277.1
OG0000442	NP_012231.1
OG0000444	NP_011856.1
OG0000444	NP_014101.1
OG0000444	NP_014528.1
OG0000445	NP_011419.1
OG0000445	NP_015148.1
OG0000449	NP_009590.1
OG0000451	NP_013352.1
OG0000451	NP_014935.3
OG0000452	NP_013789.1
OG0000452	NP_014288.3
OG0000453	NP_011099.1
OG0000453	NP_011787.4
OG0000454	NP_010454.3
OG0000460	NP_013207.1
OG0000463	NP_014014.1
OG0000463	NP_014621.1
OG0000465	NP_013917.1
OG0000465	NP_015075.1
OG0000472	NP_010740.3
OG0000473	NP_009717.1
OG0000474	NP_012592.1
OG0000474	NP_013271.1
OG0000475	NP_010466.3
OG0000476	NP_014033.1
OG0000477	NP_011574.3
OG0000478	NP_010169.1
OG0000478	NP_013530.1
OG0000480	NP_011967.1
OG0000485	NP_010953.1
OG0000485	NP_116664.1
OG0000490	NP_012234.3
OG0000491	NP_015346.1
OG0000494	NP_010697.3
OG0000494	NP_014799.1
OG0000496	NP_010446.3
OG0000496	NP_011652.1
OG0000496	NP_015480.1
OG0000498	NP_014777.3
OG0000500	NP_009955.2
OG0000500	NP_010900.1
OG0000501	NP_015031.1
OG0000502	NP_011387.2
OG0000509	NP_015128.1
OG0000511	NP_010196.1
OG0000513	NP_010047.1
OG0000514	NP_010206.1
OG0000514	NP_010783.3
OG0000518	NP_011442.3
OG0000518	NP_011765.1
OG0000518	NP_012076.3
OG0000518	NP_012681.1
OG0000518	NP_014783.4
OG0000519	NP_012776.1
OG0000519	NP_014298.1
OG0000522	NP_011456.5
OG0000522	NP_012222.1
OG0000528	NP_011908.1
OG0000532	NP_015155.1
OG0000533	NP_009493.1
OG0000533	NP_015420.1
OG0000543	NP_012140.1
OG0000543	NP_014933.3
OG0000547	NP_013908.1
OG0000547	NP_015092.1
OG0000549	NP_015499.1
OG0000550	NP_011514.1
OG0000551	NP_014855.3
OG0000552	NP_009523.1
OG0000552	NP_009642.3
OG0000552	NP_013772.1
OG0000554	NP_011321.1
OG0000554	NP_014069.1
OG0000555	NP_014502.1
OG0000556	NP_012864.1
OG0000557	NP_012534.1
OG0000562	NP_014981.1
OG0000563	NP_010392.1
OG0000563	NP_011038.3
OG0000563	NP_013184.1
OG0000567	NP_011009.1
OG0000567	NP_012704.1
OG0000568	NP_013061.1
OG0000569	NP_011917.1
OG0000569	NP_013134.1
OG0000569	NP_014519.1
OG0000570	NP_010724.1
OG0000570	NP_011059.3
OG0000570	NP_013696.1
OG0000570	NP_015146.1
OG0000571	NP_012160.2
OG0000571	NP_116618.1
OG0000573	NP_015353.1
OG0000575	NP_012896.1
OG0000578	NP_010933.1
OG0000578	NP_013807.1
OG0000580	NP_011466.1
OG0000580	NP_011678.3
OG0000581	NP_014665.1
OG0000584	NP_014657.1
OG0000586	NP_014914.1
OG0000587	NP_011509.1
OG0000589	NP_011792.1
OG0000589	NP_013208.1
OG0000590	NP_011092.1
OG0000591	NP_013526.1
OG0000592	NP_010625.1
OG0000592	NP_011897.1
OG0000593	NP_010411.1
OG0000593	NP_010747.1
OG0000593	NP_013347.1
OG0000595	NP_011609.2
OG0000595	NP_011711.3
OG0000596	NP_011342.1
OG0000596	NP_014691.1
OG0000600	NP_010032.1
OG0000600	NP_010038.1
OG0000600	NP_012689.1
OG0000600	NP_014068.1
OG0000600	NP_014477.1
OG0000600	NP_015237.1
OG0000602	NP_012956.3
OG0000604	NP_011991.1
OG0000604	NP_014269.4
OG0000607	NP_009359.1
OG0000608	NP_013050.1
OG0000609	NP_012727.1
OG0000609	NP_116578.3
OG0000610	NP_014934.1
OG0000613	NP_009837.1
OG0000613	NP_015003.1
OG0000620	NP_011424.3
OG0000620	NP_012263.1
OG0000622	NP_011410.1
OG0000622	NP_011701.3
OG0000625	NP_009362.1
OG0000625	NP_014992.3
OG0000627	NP_012141.1
OG0000628	NP_011867.1
OG0000628	NP_013091.1
OG0000628	NP_013119.1
OG0000629	NP_010512.1
OG0000629	NP_011097.3
OG0000631	NP_011488.1
OG0000633	NP_012816.1
OG0000633	NP_013127.2
OG0000634	NP_015467.1
OG0000636	NP_009465.2
OG0000636	NP_009694.3
OG0000637	NP_012042.1
OG0000637	NP_014273.1
OG0000638	NP_013335.1
OG0000641	NP_010780.1
OG0000641	NP_013123.1
OG0000641	NP_014641.2
OG0000642	NP_013279.1
OG0000642	NP_013280.1
OG0000643	NP_013361.1
OG0000643	NP_014814.1
OG0000651	NP_010471.1
OG0000651	NP_013269.1
OG0000651	NP_013294.1
OG0000652	NP_010628.3
OG0000652	NP_011959.1
OG0000653	NP_009672.1
OG0000653	NP_013132.1
OG0000653	NP_014834.1
OG0000654	NP_009804.1
OG0000654	NP_014948.1
OG0000654	NP_116696.2
OG0000657	NP_010016.2
OG0000657	NP_010382.3
OG0000658	NP_014931.3
OG0000659	NP_009850.1
OG0000659	NP_012629.1
OG0000659	NP_014865.1
OG0000659	NP_015191.1
OG0000659	NP_116703.5
OG0000660	NP_011337.1
OG0000660	NP_011501.1
OG0000660	NP_013088.1
OG0000661	NP_013911.1
OG0000661	NP_015084.1
OG0000662	NP_013934.1
OG0000662	NP_014413.1
OG0000669	NP_010702.4
OG0000669	NP_012217.3
OG0000670	NP_010170.1
OG0000670	NP_012498.1
OG0000670	NP_015002.3
OG0000673	NP_012665.3
OG0000674	NP_011503.1
OG0000674	NP_014119.1
OG0000676	NP_010199.1
OG0000677	NP_011385.3
OG0000680	NP_014311.3
OG0000681	NP_013770.1
OG0000681	NP_014913.3
OG0000683	NP_010431.3
OG0000683	NP_013234.1
OG0000684	NP_012731.1
OG0000686	NP_013057.1
OG0000686	NP_116601.1
OG0000697	NP_014030.1
OG0000698	NP_012117.3
OG0000698	NP_013021.1
OG0000700	NP_011271.1
OG0000702	NP_012641.2
OG0000706	NP_012942.3
OG0000707	NP_014706.1
OG0000708	NP_009673.1
OG0000709	NP_012852.1
OG0000710	NP_009777.1
OG0000710	NP_011453.1
OG0000716	NP_013828.1
OG0000718	NP_014794.3
OG0000718	NP_014850.1
OG0000719	NP_014818.1
OG0000720	NP_014847.3
OG0000720	NP_015206.1
OG0000723	NP_010971.1
OG0000724	NP_009615.1
OG0000724	NP_012171.1
OG0000724	NP_014378.1
OG0000725	NP_014073.1
OG0000725	NP_014640.1
OG0000726	NP_012124.1
OG0000727	NP_014888.1
OG0000732	NP_010812.3
OG0000732	NP_012220.3
OG0000734	NP_011700.1
OG0000734	NP_013124.1
OG0000737	NP_012924.2
OG0000738	NP_012901.3
OG0000739	NP_013725.1
OG0000742	NP_009736.3
OG0000742	NP_013937.1
OG0000742	NP_015230.1
OG0000743	NP_009536.1
OG0000743	NP_010023.1
OG0000743	NP_010024.1
OG0000743	NP_010025.1
OG0000743	NP_012095.1
OG0000743	NP_012313.1
OG0000743	NP_014463.1
OG0000743	NP_014464.3
OG0000744	NP_010484.1
OG0000745	NP_013924.1
OG0000746	NP_009358.1
OG0000746	NP_013644.1
OG0000748	NP_012915.3
OG0000758	NP_014918.1
OG0000758	NP_015241.1
OG0000761	NP_012485.1
OG0000761	NP_013502.3
OG0000766	NP_013941.2
OG0000766	NP_014335.1
OG0000768	NP_011390.2
OG0000768	NP_015302.1
OG0000769	NP_009822.4
OG0000769	NP_013159.1
OG0000770	NP_010494.1
OG0000776	NP_012152.3
OG0000776	NP_014343.1
OG0000777	NP_015478.1
OG0000778	NP_009485.3
OG0000778	NP_011025.3
OG0000778	NP_011852.1
OG0000778	NP_014580.1
OG0000779	NP_009895.1
OG0000779	NP_010801.1
OG0000788	NP_013956.1
OG0000790	NP_010830.4
OG0000790	NP_011358.3
OG0000790	NP_011476.1
OG0000790	NP_014490.1
OG0000792	NP_014260.3
OG0000794	NP_009617.3
OG0000794	NP_011379.1
OG0000795	NP_009890.1
OG0000795	NP_010804.3
OG0000795	NP_011261.1
OG0000795	NP_116711.3
OG0000796	NP_009767.1
OG0000797	NP_012602.3
OG0000797	NP_014109.1
OG0000799	NP_013509.1
OG0000799	NP_013631.1
OG0000808	NP_014137.1
OG0000809	NP_014176.2
OG0000811	NP_009353.1
OG0000811	NP_011295.1
OG0000811	NP_075206.1
OG0000812	NP_012398.1
OG0000812	NP_012984.2
OG0000813	NP_010932.1
OG0000815	NP_015082.1
OG0000817	NP_012348.1
OG0000819	NP_013146.1
OG0000820	NP_015309.1
OG0000821	NP_012445.1
OG0000823	NP_011372.3
OG0000823	NP_013383.1
OG0000824	NP_013533.1
OG0000826	NP_013025.3
OG0000836	NP_012495.1
OG0000837	NP_010300.3
OG0000837	NP_010458.3
OG0000838	NP_013612.1
OG0000839	NP_009477.1
OG0000839	NP_015285.1
OG0000840	NP_015510.1
OG0000841	NP_012818.1
OG0000841	NP_013801.1
OG0000841	NP_013802.1
OG0000843	NP_011330.1
OG0000843	NP_014125.1
OG0000848	NP_010128.1
OG0000848	NP_011053.1
OG0000849	NP_013607.1
OG0000849	NP_014630.1
OG0000850	NP_009364.1
OG0000850	NP_011689.1
OG0000851	NP_116647.1
OG0000852	NP_014581.1
OG0000853	NP_011055.3
OG0000853	NP_011336.3
OG0000853	NP_012876.1
OG0000855	NP_010073.2
OG0000855	NP_010888.1
OG0000857	NP_011570.1
OG0000857	NP_012933.4
OG0000857	NP_013461.1
OG0000859	NP_011081.1
OG0000859	NP_011576.1
OG0000862	NP_015243.1
OG0000864	NP_011749.3
OG0000864	NP_015215.1
OG0000865	NP_010263.1
OG0000865	NP_012770.1
OG0000865	NP_012969.1
OG0000865	NP_014585.1
OG0000865	NP_014926.1
OG0000867	NP_010688.4
OG0000868	NP_009703.3
OG0000868	NP_010030.1
OG0000868	NP_013800.1
OG0000868	NP_014032.1
OG0000868	NP_014051.3
OG0000868	NP_014555.1
OG0000869	NP_009874.1
OG0000876	NP_012014.1
OG0000880	NP_011717.4
OG0000880	NP_012842.1
OG0000880	NP_015277.1
OG0000881	NP_009404.1
OG0000882	NP_013229.1
OG0000887	NP_009390.1
OG0000887	NP_011331.3
OG0000887	NP_011980.1
OG0000888	NP_009447.1
OG0000888	NP_012594.1
OG0000889	NP_009597.2
OG0000890	NP_010450.3
OG0000891	NP_010948.1
OG0000891	NP_011305.1
OG0000893	NP_012341.1
OG0000893	NP_013547.3
OG0000893	NP_013646.1
OG0000895	NP_009347.1
OG0000895	NP_013254.1
OG0000896	NP_011709.1
OG0000896	NP_014328.3
OG0000902	NP_010018.1
OG0000902	NP_014076.1
OG0000902	NP_014446.3
OG0000903	NP_011779.3
OG0000913	NP_011893.1
OG0000913	NP_014862.3
OG0000914	NP_009454.1
OG0000917	NP_009854.2
OG0000917	NP_010556.1
OG0000919	NP_011896.1
OG0000919	NP_013650.1
OG0000920	NP_010480.1
OG0000920	NP_012501.1
OG0000920	NP_014017.1
OG0000921	NP_011399.1
OG0000921	NP_011512.1
OG0000922	NP_012455.1
OG0000924	NP_009340.1
OG0000924	NP_009341.2
OG0000924	NP_010035.1
OG0000924	NP_012693.1
OG0000924	NP_013171.1
OG0000930	NP_014900.3
OG0000931	NP_009581.1
OG0000931	NP_011849.1
OG0000932	NP_014152.1
OG0000933	NP_012367.2
OG0000934	NP_010550.1
OG0000934	NP_014677.1
OG0000935	NP_011439.1
OG0000935	NP_015126.1
OG0000937	NP_013081.1
OG0000940	NP_014287.3
OG0000942	NP_012074.3
OG0000944	NP_013444.1
OG0000945	NP_014157.1
OG0000946	NP_011033.3
OG0000947	NP_010892.1
OG0000947	NP_012565.1
OG0000948	NP_015297.1
OG0000949	NP_009339.1
OG0000949	NP_015020.3
OG0000950	NP_012137.3
OG0000952	NP_011770.3
OG0000952	NP_012044.1
OG0000952	NP_014056.3
OG0000952	NP_015038.1
OG0000952	NP_015042.1
OG0000964	NP_009655.2
OG0000965	NP_014637.1
OG0000970	NP_011946.1
OG0000973	NP_009893.2
OG0000973	NP_010803.3
OG0000974	NP_012358.1
OG0000974	NP_012741.1
OG0000975	NP_011523.3
OG0000975	NP_013730.1
OG0000977	NP_011584.2
OG0000977	NP_013475.1
OG0000977	NP_013529.3
OG0000983	NP_010966.1
OG0000983	NP_015251.1
OG0000984	NP_009760.1
OG0000984	NP_010699.1
OG0000985	NP_012335.1
OG0000985	NP_013407.1
OG0000986	NP_009532.1
OG0000986	NP_010406.3
OG0000987	NP_013071.1
OG0000988	NP_012221.2
OG0000988	NP_012772.1
OG0000988	NP_013581.1
OG0000988	NP_013623.1
OG0000990	NP_010741.1
OG0000990	NP_013684.1
OG0000991	NP_014639.1
OG0000994	NP_013714.1
OG0000995	NP_012238.1
OG0000996	NP_012226.3
OG0000996	NP_015397.1
OG0000997	NP_010276.3
OG0000997	NP_014508.1
OG0000998	NP_010573.3
OG0000998	NP_011912.1
OG0000998	NP_014577.1
OG0000999	NP_010390.3
OG0001018	NP_010321.1
OG0001019	NP_013658.1
OG0001020	NP_010232.1
OG0001021	NP_009551.2
OG0001022	NP_011790.1
OG0001023	NP_014762.3
OG0001024	NP_015107.1
OG0001025	NP_014679.1
OG0001025	NP_014749.1
OG0001026	NP_009640.1
OG0001026	NP_011720.3
OG0001028	NP_009534.1
OG0001029	NP_012475.3
OG0001030	NP_010262.1
OG0001030	NP_014582.1
OG0001032	NP_012638.1
OG0001034	NP_009803.3
OG0001034	NP_012303.1
OG0001034	NP_012899.3
OG0001035	NP_012453.1
OG0001035	NP_012943.1
OG0001036	NP_013354.1
OG0001037	NP_011708.3
OG0001037	NP_012483.3
OG0001037	NP_012542.1
OG0001038	NP_012409.1
OG0001038	NP_013455.1
OG0001039	NP_012653.1
OG0001039	NP_013901.1
OG0001040	NP_012024.1
OG0001041	NP_015004.3
OG0001044	NP_011730.1
OG0001044	NP_013149.1
OG0001047	NP_013948.1
OG0001048	NP_012077.1
OG0001054	NP_009474.1
OG0001054	NP_011031.1
OG0001055	NP_014897.1
OG0001056	NP_014375.1
OG0001058	NP_014021.1
OG0001061	NP_014548.1
OG0001062	NP_011018.1
OG0001064	NP_014928.1
OG0001064	NP_014929.3
