Orthogroup	DM_TRX
OG0000031	FBgn0005640.p1
OG0000031	FBgn0013435.p3
OG0000031	FBgn0013762.p1
OG0000031	FBgn0016696.p6
OG0000031	FBgn0019949.p1
OG0000031	FBgn0037093.p8
OG0000031	FBgn0038902.p1
OG0000031	FBgn0051711.p1
OG0000033	FBgn0016032.p1
OG0000033	FBgn0024361.p1
OG0000033	FBgn0027865.p1
OG0000033	FBgn0029506.p1
OG0000033	FBgn0029507.p1
OG0000033	FBgn0029508.p3
OG0000033	FBgn0029837.p1
OG0000033	FBgn0031760.p1
OG0000033	FBgn0032074.p1
OG0000033	FBgn0032075.p1
OG0000033	FBgn0032943.p1
OG0000033	FBgn0033124.p1
OG0000033	FBgn0033134.p1
OG0000033	FBgn0033135.p1
OG0000033	FBgn0033136.p2
OG0000033	FBgn0033137.p1
OG0000033	FBgn0033138.p1
OG0000033	FBgn0033139.p1
OG0000033	FBgn0033629.p2
OG0000033	FBgn0035936.p3
OG0000033	FBgn0036769.p1
OG0000033	FBgn0037848.p1
OG0000033	FBgn0040334.p1
OG0000033	FBgn0042086.p2
OG0000033	FBgn0043550.p1
OG0000033	FBgn0050160.p1
OG0000036	FBgn0000061.p1
OG0000036	FBgn0000625.p4
OG0000036	FBgn0001147.p1
OG0000036	FBgn0001148.p1
OG0000036	FBgn0003129.p1
OG0000036	FBgn0003130.p1
OG0000036	FBgn0003145.p5
OG0000036	FBgn0004102.p4
OG0000036	FBgn0005558.p9
OG0000036	FBgn0005561.p11
OG0000036	FBgn0008636.p1
OG0000036	FBgn0011701.p1
OG0000036	FBgn0015524.p9
OG0000036	FBgn0019650.p1
OG0000036	FBgn0020617.p1
OG0000036	FBgn0023489.p1
OG0000036	FBgn0024184.p1
OG0000036	FBgn0025334.p1
OG0000036	FBgn0026058.p1
OG0000036	FBgn0029775.p1
OG0000036	FBgn0030058.p1
OG0000036	FBgn0034821.p2
OG0000036	FBgn0036285.p1
OG0000036	FBgn0052532.p1
OG0000036	FBgn0053980.p1
OG0000036	FBgn0085369.p1
OG0000036	FBgn0085396.p1
OG0000038	FBgn0023169.p1
OG0000038	FBgn0025625.p1
OG0000038	FBgn0026063.p1
OG0000038	FBgn0026064.p1
OG0000038	FBgn0026193.p63
OG0000038	FBgn0031299.p3
OG0000038	FBgn0033915.p7
OG0000038	FBgn0034376.p1
OG0000040	FBgn0026878.p1
OG0000040	FBgn0029911.p1
OG0000040	FBgn0037442.p4
OG0000040	FBgn0037653.p1
OG0000040	FBgn0038627.p1
OG0000040	FBgn0052850.p1
OG0000045	FBgn0004210.p1
OG0000045	FBgn0029157.p7
OG0000045	FBgn0030976.p1
OG0000045	FBgn0031044.p1
OG0000045	FBgn0036369.p1
OG0000045	FBgn0036844.p4
OG0000045	FBgn0039742.p1
OG0000045	FBgn0083976.p2
OG0000046	FBgn0013770.p2
OG0000046	FBgn0028967.p1
OG0000046	FBgn0032228.p1
OG0000046	FBgn0033873.p1
OG0000046	FBgn0033874.p1
OG0000046	FBgn0034229.p1
OG0000046	FBgn0037303.p1
OG0000047	FBgn0003380.p10
OG0000047	FBgn0003383.p21
OG0000047	FBgn0003386.p2
OG0000047	FBgn0005564.p1
OG0000047	FBgn0085395.p1
OG0000048	FBgn0004378.p1
OG0000048	FBgn0004379.p1
OG0000048	FBgn0004380.p1
OG0000048	FBgn0004381.p1
OG0000048	FBgn0032243.p1
OG0000048	FBgn0038205.p1
OG0000048	FBgn0039925.p1
OG0000049	FBgn0001301.p2
OG0000049	FBgn0030114.p10
OG0000049	FBgn0032485.p1
OG0000049	FBgn0034396.p1
OG0000049	FBgn0037978.p3
OG0000049	FBgn0038475.p1
OG0000049	FBgn0040230.p1
OG0000052	FBgn0011642.p6
OG0000052	FBgn0020249.p3
OG0000052	FBgn0030530.p1
OG0000052	FBgn0034223.p1
OG0000052	FBgn0041789.p5
OG0000052	FBgn0050178.p1
OG0000052	FBgn0051624.p1
OG0000052	FBgn0051988.p1
OG0000052	FBgn0083919.p9
OG0000052	FBgn0085354.p1
OG0000055	FBgn0000256.p1
OG0000055	FBgn0011202.p5
OG0000055	FBgn0025641.p5
OG0000055	FBgn0052138.p11
OG0000055	FBgn0053556.p9
OG0000058	FBgn0029866.p1
OG0000058	FBgn0031972.p1
OG0000058	FBgn0033203.p1
OG0000058	FBgn0033204.p1
OG0000058	FBgn0033205.p1
OG0000058	FBgn0034500.p2
OG0000058	FBgn0038610.p1
OG0000058	FBgn0050491.p1
OG0000058	FBgn0050495.p1
OG0000058	FBgn0051235.p1
OG0000059	FBgn0004242.p7
OG0000059	FBgn0028400.p1
OG0000059	FBgn0030230.p1
OG0000059	FBgn0030476.p1
OG0000059	FBgn0032653.p1
OG0000059	FBgn0036464.p1
OG0000059	FBgn0039900.p8
OG0000059	FBgn0053555.p22
OG0000063	FBgn0000659.p1
OG0000063	FBgn0003430.p1
OG0000063	FBgn0004567.p1
OG0000063	FBgn0004895.p1
OG0000063	FBgn0004896.p1
OG0000063	FBgn0004897.p1
OG0000063	FBgn0004898.p1
OG0000063	FBgn0014143.p1
OG0000063	FBgn0031086.p1
OG0000063	FBgn0036134.p9
OG0000063	FBgn0039937.p1
OG0000063	FBgn0045759.p1
OG0000066	FBgn0029648.p1
OG0000066	FBgn0030968.p1
OG0000066	FBgn0035588.p1
OG0000066	FBgn0037354.p1
OG0000066	FBgn0040349.p1
OG0000066	FBgn0051546.p1
OG0000066	FBgn0051548.p1
OG0000066	FBgn0051549.p1
OG0000067	FBgn0001197.p1
OG0000067	FBgn0051615.p1
OG0000067	FBgn0051616.p1
OG0000067	FBgn0051618.p1
OG0000067	FBgn0053805.p1
OG0000067	FBgn0053808.p1
OG0000067	FBgn0053814.p1
OG0000067	FBgn0053817.p1
OG0000067	FBgn0053820.p1
OG0000067	FBgn0053823.p1
OG0000067	FBgn0053826.p1
OG0000067	FBgn0053829.p1
OG0000067	FBgn0053832.p1
OG0000067	FBgn0053835.p1
OG0000067	FBgn0053838.p1
OG0000067	FBgn0053841.p1
OG0000067	FBgn0053844.p1
OG0000067	FBgn0053847.p1
OG0000067	FBgn0053850.p1
OG0000067	FBgn0053853.p1
OG0000067	FBgn0053856.p1
OG0000067	FBgn0053859.p1
OG0000067	FBgn0053862.p1
OG0000067	FBgn0053865.p1
OG0000067	FBgn0058182.p1
OG0000069	FBgn0003205.p1
OG0000069	FBgn0003206.p1
OG0000069	FBgn0004636.p1
OG0000069	FBgn0015286.p3
OG0000069	FBgn0025806.p2
OG0000069	FBgn0041191.p3
OG0000072	FBgn0000042.p1
OG0000072	FBgn0000043.p1
OG0000072	FBgn0000044.p4
OG0000072	FBgn0000045.p1
OG0000072	FBgn0000046.p5
OG0000072	FBgn0000047.p1
OG0000072	FBgn0011743.p1
OG0000072	FBgn0011745.p1
OG0000076	FBgn0000115.p1
OG0000076	FBgn0013749.p1
OG0000076	FBgn0013750.p7
OG0000076	FBgn0035866.p1
OG0000077	FBgn0003557.p4
OG0000077	FBgn0029006.p1
OG0000077	FBgn0030145.p1
OG0000077	FBgn0030674.p1
OG0000077	FBgn0036736.p3
OG0000079	FBgn0002936.p2
OG0000079	FBgn0004432.p1
OG0000079	FBgn0028382.p1
OG0000079	FBgn0033089.p1
OG0000083	FBgn0019985.p1
OG0000083	FBgn0050361.p13
OG0000083	FBgn0052447.p5
OG0000084	FBgn0010333.p1
OG0000084	FBgn0010341.p4
OG0000084	FBgn0014011.p1
OG0000084	FBgn0014020.p7
OG0000084	FBgn0014380.p1
OG0000084	FBgn0039532.p1
OG0000086	FBgn0029778.p4
OG0000086	FBgn0030893.p3
OG0000086	FBgn0030986.p1
OG0000086	FBgn0038747.p1
OG0000087	FBgn0026713.p1
OG0000087	FBgn0031631.p1
OG0000087	FBgn0032194.p1
OG0000087	FBgn0033160.p1
OG0000087	FBgn0052533.p1
OG0000087	FBgn0086444.p1
OG0000087	FBgn0086895.p1
OG0000088	FBgn0000384.p1
OG0000088	FBgn0001104.p1
OG0000088	FBgn0001122.p8
OG0000088	FBgn0001123.p1
OG0000088	FBgn0004435.p6
OG0000088	FBgn0010223.p1
OG0000088	FBgn0033756.p1
OG0000088	FBgn0050054.p1
OG0000088	FBgn0058005.p1
OG0000089	FBgn0001965.p1
OG0000089	FBgn0026145.p1
OG0000089	FBgn0034158.p8
OG0000090	FBgn0001216.p6
OG0000090	FBgn0001217.p1
OG0000090	FBgn0001218.p1
OG0000090	FBgn0001219.p16
OG0000090	FBgn0001230.p1
OG0000090	FBgn0013275.p1
OG0000090	FBgn0013276.p1
OG0000090	FBgn0013277.p1
OG0000090	FBgn0013278.p1
OG0000090	FBgn0013279.p1
OG0000090	FBgn0051354.p1
OG0000091	FBgn0020269.p1
OG0000091	FBgn0026721.p5
OG0000091	FBgn0033710.p1
OG0000091	FBgn0034013.p1
OG0000091	FBgn0050046.p1
OG0000091	FBgn0050203.p1
OG0000093	FBgn0001215.p16
OG0000093	FBgn0004237.p2
OG0000093	FBgn0004838.p5
OG0000093	FBgn0004903.p5
OG0000093	FBgn0010258.p1
OG0000093	FBgn0011666.p1
OG0000093	FBgn0052169.p5
OG0000093	FBgn0086897.p2
OG0000094	FBgn0000479.p1
OG0000094	FBgn0032379.p1
OG0000094	FBgn0034886.p6
OG0000094	FBgn0052648.p1
OG0000095	FBgn0028539.p1
OG0000095	FBgn0031169.p1
OG0000095	FBgn0031170.p1
OG0000095	FBgn0031171.p1
OG0000095	FBgn0034493.p1
OG0000095	FBgn0036747.p1
OG0000095	FBgn0051213.p1
OG0000095	FBgn0052186.p1
OG0000095	FBgn0053173.p1
OG0000097	FBgn0053868.p1
OG0000097	FBgn0053870.p1
OG0000097	FBgn0053872.p1
OG0000097	FBgn0053874.p1
OG0000097	FBgn0053876.p1
OG0000097	FBgn0053878.p1
OG0000097	FBgn0053880.p1
OG0000097	FBgn0053882.p1
OG0000097	FBgn0053884.p1
OG0000097	FBgn0053886.p1
OG0000097	FBgn0053888.p1
OG0000097	FBgn0053890.p1
OG0000097	FBgn0053892.p1
OG0000097	FBgn0053894.p1
OG0000097	FBgn0053896.p1
OG0000097	FBgn0053898.p1
OG0000097	FBgn0053900.p1
OG0000097	FBgn0053902.p1
OG0000097	FBgn0053904.p1
OG0000097	FBgn0053906.p1
OG0000097	FBgn0053908.p1
OG0000097	FBgn0053910.p1
OG0000097	FBgn0061209.p1
OG0000099	FBgn0003091.p1
OG0000099	FBgn0003093.p1
OG0000099	FBgn0004784.p1
OG0000099	FBgn0010379.p3
OG0000099	FBgn0020621.p1
OG0000099	FBgn0022131.p1
OG0000099	FBgn0030387.p1
OG0000100	FBgn0015789.p1
OG0000100	FBgn0015793.p1
OG0000100	FBgn0015796.p1
OG0000100	FBgn0016700.p1
OG0000100	FBgn0031882.p1
OG0000100	FBgn0051118.p1
OG0000101	FBgn0025394.p1
OG0000101	FBgn0034636.p1
OG0000101	FBgn0037244.p1
OG0000101	FBgn0038839.p2
OG0000103	FBgn0031030.p7
OG0000103	FBgn0034453.p1
OG0000103	FBgn0035001.p15
OG0000103	FBgn0086736.p1
OG0000106	FBgn0035296.p1
OG0000106	FBgn0035507.p1
OG0000106	FBgn0035514.p1
OG0000106	FBgn0043362.p1
OG0000106	FBgn0086911.p1
OG0000107	FBgn0015541.p1
OG0000107	FBgn0028935.p1
OG0000107	FBgn0030222.p1
OG0000107	FBgn0030223.p1
OG0000107	FBgn0035226.p10
OG0000107	FBgn0036186.p1
OG0000107	FBgn0038135.p1
OG0000107	FBgn0038136.p3
OG0000107	FBgn0038900.p1
OG0000107	FBgn0039640.p1
OG0000107	FBgn0039656.p1
OG0000107	FBgn0040282.p5
OG0000107	FBgn0046253.p1
OG0000107	FBgn0051177.p1
OG0000107	FBgn0051198.p1
OG0000107	FBgn0051233.p1
OG0000107	FBgn0051343.p1
OG0000107	FBgn0051427.p1
OG0000107	FBgn0051445.p1
OG0000107	FBgn0052473.p1
OG0000108	FBgn0013591.p1
OG0000108	FBgn0016132.p1
OG0000108	FBgn0023395.p1
OG0000108	FBgn0086902.p1
OG0000111	FBgn0014857.p2
OG0000111	FBgn0051613.p1
OG0000111	FBgn0051754.p1
OG0000111	FBgn0053803.p1
OG0000111	FBgn0053806.p1
OG0000111	FBgn0053809.p1
OG0000111	FBgn0053812.p1
OG0000111	FBgn0053815.p1
OG0000111	FBgn0053818.p1
OG0000111	FBgn0053821.p1
OG0000111	FBgn0053824.p1
OG0000111	FBgn0053827.p1
OG0000111	FBgn0053830.p1
OG0000111	FBgn0053833.p1
OG0000111	FBgn0053836.p1
OG0000111	FBgn0053839.p1
OG0000111	FBgn0053842.p1
OG0000111	FBgn0053845.p1
OG0000111	FBgn0053848.p1
OG0000111	FBgn0053851.p1
OG0000111	FBgn0053854.p1
OG0000111	FBgn0053857.p1
OG0000111	FBgn0053860.p1
OG0000111	FBgn0053863.p1
OG0000111	FBgn0053866.p1
OG0000116	FBgn0027575.p6
OG0000116	FBgn0028924.p1
OG0000116	FBgn0031275.p1
OG0000117	FBgn0003256.p3
OG0000117	FBgn0015765.p2
OG0000117	FBgn0024846.p1
OG0000117	FBgn0046322.p1
OG0000117	FBgn0052703.p1
OG0000118	FBgn0024365.p1
OG0000118	FBgn0025698.p1
OG0000118	FBgn0032689.p1
OG0000118	FBgn0036279.p1
OG0000118	FBgn0051547.p6
OG0000122	FBgn0011217.p1
OG0000122	FBgn0015321.p1
OG0000122	FBgn0030386.p1
OG0000122	FBgn0031331.p1
OG0000122	FBgn0035455.p1
OG0000126	FBgn0026147.p1
OG0000126	FBgn0030823.p1
OG0000126	FBgn0031574.p1
OG0000126	FBgn0031853.p1
OG0000126	FBgn0031854.p1
OG0000126	FBgn0034459.p1
OG0000126	FBgn0037838.p1
OG0000126	FBgn0039501.p1
OG0000126	FBgn0051108.p1
OG0000126	FBgn0052238.p1
OG0000127	FBgn0020278.p14
OG0000127	FBgn0024941.p1
OG0000127	FBgn0028743.p1
OG0000127	FBgn0030962.p1
OG0000130	FBgn0033194.p1
OG0000130	FBgn0052113.p1
OG0000131	FBgn0011710.p1
OG0000131	FBgn0013726.p1
OG0000131	FBgn0014029.p1
OG0000131	FBgn0026361.p4
OG0000131	FBgn0030772.p11
OG0000132	FBgn0026148.p1
OG0000132	FBgn0035807.p1
OG0000132	FBgn0052095.p1
OG0000132	FBgn0052187.p1
OG0000133	FBgn0000303.p7
OG0000133	FBgn0027842.p1
OG0000133	FBgn0032471.p1
OG0000133	FBgn0037440.p3
OG0000133	FBgn0038486.p1
OG0000133	FBgn0039543.p4
OG0000135	FBgn0003884.p1
OG0000135	FBgn0003885.p1
OG0000135	FBgn0003886.p1
OG0000135	FBgn0004236.p1
OG0000137	FBgn0001980.p3
OG0000137	FBgn0015509.p7
OG0000137	FBgn0032956.p3
OG0000137	FBgn0033260.p1
OG0000138	FBgn0001991.p6
OG0000138	FBgn0003036.p1
OG0000138	FBgn0005563.p1
OG0000138	FBgn0029846.p1
OG0000138	FBgn0085434.p1
OG0000140	FBgn0015230.p1
OG0000140	FBgn0025593.p6
OG0000140	FBgn0028560.p2
OG0000140	FBgn0028561.p1
OG0000140	FBgn0028562.p1
OG0000140	FBgn0028563.p1
OG0000140	FBgn0033047.p2
OG0000140	FBgn0033644.p1
OG0000140	FBgn0034247.p1
OG0000140	FBgn0034909.p3
OG0000140	FBgn0036316.p1
OG0000140	FBgn0037386.p1
OG0000140	FBgn0050035.p1
OG0000140	FBgn0051100.p1
OG0000141	FBgn0003969.p5
OG0000141	FBgn0004390.p1
OG0000141	FBgn0015269.p6
OG0000141	FBgn0052560.p1
OG0000142	FBgn0003744.p1
OG0000142	FBgn0011739.p1
OG0000142	FBgn0023081.p1
OG0000142	FBgn0026181.p1
OG0000143	FBgn0013981.p1
OG0000143	FBgn0051611.p2
OG0000143	FBgn0053867.p2
OG0000143	FBgn0053869.p2
OG0000143	FBgn0053871.p2
OG0000143	FBgn0053873.p2
OG0000143	FBgn0053875.p2
OG0000143	FBgn0053877.p2
OG0000143	FBgn0053879.p2
OG0000143	FBgn0053881.p2
OG0000143	FBgn0053883.p2
OG0000143	FBgn0053885.p2
OG0000143	FBgn0053887.p2
OG0000143	FBgn0053889.p2
OG0000143	FBgn0053891.p2
OG0000143	FBgn0053893.p2
OG0000143	FBgn0053895.p2
OG0000143	FBgn0053897.p2
OG0000143	FBgn0053899.p2
OG0000143	FBgn0053901.p2
OG0000143	FBgn0053903.p2
OG0000143	FBgn0053905.p2
OG0000143	FBgn0053907.p2
OG0000143	FBgn0053909.p2
OG0000144	FBgn0000233.p1
OG0000144	FBgn0025679.p1
OG0000144	FBgn0034810.p1
OG0000144	FBgn0034946.p3
OG0000144	FBgn0035454.p1
OG0000144	FBgn0039169.p1
OG0000144	FBgn0040765.p1
OG0000145	FBgn0004374.p1
OG0000145	FBgn0004387.p1
OG0000145	FBgn0019968.p2
OG0000145	FBgn0034155.p11
OG0000146	FBgn0031500.p3
OG0000148	FBgn0004509.p26
OG0000148	FBgn0004598.p19
OG0000148	FBgn0023179.p1
OG0000149	FBgn0033368.p1
OG0000149	FBgn0050394.p1
OG0000151	FBgn0027552.p1
OG0000151	FBgn0033101.p1
OG0000151	FBgn0035476.p1
OG0000151	FBgn0036183.p1
OG0000151	FBgn0036290.p1
OG0000151	FBgn0037537.p1
OG0000151	FBgn0058064.p1
OG0000151	FBgn0086254.p1
OG0000152	FBgn0010470.p1
OG0000152	FBgn0013269.p2
OG0000152	FBgn0013954.p2
OG0000152	FBgn0029174.p1
OG0000152	FBgn0037930.p1
OG0000153	FBgn0001138.p1
OG0000153	FBgn0003117.p6
OG0000153	FBgn0003507.p10
OG0000153	FBgn0032223.p1
OG0000153	FBgn0038391.p1
OG0000155	FBgn0010609.p31
OG0000155	FBgn0036821.p7
OG0000156	FBgn0032117.p1
OG0000156	FBgn0035217.p1
OG0000156	FBgn0036485.p1
OG0000156	FBgn0044872.p1
OG0000157	FBgn0000152.p1
OG0000157	FBgn0028879.p7
OG0000157	FBgn0030349.p5
OG0000157	FBgn0036235.p1
OG0000157	FBgn0038721.p1
OG0000165	FBgn0002526.p1
OG0000165	FBgn0002527.p7
OG0000165	FBgn0002528.p1
OG0000165	FBgn0004002.p1
OG0000165	FBgn0015773.p1
OG0000165	FBgn0015774.p1
OG0000166	FBgn0027843.p1
OG0000166	FBgn0027844.p2
OG0000166	FBgn0028658.p2
OG0000166	FBgn0029962.p1
OG0000166	FBgn0030056.p1
OG0000166	FBgn0033542.p1
OG0000166	FBgn0034554.p1
OG0000166	FBgn0034560.p1
OG0000166	FBgn0037788.p1
OG0000166	FBgn0038956.p1
