Orthogroup	Apar_TRX
OG0000012	Apar_comp24301_c0_seq4m45602
OG0000012	Apar_comp24301_c0_seq5m45607
OG0000012	Apar_comp24301_c0_seq6m45609
OG0000012	Apar_comp380610_c0_seq1m50652
OG0000012	Apar_comp8852_c0_seq1m4055
OG0000013	Apar_comp22052_c0_seq1m32058
OG0000013	Apar_comp24288_c0_seq1m45420
OG0000013	Apar_comp24288_c1_seq1m45432
OG0000015	Apar_comp151455_c0_seq1m49376
OG0000015	Apar_comp16070_c2_seq1m13591
OG0000015	Apar_comp16086_c0_seq1m13624
OG0000015	Apar_comp17433_c0_seq1m16838
OG0000015	Apar_comp18219_c3_seq1m19149
OG0000015	Apar_comp18365_c0_seq1m19517
OG0000015	Apar_comp18567_c0_seq1m20060
OG0000015	Apar_comp18675_c0_seq1m20351
OG0000015	Apar_comp18743_c0_seq1m20552
OG0000015	Apar_comp19779_c0_seq1m23701
OG0000015	Apar_comp19779_c0_seq2m23704
OG0000015	Apar_comp21415_c0_seq1m29512
OG0000015	Apar_comp21594_c0_seq1m30224
OG0000015	Apar_comp21617_c0_seq1m30309
OG0000015	Apar_comp21644_c0_seq1m30416
OG0000015	Apar_comp21833_c0_seq1m31140
OG0000015	Apar_comp21847_c0_seq1m31210
OG0000015	Apar_comp22467_c0_seq1m33842
OG0000015	Apar_comp22467_c1_seq1m33843
OG0000015	Apar_comp22519_c1_seq1m34131
OG0000015	Apar_comp265214_c0_seq1m50196
OG0000015	Apar_comp320451_c0_seq1m50425
OG0000015	Apar_comp65363_c0_seq1m47989
OG0000015	Apar_comp6740_c0_seq1m2517
OG0000015	Apar_comp6846_c0_seq1m2597
OG0000015	Apar_comp6897_c1_seq1m2643
OG0000015	Apar_comp77222_c0_seq1m48267
OG0000015	Apar_comp9099_c0_seq1m4269
OG0000016	Apar_comp10808_c0_seq1m5439
OG0000016	Apar_comp13342_c1_seq1m8781
OG0000016	Apar_comp133944_c0_seq1m49141
OG0000016	Apar_comp21918_c1_seq1m31490
OG0000016	Apar_comp567_c0_seq1m100
OG0000016	Apar_comp5726_c0_seq1m1591
OG0000016	Apar_comp8511_c0_seq1m3820
OG0000017	Apar_comp10824_c1_seq1m5455
OG0000017	Apar_comp13636_c1_seq1m9250
OG0000017	Apar_comp15453_c0_seq1m12423
OG0000017	Apar_comp16412_c2_seq1m14324
OG0000017	Apar_comp20006_c0_seq1m24492
OG0000017	Apar_comp20453_c0_seq1m26025
OG0000017	Apar_comp20453_c0_seq2m26028
OG0000017	Apar_comp20453_c0_seq3m26031
OG0000017	Apar_comp22008_c0_seq1m31859
OG0000017	Apar_comp22008_c0_seq2m31864
OG0000017	Apar_comp22288_c1_seq1m33035
OG0000017	Apar_comp22288_c1_seq2m33038
OG0000017	Apar_comp22288_c1_seq3m33039
OG0000017	Apar_comp22288_c1_seq4m33042
OG0000017	Apar_comp3157_c0_seq1m639
OG0000017	Apar_comp463606_c0_seq1m50933
OG0000017	Apar_comp47386_c0_seq1m47602
OG0000017	Apar_comp81630_c0_seq1m48377
OG0000021	Apar_comp12422_c0_seq1m7329
OG0000021	Apar_comp16354_c1_seq1m14189
OG0000021	Apar_comp16429_c0_seq1m14352
OG0000021	Apar_comp19759_c1_seq1m23619
OG0000021	Apar_comp19809_c3_seq1m23798
OG0000021	Apar_comp21412_c0_seq1m29506
OG0000021	Apar_comp22188_c0_seq1m32603
OG0000021	Apar_comp23062_c2_seq1m36945
OG0000023	Apar_comp18412_c2_seq1m19623
OG0000023	Apar_comp18515_c0_seq1m19919
OG0000023	Apar_comp18539_c2_seq1m19979
OG0000023	Apar_comp19538_c2_seq1m22873
OG0000023	Apar_comp19538_c3_seq1m22874
OG0000023	Apar_comp19538_c4_seq1m22876
OG0000023	Apar_comp20094_c7_seq1m24762
OG0000023	Apar_comp20094_c8_seq1m24763
OG0000023	Apar_comp23635_c0_seq1m40294
OG0000023	Apar_comp24080_c0_seq1m43365
OG0000023	Apar_comp24199_c0_seq1m44437
OG0000023	Apar_comp24241_c1_seq1m44824
OG0000023	Apar_comp24241_c2_seq1m44825
OG0000023	Apar_comp24241_c2_seq2m44827
OG0000023	Apar_comp24241_c2_seq3m44832
OG0000023	Apar_comp24241_c2_seq4m44835
OG0000023	Apar_comp24241_c3_seq1m44838
OG0000023	Apar_comp24299_c0_seq1m45570
OG0000029	Apar_comp12586_c0_seq1m7597
OG0000029	Apar_comp14093_c0_seq1m9966
OG0000029	Apar_comp19566_c0_seq1m22975
OG0000029	Apar_comp20656_c0_seq1m26804
OG0000029	Apar_comp22305_c0_seq1m33111
OG0000029	Apar_comp22988_c0_seq1m36596
OG0000029	Apar_comp23138_c0_seq1m37347
OG0000029	Apar_comp23216_c2_seq1m37804
OG0000029	Apar_comp23474_c0_seq1m39233
OG0000029	Apar_comp23474_c1_seq1m39234
OG0000029	Apar_comp23474_c1_seq2m39235
OG0000029	Apar_comp23474_c1_seq3m39236
OG0000029	Apar_comp23492_c0_seq1m39325
OG0000029	Apar_comp23843_c0_seq1m41637
OG0000029	Apar_comp417511_c0_seq1m50837
OG0000029	Apar_comp4777_c0_seq1m910
OG0000029	Apar_comp5975_c0_seq1m1825
OG0000031	Apar_comp12503_c0_seq1m7461
OG0000031	Apar_comp15262_c2_seq1m12043
OG0000031	Apar_comp15877_c1_seq1m13223
OG0000031	Apar_comp17442_c0_seq1m16860
OG0000031	Apar_comp20011_c3_seq1m24528
OG0000031	Apar_comp20011_c3_seq2m24531
OG0000031	Apar_comp20080_c1_seq1m24718
OG0000031	Apar_comp20209_c0_seq1m25116
OG0000031	Apar_comp20241_c0_seq1m25284
OG0000031	Apar_comp20751_c0_seq1m27191
OG0000031	Apar_comp22400_c0_seq1m33451
OG0000031	Apar_comp22565_c0_seq1m34371
OG0000031	Apar_comp4703_c0_seq1m869
OG0000031	Apar_comp7013_c0_seq1m2748
OG0000036	Apar_comp18719_c0_seq1m20472
OG0000038	Apar_comp12074_c0_seq1m6805
OG0000038	Apar_comp12074_c0_seq2m6806
OG0000038	Apar_comp126338_c0_seq1m49090
OG0000038	Apar_comp14230_c0_seq1m10213
OG0000038	Apar_comp15198_c0_seq1m11930
OG0000038	Apar_comp15217_c1_seq1m11970
OG0000038	Apar_comp16518_c2_seq1m14545
OG0000038	Apar_comp17393_c1_seq1m16720
OG0000038	Apar_comp17419_c0_seq1m16801
OG0000038	Apar_comp18061_c0_seq1m18628
OG0000038	Apar_comp18061_c0_seq2m18631
OG0000038	Apar_comp19584_c0_seq1m23039
OG0000038	Apar_comp19743_c2_seq1m23556
OG0000038	Apar_comp20755_c0_seq1m27206
OG0000038	Apar_comp20755_c0_seq2m27207
OG0000038	Apar_comp20975_c2_seq1m28087
OG0000038	Apar_comp21517_c0_seq14m29896
OG0000038	Apar_comp21517_c0_seq15m29897
OG0000038	Apar_comp21633_c0_seq1m30373
OG0000038	Apar_comp21633_c0_seq2m30378
OG0000038	Apar_comp21633_c0_seq3m30383
OG0000038	Apar_comp21633_c0_seq5m30390
OG0000038	Apar_comp22072_c1_seq1m32163
OG0000038	Apar_comp22842_c0_seq1m35986
OG0000040	Apar_comp11733_c1_seq1m6320
OG0000040	Apar_comp13825_c2_seq1m9569
OG0000040	Apar_comp13858_c1_seq1m9612
OG0000040	Apar_comp14053_c2_seq1m9908
OG0000040	Apar_comp14810_c0_seq1m11257
OG0000040	Apar_comp15338_c1_seq1m12193
OG0000040	Apar_comp15546_c0_seq1m12605
OG0000040	Apar_comp15931_c1_seq1m13323
OG0000040	Apar_comp161454_c0_seq1m49442
OG0000040	Apar_comp16149_c1_seq1m13742
OG0000040	Apar_comp16414_c1_seq1m14326
OG0000040	Apar_comp18400_c0_seq1m19598
OG0000040	Apar_comp18608_c0_seq1m20181
OG0000040	Apar_comp18816_c0_seq1m20786
OG0000040	Apar_comp19131_c1_seq1m21770
OG0000040	Apar_comp20480_c1_seq1m26132
OG0000040	Apar_comp21039_c0_seq2m28275
OG0000040	Apar_comp21234_c0_seq1m28917
OG0000040	Apar_comp24003_c4_seq1m42777
OG0000040	Apar_comp24272_c0_seq1m45283
OG0000040	Apar_comp24272_c0_seq2m45285
OG0000040	Apar_comp44013_c0_seq1m47491
OG0000040	Apar_comp44865_c0_seq1m47523
OG0000040	Apar_comp5645_c0_seq1m1543
OG0000040	Apar_comp5709_c0_seq1m1576
OG0000040	Apar_comp7254_c0_seq1m2961
OG0000040	Apar_comp7265_c0_seq1m2969
OG0000045	Apar_comp10688_c0_seq1m5361
OG0000045	Apar_comp10688_c1_seq1m5362
OG0000045	Apar_comp12865_c0_seq1m8041
OG0000045	Apar_comp12865_c0_seq2m8042
OG0000045	Apar_comp16643_c1_seq1m14839
OG0000045	Apar_comp17132_c1_seq1m15918
OG0000045	Apar_comp17651_c0_seq1m17426
OG0000045	Apar_comp17651_c0_seq2m17427
OG0000045	Apar_comp19026_c0_seq1m21421
OG0000045	Apar_comp19808_c0_seq1m23791
OG0000045	Apar_comp19808_c0_seq2m23792
OG0000045	Apar_comp19808_c0_seq3m23793
OG0000045	Apar_comp20084_c1_seq1m24731
OG0000045	Apar_comp4783_c0_seq1m920
OG0000045	Apar_comp56482_c0_seq1m47793
OG0000045	Apar_comp86682_c0_seq1m48487
OG0000046	Apar_comp18255_c0_seq1m19242
OG0000046	Apar_comp18255_c0_seq2m19243
OG0000046	Apar_comp188608_c0_seq1m49630
OG0000046	Apar_comp21913_c0_seq1m31470
OG0000046	Apar_comp22820_c0_seq1m35838
OG0000046	Apar_comp22882_c0_seq1m36152
OG0000047	Apar_comp14688_c0_seq1m11062
OG0000047	Apar_comp14688_c1_seq1m11064
OG0000047	Apar_comp16959_c0_seq1m15573
OG0000047	Apar_comp16959_c0_seq2m15574
OG0000047	Apar_comp17971_c4_seq1m18342
OG0000047	Apar_comp18874_c0_seq1m20952
OG0000047	Apar_comp18874_c2_seq1m20953
OG0000048	Apar_comp20746_c0_seq1m27171
OG0000048	Apar_comp21342_c0_seq1m29273
OG0000048	Apar_comp21570_c0_seq1m30130
OG0000048	Apar_comp21570_c0_seq1m30131
OG0000048	Apar_comp22034_c0_seq1m31986
OG0000048	Apar_comp22602_c0_seq1m34665
OG0000048	Apar_comp22602_c0_seq2m34671
OG0000048	Apar_comp24334_c2_seq1m46058
OG0000049	Apar_comp18382_c0_seq1m19554
OG0000049	Apar_comp39010_c0_seq1m47367
OG0000052	Apar_comp14677_c0_seq1m11040
OG0000052	Apar_comp17053_c0_seq1m15787
OG0000052	Apar_comp1824_c0_seq1m500
OG0000052	Apar_comp18881_c0_seq1m20976
OG0000052	Apar_comp20458_c0_seq1m26040
OG0000052	Apar_comp22823_c0_seq1m35869
OG0000052	Apar_comp22823_c0_seq2m35870
OG0000052	Apar_comp23121_c0_seq1m37249
OG0000052	Apar_comp24212_c3_seq1m44503
OG0000052	Apar_comp24212_c3_seq2m44506
OG0000052	Apar_comp327981_c0_seq1m50487
OG0000052	Apar_comp33715_c0_seq1m47286
OG0000052	Apar_comp6979_c0_seq1m2714
OG0000052	Apar_comp6998_c0_seq1m2733
OG0000052	Apar_comp6998_c1_seq1m2737
OG0000055	Apar_comp11685_c0_seq1m6222
OG0000055	Apar_comp11685_c1_seq1m6224
OG0000055	Apar_comp16670_c0_seq1m14901
OG0000055	Apar_comp16670_c0_seq2m14903
OG0000055	Apar_comp17259_c0_seq1m16331
OG0000055	Apar_comp17647_c2_seq1m17414
OG0000055	Apar_comp17647_c3_seq1m17415
OG0000055	Apar_comp20242_c0_seq3m25294
OG0000055	Apar_comp20321_c0_seq1m25565
OG0000055	Apar_comp20748_c0_seq1m27179
OG0000055	Apar_comp22079_c0_seq1m32182
OG0000055	Apar_comp22593_c0_seq1m34618
OG0000055	Apar_comp22678_c0_seq1m35077
OG0000055	Apar_comp22792_c0_seq1m35708
OG0000055	Apar_comp22792_c0_seq2m35711
OG0000055	Apar_comp23007_c0_seq1m36692
OG0000055	Apar_comp23505_c0_seq1m39382
OG0000055	Apar_comp23505_c0_seq2m39385
OG0000055	Apar_comp23945_c0_seq1m42348
OG0000055	Apar_comp24258_c1_seq1m45000
OG0000055	Apar_comp5499_c0_seq1m1434
OG0000058	Apar_comp15741_c2_seq1m12953
OG0000058	Apar_comp15818_c0_seq1m13100
OG0000058	Apar_comp15818_c1_seq1m13101
OG0000058	Apar_comp18262_c0_seq1m19262
OG0000058	Apar_comp18351_c1_seq1m19480
OG0000058	Apar_comp21856_c0_seq1m31234
OG0000058	Apar_comp22833_c0_seq1m35930
OG0000058	Apar_comp22833_c0_seq2m35933
OG0000058	Apar_comp22833_c0_seq3m35934
OG0000058	Apar_comp22833_c0_seq4m35935
OG0000058	Apar_comp22833_c0_seq5m35936
OG0000058	Apar_comp23703_c0_seq1m40733
OG0000058	Apar_comp23703_c0_seq2m40737
OG0000058	Apar_comp23703_c0_seq3m40740
OG0000058	Apar_comp44208_c0_seq1m47509
OG0000058	Apar_comp54062_c0_seq1m47724
OG0000058	Apar_comp7473_c0_seq1m3142
OG0000059	Apar_comp10818_c0_seq1m5449
OG0000059	Apar_comp13923_c1_seq1m9687
OG0000059	Apar_comp15343_c2_seq1m12213
OG0000059	Apar_comp15793_c0_seq1m13051
OG0000059	Apar_comp17396_c2_seq1m16729
OG0000059	Apar_comp17396_c3_seq1m16730
OG0000059	Apar_comp22159_c0_seq1m32480
OG0000059	Apar_comp24266_c0_seq2m45220
OG0000059	Apar_comp24424_c0_seq1m46694
OG0000059	Apar_comp24732_c0_seq1m46863
OG0000063	Apar_comp10826_c0_seq1m5456
OG0000063	Apar_comp11108_c0_seq1m5618
OG0000063	Apar_comp12546_c0_seq1m7538
OG0000063	Apar_comp13206_c1_seq1m8568
OG0000063	Apar_comp18873_c0_seq1m20948
OG0000063	Apar_comp18873_c0_seq2m20949
OG0000063	Apar_comp21715_c0_seq1m30683
OG0000063	Apar_comp22300_c0_seq1m33096
OG0000063	Apar_comp225565_c0_seq1m49948
OG0000066	Apar_comp11723_c0_seq1m6309
OG0000066	Apar_comp16790_c0_seq1m15175
OG0000066	Apar_comp17094_c0_seq1m15850
OG0000066	Apar_comp21020_c0_seq1m28224
OG0000066	Apar_comp22451_c1_seq1m33737
OG0000066	Apar_comp22581_c0_seq1m34503
OG0000066	Apar_comp22838_c0_seq1m35953
OG0000066	Apar_comp23146_c0_seq1m37406
OG0000066	Apar_comp23146_c0_seq2m37410
OG0000066	Apar_comp23146_c0_seq3m37411
OG0000066	Apar_comp23146_c0_seq4m37415
OG0000066	Apar_comp23451_c0_seq1m39130
OG0000066	Apar_comp8989_c1_seq1m4193
OG0000067	Apar_comp20809_c0_seq1m27405
OG0000069	Apar_comp10619_c0_seq1m5307
OG0000069	Apar_comp11030_c0_seq1m5574
OG0000069	Apar_comp11533_c0_seq1m5990
OG0000069	Apar_comp12438_c0_seq1m7354
OG0000069	Apar_comp18652_c0_seq1m20286
OG0000069	Apar_comp20113_c0_seq1m24814
OG0000069	Apar_comp22009_c0_seq1m31865
OG0000069	Apar_comp23401_c3_seq1m38820
OG0000069	Apar_comp24769_c0_seq1m46876
OG0000069	Apar_comp7038_c0_seq1m2777
OG0000072	Apar_comp12367_c0_seq1m7252
OG0000072	Apar_comp14895_c0_seq1m11443
OG0000072	Apar_comp19981_c0_seq1m24395
OG0000072	Apar_comp24101_c0_seq1m43525
OG0000076	Apar_comp13597_c0_seq1m9198
OG0000076	Apar_comp16845_c0_seq1m15297
OG0000076	Apar_comp21112_c0_seq1m28527
OG0000076	Apar_comp21112_c0_seq2m28529
OG0000076	Apar_comp24404_c0_seq1m46673
OG0000076	Apar_comp52682_c0_seq1m47696
OG0000076	Apar_comp7337_c0_seq1m3037
OG0000076	Apar_comp9799_c0_seq1m4757
OG0000077	Apar_comp135280_c0_seq1m49172
OG0000077	Apar_comp21920_c0_seq1m31512
OG0000077	Apar_comp21920_c0_seq2m31515
OG0000077	Apar_comp21920_c0_seq3m31518
OG0000077	Apar_comp21920_c0_seq5m31519
OG0000077	Apar_comp21920_c2_seq1m31521
OG0000077	Apar_comp22568_c0_seq1m34407
OG0000077	Apar_comp22568_c2_seq1m34409
OG0000077	Apar_comp22568_c3_seq1m34410
OG0000077	Apar_comp22568_c3_seq2m34413
OG0000077	Apar_comp22958_c0_seq1m36446
OG0000077	Apar_comp22958_c1_seq1m36447
OG0000077	Apar_comp24090_c0_seq1m43425
OG0000077	Apar_comp24090_c0_seq2m43426
OG0000077	Apar_comp5697_c0_seq1m1570
OG0000077	Apar_comp5697_c1_seq1m1573
OG0000079	Apar_comp12818_c0_seq1m7964
OG0000079	Apar_comp12818_c0_seq2m7966
OG0000079	Apar_comp13853_c0_seq1m9605
OG0000079	Apar_comp17495_c0_seq1m17005
OG0000079	Apar_comp21123_c0_seq1m28549
OG0000079	Apar_comp21123_c0_seq2m28550
OG0000079	Apar_comp21123_c2_seq1m28551
OG0000079	Apar_comp21691_c0_seq1m30574
OG0000079	Apar_comp21691_c0_seq2m30575
OG0000079	Apar_comp22119_c0_seq1m32331
OG0000079	Apar_comp22119_c0_seq2m32332
OG0000079	Apar_comp22119_c0_seq3m32333
OG0000079	Apar_comp22119_c0_seq4m32335
OG0000079	Apar_comp22373_c0_seq1m33351
OG0000079	Apar_comp9050_c0_seq1m4239
OG0000083	Apar_comp1373_c0_seq1m387
OG0000083	Apar_comp14220_c0_seq1m10197
OG0000083	Apar_comp14366_c1_seq1m10440
OG0000084	Apar_comp12883_c0_seq1m8072
OG0000084	Apar_comp16811_c0_seq1m15211
OG0000084	Apar_comp22487_c1_seq1m33923
OG0000084	Apar_comp23401_c2_seq1m38819
OG0000084	Apar_comp23401_c4_seq1m38821
OG0000084	Apar_comp23401_c4_seq2m38823
OG0000084	Apar_comp23493_c1_seq1m39329
OG0000084	Apar_comp23493_c1_seq2m39331
OG0000084	Apar_comp23493_c1_seq3m39332
OG0000084	Apar_comp9153_c0_seq1m4314
OG0000086	Apar_comp18771_c0_seq1m20654
OG0000086	Apar_comp19758_c0_seq1m23615
OG0000086	Apar_comp21084_c0_seq1m28416
OG0000086	Apar_comp23422_c0_seq1m38958
OG0000086	Apar_comp23422_c0_seq2m38961
OG0000086	Apar_comp23422_c0_seq3m38963
OG0000086	Apar_comp23578_c0_seq1m39962
OG0000086	Apar_comp23578_c0_seq4m39968
OG0000086	Apar_comp24023_c1_seq1m42962
OG0000086	Apar_comp5082_c0_seq1m1171
OG0000086	Apar_comp76072_c0_seq1m48252
OG0000087	Apar_comp13142_c1_seq1m8466
OG0000087	Apar_comp13986_c2_seq1m9804
OG0000087	Apar_comp13986_c3_seq1m9806
OG0000087	Apar_comp18839_c1_seq1m20844
OG0000087	Apar_comp18925_c0_seq1m21121
OG0000087	Apar_comp18925_c0_seq2m21122
OG0000087	Apar_comp20659_c0_seq1m26808
OG0000087	Apar_comp23039_c0_seq1m36847
OG0000087	Apar_comp23039_c1_seq1m36852
OG0000087	Apar_comp23708_c0_seq1m40778
OG0000087	Apar_comp23963_c1_seq1m42457
OG0000087	Apar_comp5204_c0_seq1m1245
OG0000088	Apar_comp10191_c0_seq1m5021
OG0000088	Apar_comp12280_c1_seq1m7103
OG0000088	Apar_comp12775_c0_seq1m7903
OG0000088	Apar_comp18497_c2_seq1m19875
OG0000088	Apar_comp19422_c2_seq1m22516
OG0000088	Apar_comp19931_c1_seq1m24211
OG0000088	Apar_comp19931_c2_seq1m24213
OG0000088	Apar_comp20352_c0_seq1m25680
OG0000088	Apar_comp20352_c0_seq2m25681
OG0000088	Apar_comp20352_c0_seq3m25682
OG0000088	Apar_comp20649_c0_seq1m26770
OG0000088	Apar_comp20649_c0_seq2m26777
OG0000088	Apar_comp21268_c1_seq1m29006
OG0000088	Apar_comp22675_c0_seq1m35061
OG0000088	Apar_comp22849_c1_seq1m36020
OG0000088	Apar_comp22849_c1_seq2m36021
OG0000088	Apar_comp23581_c2_seq1m39980
OG0000088	Apar_comp23581_c2_seq2m39983
OG0000088	Apar_comp9726_c1_seq1m4701
OG0000088	Apar_comp9875_c0_seq1m4812
OG0000088	Apar_comp9875_c1_seq1m4814
OG0000089	Apar_comp13519_c1_seq1m9077
OG0000089	Apar_comp13555_c1_seq1m9138
OG0000089	Apar_comp13649_c1_seq1m9273
OG0000089	Apar_comp14277_c2_seq1m10279
OG0000089	Apar_comp16938_c2_seq1m15523
OG0000089	Apar_comp17637_c0_seq1m17384
OG0000089	Apar_comp17637_c1_seq1m17388
OG0000089	Apar_comp19083_c1_seq1m21590
OG0000089	Apar_comp194194_c0_seq1m49725
OG0000089	Apar_comp19835_c3_seq1m23885
OG0000089	Apar_comp21538_c0_seq1m29993
OG0000089	Apar_comp21538_c0_seq2m29994
OG0000089	Apar_comp21538_c1_seq1m29995
OG0000089	Apar_comp22670_c0_seq1m35029
OG0000089	Apar_comp24048_c0_seq1m43151
OG0000089	Apar_comp24048_c0_seq2m43159
OG0000089	Apar_comp6048_c0_seq1m1884
OG0000089	Apar_comp6048_c0_seq2m1886
OG0000089	Apar_comp6905_c1_seq1m2647
OG0000090	Apar_comp11954_c0_seq1m6630
OG0000090	Apar_comp19561_c0_seq1m22955
OG0000090	Apar_comp21803_c0_seq1m31026
OG0000091	Apar_comp13040_c0_seq1m8308
OG0000091	Apar_comp13793_c1_seq1m9501
OG0000091	Apar_comp14904_c0_seq1m11461
OG0000091	Apar_comp17228_c0_seq1m16224
OG0000091	Apar_comp17333_c0_seq1m16541
OG0000091	Apar_comp17333_c1_seq1m16543
OG0000091	Apar_comp17333_c2_seq1m16546
OG0000091	Apar_comp20908_c0_seq1m27863
OG0000091	Apar_comp21487_c0_seq1m29760
OG0000091	Apar_comp22742_c0_seq1m35458
OG0000091	Apar_comp23685_c0_seq10m40636
OG0000091	Apar_comp23685_c0_seq3m40614
OG0000091	Apar_comp23685_c0_seq4m40619
OG0000091	Apar_comp23685_c0_seq5m40621
OG0000091	Apar_comp23685_c0_seq6m40624
OG0000091	Apar_comp23685_c0_seq7m40629
OG0000091	Apar_comp23685_c0_seq8m40633
OG0000091	Apar_comp23685_c0_seq9m40634
OG0000091	Apar_comp23920_c1_seq1m42206
OG0000091	Apar_comp24150_c1_seq3m43960
OG0000091	Apar_comp65499_c0_seq1m47997
OG0000091	Apar_comp7042_c0_seq1m2780
OG0000091	Apar_comp7042_c0_seq2m2783
OG0000091	Apar_comp7745_c0_seq1m3374
OG0000091	Apar_comp8619_c0_seq1m3899
OG0000091	Apar_comp8619_c1_seq1m3902
OG0000091	Apar_comp9542_c0_seq1m4567
OG0000093	Apar_comp12100_c0_seq1m6834
OG0000093	Apar_comp21107_c0_seq1m28512
OG0000093	Apar_comp21770_c0_seq1m30882
OG0000094	Apar_comp20427_c1_seq1m25929
OG0000094	Apar_comp20427_c1_seq2m25932
OG0000094	Apar_comp20427_c1_seq3m25935
OG0000094	Apar_comp20911_c1_seq1m27876
OG0000094	Apar_comp20911_c2_seq1m27877
OG0000094	Apar_comp22553_c0_seq1m34318
OG0000094	Apar_comp24161_c0_seq1m44053
OG0000094	Apar_comp9079_c0_seq1m4253
OG0000095	Apar_comp13152_c3_seq1m8488
OG0000095	Apar_comp13152_c5_seq1m8490
OG0000095	Apar_comp165998_c0_seq1m49451
OG0000095	Apar_comp17953_c0_seq1m18279
OG0000095	Apar_comp17953_c3_seq1m18283
OG0000095	Apar_comp17953_c5_seq1m18284
OG0000095	Apar_comp17953_c7_seq1m18286
OG0000095	Apar_comp18245_c0_seq1m19215
OG0000095	Apar_comp18589_c0_seq1m20109
OG0000095	Apar_comp18589_c3_seq1m20112
OG0000095	Apar_comp18589_c4_seq1m20113
OG0000095	Apar_comp23006_c0_seq1m36687
OG0000095	Apar_comp24269_c0_seq1m45256
OG0000097	Apar_comp15070_c0_seq1m11714
OG0000097	Apar_comp23669_c0_seq1m40481
OG0000097	Apar_comp23669_c0_seq2m40482
