Orthogroup	Nk52Cperk_TRX
OG0000016	Nk52_evm6s277
OG0000016	Nk52_evm70s226
OG0000016	Nk52_evm75s208
OG0000016	Nk52_evm7s2415
OG0000016	Nk52_evm7s283
OG0000016	Nk52_evm7s379
OG0000016	Nk52_evm86s1073
OG0000016	Nk52_evm89s1073
OG0000016	Nk52_evm8s219
OG0000016	Nk52_evm8s462
OG0000016	Nk52_evm90s1073
OG0000016	Nk52_evm9s303
OG0000017	Nk52_evm20s2325
OG0000021	Nk52_evm10s147
OG0000021	Nk52_evm15s240
OG0000021	Nk52_evm24s147
OG0000021	Nk52_evm51s1020
OG0000021	Nk52_evm77s151
OG0000023	Nk52_evm10s238
OG0000023	Nk52_evm121s151
OG0000023	Nk52_evm15s1524
OG0000023	Nk52_evm26s485
OG0000023	Nk52_evm59s343
OG0000023	Nk52_evm71s151
OG0000023	Nk52_evm7s248
OG0000023	Nk52_evm84s2367
OG0000023	Nk52_evm89s2367
OG0000029	Nk52_evm10s283
OG0000029	Nk52_evm12s165
OG0000029	Nk52_evm18s162
OG0000029	Nk52_evm1s2640
OG0000029	Nk52_evm1s501
OG0000029	Nk52_evm21s272
OG0000029	Nk52_evm22s2085
OG0000029	Nk52_evm22s272
OG0000029	Nk52_evm25s216
OG0000029	Nk52_evm28s153
OG0000029	Nk52_evm28s1763
OG0000029	Nk52_evm29s153
OG0000029	Nk52_evm2s2356
OG0000029	Nk52_evm30s153
OG0000029	Nk52_evm30s1705
OG0000029	Nk52_evm31s153
OG0000029	Nk52_evm31s1705
OG0000029	Nk52_evm41s621
OG0000029	Nk52_evm4s211
OG0000029	Nk52_evm53s207
OG0000029	Nk52_evm5s211
OG0000029	Nk52_evm5s391
OG0000029	Nk52_evm70s485
OG0000029	Nk52_evm73s2367
OG0000029	Nk52_evm74s2367
OG0000029	Nk52_evm77s217
OG0000029	Nk52_evm78s217
OG0000029	Nk52_evm7s387
OG0000029	Nk52_evm9s283
OG0000030	Nk52_evm1s2090
OG0000031	Nk52_evm10s303
OG0000031	Nk52_evm14s242
OG0000031	Nk52_evm15s280
OG0000031	Nk52_evm18s158
OG0000031	Nk52_evm18s2485
OG0000031	Nk52_evm1s79
OG0000031	Nk52_evm48s1569
OG0000031	Nk52_evm5s369
OG0000031	Nk52_evm63s208
OG0000033	Nk52_evm2s280
OG0000036	Nk52_evm2s2635
OG0000036	Nk52_evm63s230
OG0000038	Nk52_evm17s327
OG0000038	Nk52_evm1s1532
OG0000038	Nk52_evm24s2133
OG0000038	Nk52_evm29s249
OG0000038	Nk52_evm29s296
OG0000038	Nk52_evm2s2118
OG0000038	Nk52_evm31s745
OG0000038	Nk52_evm32s1737
OG0000038	Nk52_evm38s2630
OG0000038	Nk52_evm78s270
OG0000038	Nk52_evm88s224
OG0000040	Nk52_evm13s281
OG0000040	Nk52_evm1s1248
OG0000040	Nk52_evm23s270
OG0000040	Nk52_evm25s272
OG0000040	Nk52_evm28s228
OG0000040	Nk52_evm37s221
OG0000040	Nk52_evm37s295
OG0000040	Nk52_evm3s478
OG0000040	Nk52_evm48s2152
OG0000040	Nk52_evm5s255
OG0000040	Nk52_evm8s356
OG0000040	Nk52_evm9s226
OG0000045	Nk52_evm12s179
OG0000045	Nk52_evm14s248
OG0000045	Nk52_evm4s153
OG0000045	Nk52_evm75s62
OG0000045	Nk52_evm7s360
OG0000045	Nk52_evm94s221
OG0000046	Nk52_evm11s242
OG0000046	Nk52_evm17s2273
OG0000046	Nk52_evm18s2273
OG0000046	Nk52_evm1s1198
OG0000046	Nk52_evm1s2256
OG0000046	Nk52_evm20s2273
OG0000046	Nk52_evm33s2340
OG0000046	Nk52_evm34s295
OG0000046	Nk52_evm3s171
OG0000046	Nk52_evm72s2367
OG0000046	Nk52_evm7s2011
OG0000046	Nk52_evm91s2118
OG0000047	Nk52_evm5s233
OG0000047	Nk52_evm82s485
OG0000048	Nk52_evm12s2635
OG0000048	Nk52_evm13s913
OG0000048	Nk52_evm15s250
OG0000048	Nk52_evm15s913
OG0000048	Nk52_evm19s78
OG0000048	Nk52_evm21s250
OG0000048	Nk52_evm24s221
OG0000048	Nk52_evm26s2612
OG0000048	Nk52_evm27s156
OG0000048	Nk52_evm29s554
OG0000048	Nk52_evm35s158
OG0000048	Nk52_evm38s158
OG0000048	Nk52_evm40s914
OG0000048	Nk52_evm66s554
OG0000048	Nk52_evm77s223
OG0000049	Nk52_evm5s307
OG0000052	Nk52_evm15s2640
OG0000052	Nk52_evm18s1967
OG0000052	Nk52_evm2s1128
OG0000052	Nk52_evm45s1360
OG0000055	Nk52_evm36s2568
OG0000055	Nk52_evm5s366
OG0000055	Nk52_evm5s485
OG0000055	Nk52_evm7s514
OG0000058	Nk52_evm1s2063
OG0000058	Nk52_evm48s151
OG0000058	Nk52_evm4s559
OG0000058	Nk52_evm96s1444
OG0000059	Nk52_evm11s1967
OG0000059	Nk52_evm1s247
OG0000063	Nk52_evm21s248
OG0000063	Nk52_evm27s249
OG0000063	Nk52_evm3s514
OG0000063	Nk52_evm44s352
OG0000063	Nk52_evm50s914
OG0000066	Nk52_evm101s226
OG0000066	Nk52_evm1s2423
OG0000066	Nk52_evm20s262
OG0000066	Nk52_evm2s327
OG0000066	Nk52_evm39s2657
OG0000066	Nk52_evm3s273
OG0000066	Nk52_evm42s270
OG0000066	Nk52_evm82s352
OG0000067	Nk52_evm16s282
OG0000067	Nk52_evm1s1856
OG0000067	Nk52_evm1s231
OG0000067	Nk52_evm1s2610
OG0000067	Nk52_evm1s524
OG0000067	Nk52_evm20s2568
OG0000069	Nk52_evm11s1315
OG0000069	Nk52_evm17s248
OG0000069	Nk52_evm1s1374
OG0000069	Nk52_evm64s78
OG0000069	Nk52_evm6s217
OG0000072	Nk52_evm11s294
OG0000072	Nk52_evm1s301
OG0000072	Nk52_evm25s217
OG0000076	Nk52_evm1s2586
OG0000076	Nk52_evm35s1444
OG0000076	Nk52_evm5s539
OG0000076	Nk52_evm6s1737
OG0000077	Nk52_evm106s485
OG0000077	Nk52_evm18s256
OG0000077	Nk52_evm23s2085
OG0000077	Nk52_evm45s2309
OG0000079	Nk52_evm132s221
OG0000079	Nk52_evm18s295
OG0000079	Nk52_evm19s358
OG0000079	Nk52_evm30s914
OG0000079	Nk52_evm6s2449
OG0000079	Nk52_evm82s2192
OG0000083	Nk52_evm14s2171
OG0000084	Nk52_evm1s2634
OG0000084	Nk52_evm3s358
OG0000084	Nk52_evm50s236
OG0000086	Nk52_evm22s490
OG0000086	Nk52_evm32s2496
OG0000086	Nk52_evm37s2192
OG0000086	Nk52_evm40s967
OG0000086	Nk52_evm52s1401
OG0000086	Nk52_evm5s385
OG0000087	Nk52_evm12s218
OG0000087	Nk52_evm19s151
OG0000087	Nk52_evm2s2438
OG0000087	Nk52_evm5s1401
OG0000087	Nk52_evm70s224
OG0000087	Nk52_evm78s164
OG0000088	Nk52_evm15s246
OG0000088	Nk52_evm40s1810
OG0000088	Nk52_evm88s270
OG0000089	Nk52_evm14s1401
OG0000089	Nk52_evm25s265
OG0000089	Nk52_evm26s1967
OG0000089	Nk52_evm27s279
OG0000089	Nk52_evm35s226
OG0000089	Nk52_evm81s217
OG0000090	Nk52_evm28s2273
OG0000090	Nk52_evm67s270
OG0000090	Nk52_evm8s298
OG0000091	Nk52_evm22s2325
OG0000093	Nk52_evm17s2356
OG0000094	Nk52_evm14s442
OG0000094	Nk52_evm16s1360
OG0000094	Nk52_evm20s745
OG0000094	Nk52_evm29s152
OG0000094	Nk52_evm29s2356
OG0000094	Nk52_evm30s226
OG0000094	Nk52_evm3s303
OG0000094	Nk52_evm3s526
OG0000094	Nk52_evm4s353
OG0000094	Nk52_evm5s2604
OG0000095	Nk52_evm12s1524
OG0000095	Nk52_evm14s1360
OG0000095	Nk52_evm24s370
OG0000095	Nk52_evm25s2192
OG0000095	Nk52_evm25s2402
OG0000095	Nk52_evm2s381
OG0000095	Nk52_evm33s262
OG0000095	Nk52_evm39s163
OG0000095	Nk52_evm3s1401
OG0000095	Nk52_evm3s212
OG0000095	Nk52_evm42s236
OG0000095	Nk52_evm45s240
OG0000095	Nk52_evm4s317
OG0000095	Nk52_evm52s359
OG0000095	Nk52_evm5s290
OG0000095	Nk52_evm5s967
OG0000095	Nk52_evm80s352
OG0000097	Nk52_evm13s282
OG0000097	Nk52_evm1s113
OG0000097	Nk52_evm1s1242
OG0000097	Nk52_evm1s2286
OG0000097	Nk52_evm1s2418
OG0000099	Nk52_evm1s684
OG0000099	Nk52_evm23s485
OG0000099	Nk52_evm91s217
OG0000100	Nk52_evm1s2153
OG0000100	Nk52_evm1s539
OG0000100	Nk52_evm55s1737
OG0000100	Nk52_evm70s1073
OG0000101	Nk52_evm10s298
OG0000101	Nk52_evm77s207
OG0000103	Nk52_evm19s217
OG0000103	Nk52_evm1s364
OG0000103	Nk52_evm24s1967
OG0000103	Nk52_evm25s78
OG0000103	Nk52_evm28s2367
OG0000103	Nk52_evm92s1737
OG0000106	Nk52_evm131s221
OG0000106	Nk52_evm35s32
OG0000106	Nk52_evm47s745
OG0000106	Nk52_evm55s32
OG0000106	Nk52_evm85s62
OG0000107	Nk52_evm11s316
OG0000107	Nk52_evm27s217
OG0000107	Nk52_evm58s221
OG0000107	Nk52_evm8s89
OG0000107	Nk52_evm93s485
OG0000108	Nk52_evm13s352
OG0000108	Nk52_evm4s2241
OG0000108	Nk52_evm5s330
OG0000108	Nk52_evm68s217
OG0000111	Nk52_evm12s215
OG0000111	Nk52_evm1s269
OG0000111	Nk52_evm1s499
OG0000111	Nk52_evm28s1401
OG0000111	Nk52_evm2s2286
OG0000111	Nk52_evm2s2418
OG0000111	Nk52_evm5s2256
OG0000111	Nk52_evm6s70
OG0000115	Nk52_evm54s1020
OG0000116	Nk52_evm16s242
OG0000116	Nk52_evm27s2340
OG0000116	Nk52_evm29s2340
OG0000116	Nk52_evm2s2542
OG0000116	Nk52_evm33s248
OG0000116	Nk52_evm88s745
OG0000116	Nk52_evm9s307
OG0000117	Nk52_evm14s2596
OG0000117	Nk52_evm18s164
OG0000117	Nk52_evm6s157
OG0000117	Nk52_evm7s2340
OG0000118	Nk52_evm1s1837
OG0000118	Nk52_evm20s233
OG0000118	Nk52_evm47s240
OG0000118	Nk52_evm4s2273
OG0000122	Nk52_evm17s159
OG0000122	Nk52_evm1s1073
OG0000122	Nk52_evm48s158
OG0000122	Nk52_evm7s224
OG0000126	Nk52_evm13s578
OG0000126	Nk52_evm19s311
OG0000126	Nk52_evm27s2402
OG0000126	Nk52_evm4s805
OG0000126	Nk52_evm79s208
OG0000126	Nk52_evm8s1762
OG0000126	Nk52_evm8s373
OG0000126	Nk52_evm9s1020
OG0000127	Nk52_evm16s2209
OG0000127	Nk52_evm1s2504
OG0000130	Nk52_evm10s859
OG0000130	Nk52_evm42s1444
OG0000130	Nk52_evm43s1444
OG0000131	Nk52_evm1s1772
OG0000131	Nk52_evm27s745
OG0000131	Nk52_evm47s221
OG0000131	Nk52_evm69s2192
OG0000132	Nk52_evm1s2580
OG0000132	Nk52_evm22s358
OG0000132	Nk52_evm27s32
OG0000132	Nk52_evm2s397
OG0000132	Nk52_evm39s221
OG0000133	Nk52_evm16s233
OG0000133	Nk52_evm21s2506
OG0000133	Nk52_evm33s914
OG0000135	Nk52_evm149s226
OG0000137	Nk52_evm10s470
OG0000137	Nk52_evm1s1208
OG0000137	Nk52_evm1s353
OG0000137	Nk52_evm5s292
OG0000137	Nk52_evm8s1073
OG0000138	Nk52_evm16s2630
OG0000138	Nk52_evm18s2630
OG0000138	Nk52_evm2s1315
OG0000140	Nk52_evm10s162
OG0000140	Nk52_evm38s226
OG0000140	Nk52_evm42s239
OG0000140	Nk52_evm45s226
OG0000140	Nk52_evm8s268
OG0000141	Nk52_evm11s2133
OG0000141	Nk52_evm16s246
OG0000141	Nk52_evm2s1569
OG0000141	Nk52_evm3s1607
OG0000141	Nk52_evm65s554
OG0000142	Nk52_evm10s1810
OG0000142	Nk52_evm13s245
OG0000142	Nk52_evm19s2391
OG0000142	Nk52_evm24s1020
OG0000142	Nk52_evm27s250
OG0000142	Nk52_evm94s217
OG0000143	Nk52_evm14s282
OG0000143	Nk52_evm1s145
OG0000143	Nk52_evm1s404
OG0000143	Nk52_evm1s543
OG0000143	Nk52_evm1s902
OG0000143	Nk52_evm21s2568
OG0000143	Nk52_evm2s1856
OG0000143	Nk52_evm99s217
OG0000144	Nk52_evm13s1569
OG0000144	Nk52_evm38s293
OG0000144	Nk52_evm94s914
OG0000145	Nk52_evm17s539
OG0000145	Nk52_evm1s337
OG0000145	Nk52_evm23s316
OG0000145	Nk52_evm7s355
OG0000146	Nk52_evm17s2596
OG0000146	Nk52_evm1s1187
OG0000146	Nk52_evm41s296
OG0000146	Nk52_evm6s2612
OG0000146	Nk52_evm9s243
OG0000148	Nk52_evm15s32
OG0000148	Nk52_evm1s628
OG0000148	Nk52_evm9s1178
OG0000149	Nk52_evm107s224
OG0000149	Nk52_evm10s179
OG0000149	Nk52_evm1s1489
OG0000149	Nk52_evm23s2402
OG0000149	Nk52_evm30s1129
OG0000149	Nk52_evm51s153
OG0000149	Nk52_evm8s179
OG0000149	Nk52_evm9s179
OG0000151	Nk52_evm43s1524
OG0000151	Nk52_evm5s2062
OG0000151	Nk52_evm69s226
OG0000151	Nk52_evm8s1129
OG0000152	Nk52_evm114s224
OG0000152	Nk52_evm1s2325
OG0000152	Nk52_evm26s211
OG0000152	Nk52_evm5s262
OG0000153	Nk52_evm8s287
OG0000155	Nk52_evm101s224
OG0000156	Nk52_evm15s418
OG0000157	Nk52_evm17s684
OG0000157	Nk52_evm28s238
OG0000157	Nk52_evm3s495
OG0000157	Nk52_evm52s152
OG0000157	Nk52_evm8s352
OG0000165	Nk52_evm21s317
OG0000166	Nk52_evm1s1956
OG0000166	Nk52_evm33s239
OG0000170	Nk52_evm2s1187
OG0000170	Nk52_evm2s382
OG0000171	Nk52_evm28s147
OG0000171	Nk52_evm32s242
OG0000171	Nk52_evm52s621
OG0000172	Nk52_evm11s287
OG0000172	Nk52_evm1s2491
OG0000172	Nk52_evm25s147
OG0000172	Nk52_evm26s147
OG0000172	Nk52_evm27s147
OG0000172	Nk52_evm58s914
OG0000172	Nk52_evm75s224
OG0000173	Nk52_evm1s1387
OG0000174	Nk52_evm29s370
OG0000174	Nk52_evm30s352
OG0000174	Nk52_evm39s2391
OG0000174	Nk52_evm3s292
OG0000174	Nk52_evm42s2657
OG0000174	Nk52_evm58s239
OG0000174	Nk52_evm8s675
OG0000175	Nk52_evm5s696
OG0000175	Nk52_evm6s1444
OG0000175	Nk52_evm7s295
OG0000177	Nk52_evm24s356
OG0000177	Nk52_evm26s2192
OG0000177	Nk52_evm30s2356
OG0000177	Nk52_evm49s212
OG0000177	Nk52_evm67s78
OG0000177	Nk52_evm9s157
OG0000178	Nk52_evm16s343
OG0000178	Nk52_evm1s1348
OG0000178	Nk52_evm23s78
OG0000178	Nk52_evm37s1810
OG0000178	Nk52_evm39s32
OG0000178	Nk52_evm8s2192
OG0000179	Nk52_evm22s281
OG0000179	Nk52_evm2s232
OG0000179	Nk52_evm38s359
OG0000182	Nk52_evm34s156
OG0000182	Nk52_evm38s224
OG0000182	Nk52_evm38s242
OG0000182	Nk52_evm61s217
OG0000183	Nk52_evm3s683
OG0000183	Nk52_evm53s32
OG0000184	Nk52_evm4s2171
OG0000185	Nk52_evm10s268
OG0000185	Nk52_evm30s967
OG0000185	Nk52_evm5s1073
OG0000185	Nk52_evm7s268
OG0000185	Nk52_evm7s301
OG0000186	Nk52_evm11s367
OG0000186	Nk52_evm11s369
OG0000186	Nk52_evm12s168
OG0000186	Nk52_evm134s226
OG0000186	Nk52_evm16s217
OG0000186	Nk52_evm16s24
OG0000186	Nk52_evm16s2474
OG0000186	Nk52_evm1s212
OG0000186	Nk52_evm1s717
OG0000186	Nk52_evm23s2273
OG0000187	Nk52_evm60s152
OG0000188	Nk52_evm12s1178
OG0000188	Nk52_evm2s337
OG0000193	Nk52_evm21s675
OG0000193	Nk52_evm2s359
OG0000193	Nk52_evm40s242
OG0000193	Nk52_evm45s296
OG0000194	Nk52_evm12s161
OG0000194	Nk52_evm12s207
OG0000194	Nk52_evm12s261
OG0000194	Nk52_evm13s369
OG0000194	Nk52_evm18s559
OG0000194	Nk52_evm1s195
OG0000194	Nk52_evm1s2530
OG0000194	Nk52_evm24s2474
OG0000194	Nk52_evm2s612
OG0000194	Nk52_evm38s2506
OG0000194	Nk52_evm4s2010
OG0000194	Nk52_evm77s352
OG0000198	Nk52_evm16s284
OG0000198	Nk52_evm6s152
OG0000198	Nk52_evm6s967
OG0000199	Nk52_evm11s266
OG0000199	Nk52_evm26s207
OG0000199	Nk52_evm27s2367
OG0000199	Nk52_evm32s234
OG0000199	Nk52_evm49s223
OG0000199	Nk52_evm6s805
OG0000204	Nk52_evm19s2531
OG0000206	Nk52_evm14s358
OG0000206	Nk52_evm1s261
OG0000206	Nk52_evm5s324
OG0000206	Nk52_evm6s358
OG0000206	Nk52_evm75s1073
OG0000206	Nk52_evm8s261
OG0000206	Nk52_evm9s239
OG0000207	Nk52_evm15s1360
OG0000207	Nk52_evm3s246
OG0000214	Nk52_evm24s225
OG0000214	Nk52_evm28s292
OG0000214	Nk52_evm6s2415
OG0000214	Nk52_evm6s321
OG0000214	Nk52_evm7s2284
OG0000214	Nk52_evm8s2284
OG0000215	Nk52_evm21s2496
OG0000215	Nk52_evm34s1671
OG0000215	Nk52_evm39s255
OG0000216	Nk52_evm25s352
OG0000216	Nk52_evm47s1360
OG0000216	Nk52_evm4s248
OG0000216	Nk52_evm67s164
OG0000216	Nk52_evm9s248
OG0000217	Nk52_evm15s2635
OG0000220	Nk52_evm14s2506
OG0000220	Nk52_evm14s319
OG0000220	Nk52_evm15s2506
OG0000220	Nk52_evm19s359
OG0000220	Nk52_evm1s1804
OG0000220	Nk52_evm27s913
OG0000220	Nk52_evm29s1360
OG0000220	Nk52_evm2s402
OG0000220	Nk52_evm38s164
OG0000220	Nk52_evm42s151
OG0000220	Nk52_evm5s304
OG0000220	Nk52_evm60s223
OG0000220	Nk52_evm71s2118
OG0000220	Nk52_evm81s1992
OG0000221	Nk52_evm1s2609
OG0000222	Nk52_evm103s914
OG0000222	Nk52_evm1s632
OG0000222	Nk52_evm38s217
OG0000222	Nk52_evm40s296
OG0000222	Nk52_evm59s226
OG0000223	Nk52_evm12s503
OG0000223	Nk52_evm14s2391
OG0000223	Nk52_evm19s2485
OG0000223	Nk52_evm27s239
OG0000223	Nk52_evm29s239
OG0000223	Nk52_evm31s239
OG0000223	Nk52_evm49s2039
OG0000226	Nk52_evm148s226
OG0000226	Nk52_evm1s252
OG0000226	Nk52_evm23s279
OG0000226	Nk52_evm38s229
OG0000226	Nk52_evm3s379
OG0000226	Nk52_evm7s368
OG0000227	Nk52_evm53s359
OG0000228	Nk52_evm14s2011
OG0000228	Nk52_evm46s352
OG0000230	Nk52_evm12s360
OG0000230	Nk52_evm16s554
OG0000230	Nk52_evm35s805
OG0000231	Nk52_evm11s167
OG0000231	Nk52_evm3s1810
OG0000231	Nk52_evm47s252
OG0000231	Nk52_evm83s207
OG0000232	Nk52_evm18s288
OG0000232	Nk52_evm1s291
OG0000232	Nk52_evm23s273
OG0000232	Nk52_evm30s2579
OG0000232	Nk52_evm32s153
OG0000233	Nk52_evm11s2356
OG0000233	Nk52_evm11s675
OG0000233	Nk52_evm29s226
OG0000233	Nk52_evm32s295
OG0000233	Nk52_evm56s223
OG0000233	Nk52_evm93s158
OG0000233	Nk52_evm94s208
OG0000235	Nk52_evm27s967
OG0000235	Nk52_evm29s2612
OG0000237	Nk52_evm29s78
OG0000237	Nk52_evm39s158
OG0000237	Nk52_evm39s229
OG0000237	Nk52_evm49s2391
OG0000237	Nk52_evm7s634
OG0000238	Nk52_evm22s1837
OG0000238	Nk52_evm3s2152
OG0000240	Nk52_evm10s276
OG0000240	Nk52_evm17s153
OG0000240	Nk52_evm53s2152
OG0000241	Nk52_evm19s307
OG0000241	Nk52_evm5s2241
OG0000241	Nk52_evm8s578
OG0000244	Nk52_evm11s16
OG0000244	Nk52_evm12s16
OG0000244	Nk52_evm13s303
OG0000245	Nk52_evm10s1992
OG0000245	Nk52_evm19s352
OG0000245	Nk52_evm30s78
OG0000245	Nk52_evm6s252
OG0000245	Nk52_evm71s62
OG0000250	Nk52_evm17s1524
OG0000250	Nk52_evm1s1096
OG0000250	Nk52_evm1s160
OG0000250	Nk52_evm1s830
OG0000250	Nk52_evm28s2325
OG0000250	Nk52_evm30s243
OG0000250	Nk52_evm31s2118
OG0000250	Nk52_evm35s78
OG0000250	Nk52_evm4s340
OG0000250	Nk52_evm53s2657
OG0000250	Nk52_evm55s236
OG0000251	Nk52_evm17s2531
OG0000251	Nk52_evm1s280
OG0000252	Nk52_evm10s2340
OG0000252	Nk52_evm34s1763
OG0000252	Nk52_evm3s155
OG0000252	Nk52_evm6s426
OG0000252	Nk52_evm7s426
OG0000252	Nk52_evm9s358
OG0000258	Nk52_evm109s221
OG0000258	Nk52_evm12s1073
OG0000258	Nk52_evm24s24
OG0000261	Nk52_evm16s2622
OG0000261	Nk52_evm20s147
OG0000261	Nk52_evm38s1671
OG0000262	Nk52_evm3s239
OG0000262	Nk52_evm4s212
OG0000262	Nk52_evm7s462
OG0000263	Nk52_evm1s1843
OG0000263	Nk52_evm78s158
OG0000264	Nk52_evm39s343
OG0000264	Nk52_evm4s689
OG0000264	Nk52_evm77s914
OG0000265	Nk52_evm10s1020
OG0000265	Nk52_evm2s2133
OG0000265	Nk52_evm2s366
OG0000268	Nk52_evm5s2085
OG0000269	Nk52_evm1s1077
OG0000269	Nk52_evm2s296
OG0000269	Nk52_evm43s210
OG0000270	Nk52_evm12s232
OG0000270	Nk52_evm15s358
OG0000270	Nk52_evm1s412
OG0000270	Nk52_evm22s248
OG0000270	Nk52_evm26s151
OG0000270	Nk52_evm2s268
OG0000270	Nk52_evm32s232
OG0000270	Nk52_evm7s232
OG0000271	Nk52_evm82s62
OG0000272	Nk52_evm14s1444
OG0000272	Nk52_evm1s223
OG0000272	Nk52_evm4s1315
OG0000274	Nk52_evm15s212
OG0000274	Nk52_evm3s361
OG0000274	Nk52_evm53s554
OG0000275	Nk52_evm1s403
OG0000275	Nk52_evm23s246
OG0000275	Nk52_evm5s2297
OG0000277	Nk52_evm2s262
OG0000277	Nk52_evm38s221
OG0000277	Nk52_evm5s222
OG0000277	Nk52_evm91s221
OG0000278	Nk52_evm2s326
OG0000278	Nk52_evm34s2309
OG0000279	Nk52_evm12s374
OG0000279	Nk52_evm13s168
OG0000279	Nk52_evm14s369
OG0000279	Nk52_evm18s2568
OG0000279	Nk52_evm1s1110
OG0000279	Nk52_evm1s1961
OG0000279	Nk52_evm1s2335
OG0000279	Nk52_evm1s2508
OG0000279	Nk52_evm1s70
OG0000279	Nk52_evm1s919
OG0000279	Nk52_evm21s554
OG0000279	Nk52_evm22s2367
OG0000279	Nk52_evm23s2367
OG0000279	Nk52_evm2s70
