Orthogroup	HD_TRX
OG0000015	HD_v1_tr_11633.p1
OG0000015	HD_v1_tr_11635.p1
OG0000015	HD_v1_tr_11888.p2
OG0000015	HD_v1_tr_11904.p1
OG0000015	HD_v1_tr_12705.p1
OG0000015	HD_v1_tr_12743.p1
OG0000016	HD_v1_tr_00001.p1
OG0000016	HD_v1_tr_00002.p1
OG0000016	HD_v1_tr_01010.p1
OG0000016	HD_v1_tr_01010.p2
OG0000016	HD_v1_tr_01174.p1
OG0000016	HD_v1_tr_01212.p1
OG0000016	HD_v1_tr_01281.p1
OG0000016	HD_v1_tr_01512.p1
OG0000016	HD_v1_tr_01655.p1
OG0000016	HD_v1_tr_01657.p1
OG0000016	HD_v1_tr_01705.p1
OG0000016	HD_v1_tr_02238.p1
OG0000016	HD_v1_tr_02434.p1
OG0000016	HD_v1_tr_02434.p2
OG0000016	HD_v1_tr_02525.p1
OG0000016	HD_v1_tr_02709.p1
OG0000016	HD_v1_tr_03009.p1
OG0000016	HD_v1_tr_03009.p3
OG0000016	HD_v1_tr_03231.p1
OG0000016	HD_v1_tr_03385.p1
OG0000016	HD_v1_tr_03564.p1
OG0000016	HD_v1_tr_04098.p1
OG0000016	HD_v1_tr_04507.p1
OG0000016	HD_v1_tr_04521.p1
OG0000016	HD_v1_tr_04756.p1
OG0000016	HD_v1_tr_04809.p1
OG0000016	HD_v1_tr_05004.p1
OG0000016	HD_v1_tr_05651.p1
OG0000016	HD_v1_tr_06695.p1
OG0000016	HD_v1_tr_06984.p1
OG0000016	HD_v1_tr_07049.p1
OG0000016	HD_v1_tr_07297.p1
OG0000016	HD_v1_tr_07298.p1
OG0000016	HD_v1_tr_07958.p1
OG0000016	HD_v1_tr_08048.p1
OG0000016	HD_v1_tr_08693.p1
OG0000016	HD_v1_tr_09532.p1
OG0000016	HD_v1_tr_09677.p1
OG0000016	HD_v1_tr_09977.p1
OG0000016	HD_v1_tr_10322.p1
OG0000016	HD_v1_tr_10322.p2
OG0000016	HD_v1_tr_10437.p1
OG0000016	HD_v1_tr_10747.p1
OG0000016	HD_v1_tr_11055.p1
OG0000016	HD_v1_tr_11150.p1
OG0000016	HD_v1_tr_11790.p1
OG0000016	HD_v1_tr_11992.p1
OG0000016	HD_v1_tr_11994.p1
OG0000016	HD_v1_tr_12054.p1
OG0000017	HD_v1_tr_01433.p1
OG0000017	HD_v1_tr_01456.p1
OG0000017	HD_v1_tr_05837.p1
OG0000017	HD_v1_tr_06939.p1
OG0000017	HD_v1_tr_09179.p1
OG0000017	HD_v1_tr_09503.p1
OG0000017	HD_v1_tr_10332.p1
OG0000021	HD_v1_tr_00151.p1
OG0000021	HD_v1_tr_00606.p1
OG0000021	HD_v1_tr_01472.p1
OG0000021	HD_v1_tr_01472.p4
OG0000021	HD_v1_tr_03479.p1
OG0000021	HD_v1_tr_03479.p2
OG0000021	HD_v1_tr_03480.p1
OG0000021	HD_v1_tr_03480.p2
OG0000021	HD_v1_tr_05883.p1
OG0000021	HD_v1_tr_08834.p1
OG0000021	HD_v1_tr_09265.p1
OG0000021	HD_v1_tr_09268.p1
OG0000021	HD_v1_tr_10001.p1
OG0000021	HD_v1_tr_11128.p1
OG0000021	HD_v1_tr_12126.p1
OG0000023	HD_v1_tr_03296.p1
OG0000023	HD_v1_tr_03296.p2
OG0000023	HD_v1_tr_04383.p1
OG0000023	HD_v1_tr_04496.p1
OG0000023	HD_v1_tr_05365.p1
OG0000023	HD_v1_tr_07668.p1
OG0000023	HD_v1_tr_08134.p1
OG0000023	HD_v1_tr_09648.p1
OG0000023	HD_v1_tr_09729.p1
OG0000023	HD_v1_tr_10335.p1
OG0000023	HD_v1_tr_10536.p1
OG0000023	HD_v1_tr_11707.p1
OG0000023	HD_v1_tr_11946.p1
OG0000023	HD_v1_tr_11947.p1
OG0000023	HD_v1_tr_11948.p1
OG0000023	HD_v1_tr_12203.p1
OG0000023	HD_v1_tr_12254.p1
OG0000029	HD_v1_tr_00958.p1
OG0000029	HD_v1_tr_02653.p1
OG0000029	HD_v1_tr_03512.p1
OG0000029	HD_v1_tr_05902.p1
OG0000029	HD_v1_tr_06688.p1
OG0000029	HD_v1_tr_07686.p1
OG0000029	HD_v1_tr_09055.p1
OG0000029	HD_v1_tr_12526.p1
OG0000031	HD_v1_tr_02461.p1
OG0000031	HD_v1_tr_02526.p1
OG0000031	HD_v1_tr_04011.p2
OG0000031	HD_v1_tr_06566.p1
OG0000031	HD_v1_tr_07328.p1
OG0000031	HD_v1_tr_07601.p1
OG0000031	HD_v1_tr_08075.p1
OG0000031	HD_v1_tr_09281.p1
OG0000031	HD_v1_tr_10783.p1
OG0000033	HD_v1_tr_00021.p1
OG0000033	HD_v1_tr_00252.p1
OG0000033	HD_v1_tr_00947.p1
OG0000033	HD_v1_tr_01497.p1
OG0000033	HD_v1_tr_01805.p1
OG0000033	HD_v1_tr_02475.p1
OG0000033	HD_v1_tr_03342.p1
OG0000033	HD_v1_tr_04505.p2
OG0000033	HD_v1_tr_04757.p1
OG0000033	HD_v1_tr_06460.p1
OG0000033	HD_v1_tr_06931.p1
OG0000033	HD_v1_tr_07741.p1
OG0000033	HD_v1_tr_08560.p1
OG0000033	HD_v1_tr_08715.p1
OG0000033	HD_v1_tr_11012.p1
OG0000033	HD_v1_tr_11013.p1
OG0000033	HD_v1_tr_11375.p1
OG0000033	HD_v1_tr_11378.p1
OG0000033	HD_v1_tr_11475.p1
OG0000033	HD_v1_tr_11476.p1
OG0000036	HD_v1_tr_00214.p1
OG0000036	HD_v1_tr_02482.p1
OG0000036	HD_v1_tr_04493.p1
OG0000036	HD_v1_tr_05068.p1
OG0000036	HD_v1_tr_05428.p1
OG0000036	HD_v1_tr_07380.p1
OG0000036	HD_v1_tr_07541.p2
OG0000036	HD_v1_tr_08506.p1
OG0000036	HD_v1_tr_10115.p1
OG0000036	HD_v1_tr_10661.p4
OG0000036	HD_v1_tr_11248.p1
OG0000036	HD_v1_tr_11256.p1
OG0000036	HD_v1_tr_11769.p1
OG0000036	HD_v1_tr_12076.p1
OG0000036	HD_v1_tr_12194.p1
OG0000038	HD_v1_tr_02272.p1
OG0000038	HD_v1_tr_06225.p1
OG0000038	HD_v1_tr_12372.p1
OG0000040	HD_v1_tr_00086.p1
OG0000040	HD_v1_tr_03424.p1
OG0000040	HD_v1_tr_03727.p1
OG0000040	HD_v1_tr_07548.p1
OG0000040	HD_v1_tr_08372.p1
OG0000040	HD_v1_tr_11763.p1
OG0000040	HD_v1_tr_12469.p1
OG0000045	HD_v1_tr_03885.p3
OG0000045	HD_v1_tr_04804.p1
OG0000045	HD_v1_tr_05828.p1
OG0000045	HD_v1_tr_05829.p1
OG0000045	HD_v1_tr_07565.p3
OG0000045	HD_v1_tr_07739.p1
OG0000045	HD_v1_tr_10787.p2
OG0000046	HD_v1_tr_00456.p1
OG0000046	HD_v1_tr_00810.p1
OG0000046	HD_v1_tr_00811.p1
OG0000046	HD_v1_tr_00993.p1
OG0000046	HD_v1_tr_01077.p1
OG0000046	HD_v1_tr_01377.p1
OG0000046	HD_v1_tr_02260.p1
OG0000046	HD_v1_tr_02634.p1
OG0000046	HD_v1_tr_04163.p1
OG0000046	HD_v1_tr_04246.p1
OG0000046	HD_v1_tr_06114.p1
OG0000046	HD_v1_tr_11824.p1
OG0000047	HD_v1_tr_00186.p1
OG0000047	HD_v1_tr_01508.p1
OG0000047	HD_v1_tr_03462.p1
OG0000047	HD_v1_tr_03866.p1
OG0000047	HD_v1_tr_04667.p1
OG0000047	HD_v1_tr_06986.p1
OG0000047	HD_v1_tr_12679.p1
OG0000047	HD_v1_tr_12680.p1
OG0000048	HD_v1_tr_01250.p1
OG0000048	HD_v1_tr_02441.p1
OG0000048	HD_v1_tr_06155.p1
OG0000049	HD_v1_tr_00756.p1
OG0000049	HD_v1_tr_03885.p1
OG0000049	HD_v1_tr_05005.p1
OG0000049	HD_v1_tr_06674.p1
OG0000049	HD_v1_tr_07565.p1
OG0000049	HD_v1_tr_10798.p1
OG0000049	HD_v1_tr_11223.p1
OG0000049	HD_v1_tr_11757.p1
OG0000052	HD_v1_tr_01233.p2
OG0000052	HD_v1_tr_01549.p1
OG0000052	HD_v1_tr_03680.p2
OG0000052	HD_v1_tr_04558.p2
OG0000052	HD_v1_tr_05645.p1
OG0000052	HD_v1_tr_07532.p1
OG0000052	HD_v1_tr_08263.p1
OG0000052	HD_v1_tr_08537.p1
OG0000052	HD_v1_tr_10949.p1
OG0000052	HD_v1_tr_11067.p1
OG0000055	HD_v1_tr_00158.p1
OG0000055	HD_v1_tr_02105.p1
OG0000055	HD_v1_tr_02106.p1
OG0000055	HD_v1_tr_02184.p1
OG0000055	HD_v1_tr_09431.p3
OG0000055	HD_v1_tr_09474.p1
OG0000055	HD_v1_tr_11449.p1
OG0000055	HD_v1_tr_12477.p1
OG0000058	HD_v1_tr_00275.p1
OG0000058	HD_v1_tr_01415.p1
OG0000058	HD_v1_tr_03280.p1
OG0000058	HD_v1_tr_03280.p3
OG0000058	HD_v1_tr_05152.p1
OG0000058	HD_v1_tr_05152.p2
OG0000058	HD_v1_tr_08737.p1
OG0000058	HD_v1_tr_09575.p1
OG0000058	HD_v1_tr_10368.p1
OG0000059	HD_v1_tr_00447.p1
OG0000059	HD_v1_tr_00480.p1
OG0000059	HD_v1_tr_01938.p1
OG0000059	HD_v1_tr_02213.p1
OG0000059	HD_v1_tr_03824.p1
OG0000059	HD_v1_tr_10630.p1
OG0000063	HD_v1_tr_00139.p1
OG0000063	HD_v1_tr_00250.p1
OG0000063	HD_v1_tr_00311.p1
OG0000063	HD_v1_tr_01118.p1
OG0000063	HD_v1_tr_08600.p1
OG0000063	HD_v1_tr_10074.p1
OG0000066	HD_v1_tr_00877.p4
OG0000066	HD_v1_tr_01056.p1
OG0000066	HD_v1_tr_12172.p1
OG0000067	HD_v1_tr_00608.p1
OG0000067	HD_v1_tr_00738.p1
OG0000067	HD_v1_tr_03554.p1
OG0000067	HD_v1_tr_03886.p1
OG0000067	HD_v1_tr_05250.p1
OG0000067	HD_v1_tr_06504.p1
OG0000067	HD_v1_tr_07676.p1
OG0000067	HD_v1_tr_07813.p1
OG0000067	HD_v1_tr_10219.p1
OG0000067	HD_v1_tr_10486.p1
OG0000069	HD_v1_tr_00721.p5
OG0000069	HD_v1_tr_01919.p1
OG0000069	HD_v1_tr_03532.p1
OG0000069	HD_v1_tr_03859.p2
OG0000069	HD_v1_tr_06274.p1
OG0000069	HD_v1_tr_06968.p1
OG0000069	HD_v1_tr_07558.p1
OG0000069	HD_v1_tr_11913.p1
OG0000072	HD_v1_tr_08554.p2
OG0000072	HD_v1_tr_12213.p1
OG0000072	HD_v1_tr_12391.p2
OG0000076	HD_v1_tr_00903.p1
OG0000076	HD_v1_tr_02630.p1
OG0000076	HD_v1_tr_03430.p1
OG0000076	HD_v1_tr_03736.p1
OG0000076	HD_v1_tr_03737.p1
OG0000076	HD_v1_tr_03962.p2
OG0000076	HD_v1_tr_06370.p1
OG0000076	HD_v1_tr_10211.p1
OG0000077	HD_v1_tr_01278.p1
OG0000077	HD_v1_tr_02292.p1
OG0000077	HD_v1_tr_07745.p1
OG0000077	HD_v1_tr_08198.p1
OG0000077	HD_v1_tr_10419.p1
OG0000077	HD_v1_tr_11185.p1
OG0000077	HD_v1_tr_11823.p1
OG0000077	HD_v1_tr_11869.p1
OG0000079	HD_v1_tr_05155.p1
OG0000079	HD_v1_tr_05279.p1
OG0000079	HD_v1_tr_06018.p1
OG0000079	HD_v1_tr_09795.p2
OG0000083	HD_v1_tr_02130.p1
OG0000083	HD_v1_tr_09040.p1
OG0000083	HD_v1_tr_09084.p1
OG0000083	HD_v1_tr_10722.p1
OG0000083	HD_v1_tr_11809.p1
OG0000083	HD_v1_tr_11809.p2
OG0000084	HD_v1_tr_01719.p1
OG0000084	HD_v1_tr_01725.p1
OG0000084	HD_v1_tr_05412.p1
OG0000084	HD_v1_tr_05613.p1
OG0000084	HD_v1_tr_06222.p1
OG0000084	HD_v1_tr_07150.p1
OG0000084	HD_v1_tr_07151.p1
OG0000084	HD_v1_tr_08439.p1
OG0000084	HD_v1_tr_08717.p1
OG0000084	HD_v1_tr_08718.p1
OG0000084	HD_v1_tr_08773.p1
OG0000084	HD_v1_tr_09312.p1
OG0000084	HD_v1_tr_09997.p1
OG0000086	HD_v1_tr_05129.p1
OG0000086	HD_v1_tr_12720.p1
OG0000087	HD_v1_tr_02967.p1
OG0000087	HD_v1_tr_05505.p1
OG0000087	HD_v1_tr_05934.p1
OG0000087	HD_v1_tr_06495.p1
OG0000087	HD_v1_tr_07843.p1
OG0000087	HD_v1_tr_10751.p1
OG0000087	HD_v1_tr_10952.p1
OG0000088	HD_v1_tr_00718.p1
OG0000088	HD_v1_tr_03267.p1
OG0000088	HD_v1_tr_06915.p2
OG0000088	HD_v1_tr_07158.p1
OG0000088	HD_v1_tr_08276.p1
OG0000088	HD_v1_tr_09941.p1
OG0000088	HD_v1_tr_10863.p1
OG0000089	HD_v1_tr_02835.p1
OG0000089	HD_v1_tr_07922.p1
OG0000089	HD_v1_tr_08046.p1
OG0000089	HD_v1_tr_11412.p1
OG0000089	HD_v1_tr_11875.p1
OG0000090	HD_v1_tr_03286.p1
OG0000090	HD_v1_tr_05352.p1
OG0000090	HD_v1_tr_05773.p1
OG0000090	HD_v1_tr_06804.p1
OG0000091	HD_v1_tr_01597.p1
OG0000091	HD_v1_tr_02746.p1
OG0000091	HD_v1_tr_11507.p1
OG0000093	HD_v1_tr_01146.p3
OG0000093	HD_v1_tr_07695.p1
OG0000093	HD_v1_tr_09645.p1
OG0000093	HD_v1_tr_11154.p1
OG0000093	HD_v1_tr_11725.p1
OG0000094	HD_v1_tr_09752.p1
OG0000094	HD_v1_tr_11494.p1
OG0000095	HD_v1_tr_01778.p1
OG0000095	HD_v1_tr_05386.p1
OG0000095	HD_v1_tr_05387.p1
OG0000095	HD_v1_tr_09957.p1
OG0000097	HD_v1_tr_00889.p1
OG0000097	HD_v1_tr_02183.p1
OG0000097	HD_v1_tr_02200.p1
OG0000097	HD_v1_tr_04963.p1
OG0000097	HD_v1_tr_05490.p3
OG0000097	HD_v1_tr_08537.p3
OG0000097	HD_v1_tr_08627.p3
OG0000097	HD_v1_tr_09733.p3
OG0000097	HD_v1_tr_11074.p1
OG0000099	HD_v1_tr_01627.p1
OG0000099	HD_v1_tr_04697.p1
OG0000099	HD_v1_tr_06102.p1
OG0000099	HD_v1_tr_10540.p1
OG0000100	HD_v1_tr_02558.p1
OG0000100	HD_v1_tr_03848.p1
OG0000100	HD_v1_tr_06150.p1
OG0000100	HD_v1_tr_06208.p1
OG0000100	HD_v1_tr_07570.p1
OG0000100	HD_v1_tr_07571.p1
OG0000100	HD_v1_tr_07642.p1
OG0000100	HD_v1_tr_11698.p1
OG0000101	HD_v1_tr_00199.p1
OG0000101	HD_v1_tr_01639.p1
OG0000101	HD_v1_tr_03471.p1
OG0000101	HD_v1_tr_05195.p1
OG0000101	HD_v1_tr_07059.p1
OG0000101	HD_v1_tr_07761.p1
OG0000103	HD_v1_tr_03349.p1
OG0000103	HD_v1_tr_03350.p1
OG0000103	HD_v1_tr_07193.p1
OG0000103	HD_v1_tr_07196.p1
OG0000103	HD_v1_tr_08047.p1
OG0000103	HD_v1_tr_11523.p1
OG0000106	HD_v1_tr_08295.p1
OG0000107	HD_v1_tr_00039.p1
OG0000107	HD_v1_tr_03656.p1
OG0000107	HD_v1_tr_10253.p1
OG0000107	HD_v1_tr_10253.p2
OG0000107	HD_v1_tr_10254.p1
OG0000107	HD_v1_tr_10254.p2
OG0000107	HD_v1_tr_11477.p1
OG0000111	HD_v1_tr_02893.p1
OG0000111	HD_v1_tr_03799.p2
OG0000111	HD_v1_tr_04376.p1
OG0000111	HD_v1_tr_04939.p2
OG0000111	HD_v1_tr_04940.p2
OG0000111	HD_v1_tr_07271.p2
OG0000111	HD_v1_tr_09398.p2
OG0000111	HD_v1_tr_10585.p1
OG0000111	HD_v1_tr_10586.p1
OG0000111	HD_v1_tr_10588.p1
OG0000111	HD_v1_tr_11807.p1
OG0000116	HD_v1_tr_00655.p2
OG0000116	HD_v1_tr_08650.p1
OG0000116	HD_v1_tr_09269.p1
OG0000117	HD_v1_tr_01678.p1
OG0000117	HD_v1_tr_04228.p1
OG0000117	HD_v1_tr_09943.p1
OG0000118	HD_v1_tr_00166.p1
OG0000118	HD_v1_tr_00652.p1
OG0000118	HD_v1_tr_02225.p1
OG0000118	HD_v1_tr_05402.p1
OG0000118	HD_v1_tr_05761.p1
OG0000118	HD_v1_tr_06386.p1
OG0000118	HD_v1_tr_07215.p1
OG0000118	HD_v1_tr_07296.p1
OG0000118	HD_v1_tr_11535.p1
OG0000122	HD_v1_tr_01552.p1
OG0000122	HD_v1_tr_05976.p1
OG0000122	HD_v1_tr_05977.p1
OG0000122	HD_v1_tr_10162.p2
OG0000122	HD_v1_tr_12345.p1
OG0000122	HD_v1_tr_12347.p1
OG0000122	HD_v1_tr_12348.p1
OG0000127	HD_v1_tr_07749.p1
OG0000127	HD_v1_tr_11452.p1
OG0000127	HD_v1_tr_11453.p1
OG0000127	HD_v1_tr_11738.p1
OG0000130	HD_v1_tr_02210.p1
OG0000130	HD_v1_tr_04126.p1
OG0000131	HD_v1_tr_00382.p1
OG0000131	HD_v1_tr_04998.p1
OG0000131	HD_v1_tr_04999.p1
OG0000131	HD_v1_tr_08806.p1
OG0000131	HD_v1_tr_10020.p1
OG0000133	HD_v1_tr_07223.p1
OG0000133	HD_v1_tr_11561.p1
OG0000133	HD_v1_tr_11982.p1
OG0000135	HD_v1_tr_02979.p1
OG0000135	HD_v1_tr_02980.p1
OG0000135	HD_v1_tr_06714.p1
OG0000137	HD_v1_tr_00205.p1
OG0000137	HD_v1_tr_01348.p1
OG0000137	HD_v1_tr_01745.p1
OG0000137	HD_v1_tr_01914.p1
OG0000137	HD_v1_tr_04787.p1
OG0000137	HD_v1_tr_08542.p1
OG0000137	HD_v1_tr_09056.p1
OG0000137	HD_v1_tr_09463.p1
OG0000137	HD_v1_tr_09464.p1
OG0000137	HD_v1_tr_10450.p1
OG0000137	HD_v1_tr_11868.p1
OG0000138	HD_v1_tr_00105.p1
OG0000138	HD_v1_tr_01253.p1
OG0000138	HD_v1_tr_02806.p1
OG0000138	HD_v1_tr_06221.p1
OG0000138	HD_v1_tr_08447.p1
OG0000138	HD_v1_tr_08447.p2
OG0000138	HD_v1_tr_08447.p3
OG0000138	HD_v1_tr_08447.p4
OG0000140	HD_v1_tr_01858.p1
OG0000140	HD_v1_tr_01858.p2
OG0000140	HD_v1_tr_02022.p1
OG0000140	HD_v1_tr_02154.p1
OG0000140	HD_v1_tr_04603.p1
OG0000140	HD_v1_tr_04981.p1
OG0000140	HD_v1_tr_06034.p1
OG0000140	HD_v1_tr_07901.p1
OG0000140	HD_v1_tr_08379.p1
OG0000140	HD_v1_tr_08379.p2
OG0000140	HD_v1_tr_08496.p1
OG0000140	HD_v1_tr_09101.p1
OG0000140	HD_v1_tr_09165.p1
OG0000141	HD_v1_tr_03700.p1
OG0000141	HD_v1_tr_11287.p1
OG0000142	HD_v1_tr_00104.p1
OG0000142	HD_v1_tr_05553.p1
OG0000142	HD_v1_tr_06974.p1
OG0000142	HD_v1_tr_08087.p1
OG0000142	HD_v1_tr_11925.p1
OG0000143	HD_v1_tr_00289.p1
OG0000143	HD_v1_tr_02547.p1
OG0000143	HD_v1_tr_06698.p1
OG0000144	HD_v1_tr_00375.p1
OG0000144	HD_v1_tr_03786.p1
OG0000144	HD_v1_tr_05122.p1
OG0000144	HD_v1_tr_08112.p1
OG0000144	HD_v1_tr_09506.p1
OG0000144	HD_v1_tr_10610.p1
OG0000144	HD_v1_tr_11063.p1
OG0000145	HD_v1_tr_00998.p1
OG0000146	HD_v1_tr_01036.p1
OG0000146	HD_v1_tr_01889.p1
OG0000146	HD_v1_tr_02995.p1
OG0000146	HD_v1_tr_03904.p1
OG0000146	HD_v1_tr_04674.p1
OG0000146	HD_v1_tr_04949.p2
OG0000146	HD_v1_tr_07972.p1
OG0000146	HD_v1_tr_08867.p1
OG0000146	HD_v1_tr_09883.p1
OG0000146	HD_v1_tr_10298.p1
OG0000146	HD_v1_tr_12690.p1
OG0000148	HD_v1_tr_02066.p1
OG0000148	HD_v1_tr_02068.p1
OG0000148	HD_v1_tr_02069.p1
OG0000148	HD_v1_tr_04784.p1
OG0000148	HD_v1_tr_05886.p1
OG0000148	HD_v1_tr_06076.p1
OG0000148	HD_v1_tr_08304.p1
OG0000148	HD_v1_tr_08304.p2
OG0000148	HD_v1_tr_09371.p1
OG0000148	HD_v1_tr_10590.p1
OG0000149	HD_v1_tr_02206.p1
OG0000149	HD_v1_tr_02206.p2
OG0000151	HD_v1_tr_00384.p1
OG0000151	HD_v1_tr_00525.p1
OG0000151	HD_v1_tr_01265.p1
OG0000151	HD_v1_tr_03538.p1
OG0000151	HD_v1_tr_03548.p1
OG0000151	HD_v1_tr_03806.p1
OG0000151	HD_v1_tr_04899.p1
OG0000151	HD_v1_tr_09072.p1
OG0000151	HD_v1_tr_09896.p1
OG0000151	HD_v1_tr_11177.p1
OG0000151	HD_v1_tr_11532.p1
OG0000151	HD_v1_tr_11805.p1
OG0000151	HD_v1_tr_12737.p1
OG0000152	HD_v1_tr_00711.p1
OG0000152	HD_v1_tr_02423.p1
OG0000152	HD_v1_tr_03997.p1
OG0000152	HD_v1_tr_05616.p1
OG0000152	HD_v1_tr_07240.p1
OG0000152	HD_v1_tr_07241.p1
OG0000152	HD_v1_tr_08901.p1
OG0000152	HD_v1_tr_11130.p1
OG0000155	HD_v1_tr_04553.p1
OG0000155	HD_v1_tr_07080.p1
OG0000155	HD_v1_tr_07190.p1
OG0000155	HD_v1_tr_07191.p1
OG0000155	HD_v1_tr_09430.p1
OG0000155	HD_v1_tr_11964.p1
OG0000156	HD_v1_tr_00591.p1
OG0000156	HD_v1_tr_01527.p1
OG0000156	HD_v1_tr_02121.p1
OG0000156	HD_v1_tr_02832.p1
OG0000156	HD_v1_tr_03263.p1
OG0000156	HD_v1_tr_03457.p1
OG0000156	HD_v1_tr_04197.p2
OG0000156	HD_v1_tr_04197.p3
OG0000156	HD_v1_tr_04573.p1
OG0000156	HD_v1_tr_05417.p1
OG0000156	HD_v1_tr_05715.p1
OG0000156	HD_v1_tr_09161.p3
OG0000156	HD_v1_tr_09194.p1
OG0000156	HD_v1_tr_10981.p1
OG0000156	HD_v1_tr_11859.p1
OG0000156	HD_v1_tr_11879.p1
OG0000156	HD_v1_tr_12589.p1
OG0000157	HD_v1_tr_01447.p1
OG0000165	HD_v1_tr_00503.p1
OG0000165	HD_v1_tr_03692.p1
OG0000165	HD_v1_tr_09257.p1
OG0000165	HD_v1_tr_09594.p1
OG0000165	HD_v1_tr_10954.p1
OG0000166	HD_v1_tr_01046.p1
OG0000166	HD_v1_tr_01852.p1
OG0000166	HD_v1_tr_03626.p1
OG0000166	HD_v1_tr_04997.p1
OG0000166	HD_v1_tr_05507.p2
OG0000166	HD_v1_tr_07462.p1
OG0000166	HD_v1_tr_07592.p1
OG0000166	HD_v1_tr_08490.p1
OG0000166	HD_v1_tr_09932.p1
OG0000166	HD_v1_tr_11233.p1
OG0000166	HD_v1_tr_11718.p1
OG0000170	HD_v1_tr_02368.p1
OG0000170	HD_v1_tr_05407.p1
OG0000170	HD_v1_tr_06773.p1
OG0000170	HD_v1_tr_08899.p1
OG0000171	HD_v1_tr_04502.p1
OG0000171	HD_v1_tr_09802.p1
OG0000172	HD_v1_tr_02649.p1
OG0000172	HD_v1_tr_03107.p1
OG0000172	HD_v1_tr_03958.p2
OG0000172	HD_v1_tr_04422.p1
OG0000172	HD_v1_tr_10496.p1
OG0000172	HD_v1_tr_10918.p1
OG0000172	HD_v1_tr_11139.p1
OG0000173	HD_v1_tr_10390.p1
OG0000173	HD_v1_tr_12672.p1
OG0000174	HD_v1_tr_01652.p1
OG0000174	HD_v1_tr_02450.p1
OG0000174	HD_v1_tr_04744.p1
OG0000174	HD_v1_tr_05873.p1
OG0000174	HD_v1_tr_06162.p1
OG0000174	HD_v1_tr_08175.p1
OG0000174	HD_v1_tr_09942.p1
OG0000174	HD_v1_tr_12032.p1
OG0000175	HD_v1_tr_03222.p1
OG0000175	HD_v1_tr_06771.p1
OG0000175	HD_v1_tr_06772.p1
