Orthogroup	AQ_TRX
OG0000000	Aqu2.1.22189_001.p1
OG0000000	Aqu2.1.22729_001.p1
OG0000000	Aqu2.1.23192_001.p1
OG0000000	Aqu2.1.23200_001.p1
OG0000000	Aqu2.1.23987_001.p1
OG0000000	Aqu2.1.24060_001.p1
OG0000000	Aqu2.1.24474_001.p1
OG0000000	Aqu2.1.24629_001.p1
OG0000000	Aqu2.1.24761_001.p1
OG0000000	Aqu2.1.25133_001.p1
OG0000000	Aqu2.1.25273_001.p1
OG0000000	Aqu2.1.25653_001.p1
OG0000000	Aqu2.1.25974_001.p1
OG0000000	Aqu2.1.26287_001.p1
OG0000000	Aqu2.1.26717_001.p1
OG0000000	Aqu2.1.27942_001.p1
OG0000000	Aqu2.1.29685_001.p1
OG0000000	Aqu2.1.30234_001.p1
OG0000000	Aqu2.1.30331_001.p1
OG0000000	Aqu2.1.30451_001.p1
OG0000000	Aqu2.1.30615_001.p1
OG0000000	Aqu2.1.30617_001.p1
OG0000000	Aqu2.1.30973_001.p1
OG0000000	Aqu2.1.31528_001.p1
OG0000000	Aqu2.1.31531_001.p1
OG0000000	Aqu2.1.31532_001.p1
OG0000000	Aqu2.1.31702_001.p1
OG0000000	Aqu2.1.31708_001.p1
OG0000000	Aqu2.1.32060_001.p1
OG0000000	Aqu2.1.32288_001.p1
OG0000000	Aqu2.1.32328_001.p1
OG0000000	Aqu2.1.33200_001.p1
OG0000000	Aqu2.1.33228_001.p1
OG0000000	Aqu2.1.34058_001.p1
OG0000000	Aqu2.1.34060_001.p1
OG0000000	Aqu2.1.34176_001.p1
OG0000000	Aqu2.1.34558_001.p1
OG0000000	Aqu2.1.35308_001.p1
OG0000000	Aqu2.1.35456_001.p1
OG0000000	Aqu2.1.35601_001.p1
OG0000000	Aqu2.1.35617_001.p1
OG0000000	Aqu2.1.36327_001.p1
OG0000000	Aqu2.1.36361_001.p1
OG0000000	Aqu2.1.36907_001.p1
OG0000000	Aqu2.1.38003_001.p1
OG0000000	Aqu2.1.38070_001.p1
OG0000000	Aqu2.1.38307_001.p1
OG0000000	Aqu2.1.38867_001.p1
OG0000000	Aqu2.1.38894_001.p1
OG0000000	Aqu2.1.38903_001.p1
OG0000000	Aqu2.1.39045_001.p1
OG0000000	Aqu2.1.39046_001.p1
OG0000000	Aqu2.1.40168_001.p1
OG0000000	Aqu2.1.40287_001.p1
OG0000000	Aqu2.1.40591_001.p1
OG0000000	Aqu2.1.40597_001.p1
OG0000000	Aqu2.1.41727_001.p1
OG0000000	Aqu2.1.42471_001.p1
OG0000000	Aqu2.1.42478_001.p1
OG0000000	Aqu2.1.43217_001.p1
OG0000000	Aqu2.1.43886_001.p1
OG0000000	Aqu2.1.44353_001.p1
OG0000000	Aqu2.1.44396_001.p1
OG0000000	Aqu2.1.44436_001.p1
OG0000000	Aqu2.1.44471_001.p1
OG0000000	Aqu2.1.44603_001.p1
OG0000000	Aqu2.1.44631_001.p1
OG0000000	Aqu2.1.44654_001.p1
OG0000009	Aqu2.1.08175_001.p1
OG0000009	Aqu2.1.16069_001.p1
OG0000009	Aqu2.1.18357_001.p1
OG0000009	Aqu2.1.19148_001.p1
OG0000009	Aqu2.1.19544_001.p1
OG0000009	Aqu2.1.22476_001.p1
OG0000009	Aqu2.1.22481_001.p1
OG0000009	Aqu2.1.23943_001.p1
OG0000009	Aqu2.1.23946_001.p1
OG0000009	Aqu2.1.24526_001.p1
OG0000009	Aqu2.1.24819_001.p1
OG0000009	Aqu2.1.25390_001.p1
OG0000009	Aqu2.1.27160_001.p1
OG0000009	Aqu2.1.28105_001.p1
OG0000009	Aqu2.1.28305_001.p1
OG0000009	Aqu2.1.28306_001.p1
OG0000009	Aqu2.1.28982_001.p1
OG0000009	Aqu2.1.28984_001.p1
OG0000009	Aqu2.1.30288_001.p1
OG0000009	Aqu2.1.30289_001.p1
OG0000009	Aqu2.1.31786_001.p1
OG0000009	Aqu2.1.31858_001.p1
OG0000009	Aqu2.1.31859_001.p1
OG0000009	Aqu2.1.32552_001.p1
OG0000009	Aqu2.1.33545_001.p1
OG0000009	Aqu2.1.34261_001.p1
OG0000009	Aqu2.1.34470_001.p1
OG0000009	Aqu2.1.35035_001.p1
OG0000009	Aqu2.1.35737_001.p1
OG0000009	Aqu2.1.35958_001.p1
OG0000009	Aqu2.1.38456_001.p1
OG0000009	Aqu2.1.38576_001.p1
OG0000009	Aqu2.1.38577_001.p1
OG0000009	Aqu2.1.39944_001.p1
OG0000009	Aqu2.1.40603_001.p1
OG0000009	Aqu2.1.40746_001.p1
OG0000009	Aqu2.1.41812_001.p1
OG0000009	Aqu2.1.43353_001.p1
OG0000009	Aqu2.1.43679_001.p1
OG0000009	Aqu2.1.43680_001.p1
OG0000009	Aqu2.1.43767_001.p1
OG0000009	Aqu2.1.43769_001.p1
OG0000009	Aqu2.1.44044_001.p1
OG0000012	Aqu2.1.04272_001.p1
OG0000012	Aqu2.1.11233_001.p1
OG0000012	Aqu2.1.11234_001.p1
OG0000012	Aqu2.1.11630_001.p1
OG0000012	Aqu2.1.12743_001.p1
OG0000012	Aqu2.1.15622_001.p1
OG0000012	Aqu2.1.20334_001.p1
OG0000012	Aqu2.1.22707_001.p1
OG0000012	Aqu2.1.23483_001.p1
OG0000012	Aqu2.1.26532_001.p1
OG0000012	Aqu2.1.26962_001.p1
OG0000012	Aqu2.1.30831_001.p1
OG0000012	Aqu2.1.32241_001.p1
OG0000012	Aqu2.1.33796_001.p1
OG0000012	Aqu2.1.33799_001.p1
OG0000012	Aqu2.1.33808_001.p1
OG0000012	Aqu2.1.36272_001.p1
OG0000012	Aqu2.1.40987_001.p1
OG0000012	Aqu2.1.42175_001.p1
OG0000012	Aqu2.1.43313_001.p1
OG0000012	Aqu2.1.43326_001.p1
OG0000012	Aqu2.1.43375_001.p1
OG0000012	Aqu2.1.43663_001.p1
OG0000013	Aqu2.1.00130_001.p1
OG0000013	Aqu2.1.00680_001.p1
OG0000013	Aqu2.1.01115_001.p1
OG0000013	Aqu2.1.02155_001.p1
OG0000013	Aqu2.1.03005_001.p1
OG0000013	Aqu2.1.04078_001.p1
OG0000013	Aqu2.1.04522_001.p1
OG0000013	Aqu2.1.05423_001.p1
OG0000013	Aqu2.1.05703_001.p1
OG0000013	Aqu2.1.05874_001.p1
OG0000013	Aqu2.1.09924_001.p1
OG0000013	Aqu2.1.12179_001.p1
OG0000013	Aqu2.1.12970_001.p1
OG0000013	Aqu2.1.13092_001.p1
OG0000013	Aqu2.1.13816_001.p1
OG0000013	Aqu2.1.13817_001.p1
OG0000013	Aqu2.1.14313_001.p1
OG0000013	Aqu2.1.14315_001.p1
OG0000013	Aqu2.1.18355_001.p1
OG0000013	Aqu2.1.19382_001.p1
OG0000013	Aqu2.1.19691_001.p1
OG0000013	Aqu2.1.20187_001.p1
OG0000013	Aqu2.1.21531_001.p1
OG0000013	Aqu2.1.22331_001.p1
OG0000013	Aqu2.1.26364_001.p1
OG0000013	Aqu2.1.26967_001.p1
OG0000013	Aqu2.1.28286_001.p1
OG0000013	Aqu2.1.28755_001.p1
OG0000013	Aqu2.1.28756_001.p1
OG0000013	Aqu2.1.28762_001.p1
OG0000013	Aqu2.1.28773_001.p1
OG0000013	Aqu2.1.28774_001.p1
OG0000013	Aqu2.1.29851_001.p1
OG0000013	Aqu2.1.29852_001.p1
OG0000013	Aqu2.1.33766_001.p1
OG0000013	Aqu2.1.33767_001.p1
OG0000013	Aqu2.1.34854_001.p1
OG0000013	Aqu2.1.35081_001.p1
OG0000013	Aqu2.1.35981_001.p1
OG0000013	Aqu2.1.42212_001.p1
OG0000013	Aqu2.1.43410_001.p1
OG0000015	Aqu2.1.40199_001.p1
OG0000016	Aqu2.1.00721_001.p1
OG0000016	Aqu2.1.03057_001.p1
OG0000016	Aqu2.1.24545_001.p1
OG0000016	Aqu2.1.28180_001.p1
OG0000016	Aqu2.1.28784_001.p1
OG0000016	Aqu2.1.34477_001.p1
OG0000016	Aqu2.1.35545_001.p1
OG0000016	Aqu2.1.35549_001.p1
OG0000016	Aqu2.1.36708_001.p1
OG0000016	Aqu2.1.40353_001.p1
OG0000016	Aqu2.1.41187_001.p1
OG0000016	Aqu2.1.42230_001.p1
OG0000017	Aqu2.1.00725_001.p1
OG0000017	Aqu2.1.04933_001.p1
OG0000017	Aqu2.1.10677_001.p1
OG0000017	Aqu2.1.17062_001.p1
OG0000017	Aqu2.1.18657_001.p1
OG0000017	Aqu2.1.18658_001.p1
OG0000017	Aqu2.1.27121_001.p1
OG0000017	Aqu2.1.27122_001.p1
OG0000017	Aqu2.1.29698_001.p1
OG0000017	Aqu2.1.30543_001.p1
OG0000017	Aqu2.1.30557_001.p1
OG0000017	Aqu2.1.30559_001.p1
OG0000017	Aqu2.1.30560_001.p1
OG0000017	Aqu2.1.30562_001.p1
OG0000017	Aqu2.1.32383_001.p1
OG0000017	Aqu2.1.32387_001.p1
OG0000017	Aqu2.1.32555_001.p1
OG0000017	Aqu2.1.33943_001.p1
OG0000017	Aqu2.1.35575_001.p1
OG0000017	Aqu2.1.37463_001.p1
OG0000021	Aqu2.1.01542_001.p1
OG0000021	Aqu2.1.02401_001.p1
OG0000021	Aqu2.1.02437_001.p1
OG0000021	Aqu2.1.03230_001.p1
OG0000021	Aqu2.1.03667_001.p1
OG0000021	Aqu2.1.04399_001.p1
OG0000021	Aqu2.1.04407_001.p1
OG0000021	Aqu2.1.04810_001.p1
OG0000021	Aqu2.1.05983_001.p1
OG0000021	Aqu2.1.06928_001.p1
OG0000021	Aqu2.1.15016_001.p1
OG0000021	Aqu2.1.16545_001.p1
OG0000021	Aqu2.1.17096_001.p1
OG0000021	Aqu2.1.17700_001.p1
OG0000021	Aqu2.1.17701_001.p1
OG0000021	Aqu2.1.17702_001.p1
OG0000021	Aqu2.1.22796_001.p1
OG0000021	Aqu2.1.22812_001.p1
OG0000021	Aqu2.1.24071_001.p1
OG0000021	Aqu2.1.24072_001.p1
OG0000021	Aqu2.1.24634_001.p1
OG0000021	Aqu2.1.24817_001.p1
OG0000021	Aqu2.1.25013_001.p1
OG0000021	Aqu2.1.25014_001.p1
OG0000021	Aqu2.1.28723_001.p1
OG0000021	Aqu2.1.28805_001.p1
OG0000021	Aqu2.1.28806_001.p1
OG0000021	Aqu2.1.29020_001.p1
OG0000021	Aqu2.1.29207_001.p1
OG0000021	Aqu2.1.31155_001.p1
OG0000021	Aqu2.1.32559_001.p1
OG0000021	Aqu2.1.33893_001.p1
OG0000021	Aqu2.1.35068_001.p1
OG0000021	Aqu2.1.36200_001.p1
OG0000021	Aqu2.1.41619_001.p1
OG0000021	Aqu2.1.43675_001.p1
OG0000023	Aqu2.1.02724_001.p1
OG0000023	Aqu2.1.03089_001.p1
OG0000023	Aqu2.1.06482_001.p1
OG0000023	Aqu2.1.07314_001.p1
OG0000023	Aqu2.1.07561_001.p1
OG0000023	Aqu2.1.09078_001.p1
OG0000023	Aqu2.1.17064_001.p1
OG0000023	Aqu2.1.19098_001.p1
OG0000023	Aqu2.1.20620_001.p1
OG0000023	Aqu2.1.21535_001.p1
OG0000023	Aqu2.1.22094_001.p1
OG0000023	Aqu2.1.22095_001.p1
OG0000023	Aqu2.1.22169_001.p1
OG0000023	Aqu2.1.23531_001.p1
OG0000023	Aqu2.1.23532_001.p1
OG0000023	Aqu2.1.24660_001.p1
OG0000023	Aqu2.1.26215_001.p1
OG0000023	Aqu2.1.26435_001.p1
OG0000023	Aqu2.1.29996_001.p1
OG0000023	Aqu2.1.29999_001.p1
OG0000023	Aqu2.1.30448_001.p1
OG0000023	Aqu2.1.32382_001.p1
OG0000023	Aqu2.1.32388_001.p1
OG0000023	Aqu2.1.34268_001.p1
OG0000023	Aqu2.1.36619_001.p1
OG0000023	Aqu2.1.41700_001.p1
OG0000023	Aqu2.1.41708_001.p1
OG0000023	Aqu2.1.43463_001.p1
OG0000023	Aqu2.1.43465_001.p1
OG0000023	Aqu2.1.44306_001.p1
OG0000023	Aqu2.1.44308_001.p1
OG0000029	Aqu2.1.00717_001.p1
OG0000029	Aqu2.1.03165_001.p1
OG0000029	Aqu2.1.06699_001.p1
OG0000029	Aqu2.1.08960_001.p1
OG0000029	Aqu2.1.09510_001.p1
OG0000029	Aqu2.1.13915_001.p1
OG0000029	Aqu2.1.13916_001.p1
OG0000029	Aqu2.1.16777_001.p1
OG0000029	Aqu2.1.17390_001.p1
OG0000029	Aqu2.1.19992_001.p1
OG0000029	Aqu2.1.25915_001.p1
OG0000029	Aqu2.1.41184_001.p1
OG0000030	Aqu2.1.00953_001.p1
OG0000030	Aqu2.1.20495_001.p2
OG0000030	Aqu2.1.20496_001.p1
OG0000030	Aqu2.1.20497_001.p1
OG0000030	Aqu2.1.26508_001.p1
OG0000030	Aqu2.1.34872_001.p1
OG0000030	Aqu2.1.35238_001.p1
OG0000030	Aqu2.1.35239_001.p1
OG0000030	Aqu2.1.38447_001.p1
OG0000030	Aqu2.1.38448_001.p1
OG0000030	Aqu2.1.40853_001.p1
OG0000030	Aqu2.1.40854_001.p1
OG0000030	Aqu2.1.41371_001.p1
OG0000031	Aqu2.1.01052_001.p1
OG0000031	Aqu2.1.12860_001.p1
OG0000031	Aqu2.1.16184_001.p1
OG0000031	Aqu2.1.16443_001.p1
OG0000031	Aqu2.1.20341_001.p1
OG0000031	Aqu2.1.22592_001.p1
OG0000031	Aqu2.1.26313_001.p1
OG0000031	Aqu2.1.29980_001.p1
OG0000031	Aqu2.1.30284_001.p1
OG0000031	Aqu2.1.39862_001.p1
OG0000031	Aqu2.1.41609_001.p1
OG0000031	Aqu2.1.42129_001.p1
OG0000031	Aqu2.1.42700_001.p1
OG0000033	Aqu2.1.24259_001.p1
OG0000033	Aqu2.1.24974_001.p1
OG0000033	Aqu2.1.25598_001.p1
OG0000033	Aqu2.1.25684_001.p1
OG0000033	Aqu2.1.28488_001.p1
OG0000033	Aqu2.1.28489_001.p1
OG0000033	Aqu2.1.28492_001.p1
OG0000033	Aqu2.1.28493_001.p1
OG0000033	Aqu2.1.28494_001.p1
OG0000033	Aqu2.1.28495_001.p1
OG0000033	Aqu2.1.28497_001.p1
OG0000033	Aqu2.1.31040_001.p1
OG0000033	Aqu2.1.33948_001.p1
OG0000033	Aqu2.1.35499_001.p1
OG0000033	Aqu2.1.35500_001.p1
OG0000033	Aqu2.1.44139_001.p1
OG0000033	Aqu2.1.44140_001.p1
OG0000033	Aqu2.1.44141_001.p1
OG0000036	Aqu2.1.05343_001.p1
OG0000036	Aqu2.1.21548_001.p2
OG0000036	Aqu2.1.27886_001.p1
OG0000036	Aqu2.1.28512_001.p1
OG0000036	Aqu2.1.33566_001.p1
OG0000036	Aqu2.1.37531_001.p1
OG0000036	Aqu2.1.42241_001.p1
OG0000036	Aqu2.1.42262_001.p1
OG0000038	Aqu2.1.19533_001.p1
OG0000038	Aqu2.1.28187_001.p1
OG0000038	Aqu2.1.28316_001.p1
OG0000038	Aqu2.1.28317_001.p1
OG0000038	Aqu2.1.28935_001.p1
OG0000038	Aqu2.1.37455_001.p1
OG0000038	Aqu2.1.43959_001.p1
OG0000040	Aqu2.1.09075_001.p1
OG0000040	Aqu2.1.15852_001.p1
OG0000040	Aqu2.1.19534_001.p1
OG0000040	Aqu2.1.23870_001.p1
OG0000040	Aqu2.1.27506_001.p1
OG0000040	Aqu2.1.27507_001.p2
OG0000040	Aqu2.1.31389_001.p1
OG0000040	Aqu2.1.35200_001.p2
OG0000040	Aqu2.1.42032_001.p1
OG0000040	Aqu2.1.42301_001.p1
OG0000040	Aqu2.1.42302_001.p1
OG0000040	Aqu2.1.44207_001.p1
OG0000045	Aqu2.1.03698_001.p1
OG0000045	Aqu2.1.03699_001.p1
OG0000045	Aqu2.1.16371_001.p1
OG0000045	Aqu2.1.16372_001.p1
OG0000045	Aqu2.1.17780_001.p1
OG0000045	Aqu2.1.20504_001.p1
OG0000045	Aqu2.1.36282_001.p1
OG0000045	Aqu2.1.38765_001.p1
OG0000045	Aqu2.1.42015_001.p1
OG0000045	Aqu2.1.42209_001.p1
OG0000045	Aqu2.1.42622_001.p1
OG0000045	Aqu2.1.42623_001.p1
OG0000045	Aqu2.1.42775_001.p1
OG0000045	Aqu2.1.43948_001.p1
OG0000045	Aqu2.1.44004_001.p1
OG0000045	Aqu2.1.44005_001.p1
OG0000046	Aqu2.1.17876_001.p1
OG0000046	Aqu2.1.22534_001.p2
OG0000046	Aqu2.1.22535_001.p1
OG0000046	Aqu2.1.23387_001.p1
OG0000046	Aqu2.1.23388_001.p1
OG0000046	Aqu2.1.23389_001.p1
OG0000046	Aqu2.1.27307_001.p1
OG0000046	Aqu2.1.29399_001.p1
OG0000046	Aqu2.1.32610_001.p1
OG0000046	Aqu2.1.33917_001.p1
OG0000046	Aqu2.1.39162_001.p1
OG0000046	Aqu2.1.41046_001.p1
OG0000046	Aqu2.1.41047_001.p1
OG0000046	Aqu2.1.41048_001.p1
OG0000046	Aqu2.1.41049_001.p1
OG0000046	Aqu2.1.41050_001.p1
OG0000046	Aqu2.1.42494_001.p1
OG0000046	Aqu2.1.42495_001.p1
OG0000046	Aqu2.1.43323_001.p1
OG0000046	Aqu2.1.43732_001.p1
OG0000046	Aqu2.1.43733_001.p1
OG0000046	Aqu2.1.43734_001.p1
OG0000048	Aqu2.1.10040_001.p1
OG0000048	Aqu2.1.22263_001.p1
OG0000048	Aqu2.1.28528_001.p1
OG0000048	Aqu2.1.29866_001.p1
OG0000048	Aqu2.1.31639_001.p1
OG0000048	Aqu2.1.32578_001.p1
OG0000048	Aqu2.1.35772_001.p1
OG0000048	Aqu2.1.39706_001.p1
OG0000048	Aqu2.1.40607_001.p1
OG0000048	Aqu2.1.40617_001.p1
OG0000048	Aqu2.1.44010_001.p1
OG0000049	Aqu2.1.09859_001.p1
OG0000049	Aqu2.1.20837_001.p1
OG0000049	Aqu2.1.27800_001.p1
OG0000049	Aqu2.1.28638_001.p1
OG0000049	Aqu2.1.30886_001.p1
OG0000049	Aqu2.1.32464_001.p1
OG0000049	Aqu2.1.33177_001.p1
OG0000049	Aqu2.1.34220_001.p1
OG0000049	Aqu2.1.35779_001.p1
OG0000049	Aqu2.1.38526_001.p1
OG0000049	Aqu2.1.39301_001.p1
OG0000049	Aqu2.1.40377_001.p1
OG0000049	Aqu2.1.41157_001.p1
OG0000049	Aqu2.1.42202_001.p1
OG0000052	Aqu2.1.05503_001.p1
OG0000052	Aqu2.1.23384_001.p1
OG0000052	Aqu2.1.27325_001.p1
OG0000052	Aqu2.1.36574_001.p1
OG0000052	Aqu2.1.41483_001.p1
OG0000052	Aqu2.1.43258_001.p1
OG0000055	Aqu2.1.02688_001.p1
OG0000055	Aqu2.1.31893_001.p1
OG0000055	Aqu2.1.32982_001.p1
OG0000055	Aqu2.1.33400_001.p1
OG0000055	Aqu2.1.33437_001.p1
OG0000055	Aqu2.1.33598_001.p1
OG0000055	Aqu2.1.34917_001.p1
OG0000055	Aqu2.1.38527_001.p1
OG0000055	Aqu2.1.41052_001.p1
OG0000055	Aqu2.1.41909_001.p1
OG0000055	Aqu2.1.44297_001.p1
OG0000058	Aqu2.1.18820_001.p1
OG0000058	Aqu2.1.23421_001.p1
OG0000058	Aqu2.1.23422_001.p1
OG0000058	Aqu2.1.23423_001.p1
OG0000058	Aqu2.1.31158_001.p1
OG0000058	Aqu2.1.31159_001.p1
OG0000058	Aqu2.1.35244_001.p1
OG0000058	Aqu2.1.35245_001.p1
OG0000058	Aqu2.1.35246_001.p2
OG0000058	Aqu2.1.36445_001.p1
OG0000058	Aqu2.1.36446_001.p1
OG0000058	Aqu2.1.36447_001.p2
OG0000058	Aqu2.1.41020_001.p1
OG0000058	Aqu2.1.44053_001.p1
OG0000058	Aqu2.1.44054_001.p1
OG0000058	Aqu2.1.44084_001.p1
OG0000059	Aqu2.1.01520_001.p1
OG0000059	Aqu2.1.05848_001.p1
OG0000059	Aqu2.1.23427_001.p1
OG0000059	Aqu2.1.32118_001.p1
OG0000059	Aqu2.1.34609_001.p1
OG0000059	Aqu2.1.34623_001.p1
OG0000059	Aqu2.1.39764_001.p1
OG0000063	Aqu2.1.01051_001.p1
OG0000063	Aqu2.1.13103_001.p1
OG0000063	Aqu2.1.16942_001.p1
OG0000063	Aqu2.1.29513_001.p1
OG0000063	Aqu2.1.32690_001.p1
OG0000063	Aqu2.1.32691_001.p2
OG0000063	Aqu2.1.36275_001.p1
OG0000063	Aqu2.1.36424_001.p1
OG0000063	Aqu2.1.38491_001.p1
OG0000063	Aqu2.1.38559_001.p1
OG0000063	Aqu2.1.38744_001.p1
OG0000063	Aqu2.1.39241_001.p1
OG0000063	Aqu2.1.43474_001.p1
OG0000066	Aqu2.1.07151_001.p1
OG0000066	Aqu2.1.15112_001.p1
OG0000066	Aqu2.1.17492_001.p1
OG0000066	Aqu2.1.17493_001.p1
OG0000066	Aqu2.1.28815_001.p1
OG0000066	Aqu2.1.33414_001.p1
OG0000066	Aqu2.1.34259_001.p1
OG0000066	Aqu2.1.38465_001.p1
OG0000066	Aqu2.1.44211_001.p1
OG0000067	Aqu2.1.08431_001.p1
OG0000067	Aqu2.1.21491_001.p2
OG0000067	Aqu2.1.21492_001.p1
OG0000067	Aqu2.1.39901_001.p1
OG0000067	Aqu2.1.42548_001.p1
OG0000067	Aqu2.1.42549_001.p1
OG0000067	Aqu2.1.43963_001.p1
OG0000069	Aqu2.1.05876_001.p1
OG0000069	Aqu2.1.21051_001.p1
OG0000069	Aqu2.1.22054_001.p1
OG0000069	Aqu2.1.25572_001.p1
OG0000069	Aqu2.1.32548_001.p1
OG0000069	Aqu2.1.33612_001.p1
OG0000069	Aqu2.1.33622_001.p1
OG0000069	Aqu2.1.36437_001.p1
OG0000069	Aqu2.1.36606_001.p1
OG0000069	Aqu2.1.37895_001.p1
OG0000069	Aqu2.1.37896_001.p2
OG0000069	Aqu2.1.39672_001.p1
OG0000069	Aqu2.1.42762_001.p1
OG0000072	Aqu2.1.39223_001.p1
OG0000072	Aqu2.1.40714_001.p1
OG0000072	Aqu2.1.43552_001.p1
OG0000072	Aqu2.1.43553_001.p1
OG0000076	Aqu2.1.00715_001.p1
OG0000076	Aqu2.1.35139_001.p1
OG0000076	Aqu2.1.36289_001.p1
OG0000076	Aqu2.1.39703_001.p1
OG0000076	Aqu2.1.42104_001.p1
OG0000076	Aqu2.1.42151_001.p1
OG0000076	Aqu2.1.42153_001.p1
OG0000076	Aqu2.1.42203_001.p1
OG0000076	Aqu2.1.42204_001.p1
OG0000076	Aqu2.1.42655_001.p1
OG0000076	Aqu2.1.44243_001.p1
OG0000077	Aqu2.1.02056_001.p1
OG0000077	Aqu2.1.06057_001.p1
OG0000077	Aqu2.1.18075_001.p1
OG0000077	Aqu2.1.23645_001.p1
OG0000077	Aqu2.1.27066_001.p1
OG0000077	Aqu2.1.28737_001.p1
OG0000077	Aqu2.1.31354_001.p1
OG0000077	Aqu2.1.34778_001.p1
OG0000077	Aqu2.1.42695_001.p1
OG0000077	Aqu2.1.43338_001.p1
OG0000079	Aqu2.1.24541_001.p1
OG0000079	Aqu2.1.37818_001.p1
OG0000079	Aqu2.1.37825_001.p1
OG0000079	Aqu2.1.38150_001.p2
OG0000079	Aqu2.1.38151_001.p1
OG0000079	Aqu2.1.39734_001.p1
OG0000079	Aqu2.1.43881_001.p1
OG0000083	Aqu2.1.00604_001.p1
OG0000083	Aqu2.1.01874_001.p1
OG0000083	Aqu2.1.02125_001.p1
OG0000083	Aqu2.1.04280_001.p1
OG0000083	Aqu2.1.06453_001.p1
OG0000083	Aqu2.1.13714_001.p1
OG0000083	Aqu2.1.15100_001.p1
OG0000083	Aqu2.1.15101_001.p1
OG0000083	Aqu2.1.20420_001.p1
OG0000083	Aqu2.1.23574_001.p1
OG0000083	Aqu2.1.26816_001.p1
OG0000083	Aqu2.1.29334_001.p1
