Orthogroup	SP_TRX
OG0000179	NP_595255.1
OG0000182	NP_594734.1
OG0000183	NP_001342772.1
OG0000183	NP_001342891.1
OG0000183	NP_588110.2
OG0000183	NP_593889.1
OG0000183	NP_595798.1
OG0000184	NP_587724.1
OG0000184	NP_595014.1
OG0000184	NP_595773.1
OG0000185	NP_588351.1
OG0000185	NP_594099.1
OG0000185	NP_596339.1
OG0000186	NP_001342913.1
OG0000186	NP_592849.1
OG0000186	NP_594759.1
OG0000186	NP_596486.1
OG0000188	NP_588356.1
OG0000188	NP_588401.1
OG0000188	NP_593087.1
OG0000193	NP_592928.1
OG0000194	NP_001342825.1
OG0000198	NP_001342896.1
OG0000198	NP_587766.1
OG0000198	NP_587863.1
OG0000198	NP_596689.2
OG0000214	NP_001018819.2
OG0000214	NP_001342744.1
OG0000215	NP_001342938.1
OG0000215	NP_593216.2
OG0000215	NP_593490.1
OG0000215	NP_593996.1
OG0000216	NP_596793.1
OG0000217	NP_001343068.1
OG0000217	NP_596398.1
OG0000221	NP_592879.1
OG0000222	NP_588298.1
OG0000222	NP_588517.1
OG0000223	NP_587880.1
OG0000223	NP_595918.1
OG0000223	NP_596777.1
OG0000226	NP_588127.1
OG0000226	NP_592995.1
OG0000226	NP_593003.1
OG0000226	NP_594057.1
OG0000226	NP_596030.1
OG0000230	NP_593789.1
OG0000231	NP_587830.1
OG0000231	NP_588010.1
OG0000232	NP_596514.1
OG0000233	NP_001342944.1
OG0000233	NP_593310.1
OG0000233	NP_594559.1
OG0000235	NP_001342701.1
OG0000235	NP_001342922.1
OG0000237	NP_593405.2
OG0000237	NP_595710.1
OG0000240	NP_593930.1
OG0000241	NP_593026.1
OG0000241	NP_595457.1
OG0000241	NP_596795.1
OG0000245	NP_588369.1
OG0000245	NP_593080.1
OG0000245	NP_594119.1
OG0000245	NP_596055.1
OG0000250	NP_001018762.2
OG0000250	NP_587739.1
OG0000250	NP_587740.1
OG0000250	NP_587746.1
OG0000250	NP_587747.1
OG0000250	NP_592790.1
OG0000250	NP_593320.1
OG0000250	NP_593858.2
OG0000250	NP_595064.1
OG0000250	NP_596425.1
OG0000251	NP_592937.1
OG0000251	NP_595398.1
OG0000252	NP_001342864.1
OG0000252	NP_588157.1
OG0000252	NP_593178.1
OG0000261	NP_594134.1
OG0000262	NP_593554.1
OG0000262	NP_596378.1
OG0000263	NP_593863.1
OG0000264	NP_593852.1
OG0000264	NP_595954.2
OG0000265	NP_595468.1
OG0000269	NP_001342737.1
OG0000269	NP_593510.1
OG0000269	NP_594785.1
OG0000270	NP_593305.1
OG0000271	NP_588102.1
OG0000271	NP_594582.1
OG0000271	NP_595007.1
OG0000275	NP_595506.1
OG0000275	NP_595673.1
OG0000275	NP_596300.1
OG0000277	NP_001342850.1
OG0000277	NP_588020.1
OG0000279	NP_596417.1
OG0000280	NP_001342732.1
OG0000281	NP_592974.1
OG0000281	NP_593081.2
OG0000281	NP_593830.1
OG0000282	NP_593038.2
OG0000282	NP_594290.1
OG0000283	NP_593043.1
OG0000283	NP_594425.1
OG0000283	NP_596758.1
OG0000284	NP_593273.1
OG0000284	NP_593457.1
OG0000286	NP_001018227.1
OG0000286	NP_593578.1
OG0000286	NP_595952.1
OG0000287	NP_593314.1
OG0000287	NP_593693.1
OG0000287	NP_595672.1
OG0000292	NP_595782.1
OG0000295	NP_593332.1
OG0000296	NP_594167.1
OG0000296	NP_594247.1
OG0000298	NP_001342952.1
OG0000298	NP_588035.1
OG0000302	NP_593701.2
OG0000302	NP_595839.1
OG0000305	NP_595359.2
OG0000305	NP_596275.1
OG0000307	NP_595751.1
OG0000308	NP_594663.1
OG0000311	NP_001342777.1
OG0000311	NP_588124.2
OG0000311	NP_595231.3
OG0000313	NP_593787.1
OG0000313	NP_595987.1
OG0000318	NP_593092.1
OG0000319	NP_001342960.1
OG0000319	NP_588420.1
OG0000319	NP_593740.1
OG0000319	NP_595940.1
OG0000319	NP_596646.1
OG0000324	NP_595233.1
OG0000325	NP_587986.1
OG0000325	NP_588477.1
OG0000326	NP_592957.1
OG0000326	NP_594067.1
OG0000326	NP_595541.1
OG0000327	NP_001342973.1
OG0000327	NP_588301.2
OG0000328	NP_596650.1
OG0000329	NP_595104.1
OG0000339	NP_001342872.1
OG0000339	NP_596193.1
OG0000343	NP_587829.1
OG0000343	NP_588067.1
OG0000343	NP_593064.1
OG0000343	NP_596678.2
OG0000344	NP_592871.1
OG0000345	NP_001018229.2
OG0000345	NP_593152.1
OG0000345	NP_593601.1
OG0000345	NP_594678.2
OG0000348	NP_595122.1
OG0000350	NP_593683.2
OG0000350	NP_594619.1
OG0000351	NP_593449.1
OG0000351	NP_593666.1
OG0000351	NP_596808.1
OG0000352	NP_596820.1
OG0000353	NP_595065.1
OG0000353	NP_595271.1
OG0000359	NP_593565.1
OG0000360	NP_587901.1
OG0000360	NP_595753.1
OG0000361	NP_588526.2
OG0000361	NP_594473.1
OG0000362	NP_588450.1
OG0000365	NP_001018840.1
OG0000365	NP_588147.1
OG0000366	NP_587868.1
OG0000366	NP_596632.1
OG0000368	NP_587759.1
OG0000368	NP_588237.1
OG0000372	NP_588563.1
OG0000373	NP_596534.1
OG0000375	NP_594293.2
OG0000377	NP_588050.1
OG0000377	NP_595925.1
OG0000378	NP_593237.1
OG0000378	NP_594135.1
OG0000378	NP_596807.1
OG0000382	NP_596739.1
OG0000385	NP_593146.1
OG0000385	NP_594738.1
OG0000385	NP_595991.2
OG0000389	NP_595192.1
OG0000390	NP_588201.1
OG0000390	NP_593447.1
OG0000392	NP_593157.1
OG0000392	NP_593419.1
OG0000392	NP_593571.1
OG0000392	NP_594901.1
OG0000392	NP_595210.1
OG0000393	NP_593966.1
OG0000394	NP_588424.1
OG0000394	NP_593462.1
OG0000394	NP_593983.1
OG0000401	NP_594153.1
OG0000401	NP_595897.1
OG0000403	NP_593343.1
OG0000403	NP_595332.1
OG0000405	NP_593098.1
OG0000406	NP_001342766.1
OG0000406	NP_594080.1
OG0000408	NP_001342765.1
OG0000408	NP_596385.1
OG0000408	NP_596759.1
OG0000409	NP_593055.1
OG0000409	NP_596685.1
OG0000409	NP_596708.1
OG0000411	NP_592863.1
OG0000411	NP_594854.1
OG0000412	NP_594004.1
OG0000412	NP_594397.1
OG0000412	NP_595203.2
OG0000414	NP_001018299.1
OG0000414	NP_001342781.1
OG0000414	NP_588036.2
OG0000417	NP_001342862.1
OG0000417	NP_596102.1
OG0000421	NP_593736.1
OG0000421	NP_594630.1
OG0000422	NP_596371.1
OG0000423	NP_588431.1
OG0000424	NP_593426.1
OG0000425	NP_596289.1
OG0000427	NP_594977.1
OG0000428	NP_587812.1
OG0000430	NP_587684.1
OG0000434	NP_594086.1
OG0000442	NP_594274.1
OG0000444	NP_592864.1
OG0000444	NP_596626.1
OG0000449	NP_594825.2
OG0000449	NP_595572.1
OG0000451	NP_593696.1
OG0000451	NP_594971.1
OG0000452	NP_587703.1
OG0000452	NP_587997.1
OG0000452	NP_594336.1
OG0000452	NP_596061.1
OG0000453	NP_593346.1
OG0000453	NP_596560.1
OG0000454	NP_594555.1
OG0000454	NP_594954.1
OG0000460	NP_588370.1
OG0000463	NP_588129.2
OG0000463	NP_594510.1
OG0000463	NP_596653.1
OG0000465	NP_594886.1
OG0000472	NP_595346.1
OG0000473	NP_593697.1
OG0000474	NP_593410.1
OG0000474	NP_596138.1
OG0000475	NP_592917.2
OG0000476	NP_588211.1
OG0000476	NP_595341.1
OG0000477	NP_592903.1
OG0000478	NP_595933.1
OG0000480	NP_592862.1
OG0000480	NP_595777.1
OG0000485	NP_588051.1
OG0000485	NP_595837.1
OG0000485	NP_595939.1
OG0000489	NP_593230.1
OG0000490	NP_596733.1
OG0000494	NP_593123.1
OG0000496	NP_588493.1
OG0000496	NP_595286.1
OG0000496	NP_595695.1
OG0000498	NP_593281.1
OG0000498	NP_596024.2
OG0000499	NP_595479.1
OG0000500	NP_595485.1
OG0000502	NP_595124.1
OG0000502	NP_595625.1
OG0000509	NP_594286.1
OG0000511	NP_588000.1
OG0000513	NP_592900.1
OG0000514	NP_587839.1
OG0000514	NP_593392.1
OG0000518	NP_594284.1
OG0000518	NP_594846.1
OG0000519	NP_593551.1
OG0000522	NP_593879.1
OG0000528	NP_596046.1
OG0000529	NP_001342955.1
OG0000532	NP_594461.1
OG0000533	NP_001342851.1
OG0000533	NP_594894.2
OG0000533	NP_594936.1
OG0000543	NP_588472.2
OG0000543	NP_594861.1
OG0000547	NP_588053.1
OG0000549	NP_593086.1
OG0000550	NP_596741.1
OG0000551	NP_595613.1
OG0000552	NP_595323.1
OG0000553	NP_596313.1
OG0000554	NP_594079.1
OG0000554	NP_595333.1
OG0000555	NP_594228.1
OG0000555	NP_595451.1
OG0000556	NP_001342771.1
OG0000562	NP_595281.1
OG0000563	NP_596464.1
OG0000567	NP_587715.1
OG0000567	NP_596641.1
OG0000568	NP_595409.1
OG0000569	NP_594537.1
OG0000570	NP_001342764.1
OG0000570	NP_593373.1
OG0000570	NP_596317.1
OG0000571	NP_587851.1
OG0000571	NP_595191.1
OG0000573	NP_588478.1
OG0000573	NP_596276.1
OG0000575	NP_587760.1
OG0000575	NP_595034.1
OG0000578	NP_596797.1
OG0000580	NP_594602.1
OG0000581	NP_587946.1
OG0000581	NP_593319.1
OG0000583	NP_587808.1
OG0000583	NP_587991.1
OG0000584	NP_588206.1
OG0000584	NP_593298.1
OG0000586	NP_594262.2
OG0000587	NP_593890.1
OG0000589	NP_594627.2
OG0000589	NP_594715.1
OG0000590	NP_593377.1
OG0000592	NP_588077.1
OG0000592	NP_592803.1
OG0000592	NP_594377.1
OG0000593	NP_595766.1
OG0000593	NP_596556.1
OG0000595	NP_594082.1
OG0000595	NP_595260.1
OG0000595	NP_596618.1
OG0000596	NP_593482.1
OG0000596	NP_594155.1
OG0000599	NP_001342863.1
OG0000600	NP_001343040.1
OG0000600	NP_588516.1
OG0000600	NP_592785.1
OG0000600	NP_594498.1
OG0000600	NP_596688.1
OG0000602	NP_592986.1
OG0000604	NP_593240.1
OG0000607	NP_594221.1
OG0000608	NP_594741.1
OG0000609	NP_001342826.1
OG0000609	NP_594034.2
OG0000610	NP_587882.1
OG0000610	NP_594863.1
OG0000612	NP_587782.1
OG0000613	NP_001343092.1
OG0000613	NP_596412.1
OG0000620	NP_592852.1
OG0000620	NP_594626.1
OG0000622	NP_587876.1
OG0000622	NP_594656.1
OG0000625	NP_594346.1
OG0000627	NP_595772.1
OG0000628	NP_592973.1
OG0000628	NP_596404.1
OG0000629	NP_593685.1
OG0000631	NP_594106.1
OG0000633	NP_593264.1
OG0000633	NP_595481.1
OG0000634	NP_593458.1
OG0000634	NP_594189.1
OG0000636	NP_588126.1
OG0000636	NP_595357.1
OG0000637	NP_001342778.1
OG0000637	NP_596044.1
OG0000638	NP_596761.1
OG0000639	NP_593806.1
OG0000641	NP_593206.1
OG0000641	NP_596013.1
OG0000643	NP_593818.1
OG0000649	NP_595186.1
OG0000651	NP_594949.1
OG0000651	NP_595338.1
OG0000652	NP_596077.1
OG0000653	NP_001342793.1
OG0000653	NP_587701.1
OG0000653	NP_594246.1
OG0000653	NP_595178.1
OG0000653	NP_596602.1
OG0000656	NP_001342735.1
OG0000656	NP_593045.1
OG0000656	NP_595326.2
OG0000657	NP_588344.1
OG0000657	NP_593952.1
OG0000658	NP_593584.1
OG0000658	NP_593653.1
OG0000658	NP_595525.1
OG0000659	NP_594211.1
OG0000659	NP_594420.1
OG0000660	NP_001342814.1
OG0000660	NP_587801.1
OG0000660	NP_593062.1
OG0000660	NP_593141.2
OG0000660	NP_594123.1
OG0000661	NP_594365.1
OG0000662	NP_593271.1
OG0000669	NP_588554.2
OG0000669	NP_592955.2
OG0000669	NP_593018.1
OG0000670	NP_593905.1
OG0000670	NP_595884.1
OG0000670	NP_596480.1
OG0000672	NP_593836.3
OG0000673	NP_594139.2
OG0000674	NP_594742.1
OG0000674	NP_596767.1
OG0000676	NP_594261.1
OG0000677	NP_595708.1
OG0000680	NP_595805.1
OG0000681	NP_594219.2
OG0000682	NP_594796.1
OG0000683	NP_593714.1
OG0000684	NP_588476.1
OG0000686	NP_001343138.1
OG0000686	NP_592788.1
OG0000695	NP_593008.1
OG0000695	NP_596351.1
OG0000697	NP_588371.3
OG0000697	NP_594288.2
OG0000698	NP_588236.1
OG0000698	NP_594092.1
OG0000700	NP_596783.1
OG0000701	NP_594295.1
OG0000706	NP_594204.1
OG0000707	NP_593471.1
OG0000707	NP_594780.1
OG0000708	NP_588242.1
OG0000708	NP_594314.1
OG0000709	NP_588023.1
OG0000709	NP_588268.1
OG0000709	NP_588269.1
OG0000709	NP_588270.1
OG0000710	NP_595900.1
OG0000718	NP_593101.2
OG0000718	NP_593690.1
OG0000719	NP_596779.1
OG0000720	NP_588033.1
OG0000723	NP_588188.1
OG0000724	NP_001342923.1
OG0000724	NP_588555.1
OG0000724	NP_596081.1
OG0000725	NP_001018794.2
OG0000725	NP_595701.1
OG0000726	NP_593017.1
OG0000727	NP_001343006.1
OG0000732	NP_593448.1
OG0000732	NP_596008.1
OG0000734	NP_594298.1
OG0000734	NP_596158.2
OG0000737	NP_593871.3
OG0000738	NP_001342723.1
OG0000739	NP_595319.2
OG0000743	NP_596804.1
OG0000744	NP_588349.1
OG0000744	NP_595446.1
OG0000745	NP_596668.1
OG0000746	NP_592845.1
OG0000746	NP_596065.1
OG0000748	NP_594633.2
OG0000758	NP_593085.1
OG0000758	NP_594252.1
OG0000761	NP_001342839.1
OG0000761	NP_588095.1
OG0000761	NP_593572.1
OG0000766	NP_595428.1
OG0000766	NP_596309.1
OG0000766	NP_596697.3
OG0000768	NP_593224.1
OG0000768	NP_593430.1
OG0000769	NP_593668.2
OG0000769	NP_594037.1
OG0000770	NP_594429.1
OG0000776	NP_001342966.1
OG0000777	NP_592930.1
OG0000778	NP_588464.1
OG0000778	NP_595518.1
OG0000779	NP_594310.1
OG0000779	NP_594763.1
OG0000788	NP_587890.1
OG0000790	NP_593981.1
OG0000790	NP_595119.1
OG0000792	NP_001342811.1
OG0000793	NP_587870.2
OG0000794	NP_594746.1
OG0000794	NP_596444.1
OG0000795	NP_592948.1
OG0000795	NP_593865.1
OG0000797	NP_001342879.1
OG0000797	NP_594540.1
OG0000799	NP_588262.1
OG0000799	NP_595986.1
OG0000800	NP_594364.1
OG0000808	NP_596354.1
OG0000809	NP_594771.1
OG0000811	NP_588079.1
OG0000811	NP_594282.2
OG0000811	NP_595788.1
OG0000813	NP_593678.1
OG0000815	NP_001342789.1
OG0000815	NP_593860.1
OG0000815	NP_596389.2
OG0000817	NP_587933.1
OG0000817	NP_595093.1
OG0000819	NP_587785.1
OG0000819	NP_588048.1
OG0000821	NP_593190.1
OG0000822	NP_595250.1
OG0000823	NP_592987.1
OG0000823	NP_596474.2
OG0000824	NP_593175.1
OG0000831	NP_588041.1
OG0000833	NP_587681.1
OG0000833	NP_595012.1
OG0000834	NP_595060.1
OG0000836	NP_588399.1
OG0000837	NP_587847.1
OG0000837	NP_593593.1
OG0000838	NP_001342780.1
OG0000838	NP_596110.2
OG0000839	NP_587938.1
OG0000839	NP_595569.1
OG0000841	NP_596011.1
OG0000843	NP_593968.1
OG0000843	NP_595132.2
OG0000846	NP_001342904.1
OG0000846	NP_594052.1
OG0000848	NP_592877.1
OG0000848	NP_596405.1
OG0000849	NP_596376.1
OG0000850	NP_593350.1
OG0000850	NP_595225.2
OG0000851	NP_596049.2
OG0000852	NP_588087.1
OG0000853	NP_588360.1
OG0000853	NP_588482.2
OG0000855	NP_593592.1
OG0000855	NP_594717.1
OG0000857	NP_595432.1
OG0000857	NP_596420.1
OG0000859	NP_588329.1
OG0000859	NP_593559.1
OG0000859	NP_596177.1
OG0000862	NP_596080.2
OG0000864	NP_594131.1
OG0000865	NP_001342788.1
OG0000865	NP_594889.1
OG0000867	NP_593725.1
OG0000867	NP_595062.1
OG0000867	NP_595113.1
OG0000868	NP_588244.1
OG0000876	NP_596442.2
OG0000880	NP_587885.1
OG0000880	NP_594880.1
OG0000881	NP_595092.1
OG0000882	NP_001342892.1
OG0000887	NP_588197.2
OG0000887	NP_594443.1
OG0000888	NP_595694.1
OG0000891	NP_001342809.1
OG0000893	NP_595910.1
OG0000893	NP_596060.1
OG0000895	NP_588291.2
OG0000896	NP_587755.1
OG0000896	NP_588065.1
OG0000901	NP_594998.1
OG0000902	NP_595126.1
OG0000902	NP_595627.1
OG0000903	NP_593998.1
OG0000903	NP_594994.1
OG0000913	NP_593970.1
OG0000913	NP_594920.2
OG0000917	NP_595829.1
OG0000919	NP_596488.1
OG0000920	NP_594488.1
OG0000920	NP_594652.1
OG0000921	NP_593161.1
OG0000921	NP_594674.1
OG0000921	NP_595081.1
OG0000922	NP_588106.2
OG0000923	NP_596047.1
OG0000924	NP_595070.1
OG0000924	NP_595120.1
OG0000926	NP_595680.1
OG0000928	NP_596292.1
OG0000930	NP_587797.1
OG0000931	NP_001342852.1
OG0000931	NP_593965.1
OG0000932	NP_594564.1
OG0000933	NP_594980.1
OG0000934	NP_592981.1
OG0000935	NP_593454.1
OG0000935	NP_594185.1
OG0000935	NP_595736.1
OG0000937	NP_001018187.2
OG0000940	NP_596523.1
OG0000942	NP_594434.1
OG0000944	NP_588393.1
OG0000945	NP_001342784.1
OG0000946	NP_593798.1
OG0000946	NP_596784.1
OG0000947	NP_596613.1
OG0000948	NP_596686.1
OG0000949	NP_588184.1
OG0000950	NP_596172.1
OG0000952	NP_001018769.2
OG0000952	NP_595903.1
OG0000963	NP_587866.3
OG0000964	NP_595288.1
OG0000965	NP_596209.1
OG0000970	NP_593384.1
OG0000973	NP_594554.1
OG0000974	NP_587841.1
OG0000974	NP_595711.1
OG0000975	NP_596643.1
OG0000977	NP_588115.1
OG0000977	NP_588116.1
OG0000977	NP_594853.1
OG0000983	NP_594206.1
OG0000983	NP_595275.1
OG0000984	NP_593136.2
OG0000984	NP_596037.1
OG0000985	NP_594031.2
OG0000985	NP_596189.3
OG0000986	NP_593639.1
OG0000986	NP_595521.1
OG0000987	NP_001342933.1
OG0000988	NP_587852.1
OG0000990	NP_588430.1
OG0000991	NP_593646.1
OG0000991	NP_595433.1
OG0000991	NP_596012.2
OG0000994	NP_593647.1
OG0000995	NP_001343016.1
OG0000995	NP_588108.3
OG0000996	NP_594789.2
OG0000997	NP_593388.1
OG0000997	NP_593423.1
OG0000998	NP_588230.1
OG0000999	NP_593521.1
OG0001018	NP_596228.1
OG0001019	NP_593999.1
OG0001020	NP_593315.1
OG0001020	NP_594264.1
OG0001021	NP_596713.1
OG0001022	NP_593094.1
OG0001023	NP_593261.2
OG0001024	NP_595102.2
OG0001025	NP_595100.2
OG0001026	NP_595256.1
OG0001026	NP_596437.2
OG0001028	NP_595522.1
OG0001029	NP_593759.1
OG0001030	NP_594542.1
OG0001030	NP_596682.1
OG0001032	NP_593163.1
OG0001034	NP_596146.1
OG0001035	NP_594939.1
OG0001035	NP_595648.1
OG0001036	NP_593265.1
OG0001036	NP_595922.2
OG0001037	NP_001342712.1
OG0001037	NP_596154.1
OG0001038	NP_594154.1
OG0001038	NP_595500.1
OG0001039	NP_593492.1
OG0001040	NP_593964.2
OG0001040	NP_595173.1
OG0001041	NP_596258.1
OG0001044	NP_594413.1
OG0001044	NP_596140.1
OG0001048	NP_588413.1
OG0001054	NP_594824.1
OG0001055	NP_595985.1
OG0001056	NP_588382.1
OG0001058	NP_595361.1
OG0001061	NP_593764.1
OG0001062	NP_596021.1
OG0001063	NP_001342883.1
OG0001064	NP_594343.2
OG0001069	NP_588044.1
OG0001069	NP_593876.1
OG0001070	NP_594169.1
OG0001072	NP_593708.1
OG0001072	NP_594718.1
OG0001072	NP_595662.2
OG0001073	NP_596531.1
OG0001074	NP_593642.1
OG0001075	NP_596731.1
OG0001076	NP_588145.2
OG0001077	NP_596210.1
OG0001078	NP_596466.1
OG0001079	NP_588451.1
OG0001079	NP_596105.1
OG0001080	NP_595441.1
OG0001082	NP_593770.1
OG0001084	NP_595077.2
OG0001092	NP_593472.1
OG0001094	NP_594792.1
OG0001094	NP_596463.1
OG0001096	NP_594942.1
OG0001097	NP_588052.1
OG0001098	NP_593800.1
OG0001098	NP_594257.1
OG0001099	NP_595221.1
OG0001099	NP_596593.1
OG0001100	NP_596604.1
OG0001101	NP_001342934.1
OG0001101	NP_596541.1
OG0001102	NP_001342860.1
OG0001103	NP_596016.1
OG0001105	NP_595089.1
OG0001105	NP_595472.2
OG0001106	NP_596133.1
OG0001106	NP_596226.1
OG0001107	NP_595609.1
OG0001108	NP_595148.1
OG0001112	NP_593475.2
OG0001115	NP_588466.1
OG0001116	NP_587881.1
OG0001116	NP_593810.1
OG0001116	NP_594864.1
OG0001117	NP_594084.1
OG0001118	NP_594462.1
OG0001118	NP_596582.1
OG0001119	NP_001342935.1
OG0001119	NP_596063.1
OG0001120	NP_596090.2
OG0001121	NP_001342762.1
OG0001122	NP_594487.2
OG0001123	NP_596345.1
OG0001125	NP_588327.3
OG0001125	NP_593368.1
OG0001135	NP_588003.1
OG0001135	NP_596747.1
OG0001137	NP_596562.2
OG0001138	NP_593037.1
OG0001138	NP_593217.1
OG0001139	NP_588362.1
OG0001140	NP_596231.1
OG0001141	NP_593730.1
OG0001150	NP_001342794.1
OG0001151	NP_001342856.1
OG0001152	NP_593211.1
OG0001156	NP_587856.1
OG0001157	NP_592835.1
OG0001157	NP_596352.1
OG0001158	NP_588190.1
OG0001159	NP_593231.2
OG0001160	NP_595161.1
OG0001160	NP_595715.1
OG0001162	NP_595879.1
OG0001162	NP_596510.1
